"# of Use","# használva"
"%1$s incl tax.","%1$s áfával."
"%s Item(s)","%s termék"
"(Copy data from: %s)","(Másolás innen: %s)"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Csak Legördülő menü, Többes kiválasztás vagy Ár típusú beviteli mező esetén"
"Can't create image.","Nem tudok képet létrehozni."
"Cancel","Mégse"
"Cart Item Attribute","Kosárban lévő termék tulajdonság"
"Catalog","Katalógus"
"Catalog Category Link","Katalógus kategória link"
"Catalog New Products List","A katalógusban új termékek listája"
"Catalog Price Scope","Katalógus ár hatókör"
"Catalog Product Link","Katalógus termék link"
"Catalog, Search","Katalógus, keresés"
"Categories","Kategóriák"
"Categories Sitemap","Kategóriák oldaltérkép"
"Category","Kategória"
"Category API","Kategória API"
"Category Data","Kategóia adatok"
"Category Flat Data","Kategória lapos adatok"
"Category Link Block Template","Kategória link blokk sablon"
"Category Link Inline Template","Kategória link inline sablon"
"Category Products","Kategória termékei"
"Category Top Navigation","Kategória felső navigáció"
"Category URL Suffix","Kategória URL-utótag"
"Category attributes API","Kategória tulajdonságok API"
"Category move error","Kategória mozgatási hiba"
"Center","Középen"
"Change","Módosítás"
"Change or Retrieve attribute store view","Bolt nézet - jellemző megváltoztatása"
"Change status","Állapot megváltoztatása"
"Check items to add to the cart or","Jelölje ki a termékeket a kosárhoz való hozzáadáshoz vagy"
"Choose an Option...","Válasszon egy lehetőséget..."
"Clear All","Összes törlése"
"Clear Price","Ár törlése"
"Click for price","Kattintson ide az árért"
"Close Window","Ablak bezárása"
"Collapse All","Összes bezárása"
"Comma-separated.","Vesszővel elválasztott."
"Comparable","Összehasonlítható"
"Comparable on Front-end","Összehasonlítható a boltban"
"Compare","Összehasonlítás"
"Compare Products","Termékek összehasonlítása"
"Conditions Combination","Feltételegyüttes"
"Configurable Product","Konfigurálható termék"
"Configurable Product Settings","Konfigurálható termék beállítások"
"Configure Product","Termék beállítása"
"Continue","Folytatás"
"Copy From Configurable","Konfigurálhatóból másol"
"Country/State","Ország"
"Create","Létrehozás"
"Create (Upload)","Létrehoz (Feltölt)"
"Create Empty","Üreset létrehoz"
"Create Permanent Redirect for URLs if URL Key Changed","Készítsen tartós átirányítási URL-t ha az URL kulcs megváltozik"
"Create Permanent Redirect for old URL","Tartós átirányítás létrehozása a régi URL-hez"
"Create Product Settings","Termék beállítások létrehozása"
"Create Simple Associated Product","Egyszerű társított termék létrehozása"
"Create new category","Új kategória hozzáadása"
"Create new product","Új termék hozzáadása"
"Cross-sells","Kereszt eladások"
"Custom Design","Egyedi dizájn"
"Custom Options","Lekérdezési kontextus"
"Customer Group","Vásárlói csoport"
"Customers Reviews","Vélemények"
"Customers Tagged Product","Vevők által címkézett termékek"
"Data Type for Saving in Database","Adattípus az adatbázisba mentéshez"
"Date & Time Custom Options","Dátum és idő egyéni beállítások"
"Date Fields Order","Dátum mezők sorrendje"
"Date Subscribed","Felir. dátuma"
"Datetime","Dátum és idő"
"Decimal","Decimális"
"Declare attribute value saving scope","Jellemző érték mentési hatóköre?"
"Default ""What's This"" Text Message","Alapértelmezett ""Mi ez"" szöveg"
"Default Popup Text Message","Alapértelmezett előugró szöveg"
"Default Price","Alapértelmezett ár"
"Default Qty","Alapértelmezett mennyiség"
"Default Values","Alapértelmezett értékek"
"Delete","Törlés"
"Delete Attribute","Jellemző törlése"
"Delete Attribute Set","Jellemző halmaz törlése"
"Delete Category","Kategória törlése"
"Delete Option","Lehetőség törlése"
"Delete Row","Sor törlése"
"Delete Search","Keresés törlése"
"Delete Selected Group","Kijelölt csoport törlése"
"Delete Tier","Akció törlése"
"Delete category","Kategória törlése"
"Delete product","Termék törlése"
"Description","Leírás"
"Design","Dizájn"
"Details","Részletek"
"Disabled","Tiltott"
"Disallowed file type.","Nem engedélyezett file típus."
"Display Actual Price","Aktuális ár megjelenítése"
"Display Page Control","Oldal vezérlőelem megjelenítése"
"Display Product Count","Termékek számának megjeleítése"
"Display Type","Megjelenítési formátum"
"Display in Suggested Terms","Megjelenítés a Javasolt kifejezések között"
"Double click on a group to rename it","Kattintson duplán egy csoportra az átnevezéshez"
"Double click on above image to view full picture","Kattintson duplán a képre, a teljes méret megtekintéséhez"
"Downloadable Information","Letölthető információk"
"Duplicate","Klónoz"
"Duplicate amount found.","Ismétlődő összeg található."
"Duplicate website tier price customer group and quantity.","Weboldal lépcsőzetes árak, vevő csoportok és mennyiségek klónozása."
"Duplicate website, country and state tax found.","Weboldal klónozása, ország/áfa megtalálva."
"Edit","Szerkesztés"
"Edit Attribute Set '%s'","Jellemző halmaz '%s' frissítése"
"Edit Product Attribute","Termék jellemző szerkesztése"
"Edit Product Attribute ""%s""","Termékjellemző szerkesztése ""%s"""
"Edit Search","Keresés szerkesztése"
"Edit Search '%s'","Keresés beállítása: '%s'"
"Email","E-mail"
"Email to a Friend","Email egy barátnak"
"Empty","Üres"
"Enable MAP","MAP engedélyezése"
"Enable Qty Increments","Mennyiség növekmények engedélyezése"
"Enabled","Engedélyezve"
"Error during retrieval of option value: %s","Hiba az opció értékének betöltésekor: %s"
"Exclude","Kizárás"
"Expand All","Összes kibontása"
"Failed","Sikertelen"
"Failed to move file: %s","Sikertelen fájl mozgatás: %s"
"Feature Products","Népszerű termékek"
"Filter","Szűrés"
"Filterable (no results)","Szűrhető (eredmények nélkül)"
"Filterable (with results)","Szűrhető (eredményekkel)"
"First Name","Keresztnév"
"Fixed","Rögzített"
"Frontend","Bolt"
"Frontend Model","Bolt Modell"
"Frontend Properties","Bolt tulajdonságok"
"Gallery","Galéria"
"General Information","Általános információ"
"Get special price","Speciális ár"
"Global","Globális"
"Globally Editable","Globálisan szerkeszthető"
"Go to Home Page","Ugrás a honlapra"
"Grid","Rács"
"Grouped Product","Csoportos termék"
"Groups","Csoportok"
"Home","Kezdőlap"
"ID","Azonosító"
"Image","Kép"
"Image content is not valid base64 data.","Kép tartalma nem valós base64 formátumú."
"Image type and information need to be specified for each store view.","A kép típusát és információit minden bolt nézethez be kell állítani."
"In Cart","Kosárban"
"In Stock","Raktáron"
"In stock","Raktáron"
"Incl. Tax","Adóval"
"Index product prices","Termék árak indexelés"
"Indexed category/products association","Indexelt kategória/termék összerendelések"
"Input Type","Beviteli mező típusa"
"Integer","Egész szám"
"Invalid Tier Prices","Érvénytelen árlépcső"
"Invalid image type.","Érvénytelen kép típus."
"Invalid store specified","Érvénytelen bolt"
"Inventory","Készlet"
"Is Default","Alapértelmezett"
"Is Required","Szükséges"
"Items %s to %s of %s total","%s-%s-ig Össz.: %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Termékek, amelyeket nem szeretne megmutatni a katalógusban vagy keresésben az 'Érvénytelen' jelenjen meg a kívánt üzletnél."
"Label","Címke"
"Last Name","Vezetéknév"
"Last Notification","Utolsó figyelmeztetés"
"Layered Navigation","Réteges navigáció"
"Learn More","További információk"
"Line %d, Email: %s","Sor %d, E-mail: %s"
"Line %d, SKU: %s","Sor %d, CSZ: %s"
"Link (Related, Up sell, Cross sell)","Kapcsolat (Kapcsolódó, Fent-eladás, Kereszt-eladás)"
"Link to a Specified Category","Link egy megadott kategóriához"
"Link to a Specified Product","Link egy meghatározott termékhez"
"List","Lista"
"List Mode","Lista mód"
"List of Products that are set as New","Az újdonságnak jelölt termékek listája"
"Manage Stock","Készlet kezelése"
"Max Characters","Max karakterek"
"Maximal Depth","Maximális mélység"
"Maximum Image Size","Maximális képméret"
"Maximum Number of Price Intervals","Ár intervallumok maximális száma"
"Maximum Qty Allowed in Shopping Cart","Megengedett maximum mennyiség a kosárban"
"Maximum image height","Maximális képmagasság"
"Maximum image width","Kép maximális szélessége"
"Maximum number of characters:","Karakterek maximális száma:"
"Maximum number of price intervals is 100","Az ár intervallumok maximális száma 100"
"Media Image","Média kép"
"Minimum Advertised Price","Minimum meghirdetett ár"
"Minimum Qty Allowed in Shopping Cart","Megengedett minimum mennyiség a kosárban"
"Minimum Qty for Item's Status to be Out of Stock","Minimum mennyiség a Nincs készleten állapothoz"
"More Views","További képek"
"Move","Mozgat"
"Move category in tree","Kategória mozgatása"
"Must be in the allowed values list.","A megengedett értékek listájában kell lennie."
"My Account","Saját fiók"
"Name","Név"
"New Product","Új termék"
"New Product Attribute","Új termékjellemző"
"New Products","Új termékek"
"New Products Grid Template","Új termék-rács sablon"
"New Products List Template","Új terméklista sablon"
"New Search","Új keresés"
"New Set Name","Új csoport neve"
"New products","Új termékek"
"Next","Következő"
"No","Nem "
"No image","Nincs kép"
"No layout updates","Nincs layout frissítés"
"No options of this product are available.","Ehhez a termékhez nincs lehetőség."
"None","Egyik sem"
"Not Visible Individually","Önmagában nem látható"
"Notify Low Stock RSS","RSS értesítés alacsony készlet esetén"
"Notify for Quantity Below","Értesítés mennyiségnél"
"Number of Products per Page","Oldalankénti termékek száma"
"Number of Products to Display","Megjelenített termékek száma"
"Number of Uses","Használatok száma"
"Number of results","Találatok száma"
"OK","Rendben"
"OR","Vagy"
"Old Price:","Régi ár:"
"On Gesture","Gesztusra"
"Option:","Opció:"
"Options","Opciók"
"Options Control","Opció kezelő"
"Options is required","Kötelező opciók"
"Out of Stock","Nincs raktáron"
"Out of stock","Nincs raktáron"
"PM","du"
"Page Title Separator","Oldalcím-elválasztó"
"Parent Category","Szülőkategória"
"Pending","Függő"
"Pending Reviews RSS","Függőben lévő vélemények RSS"
"Percentage","Százalék"
"Please add rows to option.","Kérem adjon értékeket a beállításnak."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Legyen óvatos ha egy sorra kattint, ez egy csomag betöltését indítja el a kiválasztott fájlból és minden nem mentett adat el fog veszni."
"Please enter a new group name","Adjon meg egy új csoport nevet"
"Please select one or more attributes.","Válasszon ki egy vagy több jellemzőt."
"Please select products for attributes update","Válasszon ki termékeket a jellemző frissítéshez"
"Please specify date required option(s).","Kérjük, határozza meg a dátum kötelező opció(i)t!"
"Please specify the product required option(s)","Határozza meg a termék kötelező opcióit"
"Please specify the quantity of product(s).","Kérjük, adja meg a termék(ek) mennyiségét."
"Please specify time required option(s).","Kérjük, határozza meg az idő kötelező opció(i)t!"
"Please wait...","Kérem várjon..."
"Position","Pozició"
"Position in Layered Navigation","Pozíció a réteges navigációban"
"Position of attribute in layered navigation block","Jellemző elhelyezkedése a szűkített nézet blokkjában"
"Prev","Előző"
"Previous","Előző"
"Price","Ár"
"Price Type","Ártípus"
"Price values for options should be specified in system base currency.","Az opciókhoz rendelt ár értékeket a rendszer alap pénznemében kell megadni."
"Price:","Ár:"
"Print This Page","Oldal nyomtatása"
"Product","Termék"
"Product API","Termék API"
"Product Alerts","Termék értesítések"
"Product Attribute","Termékjellemzők"
"Product Attributes","Termékjellemzők"
"Product Categories","Árukategóriák"
"Product Description","Termék leírás"
"Product Flat Data","Termék lapos adatok"
"Product ID","Termék ID"
"Product Image Placeholders","Termékkép helyfoglalók"
"Product Image Watermarks","Termék kép vízjelek"
"Product Images","Termék képek"
"Product Images API","Termék kép API"
"Product In Websites","Termék a honlapokon"
"Product Info Column","Termék leírás box"
"Product Information","Termék információk"
"Product Link Block Template","Termék link blokk sablon"
"Product Link Inline Template","Termék link inline sablon"
"Product Listing Sort by","Terméklista sorbarendezése"
"Product Name","Terméknév"
"Product Reviews","Termék vélemények"
"Product Tags","Termék címkék"
"Product Tier Price API","Termék árlépcső API"
"Product Type","Termék típus"
"Product URL Suffix","Termék URL-utótag"
"Product attribute sets API","Termék jellemző halmazok API"
"Product attributes API","Termék jellemzők API"
"Product is not loaded","Termék nincs betöltve"
"Product links API (related, cross sells, up sells)","Termék linkek API (kapcsolódó, kereszt-eladás, fent-eladás)"
"Product types API","Termék típusok API"
"Product with this combination of attributes already associated to configurable.","A termék a jellemzők ilyen kombinációjával már hozzá van társítva a konfigurálhatóhoz."
"Products","Termékek"
"Products Comparison List","Termék összehasonlító lista"
"Products Information","Termék információk"
"Products Reviews","Termékek véleményei"
"Products Sitemap","Termékek oldaltérképe"
"Products only","Csak termékek"
"Products per Page on Grid Allowed Values","Termék/oldal lehetséges értékei"
"Products per Page on Grid Default Value","Rácsnézetben a termékek alapértelmezett száma oldalanként"
"Products per Page on List Allowed Values","Termékek/oldal a listában engedélyezett értékek"
"Products per Page on List Default Value","Termékek/oldal a listában alapértelmezett értéke"
"Properties","Tulajdonságok"
"Qty","Mennyiség"
"Qty Increments","Mennyiség növekmény"
"Qty Uses Decimals","Tizedes használata"
"Qty:","Mennyiség:"
"Quantity","Mennyiség"
"Quick Create","Gyors létrehozás"
"Quick Overview","Gyors áttekintés"
"Quick simple product creation","Gyors egyszerű termék létrehozás"
"Redirect","Átirányítás"
"Redirect URL","URL átirányítás"
"Regular Price:","Normál ár:"
"Related Products","Kapcsolódó termékek"
"Remove","Eltávolítás"
"Remove Product From Websites","Termék eltávolítása a Weboldalakról"
"Remove This Item","Termék eltávolítása"
"Remove product assignment","Termék hozzárendelés törlése"
"Remove product image","Termék képének törlése"
"Remove product link","Termék linkek eltávolítása"
"Reorganize EAV category structure to flat structure","Az EAV kategóriák struktúrájának újjászervezése a lapos struktúrához"
"Reorganize EAV product structure to flat structure","Az EAV termék struktúrájának újjászervezése a lapos struktúrához"
"Reset","Alaphelyzet"
"Results","Eredmények"
"Retrieve attribute data","Jellemző adatok lekérése"
"Retrieve attribute list","Jellemző lista lekérése"
"Retrieve attribute options","Jellemzők tulajdonságainak lekérése"
"Retrieve categories tree","Kategória fa lekérése"
"Retrieve category attributes","Kategória jellemzők lekérése"
"Retrieve category data","Kategória adatainak lekérése"
"Retrieve hierarchical tree","Hierarchikus fa szerkezet lekérése"
"Retrieve linked products","Kapcsolódó termékek lekérése"
"Retrieve list of assigned products","Társított termékek lekérése"
"Retrieve one level of categories by website/store view/parent category","Kategóriák egy szintjének lekérése weboldal/bolt nézet/szülő kategória"
"Retrieve product","Termék lekérése"
"Retrieve product attribute sets","Termék jellemző halmaz lekérése"
"Retrieve product image","Termék kép lekérése"
"Retrieve product image list","Termék kép lista lekérése"
"Retrieve product image types","Termék kép típus lekérése"
"Retrieve product link type attributes","Kapcsolat típus jellemző lekérése"
"Retrieve product link types","Termék kapcsolat típusok lekérése"
"Retrieve product tier prices","Termék árlépcső lekérése"
"Retrieve product types","Termék típusok lekérése"
"Retrieve products data","Termék adatok lekérése"
"Retrieve products list by filters","Termék lista lekérése szűrőkkel"
"Reviews","Vélemények"
"Roll Over for preview","Felfordít az előnézethez"
"Root","Gyökér"
"SKU","Cikkszám"
"Save","Mentés"
"Save Attribute","Jellemző mentése"
"Save Attribute Set","Jellemző halmaz mentése"
"Save Category","Kategória mentése"
"Save Search","Keresés mentése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Scope","Hatókör"
"Scope must not be changed, because the attribute is used in configurable products.","Hatókört nem változhat, mert a jellemző használatban van a konfigurálható termékekben."
"Search","Keresés"
"Search Engine Optimizations","Keresőoptimalizálás"
"Search Information","Keresési információ"
"Search Query","Keresési lekérdezés"
"Search Weight","Súly keresés"
"Searchable","Kereshető"
"See price before order confirmation.","Az ár megtekintése a megrendelés megerősítése előtt."
"Select Category...","Válassza ki a kategóriát..."
"Select Configurable Attributes ","Válasszon konfigurálható jellemzőket "
"Select Product...","Válassza ki a terméket..."
"Select type of option","Válassza ki az opció típusát"
"Select type options required values rows.","Válassza ki a kötelező mezők típusát!"
"Selected Product Types","Kiválasztott temrék típusok"
"Send Count","Számlálás küldése"
"Set Ascending Direction","Növekvő sorrendbe"
"Set Descending Direction","Csökkenő sorrendbe"
"Set Name","Név beállítása"
"Set root category for this store in the <a href=""%s"">configuration</a>","Állítson be gyökér kategóriát ennek a boltnak a <a href=""%s"">beállításokban</a>"
"Set special price","Speciális ár beállítása"
"Set/Get current store view","Jelen bolt nézet beállítása"
"Settings","Beállítások"
"Shop By","Szűrés"
"Shopping Options","Vásárlási beállítások"
"Show","Megjelenítés"
"Show Details","Részletek megjelenítése"
"Show Tags","Címkék mutatása"
"Simple Product","Egyszerű termék"
"Site Map","Oldaltérkép"
"Sitemap","Oldaltérkép"
"Skip import row, is not valid value ""%s"" for field ""%s""","Import sor átugrása, érvénytelen érték ""%s"" erre: ""%s"""
"Some of the selected item options are not currently available.","Némely kijelölt beállítás jelenleg elérhető."
"Sort By","Rendezés"
"Sort Order","Rendezési sorrend"
"Source Model","Forrás modell"
"Special Price:","Kedvezményes ár:"
"Starting at:","Kezdet:"
"Static","Statikus"
"Static block and products","Statikus blokk és termékek"
"Static block only","Csak statikus blokk"
"Status","Állapot"
"Stock Availability","Raktárkészlet"
"Store","Bolt"
"Store View","Bolt nézet"
"Stretch","Nyújtás"
"Subscribe to RSS Feed","Feliratozás az RSS hírcsatornára"
"Super product attributes configuration","Szuper termék jellemzők beállítása"
"Synonym For","Szinoníma erre"
"System Properties","Rendszer tulajdonságai"
"Tag Name","Címke neve"
"Tax","Adó"
"Template","Sablon"
"Text","Szöveg"
"The base directory to upload file is not specified.","A fájlok feltöltéséhez nincs megadva mappa."
"There are no %s available.","%s nem elérhető."
"There are no customers for this alert","Nincsenek vásárlók ehhez a figyelmeztetéshez"
"There are no customers for this alert.","Ehhez a figyelmeztetéshez nincs vevő hozzárendelve."
"There are no products matching the selection.","Nem található termék a megadott feltételekkel."
"This attribute cannot be edited.","Ezt a jellemzőt nem lehet szerkeszteni."
"This attribute is used in configurable products.","Ezt a jellemző használatban van beállítható termékeknél."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Ezt a jellemzőt használja egy beállítható termék. Nem távolítható el a jellemző halmazból."
"This attribute no longer exists","Ez a jellemző már nem létezik"
"This attribute set no longer exists.","Ez a jellemző halmaz már nem létezik."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ez a csoport jellemzőket tartalmaz, amelyek konfigurálható termékeknél vannak használatban. Helyezze át ezeket a jellemzőket egy másik csoportba és próbálja újra."
"This group contains system attributes. Please move system attributes to another group and try again.","Ez a csoport rendszer jellemzőket tartalmaz. Kérem helyezze át őket egy másik csoportba és próbálja újra."
"This search no longer exists.","Ez a keresés többé nem létezik."
"This setting will be applied when all prices in the specific price interval are equal.","Ez a beállítás akkor lesz használatban, amikor minden ár egy megadott intervallumon belül egyenlő."
"Tier Pricing","Lépcsős árazás"
"Tile","Mozaik"
"Time Format","Időformátum"
"Title","Cím"
"To see product price, add this item to your cart. You can always remove it later.","Az ár megtekintéséhez, rakja bele ezt a terméket a kosarába. Ha nincs rá szüksége, bármikor eltávolíthatja onnét."
"Top/Left","Fent/Balra"
"Top/Right","Fent/Jobbra"
"Total Qty Base Items","Teljes termék készlet"
"Total incl. Tax: %1$s","Végösszeg áfával: %1$s"
"Type","Típus"
"Unassigned Attributes","Társítatlan jellemzők"
"Up-sells","Felülértékesítések"
"Update","Frissités"
"Update Attributes","Jellemzők frissítése"
"Update Tier Price","Árlépcső frissítése"
"Update assigned product","Hozzárendelt termékek frissítése"
"Update attributes","Jellemzők frissítése"
"Update category","Kategória frissítése"
"Update product","Termék frissítése"
"Update product image","Termék kép frissítése"
"Update product link","Termék link frissítése"
"Update product tier prices","Termék árlépcső frissítése"
"Upload new product image ","Új termék kép feltöltése "
"Use Canonical Link Meta Tag For Categories","Egyszerűsített Meta Tag hivatkozás használata a Kategóriáknál"
"Use Canonical Link Meta Tag For Products","Egyszerűsített Meta Tag hivatkozás használata a Termékeknél"
"Use Categories Path for Product URLs","Használja a kategória útvonalat a termék URL-ekben"
"Use Config Settings","Konfigurációs beállítások használata"
"Use Default Value","Alapértelmezett érték használata"
"Use Flat Catalog Category","Lapos katalógus kategóriákat használjon"
"Use Flat Catalog Product","Lapos katalógus termékeket használjon"
"Use In Layered Navigation","Szűkített nézetben használja"
"Use In Search Results Layered Navigation","A keresési eredményeknél megjelenő szűkített nézetben használja"
"Use JavaScript Calendar","JavaScript naptár használata"
"Use To Create Configurable Product","Konfigurálható termék létrehozásához használja"
"Use config","Használja a beállításokat"
"Use default","Alapértelmezés használata"
"Use for Promo Rule Conditions","Használja a promóciós feltételeket"
"Use in Layered Navigation","Használás réteges navigációban"
"Used for Sorting in Product Listing","Termék listában sorba rendezésre használható"
"Used in Product Listing","Terméklistában mutatás"
"View Details","Részletek megjelenítése"
"View as","Megtekintés"
"Virtual Product","Virtuális termék"
"Visibility","Láthatóság"
"Visible","Látható"
"Visible on Catalog Pages on Front-end","Látható a katalógusban a boltban"
"WYSIWYG Editor","WYSIWYG szerkesztő"
"Watermark","Vízjel"
"Watermark Default Size","Vízjel alapértelmezett méret"
"Watermark Position","Vízjel pozíció"
"We Also Recommend","Ajánljuk még"
"Website","Honlap"
"Websites","Weboldalak"
"What's this?","Mi ez?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Mutassa-e az ""Összes"" beállítást a ""Xdb Oldalanként"" lenyílómenüben."
"Year Range","Év tartomány"
"Yes","Igen"
"You cannot remove system attribute from this set.","Nem távolíthat el rendszer jellemzőt ebből a halmazból."
"You have no items to compare.","Nincs összehasonlítható termék."
"You may also be interested in the following product(s)","Talán a következő termékek is érdekelhetik:"
"You saved the search term.","Elmentette a keresési kifejezést."
"Zoom In","Nagyít"
"Zoom Out","Kicsinyít"
"and","és"
"and above","és felette"
"categories","kategóriák"
"each","/db"
"ex. http://domain.com","pl. http://domain.com"
"per page","oldalanként"
"products","termékek"
"save","mentés"
"select all","mind kiválaszt"
"unselect all","összes kijelölés megszüntetése"
