"* Required Fields","* kitöltése kötelező"
"Group for Valid VAT ID - Intra-Union","Érvényes adószám csoport - Unión belüli"
"Guest","Vendég"
"Hello, %s!","Üdvözlöm, %s!"
"ID","Azonosító"
"IP Address","IP cím"
"If you have an account with us, please log in.","Ha már regisztrált nálunk, kérjük jelentkezzen be."
"Invalid current password","Érvénytelen jelszó"
"Invalid customer data","Érvénytelen vevő adat"
"Invalid login or password.","Érvénytelen email cím vagy jelszó."
"Last Activity","Utolsó aktivitás"
"Last Date Subscribed","Utolsó feliratkozás dátuma"
"Last Date Unsubscribed","Utolsó leiratkozás dátuma"
"Last Name","Vezetéknév"
"Leave empty for default (15 minutes).","Hagyja üresen az alapértelmezett értékhez (15 perc)."
"Leave empty for default (2). Valid range: 1-4","Hagyja üresen alapértelmezetten (2). Valós érték: 1-4"
"Lifetime Sales","Élettartam eladások"
"Log In","Bejelentkezés"
"Log Out","Kilépés"
"Login","Bejelentkezés"
"Login Information","Belépési információk"
"Login Options","Bejelentkezési beállítások"
"Login or Create an Account","Jelentkezzen be, vagy regisztráljon"
"MM","HH"
"Manage Addresses","Címek kezelése"
"Manage Customers","Vevők kezelése"
"Month","Hónap"
"My Account","Saját fiók"
"My Dashboard","Irányítópult"
"My Orders","Rendeléseim"
"Name","Név"
"Name and Address Options","Név és cím beállítások"
"Never","Soha"
"New Address","Új cím"
"New Address Entry","Új fiók bejegyzés"
"New Customer","Új vásárló"
"New Customer Address","Új vevő cím"
"New Customer Group","Új vevői csoport"
"New Customer Groups","Új vevői csoport"
"New Customers","Új vásárlók"
"New Group","Új csoport"
"New Password","Új jelszó"
"New account","Új fiók"
"New account confirmation key","Új fiók megerősítő kulcs"
"New account confirmed","Új fiók megerősítve"
"Newsletter","Hírlevél"
"Newsletter Finish","Hírlevél vége"
"Newsletter Information","Hírlevél információk"
"Newsletter Received","Hírlevél megérkezett"
"Newsletter Start","Hírlevél kezdés"
"Newsletter Subscription","Hírlevél feliratkozás"
"Newsletters","Hírlevelek"
"No Items Found","A keresett termék nem található"
"No Newsletter Found","Nem található hírlevél"
"No item specified.","Nincs megadott elem."
"Not Sent","Nincs elküldve"
"Not confirmed, can login","Ha nincs megerősítve, mégis be tud lépni"
"Not confirmed, cannot login","Ha nincs megerősítve, nem tud belépni"
"Offline","Nem elérhető"
"Online","Elérhető"
"Online Customers","Online vásárlók"
"Online Customers Options","Online vásárlók beállítások"
"Online Minutes Interval","Bejelentkezés időtartama percben"
"Order #","A rendelés száma"
"Order Total","Rendelés végösszege"
"Orders","Rendelések"
"Password","Jelszó"
"Password Management","Jelszó kezelő"
"Password Options","Jelszó beállítások"
"Password forgotten","Elfelejtett jelszó"
"Password:","Jelszó:"
"Paused","Szüneteltetve"
"Pending","Függő"
"Per Website","Weboldalanként"
"Personal Information","Személyes adatok"
"Please enter a number 1 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 1 vagy annál nagyobb."
"Please enter the city.","Kérjük, adja meg a várost."
"Please enter the country.","Kérjük, adja meg az országot."
"Please enter the first name.","Kérjük, adja meg a utónevet."
"Please enter the last name.","Kérjük, adja meg a vezetéknevet."
"Please enter the state/province.","Kérjük, adja meg a megyét vagy államot."
"Please enter the street.","Kérjük, adja meg az utcát."
"Please enter the zip/postal code.","Kérjük, adja meg az irányítószámot."
"Please enter your email below and we'll send you confirmation link for it.","Kérjük adja meg jelszavát és küldünk Önnek egy megerősítő linket."
"Please enter your email.","Adja meg az email címét."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Prefix Dropdown Options","Előtag legördülő lehetősévek"
"Price","Ár"
"Product","Termék"
"Product ID","Termék ID"
"Product Name","Terméknév"
"Product Reviews","Termék vélemények"
"Product Tags","Termék címkék"
"Purchase On","Vétel helye:"
"Purchased On","Vásárlás ideje:"
"Qty","Mennyiség"
"Recent Orders","Az előző megrendelések"
"Recovery Link Expiration Period (hours)","Helyreállítási Link lejárati idő (óra)"
"Redirect Customer to Account Dashboard after Logging in","Vevő átirányítása a saját fiókjának irányítópultjára bejelentkezés után"
"Refunded","Visszatérített"
"Register","Regisztráció"
"Registered Customers","Regisztrált vásárlók"
"Remind Email Template","Emlékeztető e-mail sablon"
"Remove","Eltávolítás"
"Require Emails Confirmation","E-mail megerősítés szükséges"
"Reset a Password","Jelszó visszaállítása"
"Retrieve address data","Cím adatok lekérése"
"Retrieve address info","Cím információk lekérése"
"Retrieve customer addresses","Vevő címek lekérése"
"Retrieve customer data","Vevői adatok kérése"
"Retrieve customers","Vevők lekérdezése"
"Retrieve your confirmation link here","Megerősítő link kérése"
"Retrieve your password here","Jelszó kérése"
"SKU","Cikkszám"
"Sales Statistics","Értékesítési statisztika"
"Save","Mentés"
"Save Address","Cím mentése"
"Save Customer","Vásárló mentése"
"Save Customer Group","Vevői csoport mentése"
"Save Password","Jelszó mentése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Pontosvesszővel (;) elválasztott értékek.<br/>Helyezze a pontosvesszőt az első üres opció elejére.<br/>Hagyja üresen nyílt szöveges mezőhöz."
"Send From","Feladó"
"Send Welcome Email after Confirmation","Üdvözlő e-mail küldése a megerősítés után"
"Send confirmation link","Megerősítő link küldése"
"Sending","Küldés"
"Sent","Elküldve"
"Session Start Time","Session Kezdete"
"Set as Default Billing Address","Beállítás alapértelmezett számlázási címnek"
"Set as Default Shipping Address","Beállítás alapértelmezett szállítási címnek"
"Share Customer Accounts","Ügyfél fiók megosztás"
"Shipped to First Name","Szállítva vezetéknév"
"Shipped to Last Name","Szállítva keresztnév"
"Shipped to Name","Szállítva név"
"Shopping Cart","Kosár"
"Shopping Cart - %d item(s)","Bevásárlókosár - %d termék"
"Show Date of Birth","Születési dátum megjelenítése"
"Show Gender","Nem megjelenítése"
"Show Middle Name (initial)","Középső név megjelenítése (elöl)"
"Show Prefix","Előtag megjelenítése"
"Show Suffix","Utótag megjelenítése"
"Show Tax/VAT Number","Adószám megjelenítése"
"Sign Up for Newsletter","Iratkozzon fel hírlevelünkre"
"State/Province","Állam/megye"
"Status","Állapot"
"Store","Bolt"
"Store View","Bolt nézet"
"Street Address","Utca, házszám"
"Subject","Tárgy"
"Submit","Beküldés"
"Subscribe to Newsletter","Feliratkozás a hírlevélre"
"Subscribed to Newsletter?","Feliratkozott hírlevélre?"
"Suffix Dropdown Options","Utótag legördülő lehetőségek"
"Tag Name","Címke neve"
"Tax Calculation Based On","Adó kiszámítása"
"Tax Class","Adó osztály"
"Tax/VAT number","Adószám"
"Telephone","Telefon"
"Text","Szöveg"
"Text One Line","Egy soros szöveg"
"The VAT ID entered (%s) is not a valid VAT ID.","A megadott adószám (%s) nem érvényes."
"The VAT ID is valid. The current Customer Group will be used.","Az adóazonosító érvényes. A jelenlegi vásárlói csoport lesz használva."
"The customer does not have default billing address.","Az ügyfél nem rendelkezik alapértelmezett számlázási címmel."
"The suffix that goes after name (Jr., Sr., etc.)","Az utótag, ami a név után van (Ifj., Id., stb.)"
"The title that goes before name (Mr., Mrs., etc.)","Az előtag, ami a név előtt van (Mr., Mrs., stb.)"
"There are no items in customer's wishlist at the moment","A vevő kívánságlistája jelenleg üres."
"There are no items in customer's shopping cart at the moment","Nincsenek termékek a vevő kosarában jelenleg."
"This account is not confirmed.","Ez a fiók nincs megerősítve."
"This customer has no saved addresses.","Ennek a vevőnek nincs elmentett címe."
"This email does not require confirmation.","Ez az email nem igényel megerősítést."
"To Cart","Kosárhoz"
"Total","Összesen"
"Type","Típus"
"Unknown","Ismeretlen"
"Unsubscribe from Newsletter","Leiratkozás a hírlevélről"
"Update","Frissités"
"Update customer address data","Vevő címének frissítése"
"Update customer data","Vevő adatainak frissítése"
"Use as my default billing address","Ez legyen az alapértelmezett számlázási címem"
"Use as my default shipping address","Alapértelmezett szállítási cím használata"
"VAT Number","Adószám"
"Validate VAT Number","Adószám ellenőrzése"
"Validate on Each Transaction","Ellenőrzés minden tranzakciónál"
"Validation Error Group","Adószám ellenőrzési hiba csoport"
"View","Megnéz"
"View Order","Rendelés áttekintése"
"Visitor","Látogató"
"Visitors Only","Csak látogatók"
"Website","Honlap"
"Welcome Email","Üdvözlő e-mail"
"Wishlist","Kívánságlista"
"Wishlist - %d item(s)","Kívánságlista - %d termék"
"Would you like to change the Customer Group for this order?","Megváltoztatja a vásárlói csoportot ennél a rendelésnél?"
"Wrong confirmation key.","Hibás megerősítő kulcs."
"Wrong customer account specified.","Hibás vevői fiók."
"Wrong email.","Hibás email cím."
"YYYY","ÉÉÉÉ"
"Year","Év"
"You are currently not subscribed to any newsletter.","Ön jelenleg nincs feliratkozva egyetlen hírlevelünkre sem."
"You are currently subscribed to 'General Subscription'.","Feliratkozva ide: 'Alap feliratkozás'."
"You are currently subscribed to our newsletter.","Ön jelenleg fel van iratkozva hírlevelünkre"
"You have no additional address entries in your address book.","Önnek nincs további címe a címjegyzékben."
"You have no additional entries in your address book.","Önnek nincs további címe a címjegyzékben."
"You have no default billing address in your address book.","Nincs alapértelmezett számlázási cím a címjegyzékben."
"You have no default shipping address in your address book.","Nincs alapértelmezett szállítási cím a címjegyzékben."
"You have not set a default billing address.","Nem állított be alapértelmezett számlázási címet."
"You have not set a default shipping address.","Nem állított be alapértelmezett szállítási címet."
"You have placed no orders yet.","Még nem rendelt tőlünk."
"You have placed no products yet.","Még nem helyezett el termékeket."
"You will be charged tax.","Önnek az ÁFA-val növelt árat kell fizetnie."
"You will not be charged tax.","Önnek nem kell ÁFA-t fizetnie."
"Your Tax ID cannot be validated.","Az adószámot nem lehet ellenőrizni."
"Your VAT ID was successfully validated.","Az adószám sikeresen ellenőrizve."
"Your account balance is: %s","Jelenlegi egyenlege: %s"
"ZIP","Irányítószám"
"ZIP/Post Code","Irányítószám"
"Zip/Postal Code","Irányítószám"
"or","vagy"
