"-- Please Select --","-- Kérem válasszon --"
"Custom Admin URL","Egyedi adminisztrációs felület URL-cím"
"Custom Design","Egyedi dizájn"
"Custom Email 1","Egyedi e-mail 1"
"Custom Email 2","Egyedi e-mail 2"
"Custom Variables","Egyéni változók"
"Customer Support","Ügyfélszolgálat"
"Dashboard","Vezérlőpult"
"Date From","Dátumtól"
"Date To","Dátumig"
"Date/time format ""%s"" is not supported.","Dátum/Idő formátum ""%s"" nem támogatott."
"Debug","Hibakeresés"
"Default","Alapértelmezett"
"Default Country","Alapértelmezett ország"
"Default Description","Default leírás"
"Default Keywords","Default kulcsszavak"
"Default No-route URL","Alapértelmezett No-route URL"
"Default Pages","Alapértelmezett oldal"
"Default Robots","Alapértelmezett Robotok"
"Default Store","Alapértelmezett bolt"
"Default Store View","Alapértelmezett boltnézet"
"Default Title","Alapértelmezett Cím"
"Default Web URL","Alapértelmezett web URL"
"Delete","Törlés"
"Delete Store","Bolt törlése"
"Delete Store View","Boltnézet törlése"
"Delete Website","Weboldal törlése"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."," %1$s törlése nem fogja törölni a kapcsolódó adatokat ezzel %1$s (pl. kategóriák, termékek, stb.), de a(z) %1$s nem lesz visszaállítható. Ajánlott adatbázis mentést készíteni mielőtt törli a következőt: %1$s."
"Design","Dizájn"
"Design Change","Dizájnmódosítás"
"Developer","Fejlesztő"
"Developer Client Restrictions","Fejlesztői ügyfélkorlátozások"
"Disable Email Communications","E-mail-kommunikáció letiltása"
"Disable Modules Output","Modulok kimenetének letiltása"
"Display Demo Store Notice","Demo bolt értesítés megjelenítése"
"Duplicate Of Template Name","Sablonnév másolása"
"Edit Design Change","Dizájnmódosítás szerkesztése"
"Edit Store","Bolt szerkesztése"
"Edit Store View","Boltnézet szerkesztése"
"Edit Website","Weboldal szerkesztése"
"Empty identifier field name","Üres azonosító mező"
"Empty main table name","Üres fő tábla név"
"Enable Charts","Diagramok engedélyezése"
"Enabled","Engedélyezve"
"Enabled for Admin","Engedélyezve az adminisztrációs felületen"
"Enabled for Frontend","Engedélyezve a bolt számára"
"Error in file: ""%s"" - %s","Hiba a fájlban: ""%s"" - %s"
"European Union Countries","Az EU országai"
"Exceptions Log File Name","Megszakítások Log fájl neve"
"Favicon Icon","Favicon ikon"
"File system","Fájlrendszer"
"First Day of Week","A hét első napja"
"Flush Cache Storage","Gyorsítótár ürítése"
"Flush Magento Cache","Magento gyorsítótár ürítése"
"Footer","Lábléc"
"Forgot Password Email Sender","Elfelejtett jelszó e-mail feladó"
"Forgot Password Email Template","Elfelejtett jelszó e-mailsablon"
"General","Általános"
"General Contact","Általános kapcsolattartó"
"General Settings","Általános beállítások"
"Global","Globális"
"Header","Fejléc"
"Host","Kiszolgáló"
"How many links to display at once.","Mennyi link jeleníthető meg egyszerre."
"Incorrect credit card expiration date.","Helytelen hitelkártya lejárati dátuma."
"Input type ""%value%"" not found in the input types list.","%value% beviteli típus nem található a típuslistában!"
"Invalid base url type","Érvénytelen alap url típus"
"Invalid block type: %s","Érvénytelen blokk típus: %s"
"Invalid block: %s","Érvénytelen blokk: %s"
"Invalid date","Érvénytelen dátum"
"Invalid layout update handle","Érvénytelen elrendezés(layout) kezelő"
"Invalid messages storage ""%s"" for layout messages initialization","Érvénytelen üzenet tároló ""%s"" az elrendezés(layout) üzenetek beállításakor"
"JavaScript Settings","JavaScript-beállítások"
"Layout","Elrendezés"
"Leave empty for access from any location.","Hagyja üresen, hogy bárhonnan hozzáférjen!"
"Locale","Nyelv"
"Locale Options","Területi beállítások"
"Log Settings","Log beállítások"
"Login is Case Sensitive","A bejelentkezés kis-nagybetű érzékeny"
"Logo Image","Logó"
"Logo Image Alt","Logó helyettesítő szövege (alt tag)"
"Logo Image Src","Logo kép forrás"
"Mail Sending Settings","Levélküldés-beállítások"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Győződjön meg róla, hogy az alap URL-cím perjellel (/) végződik, pl. http://yourdomain/magento/"
"Manage Stores","Boltok kezelése"
"Media Storage","Médiatár"
"Merge CSS Files","CSS-fájlok egyesítése"
"Merge JavaScript Files","JavaScript-fájlok egyesítése"
"Name","Név"
"New Design Change","Új kinézet változás"
"New Store","Új bolt"
"New Store View","Új boltnézet"
"New Website","Új Weboldal"
"No","Nem "
"Offloader header","Offloader fejléc"
"PHP SOAP extension is required.","PHP SOAP kiterjesztés szükséges."
"Package","Csomag"
"Pagination","Lapszámozás"
"Pagination Frame","Lapszámozás keret"
"Pagination Frame Skip","Lapszámozás keret átugrása"
"Please define flag code.","Adja meg az ország kódot."
"Please enter a number 0 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 0 vagy annál nagyobb."
"Please enter a number 1 or greater in this field.","Ebben a mezőben adjon meg egy számot, ami 1 vagy annál nagyobb."
"Please enter a number greater than 0 in this field.","Ebben a mezőben adjon meg egy számot, ami 0-nál nagyobb."
"Please enter a valid $ amount. For example $100.00.","Kérem, adjon meg egy érvényes $ összeget. Például $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Adj meg érvényes URL-t. Például http://www.example.com vagy www.example.com"
"Please enter a valid credit card number.","Kérem adjon meg egy érvényes bankkártya számot."
"Please enter a valid credit card verification number.","Kérem, adjon meg egy érvényes kártyaellenőrző számot."
"Please enter a valid date.","Kérem adjon meg egy érvényes dátumot."
"Please enter a valid email address. For example johndoe@domain.com.","Adj meg érvényes email címet. Például johndoe@domain.com."
"Please enter a valid month (1-12).","Adjon meg egy érvényes hónapot (1 - 12)."
"Please enter a valid number in this field.","Kérem adjon meg egy érvényes számot."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kérem adjon meg egy érvényes telefonszámot. Például (123) 456-7890 vagy 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Adj meg érvényes társadalombiztosítási számot. Páldául 123-456-789."
"Please enter a valid zip code.","Kérem adjon meg egy érvényes irányítószámot."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Adj meg érvényes irányítószámot. Páldául 90602 vagy 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Kérem adja meg a hibaszámot, vagy a switch/solo kártyatípus kezdő dátumát."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"Please select State/Province.","Kérem válasszon államot/megyét."
"Please select an option.","Kérem válasszon opciót."
"Please select one of the above options.","Válasz egyet a fenti lehetőségek közül."
"Please select one of the options.","Jelöljön ki egyet a lehetőségek közül."
"Please use letters only (a-z or A-Z) in this field.","Kérem csak betűket használjon (a-z vagy A-Z) ebben a mezőben."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Használjon betűket (a-z), számokat (0-9) és alulvonást(_) ebben a mezőben, az első karakternek betűnek kell lennie."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Kérjük használja ezt a dátum formátumot: nn/hh/éééé. Például 17/03/2006 2006. március 17."
"Please wait, loading...","Kérem várjon, töltés..."
"Polls","Szavazások"
"Recovery Link Expiration Period (hours)","Helyreállítási Link lejárati idő (óra)"
"Return-Path Email","Visszatérési útvonal e-mailcíme"
"Root Category","Főkategória"
"Sales Representative","Értékesítési képviselő"
"Save","Mentés"
"Save Store","Bolt mentése"
"Save Store View","Boltnézet mentése"
"Save Website","Weboldal mentése"
"Search Engines Optimization","Kereső optimalizálás"
"Secure","Biztonságos"
"Security","Biztonság"
"Select Date","Dátum kiválasztása"
"Sender Email","Küldő email címe"
"Sender Name","Feladó neve"
"Services","Szolgáltatások"
"Session Validation Settings","Munkamenet-érvényesítés beállítások"
"Set Return-Path","Visszatérési útvonal beállítása"
"Set as Default","Beállítás alapértelmezettként"
"Skin (Images / CSS)","Felület (Képek / CSS)"
"Sort Order","Rendezési sorrend"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Megadott dátum/idő ""%1$s"" nem egyezik ezzel ""%2$s""."
"Startup Page","Kezdőoldal"
"Status","Állapot"
"Store","Bolt"
"Store Email Addresses","Bolti e-mailcímek"
"Store Hours of Operation","Nyitvatartási idő"
"Store Information","Boltinformációk"
"Store Name","A bolt megnevezése"
"Store View","Bolt nézet"
"Store View Information","Boltnézet információi"
"Store View Name","Bolt nézet neve"
"Store view doesn't exist","A boltnézet nem létezik"
"Store with the same code","Bolt ugyan ezzel a kóddal"
"System","Rendszer"
"Template Path Hints","Sablon útvonal tippek"
"Template Settings","Sablonbeállítások"
"Template Variables","Sablonváltozók"
"Templates","Sablonok"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s amit megadott nem valós. Kérjük kövesse ezt a formátumot: ""http://domain.com/"" "
"The store does not exist","A bolt nem létezik"
"The value is not within the specified range.","Az érték nem a meghatározott tartományon belül van."
"The website does not exist.","A honlap nem létezik."
"Themes","Témák"
"This category and all its child elements","Ez a kategória és az összes gyermek eleme."
"This category and its child categories only","Ez a kategória és a gyermek kategóriái csupán."
"This category and its products only","Ez a kategória és a termékei csupán"
"This category only","Csak ez a kategória"
"This is a required field.","Ez egy szükséges mező."
"This store cannot be deleted.","E bolt nem törölhető."
"This store view cannot be deleted.","E boltnézet nem törölhető."
"This website cannot be deleted.","E weboldal nem törölhető."
"Timezone","Időzóna"
"Title Prefix","Title előtag"
"Title Suffix","Title utótag"
"Transactional Emails","Kereskedési e-mailek"
"Translate Inline","Inline fordítás"
"Translations","Fordítások"
"Unable to delete store view. Please, try again later.","Bolt nézetet nem sikerült törölni. Kérem próbálja meg később."
"Unable to delete store. Please, try again later.","Boltot nem sikerült törölni. Próbálja meg később."
"Unable to delete website. Please, try again later.","Weboldalt nem sikerült törölni. Próbálja meg később."
"Unable to proceed. Please, try again","Végrehajtás sikertelen. Próbálja újra"
"Unsecure","Nem biztonságos"
"Url Options","URL-beállítások"
"Use Custom Admin Path","Egyedi adminisztrációs útvonal használata"
"Use Custom Admin URL","Egyedi URL-cím használata az adminisztrációs felülethez"
"Use HTTP Only","Csak HTTP használata"
"None","Egyik sem"
"Use Secure URLs in Admin","Biztonságos URL az Admin felülethez"
"Use Secure URLs in Frontend","Biztonságos URL-ek a Boltban"
"Use Web Server Rewrites","Web Server Rewrites használata"
"VAT Number","Adószám"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT érvényesítése"
"Validate HTTP_VIA","HTTP_VIA érvényesítése"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR érvényesítése"
"Validate REMOTE_ADDR","REMOTE_ADDR érvényesítése"
"Validation has failed.","Az ellenőrzés sikertelen."
"Variable Code must be unique.","A változó kódjának egyedinek kell lennie."
"Website","Honlap"
"Website Information","Weboldal információk"
"Website Name","Weboldal neve"
"Website with the same code","Weboldal ugyan ezzel a kóddal"
"Weekend Days","Hétvégi napok"
"Welcome Text","Üdvözlő szöveg"
"Wrong number of arguments for %s","Hibás számú paraméter itt: %s"
"Yes","Igen"
