" and "," és "
"Actions XML","Műveletek XML"
"Active","Aktív"
"Add","Hozzáadás"
"Add Exception","Kivétel hozzáadása"
"Add Field Mapping","Mező párosítás hozzáadása"
"Add Field with URL:","Mező megjelenítése URL-el:"
"Add New","Új hozzáadása"
"Add New Block","Új blokk hozzáadása"
"Add New Image","Új kép hozzáadása"
"Add New Profile","Új profil hozzáadása"
"Add New Role","Új szerepkör hozzáadása"
"Add New Template","Új sablon hozzáadása"
"Add New User","Új felhasználó hozzáadása"
"Add New Variable","Új változó hozzáadása"
"Add Products","Termékek hozzáadása"
"Add after","Mögé rak"
"Additional Cache Management","További gyorsítótár-kezelő"
"Address Type:","Cím típusa:"
"Admin","Adminisztrátor"
"Advanced Admin Section","Haladó admin szekció"
"Advanced Profiles","Speciális profilok"
"Advanced Section","Haladó szekció"
"All","Összes"
"All Allowed Countries","Minden engedélyezett ország"
"All Cache","Összes gyorsítótár"
"All Files","Minden fájl"
"All Reviews","Összes vélemény"
"All Store Views","Minden webáruház nézet"
"All Tags","Összes címke"
"All Websites","Minden honlap"
"All countries","Összes ország"
"All fields","Minden mező"
"All valid rates have been saved.","Minden érvényes árfolyam elmentve."
"Always (during development)","Mindig (fejlesztés során)"
"Amounts","Összegek"
"An error occurred while clearing the JavaScript/CSS cache.","Hiba történt a JavaScript/CSS-gyorsítótár kiürítése során!"
"An error occurred while clearing the image cache.","Hiba történt a kép-gyorsítótár ürítése során!"
"An error occurred while deleting this role.","Hiba történt a szerepkör törlése közben."
"An error occurred while saving account.","Hiba történt a fiók mentése során!"
"An error occurred while saving this role.","Hiba történt a szerepkör mentése közben."
"Any","Bármely"
"Any Attribute Set","Bármely jellemző halmaz"
"Any Group","Bármely csoport"
"Any Status","Bármely státusz"
"Any Store","Bármely bolt"
"Any Type","Bármely típus"
"Any Visibility","Bármely láthatóság"
"Archive file name:","Archív fájlnév:"
"Are you sure that you want to delete this template?","Biztosan törölni kívánja ezt a sablont?"
"Are you sure that you want to strip tags?","Biztos benne hogy szétbontja a címkéket?"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Area","Terület"
"As low as:","Akár:"
"Assigned","Hozzárendelve"
"Attribute Set Name:","Jellemző halmaz neve:"
"Attributes","Jellemzők"
"Authorize","Engedélyez"
"Automatic (equalize price ranges)","Automatikus (árfekvések kiegyenlítése)"
"Automatic (equalize product counts)","Automatikus (termékek számának kiegyenlítése)"
"Average Order Amount","Átlagos rendelési mennyiség"
"Average Orders","Átlagos rendelések"
"Back","Vissza"
"Back to Login","Vissza a bejelentkezéshez"
"Backup","Biztonsági mentés"
"Backup Name","Biztonsági másolat neve"
"Backup options","Biztonsági mentés opciók"
"Backups","Biztonsági mentések"
"Base currency","Alap pénznem"
"Bcc","Titkos másolat"
"Bestsellers","Bestsellerek"
"Billing Address","Számlázási cím"
"Block Information","Blokk információi"
"Blocks","Blokkok"
"Both (without and with tax)","Mindkettő (adó nélkül és adóval)"
"Browse Files...","Fájlok tallózása..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Kötegelés dinamikus árazással nem illeszthető be az egyedileg meghatározott beállításokhoz. Beállítások nem lesznek elmentve."
"By Email","Email alapján"
"By IP","IP alapján"
"By IP and Email","IP és Email alapján"
"CRITICAL","Kritikus"
"CSV / Tab separated","CSV / Tab elválasztott"
"Cache Control","Gyorsítótár-kezelés"
"Cache Control (beta)","Cache irányító (beta)"
"Cache Management","Gyorsítótár-kezelő"
"Cache Type","Gyorsítótár-típus"
"Cancel","Mégse"
"Cannot add new comment.","Nem adhat hozzá új megjegyzést."
"Cannot add tracking number.","Nem lehet hozzáadni a nyomonkövetési számot."
"Cannot do shipment for the order separately from invoice.","Nem lehet szállítani a rendelést a számla nélkül."
"Cannot do shipment for the order.","Nem lehet szállítani a rendelést."
"Cannot save shipment.","Nem lehet menteni a szállítmányt."
"Cannot send shipment information.","Nem lehetett elküldeni a szállítási információt."
"Cannot update item quantity.","Nem lehet frissíteni a cikkmennyiséget."
"Card Verification Number","Kártya ellenőrző szám"
"Catalog","Katalógus"
"Catalog Price Rules","Katalógus árszabályok"
"Catalog Rewrites","Katalógus-átírások"
"Categories","Kategóriák"
"Category","Kategória"
"Category:","Kategória:"
"Checkbox","Jelölőnégyzet"
"Choose Store View:","Válasszon Boltnézetet:"
"Choose an attribute","Válasszon egy jellemzőt"
"Clear","Törlés"
"Close","Bezár"
"Code","Kód"
"Complete","Végrehajtva"
"Config form fieldset clone model required to be able to clone fields","Mezőcsoport klónmodell szükséges a mezők klónozásához"
"Configuration","Konfiguráció"
"Confirm New Password","Új jelszó megerősítése"
"Confirmed email:","Visszaigazolt email:"
"Connect with the Magento Community","Lépjen kapcsolatba a magento közösséggel"
"Continue","Folytatás"
"Convert to Plain Text","Egyszerű szöveges üzenetté konvertálás"
"Cookie (unsafe)","Süti (nem biztonságos)"
"Country","Ország"
"Country:","Ország:"
"Coupons","Kuponok"
"Create","Létrehozás"
"Create DB Backup","Adatbázis-mentés létrehozása"
"Create New Attribute","Új jellemző létrehozása"
"Created At","Létrehozva"
"Credit Card Number","Hitelkártyaszám"
"Credit Card Number: xxxx-%s","Bankkártya szám: xxxx-%s"
"Credit Card Type","Hitelkártya-típus"
"Credit Card Type: %s","Bankkártya típus: %s"
"Credit Memo History","Jóváírás történet"
"Credit Memo Totals","Jóváírás végösszeg"
"Credit Memos","Jóváírások"
"Currency","Pénznem"
"Currency Information","Pénznem információk"
"Currency Setup Section","Pénznem-beállítások szekció"
"Current Configuration Scope:","Jelenlegi konfigurációs hatókör:"
"Current Month","Az aktuális hónap"
"Custom","Egyedi"
"Custom Variables","Egyéni változók"
"Customer","Vásárló"
"Customer Group:","Vevőcsoport:"
"Customer Groups","Vevői csoportok"
"Customer Name","Ügyfél neve"
"Customer Reviews","Vevő vélemények"
"Customer Since:","Mióta vásárló:"
"Customer Tax Classes","Vásárló adó osztályok"
"Customer with the same email already exists.","Vásárló ezzel az e-mail címmel már létezik."
"Customers","Vásárlók"
"DHTML Date/Time Selector","DHTML Dátum/Idő választó"
"Dashboard","Vezérlőpult"
"Data Format","Adat formátum"
"Data transfer:","Adat átvitel:"
"Database","Adatbázis"
"Date","Dátum"
"Date & Time","Dátum & idő"
"Date Added","Hozzáadás dátuma"
"Date Updated","Frissítés ideje"
"Date selection:","Dátum választás:"
"Date selector","Dátumválasztó"
"Day","Nap"
"Decimal separator:","Tizedes elválasztó:"
"Default (Admin) Values","Gyári (Admin) értékek"
"Default Billing Address","Alapértelmezett számlázási cím"
"Default Config","Alapértelmezett beállítás"
"Default Template from Locale","Alapértelmezett sablon a helyi mappából"
"Default Values","Alapértelmezett értékek"
"Default scope","Alapértelmezett hatókör"
"Delete","Törlés"
"Delete %s","%s törlése"
"Delete %s '%s'","%s '%s' törlése"
"Delete Block","Blokk törlése"
"Delete File","Fájl törlése"
"Delete Image","Kép törlése"
"Delete Profile","Profil törlése"
"Delete Role","Szerepkör törlése"
"Delete Store","Bolt törlése"
"Delete Store View","Boltnézet törlése"
"Delete Template","Sablon törlése"
"Delete User","Felhasználó törlése"
"Delete Website","Weboldal törlése"
"Description","Leírás"
"Design","Dizájn"
"Design Section","Design szekció"
"Details","Részletek"
"Developer Section","Fejlesztői szekció"
"Direction:","Irány:"
"Disable","Letiltás"
"Disabled","Tiltott"
"Display %s first","Mutassa %s először"
"Display default currency","Alapértelmezett pénznem megjelenítése"
"Distributed under GNU LGPL. See %s for details.","Terjesztve GNU LGPL. Lásd %s, további részletekért."
"Do you really want to KILL parallel process and start new indexing process?","Biztosan megszakítja a futó folyamatot, és új indexelést kezdeményez?"
"Download","Letöltés"
"Downloads","Letöltések"
"Drag to move","Fogd és vidd"
"Drop-down","Lenyíló menü"
"Edit","Szerkesztés"
"Edit Block","Blokk módosítása"
"Edit Block '%s'","Blokk '%s' szerkesztése"
"Edit Design Change","Dizájnmódosítás szerkesztése"
"Edit Email Template","E-mailsablon szerkesztése"
"Edit Poll","Szavazás szerkesztése"
"Edit Queue","Sor szerkesztése"
"Edit Review","Értékelés szerkesztése"
"Edit Role","Szerepkör szerkesztése"
"Edit Store View","Boltnézet szerkesztése"
"Edit System Template","Rendszersablon szerkesztése"
"Edit Template","Sablon szerkesztése"
"Edit User","Felhasználó szerkesztése"
"Edit User '%s'","Felhasználó '%s' szerkesztése"
"Edit Website","Weboldal szerkesztése"
"Email","E-mail"
"Email Address:","E-mail cím:"
"Email to a Friend","Email egy barátnak"
"Email:","E-mail:"
"Enable","Bekapcsolás"
"Enabled","Engedélyezve"
"Enclose Values In:","Értékek bezárása:"
"Entity Type","Entitás típusa"
"Entity type:","Entitás típusa:"
"Error","Hiba"
"Excl. Tax","Adó nélkül"
"Excl. Tax:","Adó nélkül:"
"Exclude media folder from backup","Média könyvtár kizárása"
"Expiration Date","Lejárat dátuma"
"Expiration Date: %s/%s","Lejárat dátuma: %s/%s"
"Export","Exportálás"
"Export CSV","CSV exportálása"
"Export Filters","Export szűrők"
"Export to:","Exportálás ide:"
"FTP Host","FTP állomás"
"FTP Host[:Port]","FTP kiszolgáló[:Port]"
"FTP Login","FTP bejelentkezés"
"FTP Password","FTP jelszó"
"FTP credentials","FTP-hitelesítő adatok"
"Failed","Sikertelen"
"Field","Mező"
"Field Mapping","Mező párosítás"
"File","Fájl"
"File Information","Fájl információ"
"File System","Fájlrendszer"
"File name:","Fájlnév:"
"File size should be more than 0 bytes","Fájl mérete több legyen mint 0 byte"
"Finished profile execution.","Profil végrehajtása sikeres."
"First Name","Keresztnév"
"First Name:","Keresztnév:"
"Fixed","Rögzített"
"Flush Catalog Images Cache","Katalógusképek gyorsítótárának ürítése"
"Flush JavaScript/CSS Cache","JavaScript/CSS-gyorsítótár ürítése"
"For category","Kategóriára"
"For latest version visit: %s","Legújabb verzió: %s"
"For product","Termékre"
"Forgot your password?","Elfelejtette a jelszavát?"
"Forgot your user name or password?","Elfelejtette felhasználói nevét vagy jelszavát?"
"From","Ettől"
"General Information","Általános információ"
"General Section","Általános szekció"
"Get Image Base64","Base64 kép betöltése"
"Get help for this page","Segítség az oldalhoz"
"Global Attribute","Globális jellemzők"
"Global Record Search","Globális rekord kereső"
"Global Search","Globális keresés"
"Go Today","Ugrás a mai napra"
"Go to Top","Tetejére"
"Grand Total","Mindösszesen"
"Grid (default) / List","Rács (alapértelmezett) / lista"
"Grid Only","Csak rács"
"Group:","Csoport:"
"Guest","Vendég"
"HTTP (unsecure)","HTTP (nem biztonságos)"
"Help Us Keep Magento Healthy - Report All Bugs","Segítsen a magento fejlesztésében - Jelentsen minden hibát"
"Home","Kezdőlap"
"ID","Azonosító"
"ID Path","ID út"
"IP Address","IP cím"
"Images (.gif, .jpg, .png)","Képek (.gif, .jpg, .png)"
"Images Cache","Képek-gyorsítótár"
"Import","Importálás"
"Import Service","Import szolgáltatás"
"Import/Export Advanced","Import/Export Egyéni"
"Import/Export Profile","Import/Export Profil"
"Imported <strong>%s</strong> records","<strong>%s</strong> rekord importálva"
"In","Ebben"
"In Database:","Adatbázisban:"
"In File:","Fájlban:"
"Inactive","Inaktív"
"Incl. Tax","Adóval"
"Incl. Tax:","Adóval:"
"Incoming Message","Bejövő üzenet"
"Insert Variable...","Változó beszúrása..."
"Interactive","Interaktív"
"Interface Locale: %s","Nyelv beállítása: %s"
"Invalid Form Key. Please refresh the page.","Érvénytelen űrlapkulcs. Kérjük, frissítse a lapot!"
"Invalid Import Service Specified","Érvénytelen import szolgátatás"
"Invalid data","Érvénytelen adat"
"Invalid directory: %s","Érvénytelen könyvtár: %s"
"Invalid file: %s","Érvénytelen fájl: %s"
"Invalid input data for %s => %s rate","Érvénytelen adat a %s => %s váltáshoz"
"Invalidated","Érvénytelenítve"
"Inventory Stock Status","Készletállapot"
"Invoice #%s comment added","Megjegyzés a #%s számlához hozzáadva"
"Invoice #%s created","#%s számla létrehozva"
"Invoice History","Számla történet"
"Invoice Totals","Számla összegzés"
"Invoices","Számlák"
"Is Default","Alapértelmezett"
"Issue Number","Ügyszám"
"Items","Termékek"
"JavaScript seems to be disabled in your browser.","Úgy tűnik a JavaScript ki van kapcsolva a böngésződben."
"JavaScript/CSS Cache","JavaScript/CSS-gyorsítótár"
"Last 24 Hours","Az elmúlt 24 óra"
"Last 5 Orders","Utolsó 5 rendelés"
"Last 5 Search Terms","Utolsó 5 keresés kulcsszó"
"Last 7 Days","Az utolsó 7 nap"
"Last Logged In:","Utolsó bejelentkezés:"
"Last Name","Vezetéknév"
"Last Name:","Vezetéknév:"
"Lifetime Sales","Élettartam eladások"
"Links","Linkek"
"List (default) / Grid","Lista (alapértelmezett) / rács"
"List Only","Csak lista"
"Load Template","Sablon betöltése"
"Load default template","Alap sablon betöltése"
"Loading...","Betöltés..."
"Local Server","Helyi kiszolgáló"
"Local/Remote Server","Helyi/Távoli kiszolgáló"
"Locale","Nyelv"
"Log In","Bejelentkezés"
"Log Out","Kilépés"
"Log in to Admin Panel","Bejelentkezés az Admin Panelbe"
"Log into Magento Admin Page","Bejelentkezés a Magento Admin oldalra"
"Logged in as %s","Bejelentkezve mint %s"
"Login","Bejelentkezés"
"Magento Commerce - Administrative Panel","Magento Commerce - Adminisztrációs Panel"
"Magento root directory","Magento gyökérkönyvtár"
"Manage Attribute Sets","Jellemző halmaz kezelése"
"Manage Attributes","Jellemzők kezelése"
"Manage Categories","Kategóriák kezelése"
"Manage Currency Rates","Árfolyamok kezelése"
"Manage Customers","Vevők kezelése"
"Manage Options (values of your attribute)","Tulajdonságok kezelése (Jellemzők értékei)"
"Manage Ratings","Értékelések kezelése"
"Manage Stores","Boltok kezelése"
"Manage Tax Rules","Adószabályok kezelése"
"Manage Titles (Size, Color, etc.)","Címek kezelése (Méret, Szín, stb.)"
"Manual","Kézi"
"Maximum sender name length is 255. Please correct your settings.","A feladó név maximális hossza 255. Kérjük, javítsa a beállításokat!"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"Messages Inbox","Beérkezett üzenetek"
"Month","Hónap"
"Most Viewed","Legnézettebb"
"Most Viewed Products","Legnézettebb termékek"
"Multiple Select","Többszörös kijelölés"
"My Account","Saját fiók"
"Name","Név"
"Name on Card","Név a kártyán"
"Name on the Card: %s","Név a kártyán: %s"
"Name:","Név:"
"Never (production)","Soha (gyártás)"
"New ","Új "
"New Accounts","Új fiókok"
"New Attribute","Új jellemző"
"New Block","Új blokk"
"New Category","Új kategória"
"New Class","Új osztály"
"New Condition","Új feltétel"
"New Custom Variable","Új egyéni változó"
"New Customer","Új vásárló"
"New Customers","Új vásárlók"
"New Design Change","Új kinézet változás"
"New Email Template","Új E-mailsablon"
"New Group","Új csoport"
"New Invoice","Új számla"
"New Page","Új Oldal"
"New Password","Új jelszó"
"New Poll","Új szavazás"
"New Profile","Új profil"
"New Rating","Új Értékelés"
"New Review","Új értékelés"
"New Role","Új szerepkör"
"New Rule","Új szabály"
"New Search","Új keresés"
"New Set","Új készlet"
"New Shipment","Új Szállítmány"
"New Sitemap","Új oldaltérkép"
"New Store View","Új boltnézet"
"New System Template","Új rendszersablon"
"New Tag","Új címke"
"New Template","Új sablon"
"New User","Új felhasználó"
"New Website","Új Weboldal"
"Newsletter","Hírlevél"
"Newsletter Queue","Hírlevél sor"
"Newsletter Subscribers","Hírlevél feliratkozók"
"Newsletter Templates","Hírlevél sablonok"
"No","Nem "
"No (price without tax)","Nem (ár, adó nélkül)"
"No Data","Nincs adat"
"No Data Found","Nincs adat"
"No Templates Found","Nincsenek sablonok"
"No change","Nincs változás"
"No profile loaded...","Nincs betöltött profil..."
"No records found for this period.","Erre az időszakra nincs rekord."
"No records found.","Nem található rekord."
"No search keywords.","Nincs keresés kulcsszó."
"No search modules were registered","Nincs keresőmodul regisztrálva"
"None","Egyik sem"
"Note:","Megjegyzés:"
"Notes","Jegyzetek"
"Notifications","Értesítések"
"Number of Orders","Megrendelések száma"
"Number of Uses","Használatok száma"
"Number of Views","Megtekintések száma"
"OK","Rendben"
"Old rate:","Régi árfolyam:"
"Online Customers","Online vásárlók"
"Only Once (version upgrade)","Csak egyszer (verziófrissítés)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Csak ""Globális"" hatókörű jellemzőjű, ""Lenyíló"" típusú beviteli mezők és Használat állítható termék készítéséhez ""Igen"" elérhető."
"Only mapped fields","Csak leképzett mezők"
"Optional","Elhagyható"
"Options","Opciók"
"Options is required","Kötelező opciók"
"Order","Rendelés"
"Order #%s","Rendelés #%s"
"Order #%s (%s)","Rendelés #%s (%s)"
"Order ID","Megrendelés azonosító"
"Order Totals","Rendelés összesen"
"Orders","Rendelések"
"Original Magento attribute names in first row:","Eredeti Magento jellemző név az első sorban:"
"Out of stock","Nincs raktáron"
"Pages","Oldalak"
"Parent Product Thumbnail","Szülő termék bélyegképe"
"Passive mode","Passzív mód"
"Password","Jelszó"
"Password Confirmation","Jelszó megerősítése"
"Password:","Jelszó:"
"Path:","Útvonal:"
"Pending Reviews","Folyamatban lévő vélemények"
"Pending Tags","Függő címkék"
"Per Item","Termékenként"
"Per Order","Rendelésenként"
"Percent","Százalék"
"Performed At","Teljesítés"
"Period","Időszak"
"Permissions","Jogosultságok"
"Personal Information","Személyes adatok"
"Phone:","Telefon:"
"Please Select","Kérem válasszon"
"Please confirm site switching. All data that hasn't been saved will be lost.","Erősítse meg a weboldal váltását. Az összes nem mentett adat el fog veszni."
"Please enter 6 or more characters.","Adj meg 6 vagy több karaktert."
"Please enter a number greater than 0 in this field.","Ebben a mezőben adjon meg egy számot, ami 0-nál nagyobb."
"Please enter a valid $ amount. For example $100.00.","Kérem, adjon meg egy érvényes $ összeget. Például $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Adj meg érvényes URL-t. Például http://www.example.com vagy www.example.com"
"Please enter a valid URL. http:// is required","Adj meg érvényes URL-t. http:// szükséges"
"Please enter a valid credit card number.","Kérem adjon meg egy érvényes bankkártya számot."
"Please enter a valid date.","Kérem adjon meg egy érvényes dátumot."
"Please enter a valid email address. For example johndoe@domain.com.","Adj meg érvényes email címet. Például johndoe@domain.com."
"Please enter a valid email.","Kérjük érvényes emailt adjon meg."
"Please enter a valid number in this field.","Kérem adjon meg egy érvényes számot."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Kérem adjon meg egy érvényes telefonszámot. Például (123) 456-7890 vagy 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Adj meg érvényes társadalombiztosítási számot. Páldául 123-456-789."
"Please enter a valid value from list","Adjon meg egy érvényes értéket a listából"
"Please enter a valid value, ex: 10,20,30","Kérem érvényes értéket adjon meg (Pl: 10,20,30)"
"Please enter a valid zip code.","Kérem adjon meg egy érvényes irányítószámot."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Adj meg érvényes irányítószámot. Páldául 90602 vagy 90602-1234."
"Please enter valid password.","Adj meg érvényes jelszót."
"Please make sure that all global admin search modules are installed and activated.","Kérjük, győződjön meg róla, hogy az általános adminisztrációs keresőmodulok mindegyikét telepítette és aktiválta!"
"Please make sure that your changes were saved before running the profile.","Bizonyosodj meg hogy minden változtatásod mentve van mielött lefuttatod a profilt."
"Please make sure your passwords match.","Ellenőrizze, hogy a jelszavak megegyeznek-e!"
"Please select State/Province.","Kérem válasszon államot/megyét."
"Please select an option.","Kérem válasszon opciót."
"Please select customer(s).","Kérjük, válassza ki a vevőket."
"Please select one of the above options.","Válasz egyet a fenti lehetőségek közül."
"Please select one of the options.","Jelöljön ki egyet a lehetőségek közül."
"Please select review(s).","Kérjük, válassza ki az értékelést/értékeléseket."
"Please specify the admin custom URL.","Kérjük, adja meg az egyedi admin URL-címet!"
"Please use in this field only ""a-z,0-9,_"".","Ebben a mezőben csak ""a-z,0-9,_"" karaktereket használj."
"Please use letters only (a-z) in this field.","Ebben a mezőben csak betűket (a-z) használj."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Ebben a mezőben csak betűket (a-z vagy A-Z), számokat (0-9) vagy szóközöket használhat."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Csak betűket (a-z) vagy számokat (0-9) használj ebben a mezőben. Szóköz és egyéb karakterek használata nem megengedett."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Csak betűket (a-z) vagy számokat (0-9) vagy szóközt és # hasznáj ebben a mezőben."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Kérjük használja ezt a dátum formátumot: nn/hh/éééé. Például 17/03/2006 2006. március 17."
"Please wait, loading...","Kérem várjon, töltés..."
"Please wait...","Kérem várjon..."
"Poll Manager","Szavazás kezelés"
"Polls","Szavazások"
"Popular","Népszerű"
"Position","Pozició"
"Position of Watermark for %s","%s vízjelének helyzete"
"Preview","Előnézet"
"Preview Template","Sablon előnézete"
"Price","Ár"
"Price:","Ár:"
"Processed <strong>%s%% %s/%d</strong> records","Feldolgozva <strong>%s%% %s/%d</strong> rekord"
"Processing","Feldolgozás alatt"
"Product","Termék"
"Product Name","Terméknév"
"Product Reviews","Termék vélemények"
"Product Tax Classes","Termék adó osztályok"
"Product Thumbnail Itself","Termék bélyegképe saját maga"
"Product:","Termék:"
"Products","Termékek"
"Profile Action","Profil művelet"
"Profile Actions XML","Profil művelet Actions XML"
"Profile Direction","Profil irány"
"Profile History","Profil történet"
"Profile Information","Profil információ"
"Profile Name","Profil név"
"Profile Wizard","Profil varázsló"
"Profiles","Profilok"
"Promo","Promóció"
"Promotions","Promóciók"
"Quantity","Mennyiség"
"Radio Buttons","Rádiógombok"
"Rates","Árfolyamok"
"Rebuild","Újraépítés"
"Rebuild Catalog Index","Katalógusindex újraépítése"
"Rebuild Flat Catalog Category","Sima katalógus kategóriáinak újraépítése"
"Rebuild Flat Catalog Product","Sima katalógus termékeinek újraépítése"
"Recent Orders","Az előző megrendelések"
"Redirect","Átirányítás"
"Refresh","Frissítés"
"Refresh Statistics","Statisztika frissítése"
"Region/State","Régió/állam"
"Regular Price:","Normál ár:"
"Release","Kiadás"
"Release Stability","Kiadás stabilitás"
"Release Version","Kiadás verzió"
"Reload captcha","CAPTCHA újratöltése"
"Remote FTP","Távoli FTP"
"Remove","Eltávolítás"
"Reports","Jelentések"
"Request Path","Kérés útvonal"
"Required","Kötelező"
"Reset","Alaphelyzet"
"Reset Filter","Szűrő visszaállítása"
"Reset Password","Jelszó visszaállítása"
"Reset a Password","Jelszó visszaállítása"
"Resize","Átméretez"
"Resource Access","Erőforrás-hozzáférés"
"Resources","Erőforrások"
"Results","Eredmények"
"Retrieve Password","Jelszó visszaállítása"
"Return Html Version","Vissza a Html-verzióhoz"
"Revenue","Bevétel"
"Reviews","Vélemények"
"Reviews and Ratings","Vélemények és értékelések"
"Role ID","Szerep ID"
"Role Info","Szerepkör-információ"
"Role Information","Szerepkör-információ"
"Role Name","Szerepkör neve"
"Role Resources","Szerepkör Erőforrások"
"Role Users","Szerepkör Felhasználók"
"Roles","Szerepkörök"
"Roles Resources","Szerepkör Erőforrások"
"Root Category","Főkategória"
"Rotate CCW","Forgatás órajárással ellentétesen"
"Rotate CW","Forgatás órajárással egyezően"
"Run","Futtatás"
"Run Profile","Profil futtatás"
"Run Profile Inside This Window","Profil futtatása ebben az ablakban"
"SKU","Cikkszám"
"SKU:","CSZ:"
"SSL Error: Invalid or self-signed certificate","SSL Hiba: Érvénytelen ön-aláírt tanusítvány"
"Sales","Értékesítések"
"Sales Report","Értékesítés jelentés"
"Samples","Minták"
"Save","Mentés"
"Save & Generate","Mentés & generálás"
"Save Account","Fiók mentése"
"Save Block","Blokk mentése"
"Save Cache Settings","Gyorsítótár-beállítások mentése"
"Save Config","Beállítások mentése"
"Save Currency Rates","Valutaárfolyamok mentése"
"Save Profile","Profil mentése"
"Save Role","Szerepkör mentése"
"Save Template","Sablon mentése"
"Save User","Felhasználó mentése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Search","Keresés"
"Search Index","Keresőindex"
"Search Term","Keresőkifejezés"
"Search Terms","Keresőkifejezések"
"Search entire store here...","Keresés..."
"Select","Válasszon"
"Select All","Összes kijelölése"
"Select Category","Válasszon kategóriát"
"Select Date","Dátum kiválasztása"
"Select Range","Válassz időszakot"
"Sender","Feladó"
"Separate Email","Külön e-mail"
"Shipment #%s comment added","Szállítás #%s megjegyzés hozzáadva"
"Shipment #%s created","Szállítás #%s létrehozva"
"Shipment Comments","Szállítmány megjegyzések"
"Shipment History","Szállítási előzmények"
"Shipments","Szállítmányok"
"Shipping","Szállítás"
"Shipping Address","Szállítási cím"
"Shipping Address: ","Szállítási cím: "
"Shipping Origin","Feladási hely"
"Shipping Price","Szállítási költség"
"Shopping Cart","Kosár"
"Shopping Cart Price Rules","Bevásárlókosár ár szabályok"
"Shopping Cart from %s","%s kosara"
"Show Reviews","Vélemények megjelenítése"
"Sitemap Information","Oldaltérkép információ"
"Size for %s","%s mérete"
"Sorry, this feature is coming soon...","Sajnálom, ez a jellemző hamarosan elérhető lesz..."
"Special Price:","Kedvezményes ár:"
"Specific Countries","Bizonyos országok"
"Specified","Megadva"
"Spreadsheet Name:","Munkafüzet név:"
"Start Date","Kezdő dátum"
