"* Required Fields","* kitöltése kötelező"
"Forgot an Item?","Elfelejtett egy tételt?"
"Forgot your password?","Elfelejtette a jelszavát?"
"Get a Quote","Számolás"
"Gift Message","Ajándék üzenet"
"Grand Total:","Mindösszesen:"
"Grouped Product Image","Csoportosított termék kép"
"ID","Azonosító"
"Incl. Tax","Adóval"
"Invalid email address ""%s""","Érvénytelen e-mail cím ""%s"""
"Invalid shipping method.","Érvénytelen szállítási mód."
"Items","Termékek"
"Load customer quote error","Vevői ajánlat hiba betöltése"
"Loading next step...","Következő lépés betöltése..."
"Login","Bejelentkezés"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum engedélyezett mennyiség a több címre szállításhoz: %s"
"Move","Mozgat"
"Move to Wishlist","Kívánságlistára"
"My Cart","Kosaram"
"My Cart (%s item)","Kosaram (%s termék)"
"My Cart (%s items)","Kosaram (%s termék)"
"My Cart Link","Kosaram link"
"New Address","Új cím"
"New Condition","Új feltétel"
"New Terms and Conditions","Új Általános Szerződési Feltételek"
"No Payment Methods","Nincsenek fizetési módok"
"Order #","A rendelés száma"
"Order Review","Rendelés áttekintése"
"Order Success","Rendelés sikeres"
"Password","Jelszó"
"Payment Failed Email Reciever","Sikertelen fizetés E-mail címzett"
"Payment Failed Email Sender","Fizetés sikertelen e-mail feladó"
"Payment Failed Emails","Fizetés sikertelen e-mailek"
"Payment Failed Template","Fizetés sikertelen sablon"
"Payment Information","Fizetési információk"
"Payment Method","Fizetési mód"
"Payment method is not defined","Fizetési mód nincs megadva"
"Place Order","Megrendelés"
"Please agree to all Terms and Conditions before placing the order.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi rendelését."
"Please agree to all Terms and Conditions before placing the orders.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi megrendeléseit."
"Please agree to all the terms and conditions before placing the order.","Kérjük, fogadd el az összes általános szerződési feltételt mielőtt leadsz egy rendelést."
"Please choose to register or to checkout as a guest","Kérjük válassza a regisztrációt, vagy a vendégként vásárlást"
"Please log in below:","Itt tud bejelentkezni:"
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Please select shipping address for applicable items","Válasszon szállítási címet a megfelelő termékekhez"
"Please select shipping methods for all addresses","Válasszon szállítási módot a címekhez"
"Please specify payment method.","Válassza ki a fizetési módot."
"Please specify shipping method.","Válassza ki a szállítási módot."
"Price","Ár"
"Proceed to Checkout","Tovább a pénztárhoz"
"Product","Termék"
"Product Name","Terméknév"
"Products","Termékek"
"Qty","Mennyiség"
"Qty:","Mennyiség:"
"Quantity","Mennyiség"
"Quote Lifetime (days)","Ajánlat érvényessége (nap)"
"Recently added item(s)","Legutóbb hozzáadott termékek"
"Register","Regisztráció"
"Register and save time!","Regisztráljon és nyerjen időt!"
"Register to Create an Account","Regisztráljon és hozza létre fiókját"
"Register with us for future convenience:","Regisztráljon nálunk a további kényelemért:"
"Remove Item","Elem eltávolítása"
"Remove This Item","Termék eltávolítása"
"Remove item","Elem eltávolítása"
"Review Order","Rendelés áttekintése"
"Review Order - %s","Rendelés átnézése - %s"
"SKU","Cikkszám"
"Sales","Értékesítések"
"Save Condition","Feltétel mentése"
"Save in address book","Mentés a címjegyzékbe"
"See price before order confirmation.","Az ár megtekintése a megrendelés megerősítése előtt."
"Select Address","Cím kiválasztása"
"Select Addresses","Címek kiválasztása"
"Select Shipping Method","Válassza ki a szállítási módot"
"Select State/Province...","Válassza ki a megyét"
"Select a billing address from your address book or enter a new address.","Válassza ki a számlázási címet a címjegyzékből vagy adjon meg egy újat."
"Select a shipping address from your address book or enter a new address.","Válassza ki a szállítási címet a címjegyzékből vagy adjon meg egy újat."
"Send Payment Failed Email Copy Method","Fizetés sikertelen e-mail mésolat küldési mód"
"Send Payment Failed Email Copy To","Fizetés sikertelen e-mail másolat küldése"
"Separate by "","".","Elválasztás "",""-vel."
"Ship to Multiple Addresses","Több címre szállítás"
"Ship to different address","Másik címre szállítás"
"Ship to this address","Szállítás erre a címre"
"Shipping Address","Szállítási cím"
"Shipping Information","Szállítási információk"
"Shipping Method","Szállítási mód"
"Shipping Methods","Szállítási módok"
"Shipping method has not been selected yet","Szállítási mód még nincs kiválasztva"
"Shopping Cart","Kosár"
"Shopping Cart Sidebar","Bevásárlókosár sidebar"
"Shopping Cart is Empty","Bevásárlókosár üres"
"Show Content as","Tartalom megjelenítése mint"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sajnálom, vendégként vásárlás nem engedélyezett, vegye fel a kapcsolatat az oldal tulajdonosával."
"Sorry, no quotes are available for this order at this time.","Nincsenek elérhető megjegyzések ehhez a rendeléshez."
"State/Province","Állam/megye"
"Status","Állapot"
"Store View","Bolt nézet"
"Street Address","Utca, házszám"
"Submitting order information...","Rendelési információk feldolgozása..."
"Subtotal","Részösszeg"
"Telephone","Telefon"
"Terms and Conditions","Általános Szerződési Feltételek"
"Terms and Conditions Information","Általános Szerződési Feltételek információ"
"Terms and conditions","Használati feltételek"
"Text","Szöveg"
"Thank you for your purchase!","Köszönjük a vásárlást!"
"The product does not exist.","A termék nem létezik."
"There was an error processing your order. Please contact us or try again later.","Hiba történt a rendelés feldolgozása közben. Lépjen kapcsolatba velünk, vagy próbálja meg később."
"This condition no longer exists.","Ez a feltétel már nem létezik."
"Total","Összesen"
"Total for this address","Végösszeg erre a címre"
"Unit Price","Egységár"
"Update","Frissités"
"Update Cart","Kosár frissítése"
"Update Qty &amp; Addresses","Mennyiség &amp; címek frissítése"
"Update Shopping Cart","Kosár frissítése"
"Update Total","Végösszeg frissítése"
"Use Billing Address","Számlázási címet használ"
"VAT Number","Adószám"
"View Shopping Cart","Kosár megtekintése"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Rendelése feldolgozás alatt van,hamarosan küldünk egy e-mailt a rendelés részleteivel."
"What's this?","Mi ez?"
"You have no items in your shopping cart.","A kosár üres."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Egy e-mail üzenetet fog kapni a rendelés visszaigazolásáról, és egy linket a nyomonkövetéséhez."
"Your Checkout Progress","Pénztári folyamat"
"Your order number is ","Rendelésének azonosítója: "
"Zip/Postal Code","Irányítószám"
"or","vagy"
