"-- Please Select --","-- Lūdzu, izvēlieties --"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pamata URL jābeidzas ar '/' (slash), piem. http://yourdomain/magento/"
"Media Storage","Mediju uzglabāšana"
"Merge CSS Files","Apvienot CSS failus"
"Merge JavaScript Files","Apvienot JavaScript failus"
"Name","Vārds"
"New Store","Jauns veikals"
"New Store View","Jauns veikala skats"
"No","Nē"
"Package","Paka"
"Pagination","Lapas"
"Pagination Frame","Lapu freims"
"Pagination Frame Skip","Izlaist lapu freimus"
"Please enter a number 0 or greater in this field.","Ievadiet ciparu 0 vai lielāku šajā laukā."
"Please enter a number 1 or greater in this field.","Ievadiet ciparu 1 vai lielāku šajā laukā."
"Please enter a valid credit card number.","Lūdzu, ievadiet derīgu kredītkartes numuru."
"Please enter a valid date.","Lūdzu, ievadiet derīgu datumu."
"Please enter a valid month (1-12).","Lūdzu, ievadiet derīgu mēnesi (1-12)."
"Please enter a valid number in this field.","Ievadiet derīgu ciparu šajā laukā."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Aizpildot šo lauku lietojiet burtus (a-z), skaitļus (0-9) vai apakšstrīpas(_). Pirmajam simbolam ir jābūt burtam."
"Please wait, loading...","Lūdzu uzgaidiet, notiek ielāde..."
"Port (25)","Ports (25)"
"Recovery Link Expiration Period (hours)","Atjaunošanas saites dzīves ilgums (dienas)"
"Return-Path Email","Atbildes e-pasts"
"Root Category","Saknes kategorija"
"Sales Representative","Pārdošanas pārstāvis"
"Save","Saglabāt"
"Save Store","Saglabāt veikalu"
"Save Store View","Saglabāt veikala skatu"
"Security","Drošība"
"Select Date","Atlasīt datumu"
"Sender Email","Sūtītāja e-pasta adrese"
"Sender Name","Sūtītāja vārds"
"Services","Pakalpojumi"
"Session Validation Settings","Sesijas validācijas iestatījumi"
"Set Return-Path","Iestatīt atbildes ceļu"
"Set as Default","Iestatīt kā noklusēto"
"Sort Order","Kārtošanas secība"
"Startup Page","Sākuma lapa"
"Status","Statuss"
"Store","Veikals"
"Store Email Addresses","Veikala e-pasta adreses"
"Store Hours of Operation","Saglabāt darba laikus"
"Store Information","Veikala informācija"
"Store Name","Veikala nosaukums"
"Store View","Veikala skats"
"Store View Information","Veikala skata informācija"
"Store view doesn't exist","Veikala skats neeksistē"
"System","Sistēma"
"Template Settings","Šablona iestatījumi"
"The store does not exist","Veikals neeksistē"
"The website does not exist.","Lapa neeksistē."
"Themes","Tēmas"
"This is a required field.","Šis ir obligāts lauks."
"This store cannot be deleted.","Šo veikalu nevar nodzēst."
"This store view cannot be deleted.","Šo veikala skatu nevar nodzēst."
"This website cannot be deleted.","Šo lapu nevar nodzēst."
"Timezone","Laika zona"
"Transactional Emails","E-pasti par darījumiem"
"Translate Inline","Tulkot lapā"
"Translations","Tulkojumi"
"Url Options","URL opcijas"
"Use Custom Admin Path","Lietot pielāgotu administrācijas ceļš"
"Use Custom Admin URL","Lietot pielāgotu administrācijas URL"
"None","Neviens"
"Use Secure URLs in Admin","Lietot drošās URL veikala administrācijā"
"Use Web Server Rewrites","Lietot web servera Rewrites"
"VAT Number","PVN numurs"
"Validate HTTP_USER_AGENT","Validēt HTTP_USER_AGENT"
"Validate HTTP_VIA","Validēt HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validēt HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validēt REMOTE_ADDR"
"Validation has failed.","Kļūdaina validācija."
"Variable Code must be unique.","Mainīgā kodam jābūt unikālam."
"Website","Mājas lapa"
"Website Name","Veblapas vārds"
"Website with the same code","Mājas lapa ar vienu un to pašu kodu"
"Weekend Days","Brīvdienas"
"Wrong number of arguments for %s","Nepareizs argumentu skaits priekš %s"
"Yes","Jā"
"Frontend","Klientu lapa"
