"* Required Fields","* obligātie lauki"
"Newsletter Information","Par biļetenu"
"Newsletter Received","Saņemts biļetens"
"Newsletter Subscription","Jaunumu pierakstīšanās"
"Newsletters","Jaunumi"
"No Items Found","Nav atrasti produkti"
"No item specified.","Nav norādīts produkts."
"Not Sent","Nav nosūtīts"
"Order #","Pasūtījums #"
"Order Total","Pirkuma summa"
"Orders","Pasūtījumi"
"Password","Parole"
"Password:","Parole:"
"Paused","Apturēts"
"Pending","Gaida"
"Please enter a number 1 or greater in this field.","Ievadiet ciparu 1 vai lielāku šajā laukā."
"Please enter the city.","Lūdzu, ievadiet pilsētu."
"Please enter the country.","Lūdzu, ievadiet valsti."
"Please enter the first name.","Lūdzu, ievadiet vārdu."
"Please enter the last name.","Lūdzu, ievadiet uzvārdu."
"Please enter the street.","Lūdzu, ievadiet ielu."
"Please enter the zip/postal code.","Lūdzu, ievadiet pasta indeksu."
"Please enter your email.","Lūdzu, ievadiet savu e-pastu."
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Price","Cena"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Product Reviews","Produktu atsauksmes"
"Product Tags","Preces birkas"
"Qty","Skaits"
"Recent Orders","Nesenie pasūtījumi"
"Recovery Link Expiration Period (hours)","Atjaunošanas saites dzīves ilgums (dienas)"
"Refunded","Atmaksāts"
"Register","Reģistrēties"
"Registered Customers","Reģistrētiem klientiem"
"Remove","Dzēst"
"SKU","Artikuls"
"Sales Statistics","Pārdošanas statistika"
"Save","Saglabāt"
"Save Address","Saglabāt adresi"
"Save Customer","Saglabāt klientu"
"Save Customer Group","Saglabāt klientu grupu"
"Save Password","Saglabāt paroli"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Sending","Sūta"
"Sent","Nosūtīts"
"Session Start Time","Sesijas sākuma laiks"
"Set as Default Billing Address","Lietot kā noklusēto rēķina adresi"
"Set as Default Shipping Address","Lietot kā noklusēto piegādes adresi"
"Shopping Cart","Grozs"
"Shopping Cart - %d item(s)","Pirkumu grozā - %d prece(s)"
"Show Tax/VAT Number","Rādīt PVN maksātaja numuru"
"Sign Up for Newsletter","Pieteikties jaunumu saņemšanai"
"State/Province","Štats/Province"
"Status","Statuss"
"Store","Veikals"
"Store View","Veikala skats"
"Street Address","Adrese"
"Subject","Tēma"
"Submit","Iesniegt"
"Subscribe to Newsletter","Abonēt biļetenu"
"Subscribed to Newsletter?","Abonēt biļetenu?"
"Tag Name","Birkas nosaukums"
"Telephone","Tālrunis"
"Text","Teksts"
"The customer does not have default billing address.","Klientam nav ievadīta noklusētā norēķinu adrese."
"There are no items in customer's wishlist at the moment","Klienta vēlmju saraksts pašreiz ir tukšs"
"There are no items in customer's shopping cart at the moment","Klienta pirkumu grozs pašreiz ir tukšs"
"To Cart","Uz grozu"
"Total","Kopā"
"Type","Veids"
"Unknown","Nezināms"
"Update","Atjaunināt"
"Use as my default billing address","Uzstādīt šo kā rēķina adresi"
"Use as my default shipping address","Uzstādīt šo kā piegādes adresi"
"VAT Number","PVN numurs"
"View","Skatīt"
"View Order","Apskatīt pasūtījumu"
"Visitor","Apmeklētājs"
"Visitors Only","Tikai apmeklētājiem"
"Website","Mājas lapa"
"Wishlist","Vēlmju saraksts"
"Wishlist - %d item(s)","Vēlmju sarakstā - %d prece(s)"
"Wrong email.","Nepareizs e-pasts."
"Year","Gads"
"You are currently not subscribed to any newsletter.","Nav neviena biļetena abonementa."
"You are currently subscribed to 'General Subscription'.","Jūs esat abonējuši 'Visparējas Ziņas'."
"You are currently subscribed to our newsletter.","Jūs esat abonējuši mūsu biļetenu."
"You have no additional address entries in your address book.","Nav norādīta neviena papildus adrese."
"You have no additional entries in your address book.","Nav papildus ierakstu Jūsu adrešu grāmatā."
"You have no default billing address in your address book.","Nav noklusētās maksāšanas(rēķina) adreses Jūsu adrešu grāmatā."
"You have no default shipping address in your address book.","Nav noklusētās piegādes adreses Jūsu adrešu grāmatā."
"You have not set a default billing address.","Noklusētā norēķinu adrese nav iestatīta."
"You have not set a default shipping address.","Noklusētā piegādes adrese nav iestatīta."
"You have placed no orders yet.","Nav veiktu pasūtījumu."
"You have placed no products yet.","Šobrīd nav izvēlētu preču."
"You will be charged tax.","Jums būs jāmaksā nodoklis."
"You will not be charged tax.","Jums nebūs jāmaksā nodoklis."
"Your account balance is: %s","Jūsu konta bilance ir: %s"
"ZIP","Pasta indekss"
"ZIP/Post Code","Pasta indekss"
"Zip/Postal Code","Pasta indekss"
"n/a","nav"
"or","vai"
