"* Required Fields","* obligātie lauki"
"Terms and Conditions","Noteikumi un Nosacījumi"
"Text","Teksts"
"Thank you for your purchase!","Paldies par pirkumu!"
"The product does not exist.","Produkts neeksistē."
"There was an error processing your order. Please contact us or try again later.","Notikusi kļūme apstrādājot Jūsu pasūtījumu. Lūdzu kontaktējaties ar mums vai mēģiniet vēlreiz vēlāk."
"Total","Kopā"
"Total for this address","Kopā uz šo adresi"
"Unit Price","Vienības cena"
"Update","Atjaunināt"
"Update Cart","Atjaunināt Grozu"
"Update Qty &amp; Addresses","Atjaunot daudz. &amp; Adreses"
"Update Shopping Cart","Atjaunināt pirkuma grozu"
"Update Total","Pārrēķināt kopsummu"
"Use Billing Address","Lietot rēķina adresi"
"VAT Number","PVN numurs"
"View Shopping Cart","Apskatīt iepirkumu grozu"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Mēs apstrādājam Jūsu pasūtījumu un Jums drīz saņemsiet e-pastu ar detalizētu pasūtījuma informāciju. Tikko pasūtījums tiks nosūtīts, Jūs saņemsiet e-pastu ar www saiti lai varētu izsekot tā piegādes progresu."
"What's this?","Kas tas ir?"
"You have no items in your shopping cart.","Jums nav produktu grozā."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar pasūtījuma informāciju un www saiti  lai sekotu tā progresam."
"Your Checkout Progress","Norēķināšanās"
"Zip/Postal Code","Pasta indekss"
"or","vai"
