"# of Use","Lietošanas skaits"
"%s Item(s)","%s Prece(s)"
"(Copy data from: %s)","(Kopēt datus no: %s)"
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Close Window","Aizvērt logu"
"Collapse All","Atvērt visu"
"Comma-separated.","Atdalīti ar komatu."
"Comparable","Salīdzināms"
"Comparable on Front-end","Salīdzināms priekšlapā"
"Compare","Salīdzināt"
"Compare Products","Salīdzināt produktus"
"Conditions Combination","Noteikumu kombinācija"
"Configurable Product","Konfigurējama prece"
"Configurable Product Settings","Konfigurējami preces rekvizīti"
"Configure Product","Konfigurēt produktu"
"Continue","Turpināt"
"Copy From Configurable","Kopēt no konfigurējamā"
"Country/State","Valsts/Štats"
"Create","Izveidot"
"Create Empty","Izveidot tukšu"
"Create Permanent Redirect for URLs if URL Key Changed","Izveidot pastāvīgu pārvirzīšanas URL, ja URL atslēga ir mainījusies"
"Create Permanent Redirect for old URL","Izveidot pastāvīgu pārvirzīšanu vecam URL"
"Create Product Settings","Izveidot preces rekvizītus"
"Create Simple Associated Product","Izveidot vienkārši saistītu preci"
"Cross-sells","Šķērspārdošana"
"Custom Design","Pielāgots dizains"
"Custom Options","Pielāgotas opcijas"
"Customer Group","Klientu grupa"
"Customers Reviews","Klientu atsauksmes"
"Customers Tagged Product","Preces ar klientu piešķirtām birkām"
"Data Type for Saving in Database","Datu veids saglabāšanai datu bāzē"
"Date & Time Custom Options","Datuma un laika pielāgotas opcijas"
"Date Fields Order","Datuma lauku kārtība"
"Date Subscribed","Parakstīšanās datums"
"Datetime","Datums/laiks"
"Decimal","Decimāls"
"Declare attribute value saving scope","Deklarēt atribūta vērtību saglabāšanas sfēru"
"Default Price","Noklusētā cena"
"Default Qty","Noklusētais skaits"
"Default Values","Noklusētās vērtības"
"Delete","Dzēst"
"Delete Attribute","Dzēst atribūtu"
"Delete Attribute Set","Dzēst atribūtu komplektu"
"Delete Category","Dzēst kategoriju"
"Delete Option","Dzēst opciju"
"Delete Row","Dzēst rindu"
"Delete Search","Dzēst meklēšanu"
"Delete Selected Group","Dzēst izvēlēto grupu"
"Delete Tier","Dzēst līmeni"
"Description","Apraksts"
"Design","Dizains"
"Details","Papildus informācija"
"Disabled","Izslēgts"
"Display Page Control","Rādīt lapas vadību"
"Display Type","Displeja tips"
"Display in Suggested Terms","Parādīt ierosinātajos noteikumos"
"Double click on a group to rename it","Dubultklikšķis uz grupas lai pārsauktu to"
"Downloadable Information","Lejupielādējama Informācija"
"Duplicate","Duplicēt"
"Duplicate amount found.","Atrasts dubults skaits."
"Duplicate website tier price customer group and quantity.","Duplicēt tīmekļa vietnes rindu, cenu, klientu grupu un daudzumu"
"Edit","Labot"
"Edit Attribute Set '%s'","Rediģēt atribūtu iestatījumu '%s'"
"Edit Product Attribute","Labot produkta atribūtu"
"Edit Product Attribute ""%s""","Rediģēt preces atribūtu ""%s"""
"Edit Search","Rediģēt meklēšanu"
"Edit Search '%s'","Rediģēt meklēšanas nosacījumus '%s'"
"Email","E-pasts"
"Email to a Friend","Nosūtīt e-pastā draugam"
"Empty","Tukšs"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Enabled","Ieslēgts"
"Error during retrieval of option value: %s","Kļūda saņemot opcijas vērtību: %s"
"Exclude","Izņemot"
"Expand All","Izvērst visu"
"Failed","Neizdevās"
"Failed to move file: %s","Nesanāca pārvietot failu: %s"
"Feature Products","Reklamēt preces"
"Filter","Filtrēt"
"Filterable (no results)","Filtrējams (bez rezultātiem)"
"Filterable (with results)","Filtrējams (ar rezultātiem)"
"First Name","Vārds"
"Fixed","Fiksēta"
"For the last time placed.","Pēdējo reizi ievietots."
"Frontend","Klientu lapa"
"Frontend Model","Klientu lapas modelis"
"Frontend Properties","Klientu lapas rekvizīti"
"Gallery","Galerija"
"General Information","Vispārīga informācija"
"Global","Globāls"
"Globally Editable","Globāli labojams"
"Go to Home Page","Iet uz sākumlapu"
"Grid","Režģis"
"Grouped Product","Grupēts produkts"
"Groups","Grupas"
"Home","Sākums"
"Image","Attēls"
"Image type and information need to be specified for each store view.","Attēla tipu un informāciju vajag norādīt katram veikala skatam"
"In Stock","Noliktavā"
"In stock","Noliktavā"
"Incl. Tax","Ar PVN"
"Index product prices","Indeksēt produktu cenas"
"Indexed category/products association","Indeksēto kategoriju/produktu asociācijas"
"Input Type","Ievades veids"
"Integer","Vesels"
"Invalid store specified","Neparaizi norādīts veikals"
"Inventory","Inventārs"
"Is Default","Noklusētais"
"Is Required","Ir obligāts"
"Items %s to %s of %s total","Preces no %s līdz %s; (kopā  %s)"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Lietām, kuras nevēlieties rādīt katalogā vai meklēšanas rezultātos, jābūt stausam ""Neaktīvs"" izvēlētajā veikalā."
"Label","Uzraksts"
"Last Name","Uzvārds"
"Last Notification","Pēdēja paziņošana"
"Learn More","Uzzināt vairāk"
"Line %d, Email: %s","Līnija %d, e-pasts: %s"
"Line %d, SKU: %s","Līnija %d, SKU: %s"
"Link to a Specified Category","Saite uz noteiktu kategoriju"
"Link to a Specified Product","Saite uz norādīto produktu"
"List","Saraksts"
"List Mode","Saraksta režīms"
"List of Products that are set as New","Produktu saraksts kuri ir atzīmēti kā jauni"
"Manage Stock","Pārvaldīt noliktavu"
"Max Characters","Maksimālais zīmju skaits"
"Maximal Depth","Maksimālais dziļums"
"Maximum Image Size","Maksimālais attēla lielums"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Maximum image height","Maksimālais attēla augstums"
"Maximum image width","Maksimālais attēla platums"
"Maximum number of characters:","Maksimālais simbolu skaits:"
"Media Image","Mēdiju attēls"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"Minimum Qty for Item's Status to be Out of Stock","Mimimālais daudzums lai preces status būtu ""Nav noliktavā"""
"More Views","Vairāk skatu"
"My Account","Mans konts"
"Name","Vārds"
"New Product","Jauns produkts"
"New Product Attribute","Jauns produkta atribūts"
"New Products","Jauni produkti"
"New Products Grid Template","Jaunu produktu režģa šablons"
"New Products List Template","Jaunu produktu saraksta šablons"
"New Search","Jauna meklēšana"
"New Set Name","Jauns kopas nosaukums"
"New products","Jauni produkti"
"Next","Nākošais"
"No","Nē"
"No image","Nav attēla"
"No layout updates","Nav izkārtojuma atjauninājumu"
"No options of this product are available.","Šim produktam nav pieejamas opcijas."
"None","Neviens"
"Not Visible Individually","Nav redzami atsevišķi"
"Notify Low Stock RSS","Paziņot RSS par tukšu noliktavu"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Number of Products per Page","Produktu skaits lapā"
"Number of Products to Display","Rādāmo produktu skaits"
"Number of Uses","Lietojumu skaits"
"Number of results","Rezultātu skaits"
"Number of results (For the last time placed)","Rezultātu skaits (pēdējo reizi ievietojot)"
"OK","Labi"
"OR","vai"
"Old Price:","Vecā cena:"
"Option:","Opcija:"
"Options","Opcijas"
"Options Control","Opciju kontrole"
"Options is required","Obligātās opcijas"
"Out of Stock","Nav pieejams"
"Out of stock","Nav pieejams"
"Page Title Separator","Lappuses virsraksta atdalītājs"
"Parent Category","Augstāka kategorija"
"Pending","Gaida"
"Pending Reviews RSS","Gaidošie apskati RSS"
"Percentage","Procenti"
"Please add rows to option.","Pievienot rindas opcijai."
"Please enter a new group name","Lūdzu ievadiet jaunās grupas nosaukumu"
"Please select one or more attributes.","Lūdzu izvēlieties vienu vai vairāk atribūtus."
"Please select products for attributes update","Lūdzu iestatiet preces priekš atribūtu atjaunošanas"
"Please specify date required option(s).","Norādiet datuma obligātās opcijas."
"Please specify the quantity of product(s).","Lūdzu, norādiet produktu daudzumu."
"Please specify time required option(s).","Norādiet laika obligātās opcijas."
"Please wait...","Lūdzu, uzgaidiet..."
"Position","Pozīcija"
"Position of attribute in layered navigation block","Atribūta pozīcija slāņotajā navigācijas blokā"
"Prev","Iepr"
"Previous","Iepriekšējais"
"Price","Cena"
"Price Type","Cenas veids"
"Price values for options should be specified in system base currency.","Cenu vērtības opcijām jādefinē sistēmas bāzes valūtā."
"Price:","Cena:"
"Print This Page","Drukāt"
"Product","Produkts"
"Product Alerts","Produktu brīdinājumi"
"Product Attribute","Produkta atribūts"
"Product Attributes","Produkta atribūti"
"Product Categories","Produktu kategorijas"
"Product Description","Preces apraksts"
"Product Flat Data","Produkta vienkāršie dati"
"Product Image Placeholders","Produkta attēlu vietturi"
"Product Image Watermarks","Produkta attēlu ūdenszīmes"
"Product In Websites","Produkti lapās"
"Product Info Column","Produkta informācijas kolonna"
"Product Information","Preces informācija"
"Product Link Block Template","Produkta saites bloka šablons"
"Product Link Inline Template","Produkta saites iekļautais šablons"
"Product Listing Sort by","Produktu saraksts Šķirot pēc"
"Product Name","Produkta nosaukums"
"Product Reviews","Produktu atsauksmes"
"Product Tags","Preces birkas"
"Product Type","Preces tips"
"Product URL Suffix","Produkta URL sufikss"
"Product is not loaded","Produkts nav ielādēts"
"Product with this combination of attributes already associated to configurable.","Prece ar šādu atribūtu kombināciju jau ir konfigurējama."
"Products","Produkti"
"Products Comparison List","Produktu salīdzināšanas saraksts"
"Products Information","Produktu informācija"
"Products Reviews","Produktu atsauksmes"
"Products Sitemap","Preču vietnes karte"
"Products only","Tikai produkti"
"Products per Page on Grid Allowed Values","Produkti lapā režģa skatā atļautās vērtības"
"Products per Page on Grid Default Value","Produkti lapā režģa skatā noklusētās vērtības"
"Products per Page on List Allowed Values","Produkti lapā saraksta skatā atļautās vērtības"
"Products per Page on List Default Value","Produkti lapā saraksta skatā noklusētās vērtības"
"Properties","Iestatījumi"
"Qty","Skaits"
"Qty Increments","Skaita pieaugums"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
"Qty:","Skaits:"
"Quantity","Skaits"
"Quick Create","Ātrā izveidošana"
"Quick Overview","Īss apraksts"
"Quick simple product creation","Ātrā preces parauga izveidošana"
"Redirect URL","Novirzīšanas URL"
"Regular Price:","Regulārā cena:"
"Related Products","Saistītie produkti"
"Remove","Dzēst"
"Remove Product From Websites","Izņemt produktu no lapām"
"Remove This Item","Nodzēst šo vienību"
"Reorganize EAV category structure to flat structure","Reorganizēt EAV kategoriju struktūru par vienkāršu struktūru"
"Reorganize EAV product structure to flat structure","Reorganizēt EAV produktu struktūru uz vienkāršu struktūru"
"Reset","Notīrīt"
"Results","Rezultāti"
"Reviews","Pārskati"
"Roll Over for preview","Pārrulēt pārskatam"
"Root","Sakne"
"SKU","Artikuls"
"Save","Saglabāt"
"Save Attribute","Saglabāt atribūtu"
"Save Attribute Set","Saglabāt atribūtu komplektu"
"Save Category","Saglabāt kategoriju"
"Save Search","Saglabāt meklēšanu"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Scope","Apgabals"
"Search","Meklēt"
"Search Engine Optimizations","Meklēšanas dzinēja optimizācijas"
"Search Information","Meklēšanas informācija"
"Search Query","Meklēšanas pieprasījums"
"Search Weight","Meklēšanas svars"
"Searchable","Meklējams"
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"Select Category...","Izvēlieties kategoriju..."
"Select Configurable Attributes ","Atlasīt konfigurējamus atribūtus"
"Select Product...","Izvēlieties produktu..."
"Select type options required values rows.","Izvēlieties opcijas veidu obligātās vērtības rindas."
"Selected Product Types","Atlasītie preču tipi"
"Send Count","Sūtīt skaitu"
"Set Ascending Direction","Iestatīt augošā secībā"
"Set Descending Direction","Iestatīt dilstošā secībā"
"Set Name","Iestatīt vārdu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Iestatīt saknes kategoriju veikalam <a href=""%s"">konfigurācijā</a>"
"Settings","Iestatījumi"
"Shop By","Iepirkties pēc"
"Shopping Options","Iepirkšanās opcijas"
"Show","Rādīt"
"Simple Product","Vienkārša prece"
"Site Map","Lapas karte"
"Sitemap","Lapas karte"
"Skip import row, is not valid value ""%s"" for field ""%s""","Izlaist rindas importu, nav korekta vērtība ""%s"" laukam ""%s"""
"Some of the selected item options are not currently available.","Atsevišķas no izvēlētajām produkta opcijām pašlaik nav pieejamas."
"Sort By","Kārtot pēc"
"Sort Order","Kārtošanas secība"
"Source Model","Izejas modelis"
"Special Price:","Speciāla cena:"
"Starting at:","Sākot no:"
"Static","Statisks"
"Static block and products","Statiskais bloks un produkti"
"Static block only","Tikai statiskais bloks"
"Status","Statuss"
"Stock Availability","Noliktavas pieejamība"
"Store","Veikals"
"Store View","Veikala skats"
"Stretch","Izstiept"
"Subscribe to RSS Feed","Pierakstīties RSS plūsmai"
"Super product attributes configuration","Superpreču atribūtu konfigurācija"
"Synonym For","Sinonīms priekš"
"System Properties","Sistēmas iestatījumi"
"Tag Name","Birkas nosaukums"
"Tax","Nodokļi"
"Template","Šablons"
"Text","Teksts"
"There are no %s available.","%s nav pieejams."
"There are no customers for this alert","Priekš šī brīdinājuma nav klientu."
"There are no customers for this alert.","Nav klientu šo paziņojumu saņēmējiem."
"There are no products matching the selection.","Neviena prece neatbilst atlasei."
"This attribute cannot be edited.","Šo atribūtu nevar labot."
"This attribute is used in configurable products.","Šo atribūtu izmanto konfigurējamiem produktiem."
"This attribute no longer exists","Dotais atribūts vairs neeksistē"
"This attribute set no longer exists.","Šī atribūtu kopa vairs neeksistē."
"This group contains system attributes. Please move system attributes to another group and try again.","Grupa satur sistēmas atribūtus. Pārvietojiet sistēmas atribūtus uz citu grupu un mēģiniet vēlreiz."
"This search no longer exists.","Šī meklēšana vairs nepastāv."
"Tier Pricing","Cenu līmenis"
"Tile","Mozaīka"
"Time Format","Laika formāts"
"Title","Nosaukums"
"To see product price, add this item to your cart. You can always remove it later.","Lai apskatītu produkta cenu, pievienojiet to pirkumu grozam."
"Top/Left","Augša/Kreisais"
"Top/Right","Augša/Labais"
"Type","Veids"
"Unassigned Attributes","Nepiešķirtie atribūti"
"Up-sells","Papildus pārdošana"
"Update","Atjaunināt"
"Update Attributes","Atjaunot atribūtus"
"Update attributes","Atjaunot atribūtus"
"Use Canonical Link Meta Tag For Categories","Lietot kanoniskās saites meta tagu kategorijām"
"Use Canonical Link Meta Tag For Products","Lietot kanoniskās saites meta tagu produktiem"
"Use Categories Path for Product URLs","Izmantot kategoriju ceļu produkta URL"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Use Default Value","Izmantot noklusēto vērtību"
"Use Flat Catalog Category","Izmantot vienkāršu kataloga kategoriju"
"Use Flat Catalog Product","Lietot vienkāršu kataloga produktu"
"Use In Layered Navigation","Lietot slāņu navigāciju"
"Use JavaScript Calendar","Lietot JavaScript kalendāru"
"Use To Create Configurable Product","Lietot lai izveidotu konfigurējamu preci"
"Use config","Lietot konfigurāciju"
"Use default","Lietot noklusēto"
"Use for Promo Rule Conditions","Lietot priekš promo noteikuma nosacījumiem"
"Used for Sorting in Product Listing","Lietojams šķirošanai produktu sarakstā"
"Used in Product Listing","Izmantots produktu sarakstā"
"View Details","Skatīt detaļas"
"View as","Apskatīt kā"
"Visibility","Redzamība"
"Visible","Redzams"
"Visible on Catalog Pages on Front-end","Redzams publiskā kataloga lapās"
"WYSIWYG Editor","WYSIWYG redaktors"
"Watermark","Ūdenszīme"
"Watermark Default Size","Udenszīmes noklusētais izmērs"
"Watermark Position","Ūdenszīmes pozīcija"
"Website","Mājas lapa"
"Websites","Mājas lapas"
"What's this?","Kas tas ir?"
"Year Range","Gada robežās"
"Yes","Jā"
"You cannot remove system attribute from this set.","Jūs nevariet dzēst sistēmas atribūtu no šī komplekta."
"You have no items to compare.","Nav produktu salīdzināšanai."
"You may also be interested in the following product(s)","Jūs, iespējams, interesēs arī šādas preces"
"Zoom In","tuvināt"
"Zoom Out","attālināt"
"and","un"
"and above","un vairāk"
"ex. http://domain.com","piem. http://domain.lv"
"per page","lapā"
"select all","atlasīt visu"
"unselect all","noņemt atlasi visam"
