" [deleted]"," [dzēsts]"
"Delete Store View","Dzēst veikala skatu"
"Delete Template","Dzēst šablonu"
"Delete User","Dzēst lietotāju"
"Description","Apraksts"
"Design","Dizains"
"Details","Papildus informācija"
"Disable","Izslēgt"
"Disabled","Izslēgts"
"Download","Lejupielādēt"
"Downloads","Lejupielādes"
"Drop-down","Izvēles saraksts"
"Edit","Labot"
"Edit Block","Labot bloku"
"Edit Design Change","Labot dizaina izmaiņas"
"Edit Email Template","Labot E-pasta veidni"
"Edit Queue","Labot sūtījumu rindu"
"Edit Store View","Labot veikala skatu"
"Edit Template","Labot šablonu"
"Edit User","Labot lietotāju"
"Email","E-pasts"
"Email Address:","E-pasta adrese:"
"Email to a Friend","Nosūtīt e-pastā draugam"
"Email:","E-pasts:"
"Enable","Ieslēgt"
"Enabled","Ieslēgts"
"Error","Kļūda"
"Excl. Tax","Bez PVN"
"Exclude media folder from backup","Rezerves kopija izņemot mēdiju failu direktoriju"
"Expiration Date","Derīguma termiņš"
"Export","Eksportēt"
"Export to:","Eksportēt:"
"FTP Host","FTP resursdators"
"FTP Login","FTP lietotājvārds"
"FTP Password","FTP parole"
"FTP credentials","FTP piekļuve"
"Failed","Neizdevās"
"File","Fails"
"First Name","Vārds"
"Fixed","Fiksēta"
"Flush Catalog Images Cache","Iztīrīt kataloga attēlu kešu"
"Flush JavaScript/CSS Cache","Iztīrīt JavaScript/CSS kešu"
"Forgot your password?","Aizmirsāt paroli?"
"Forgot your user name or password?","Piemirsies lietotājvārds vai parole?"
"From","No"
"General Information","Vispārīga informācija"
"Global Search","Globālā meklēšana"
"Go Today","Šodien"
"Grand Total","Kopsumma"
"Grid (default) / List","Režģis (noklusētais) / Saraksts"
"Grid Only","Tikai režģis"
"Guest","Viesis"
"Home","Sākums"
"IP Address","IP adrese"
"Images (.gif, .jpg, .png)","Attēli (. gif,. jpg,. png)"
"Images Cache","Attēlu kešs"
"Import","Importēt"
"Import and Export Tax Rates","Importēt vai eksportēt nodokļu likmes"
"Inactive","Neaktīvs"
"Incl. Tax","Ar PVN"
"Incoming Message","Ienākošā ziņa"
"Insert Variable...","Ievadīt mainīgo..."
"Invalid Form Key. Please refresh the page.","Nepareiza Formas atslēga. Atjaunojiet lapu."
"Invalid data","Nederīgi dati"
"Invalidated","Nav validēti"
"Inventory Stock Status","Noliktavas krājumu statuss"
"Invoices","Faktūrrēķini"
"Is Default","Noklusētais"
"Items","Produkti"
"JavaScript/CSS Cache","JavaScript/CSS kešs"
"Last 24 Hours","Pēdējās 24 stundas"
"Last 5 Orders","Pēdējie 5 pirkumi"
"Last 5 Search Terms","Pēdējie 5 meklēšanas atslēgvārdi"
"Last 7 Days","Pēdējās 7 dienas"
"Last Name","Uzvārds"
"Last Name:","Uzvārds:"
"Lifetime Sales","Darbības laikā pārdotais"
"List (default) / Grid","Saraksts (noklusētais) / Režģis"
"List Only","Tikai saraksts"
"Loading...","Notiek ielāde..."
"Locale","Lokalizācija"
"Log In","Ielogoties"
"Log Out","Izlogoties"
"Login","Lietotājvārds"
"Low Stock","Mazs krājums"
"Magento root directory","OpenMage saknes direktorija"
"Manage Attribute Sets","Pārvaldīt atribūtu kopas"
"Manage Attributes","Vadīt atribūtus"
"Manage Categories","Pārvaldīt kategorijas"
"Manage Currency Rates","Pārvaldīt valūtas kursus"
"Manage Customers","Pārvaldīt klientus"
"Manage Ratings","Pārvaldīt vērtējumus"
"Manage Stores","Pārvaldīt veikalus"
"Manage Titles (Size, Color, etc.)","Pārvaldīt nosaukumus (Krāsa, Izmērs, u.c.)"
"Manual","Manuāli"
"Media (.avi, .flv, .swf)","Mēdiji (.avi, .flv, .swf)"
"Messages Inbox","Ziņu iesūtne"
"Month","Mēnesis"
"Most Viewed","Visvairāk skatītie"
"Most Viewed Products","Visvairāk apskatītie produkti"
"Multiple Select","Izvēlēties vairākus"
"My Account","Mans konts"
"Name","Vārds"
"New ","Jauns "
"New Accounts","Jauni konti"
"New Attribute","Jauns atribūts"
"New Block","Jauns bloks"
"New Category","Jauna kategorija"
"New Class","Jauna grupa"
"New Custom Variable","Jauns pielāgots mainīgais"
"New Customer","Jauns klients"
"New Customers","Jauni klienti"
"New Email Template","Jauna E-pasta veidne"
"New Page","Jauna lapa"
"New Password","Jauna parole"
"New Poll","Jauna Aptauja"
"New Rating","Jauns vērtējums"
"New Review","Jauna atsauksme"
"New Role","Jauna loma"
"New Rule","Jauns nosacījums"
"New Search","Jauna meklēšana"
"New Set","Jauna kopa"
"New Shipment","Jauns sūtījums"
"New Sitemap","Jaunas lapas karte"
"New Store View","Jauns veikala skats"
"New Tag","Jauna birka"
"New Template","Jauns šablons"
"New User","Jauns lietotājs"
"Newsletter","Jaunumi"
"Newsletter Queue","Jaunumu izsūtīšanas rinda"
"Newsletter Subscribers","Jaunumu abonenti"
"Newsletter Templates","Jaunumu šabloni"
"No","Nē"
"No Data Found","Nav datu"
"No Templates Found","Nav atrasti šabloni"
"No change","Bez izmaiņām"
"No records found.","Nav atrasts neviens ieraksts."
"No search modules were registered","Nav reģistrēti meklēšanas moduļi"
"None","Neviens"
"Note:","Piezīmes:"
"Notifications","Paziņojumi"
"Number of Orders","Pasūtījumu skaits"
"Number of Uses","Lietojumu skaits"
"Number of Views","Skatīta"
"OK","Labi"
"Old rate:","Iepriekšējais kurss:"
"Options","Opcijas"
"Options is required","Obligātās opcijas"
"Order","Pasūtījums"
"Order ID","Pasūtījuma ID"
"Orders","Pasūtījumi"
"Out of stock","Nav pieejams"
"Pages","Lapas"
"Parent Product Thumbnail","Augstāka produkta priekšskats"
"Password","Parole"
"Password Confirmation","Paroles apstiprinājums"
"Password:","Parole:"
"Pending Reviews","Atsauksmes kuras gaida apstiprināšanu"
"Per Order","Katrā pasūtījumā"
"Percent","Procenti"
"Period","Periods"
"Permissions","Piekļuves tiesības"
"Please Select","Lūdzu izvēlieties"
"Please confirm site switching. All data that hasn't been saved will be lost.","Apstipriniet lapas pārslēgšanu. Nesaglabātā informācija tiks zaudēta."
"Please enter a valid credit card number.","Lūdzu, ievadiet derīgu kredītkartes numuru."
"Please enter a valid date.","Lūdzu, ievadiet derīgu datumu."
"Please enter a valid email.","Lūdzu, ievadiet derīgu e-pastu."
"Please enter a valid number in this field.","Ievadiet derīgu ciparu šajā laukā."
"Please enter a valid value from list","Lūdzu ievadiet derīgu vērtību no saraksta"
"Please enter a valid value, ex: 10,20,30","Lūdzu ievadiet derīgu vērtību, piem.: 10,20,30"
"Please make sure that all global admin search modules are installed and activated.","Pārliecinieties, ka visi globālie administrācijas meklēšanas moduļi ir instalēti un aktivizēti."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Lietojiet tikai burtus (a-z vai A-Z), ciparus (0-9) vai atstarpes šajā laukā."
"Please wait, loading...","Lūdzu uzgaidiet, notiek ielāde..."
"Please wait...","Lūdzu, uzgaidiet..."
"Popular","Populārs"
"Position","Pozīcija"
"Preview","Priekšskatītījums"
"Preview Template","Šablona priekšskatījums"
"Price","Cena"
"Price:","Cena:"
"Processed <strong>%s%% %s/%d</strong> records","Apstrādāti <strong>%s%% %s/%d</strong> ieraksti"
"Processing","Darbojas"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Product Reviews","Produktu atsauksmes"
"Product Tax Classes","Preču nodokļu grupas"
"Product Thumbnail Itself","Paša produkta priekšskats"
"Products","Produkti"
"Products Ordered","Pasūtītie produkti"
"Profile Action","Profila Darbība"
"Profile History","Profilu vēsture"
"Profile Information","Profila informācija"
"Profile Name","Profila nosaukums"
"Profiles","Profili"
"Promotions","Pārdošanas veicināšana"
"Quantity","Skaits"
"Radio Buttons","Radio pogas"
"Rates","Likmes"
"Rebuild","Atjaunot"
"Rebuild Catalog Index","Atjaunot kataloga indeksu"
"Rebuild Flat Catalog Category","Atjaunot parasta kataloga kategoriju"
"Rebuild Flat Catalog Product","Atjaunot parasta kataloga produktu"
"Recent Orders","Nesenie pasūtījumi"
"Refresh","Atjaunot"
"Refresh Statistics","Atjaunot statistiku"
"Region/State","Reģions/štats"
"Regular Price:","Regulārā cena:"
"Release","Laidiens"
"Release Stability","Laidiena stabilitāte"
"Release Version","Izlaiduma versija"
"Reload captcha","Pārlēdēt captcha"
"Remote FTP","Attālais FTP"
"Remove","Dzēst"
"Reports","Atskaites"
"Request Path","Pieprasījuma ceļš"
"Required","Obligāts"
"Reset","Notīrīt"
"Reset Filter","Notīrīt filtru"
"Resize","Mainīt izmēru"
"Resources","Resursi"
"Results","Rezultāti"
"Retrieve Password","Atgriezt paroli"
"Return Html Version","Atgriezt HTML versiju"
"Revenue","Peļņa"
"Reviews","Pārskati"
"Role ID","Lomas ID"
"Role Info","Lomas informācija"
"Role Information","Lomas informācija"
"Role Name","Lomas nosaukums"
"Role Resources","Lomas resursi"
"Role Users","Lietotāju lomas"
"Roles","Lomas"
"Roles Resources","Lomas resursi"
"Root Category","Saknes kategorija"
"Rotate CCW","Pagriezt pret pulksteni"
"Rotate CW","Pagriezt pa pulkstenim"
"Run","Palaist"
"Run Profile","Profila palaišana"
"Run Profile Inside This Window","Palaist profilu šajā logā"
"SKU","Artikuls"
"SKU:","Artikuls:"
"Sales","Pārdošana"
"Sales Report","Pārdošanas atskaite"
"Save","Saglabāt"
"Save & Generate","Saglabāt & Ģenerēt"
"Save Account","Saglabāt kontu"
"Save Block","Saglabāt bloku"
"Save Cache Settings","Saglabāt keša iestatījumus"
"Save Config","Saglabāt Konfigurāciju"
"Save Currency Rates","Saglabāt Valūtas Kursus"
"Save Profile","Saglabāt profilu"
"Save Role","Saglabātu lomu"
"Save Template","Saglabāt šablonu"
"Save User","Saglabāt lietotāju"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Search","Meklēt"
"Search Index","Meklēt indeksu"
"Search Term","Meklēšanas termins"
"Search Terms","Meklētie atslēgvārdi"
"Search entire store here...","Meklēt visā veikalā..."
"Select","Izvēlēties"
"Select All","Izvēlēties visu"
"Select Category","Izvēlieties kategoriju"
"Select Date","Atlasīt datumu"
"Select Range","Laika intervāls"
"Sender","Sūtītājs"
"Shipments","Piegādes"
"Shipping","Piegāde"
"Shipping Address","Piegādes adreses"
"Shipping Address: ","Piegādes adreses: "
"Shipping Price","Piegādes cena"
"Shopping Cart","Grozs"
"Shopping Cart Price Rules","Pirkumu groza kopsummas aprēķina noscījumi"
"Shopping Cart from %s","Pirkumu grozs no %s"
"Sitemap Information","Lapas kartes informācija"
"Size for %s","%s izmērs"
"Sorry, this feature is coming soon...","Atvainojiet, šī iespēja būs pieejama drīzumā..."
"Special Price:","Speciāla cena:"
"Specific Countries","Specifiskas valstis"
"Specified","Norādītais"
"Spreadsheet Name:","Izklājlapas vārds:"
"Start Date","Sākuma datums"
"Starting at:","Sākot no:"
"Starting profile execution, please wait...","Tiek startēta profila izpilde, lūdzu uzgaidiet..."
"State/Province:","Rajons"
"Static Blocks","Statiskie bloki"
"Status","Statuss"
"Status:","Statuss:"
"Stock Quantity:","Daudzums noliktavā:"
"Store","Veikals"
"Store View","Veikala skats"
"Store:","Veikals"
"Stores","Veikali"
"Subject","Tēma"
"Submit","Iesniegt"
"Subtotal","Starpsumma"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Tikai"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) kartes izlaiduma numurs: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro kartes izdošanas Datums: %s/%s"
"Synchronize","Sinhronizēt"
"System","Sistēma"
"Tags","Tagi"
"Tax","Nodokļi"
"Template","Šablons"
"Template Content","Šablona saturs"
"Template Information","Šablona informācija"
"Template Name","Šablona nosaukums"
"Template Styles","Šablona stili"
"Template Subject","Šablona tēma"
"Template Type","Šablona veids"
"Terms and Conditions","Noteikumi un Nosacījumi"
"Text","Teksts"
"The JavaScript/CSS cache has been cleaned.","JavaSript/CSS kešs ir attīrīts."
"The OpenMage cache storage has been flushed.","OpenMage keša glabātuve ir iztīrīta."
"The attribute set has been removed.","Atribūtu kopa ir nodzēsta."
"The image cache was cleaned.","Attēlu kešs tika iztīrīts."
"This account is","Šis konts ir"
"This action cannot be undone.","Šo darbību nevar atcelt."
"This attribute shares the same value in all the stores","Šis parametra vērtība ir vienāda starp visiem veikaliem."
"This block no longer exists.","Šis bloks vairs neeksistē."
"This is a required field.","Šis ir obligāts lauks."
"Time","Laiks"
"To","Kam"
"Toggle Editor","Pārslēdzēja redaktors"
"Tools","Rīki"
"Top 5 Search Terms","Top 5 meklēšanas parametri"
"Total","Kopā"
"Total Invoiced","Izrakstīts rēķinos"
"Total Order Amount","Kopējā pirkumu vērtība"
"Total Refunded","Pavisam atmaksāts"
"Track this shipment","Izsekot šo preču sūtījumu"
"Tracking number %s for %s assigned","%s piešķirts sekošanas nummurs %s"
"Transaction ID","Transakcijas ID"
"Transaction Type","Transakcijas Tips"
"Transactional Emails","E-pasti par darījumiem"
"Type","Veids"
"Type:","Tips:"
"Unable to initialize import model","Neizdevās inicializēt importa moduli"
"Unknown","Nezināms"
"Update","Atjaunināt"
"Updated At","Atjaunots"
"Upload File","Augšupielādēt failu"
"Upload Files","Augšupielādēt failus"
"Upload HTTP Error","Augšupielādes HTTP kļūda"
"Upload I/O Error","I/O kļūda augšupielādējot"
"Upload Security Error","Augšupielādes drošības kļūda"
"Upload import file","Augšupielādēt importa failu"
"Use All Available Attributes","Izmantot visus pieejamos atribūtus"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Use Default","Lietot noklusēto"
"Use Default Value","Izmantot noklusēto vērtību"
"Use Default Variable Values","Lietot noklusētās mainīgo vērtības"
"Use FTP Connection","Lietot FTP pieslēgumu"
"User Email","Lietotāja e-pasts"
"User ID","Lietotāja ID"
"User Info","Lietotāja informācija"
"User Information","Lietotāja informācija"
"User Name","Lietotājvārds"
"User Name:","Lietotājvārds:"
"User Password","Lietotāja parole"
"User Role","Lietotāja loma"
"User Roles","Lietotāja lomas"
"User Roles Information","Lietotāja lomu informācija"
"User name","Lietotājvārds"
"Users","Lietotāji"
"Value","Vērtība"
"Value Delimiter:","Vērtības atdalītājs:"
"Variable","Mainīgais"
"Variable Code","Mainīgā kods"
"Variable HTML Value","Mainīgā HTML vērtība"
"Variable ID","Mainīgā ID"
"Variable Name","Mainīgā nosaukums"
"Variable Plain Value","Mainīgā vienkārš vērtība"
"View Actions XML","Apskatīt darbību XML"
"View Full Size","Apskatīt pilnā lielumā"
"View Statistics For:","Skatīt statistiku:"
"Visibility:","Redzamība:"
"Warning","Brīdinājums"
"Watermark File for %s","Ūdenszīmes fails priekš"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Mēs pilnveidojam OpenMage ar jaunām iespējām. Paldies par jūsu pacietību."
"Website","Mājas lapa"
"What is this?","Kas tas ir?"
"Wishlist Report","Atskaites par vēlmju sarakstiem"
"YTD","Pēdējais gads"
"Year","Gads"
"Yes","Jā"
"Yes (only price with tax)","Jā (cenas tikai ar nodokli)"
"You cannot delete your own account.","Jūs nevarat izdzēst savu kontu."
"You have logged out.","Jūs esat atslēdzies."
"Your answers contain duplicates.","Jūsu atbildes satur dublikātus."
"Zip/Postal Code","Pasta indekss"
"Zip/Postal Code:","Pasta indekss"
"[ deleted ]","[ dzēsts ]"
"[GLOBAL]","[GLOBĀLI]"
"[WEBSITE]","[Majaslapa]"
"close","aizvērt"
"critical","kritisks"
"failed","neizdevās"
"from","no"
"major","svarīgs"
"minor","mazsvarīgs"
"notice","paziņojums"
"store(%s) scope","veikala(%s) loks"
"successful","veiksmīgi"
"to","līdz"
"website(%s) scope","mājas lapas(%s) loks"
