"-- Please Select --","-- Bitte wählen --"
"No","Nein"
"Offloader header","Offloader Header"
"PHP SOAP extension is required.","PHP SOAP-Erweiterung ist erforderlich."
"Package","Paket"
"Pagination","Paginierung"
"Pagination Frame","Paginierungsrahmen"
"Pagination Frame Skip","Paginierungsrahmen überspringen"
"Path ""%value%"" is not available and cannot be used.","Pfad ""%value%"" ist nicht verfügbar und kann nicht verwendet werden."
"Path ""%value%"" is protected and cannot be used.","Pfad ""%value%"" ist geschützt und kann nicht verwendet werden."
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl größer gleich 0 ein."
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl größer oder gleich 1 in dieses Feld ein."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl größer als 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen Betrag ein. Zum Beispiel 100,00 €."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer an."
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Kartenprüfnummer ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum an."
"Please enter a valid month (1-12).","Bitte geben Sie eine gültige Monatszahl an (1-12)."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Nummer in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter issue number or start date for switch/solo card type.","Bitte geben Sie Ausgabenummer oder Startdatum für Switch- / Solo-Kartentyp ein."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"Please select State/Province.","Bitte wählen Sie ein Bundesland/Kanton."
"Please select an option.","Bitte wählen Sie eine Option aus."
"Please select one of the options.","Bitte wählen Sie eine der Optionen."
"Please set available and/or protected paths list(s) before validation.","Bitte setzen Sie verfügbare und/oder geschützte Pfade Liste(n) vor der Validierung."
"Please use letters only (a-z or A-Z) in this field.","Bitte nur Buchstaben (a-z oder A-Z) in diesem Feld verwenden."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie dieses Datumsformat: TT/MM/JJJJ. Zum Beispiel: 17.03.2006 für den 17. März 2006."
"Recovery Link Expiration Period (hours)","Recovery-Link Ablaufzeitraum (in Stunden)"
"Request Path for Specified Store","Anfragepfad für angegebenen Store"
"Return-Path Email","Zurückgegangene Email"
"Root Category","Hauptkategorie"
"Sales Representative","Vertriebsmitarbeiter"
"Save","Speichern"
"Save Store","Store speichern"
"Save Store View","Store View speichern"
"Security","Sicherheit"
"Select Date","Datum auswählen"
"Select Media Database","Wählen Sie die Mediendatenbank"
"Sender Email","Absender E-Mail"
"Sender Name","Absendername"
"Services","Dienste"
"Session Validation Settings","Einstellungen für Sitzungsüberprüfung"
"Set Return-Path","Return-Path festgelegt"
"Set as Default","Als Standard festlegen"
"Sort Order","Sortierreihenfolge"
"Startup Page","Startseite"
"Storage Configuration for Media","Speicherkonfiguration für Medien"
"Store","Shop"
"Store Email Addresses","Shop E-Mail Adressen"
"Store Hours of Operation","Shop Öffnungszeiten"
"Store Information","Shop Informationen"
"Store Name","Store-Name"
"Store View Information","Store View Informationen"
"Store view doesn't exist","Der Store View existiert nicht"
"Store with the same code","Mit dem gleichen Code speichern"
"Template Settings","Template Einstellungen"
"Template Variables","Template-Variablen"
"The store does not exist","Der Store existiert nicht"
"The value is not within the specified range.","Der Wert ist nicht innerhalb des erlaubten Bereichs."
"The website does not exist.","Diese Website existiert nicht."
"Themes","Themen"
"This is a required field.","Dies ist ein Pflichtfeld."
"This store cannot be deleted.","Dieser Store kann nicht gelöscht werden."
"This store view cannot be deleted.","Dieser Store View kann nicht gelöscht werden."
"This website cannot be deleted.","Diese Website kann nicht gelöscht werden."
"This will be included before head closing tag in page HTML.","Dies wird vor dem schließenden Head-Tag in die HTML-Seite eingefügt."
"Timezone","Zeitzone"
"Transactional Emails","Transaktions-E-Mails"
"Translate Inline","Übersetzen von Inline"
"Translations","Übersetzungen"
"Url Options","Url-Optionen"
"Use Custom Admin Path","Verwenden Sie benutzerdefinierte Adminpfad"
"Use Custom Admin URL","Verwenden Sie benutzerdefinierte Admin URL"
"Use HTTP Only","Nur HTTP verwenden"
"None","Keine"
"Use Secure URLs in Admin","Sichere URLs im Administrationsbereich benutzen"
"Use Web Server Rewrites","Webserver-Rewrites verwenden"
"VAT Number","USt-IdNr."
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT validieren"
"Validate HTTP_VIA","HTTP_VIA validieren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR validieren"
"Validate REMOTE_ADDR","REMOTE_ADDR validieren"
"Validation has failed.","Fehler bei der Überprüfung."
"Variable Code must be unique.","Variablencode muss eindeutig sein."
"Website","Webseite"
"Website with the same code","Webseite mit dem gleichen Code"
"Weekend Days","Wochenendtage"
"Welcome Text","Begrüßungstext"
"Wrong file info format","Falsches Dateiinfo-Format"
"Yes","Ja"
