"* Required Fields","* Obligatoriska fält"
"Set as Default Shipping Address","Välj som förvald leveransadress"
"Share Customer Accounts","Dela kundkonton"
"Shipped to First Name","Förnamn för leverans"
"Shipped to Last Name","Efternamn för leverans"
"Shipped to Name","Namn för leverans"
"Shopping Cart","Kundvagn"
"Shopping Cart - %d item(s)","Kundvagn - %d artiklar"
"Show Date of Birth","Visa födelsedag"
"Show Gender","Visa kön"
"Show Prefix","Visa prefix"
"Show Suffix","Visa suffix"
"Show Tax/VAT Number","Visa momsregistreringsnummer"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"State/Province","Län"
"Store","Butik"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Subject","Ämne"
"Submit","Skicka"
"Subscribe to Newsletter","Prenumerera på Nyhetsbrev"
"Subscribed to Newsletter?","Prenumererar på nyhetsbrev?"
"Tag Name","Etikettnamn"
"Tax Class","Momsklass"
"Tax/VAT number","Momsregistreringsnummer"
"Telephone","Telefon"
"Text One Line","Text"
"The VAT ID entered (%s) is not a valid VAT ID.","Det Momsregistreringsnummer som angavs (%s) är inte ett giltigt Momsregistreringsnummer."
"The VAT ID is valid. The current Customer Group will be used.","Momsregistreringsnummer är giltigt. Befintlig kundgrupp kommer att användas."
"The customer does not have default billing address.","Kunden har ingen förvald faktureringsadress."
"There are no items in customer's wishlist at the moment","För närvarande finns det inga artiklar i kundens önskelista"
"There are no items in customer's shopping cart at the moment","För närvarande finns det inga artiklar i kundens varukorg"
"This customer has no saved addresses.","Denna kund har inga sparade adresser"
"This email does not require confirmation.","Detta mail kräver inte bekräftelse."
"To Cart","Till kassan"
"Total","Summa"
"Type","Typ"
"Unknown","Okänd"
"Unsubscribe from Newsletter","Avregistrera från Nyhetsbrev"
"Update","Uppdatera"
"Use as my default billing address","Använd som förvald fakturaadress"
"Use as my default shipping address","Använd som min förvalda leveransadress"
"VAT Number","VAT-nummer"
"VAT Request Date","MOMS begäran datum"
"VAT Request Identifier","MOMS begärande-ID"
"Validate VAT Number","Validera momsregistreringsnummer"
"View","Visa"
"View Order","Visa beställning"
"Visitor","Besökare"
"Visitors Only","Endast besökare"
"Website","Webbplats"
"Welcome Email","Välkomstmail"
"Wishlist","Önskelistan"
"Wishlist - %d item(s)","Önskelista - %d artiklar"
"Would you like to change the Customer Group for this order?","Vill du ändra kundgruppen för ordern?"
"Wrong email.","Fel e-post."
"Year","År"
"You are currently not subscribed to any newsletter.","För närvarande prenumererar du inte på några nyhetsbrev."
"You are currently subscribed to 'General Subscription'.","Du prenumererar för närvarande på 'Allmän prenumeration'."
"You are currently subscribed to our newsletter.","Du prenumererar på vårt nyhetsbrev."
"You have no additional address entries in your address book.","Du har inga ytterligare poster i din adressbok."
"You have no additional entries in your address book.","Du har inga ytterligare poster i din adressbok."
"You have no default billing address in your address book.","Du har ingen förvald faktureringsadress i din adressbok."
"You have no default shipping address in your address book.","Du har ingen förvald leveranssadress i din adressbok."
"You have not set a default billing address.","Du måste fylla i en fakturaadress."
"You have not set a default shipping address.","Du måste fylla i en leveransadress."
"You have placed no orders yet.","Du har inte lagt några beställningar."
"You have placed no products yet.","Du har inte placerat några produkter."
"Your account balance is: %s","Ditt saldo är: %s"
"ZIP","Postnummer"
"ZIP/Post Code","Postnummer"
"Zip/Postal Code","Postnummer"
"n/a","[Inte tillgängligt]"
"or","eller"
