" [deleted]"," [Borttagen]"
"Additional Cache Management","Ytterligare cache hantering"
"Address Type:","Adresstyp:"
"Admin","Administratör"
"Advanced Admin Section","Avancerad admindel"
"Advanced Profiles","Avancerade profiler"
"Advanced Section","Avancerad del"
"All","Alla"
"All Allowed Countries","Alla tillåtna länder"
"All Cache","All cache"
"All Files","Alla filer"
"All Reviews","Alla recensioner"
"All Store Views","Alla butiksvyer"
"All Tags","Alla etiketter"
"All Websites","Alla webbplatser"
"All countries","Alla länder"
"All fields","Alla fält"
"All valid rates have been saved.","Alla giltiga priser har sparats."
"Amounts","Belopp"
"An error occurred while clearing the JavaScript/CSS cache.","Ett fel uppstod när du rensade cacheminnet för JavaScript/CSS."
"An error occurred while clearing the image cache.","Ett fel uppstod när cachen rensades."
"An error occurred while saving account.","Ett fel uppstod när kontot sparades."
"Any","Valfri"
"Any Attribute Set","Vilken attributmängd som helst"
"Any Group","Vilken grupp som helst"
"Any Status","Vilken status som helst"
"Any Store","Vilken butik som helst"
"Any Type","Vilken typ som helst"
"Any Visibility","Vilken synlighet som helst"
"Archive file name:","Arkivfilens namn:"
"Are you sure that you want to delete this template?","Är du säker på att du vill ta bort denna mall?"
"Are you sure that you want to strip tags?","Är du säker på att du vill ta bort etiketter?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"As low as:","Så lågt som:"
"Assigned","Tilldelad"
"Attribute Set Name:","Attributmängdens namn:"
"Attributes","Attribut"
"Authorize","Auktorisera"
"Automatic (equalize price ranges)","Automatisk (Jämna ut pris spannet)"
"Automatic (equalize product counts)","Automatisk (jämna ut produkt count)"
"Average Order Amount","Genomsnittlig beställningssumma:"
"Average Orders","Genomsnittlig beställning"
"Back","Tillbaka"
"Back to Login","Tillbaka till inloggningen"
"Backup","Säkerhetskopiering"
"Backup Name","Säkerhetskopians namn"
"Backup options","Alternativ för säkerhetskopiering"
"Backups","Säkerhetskopior"
"Base currency","Basvaluta"
"Bestsellers","Bästsäljare"
"Billing Address","Faktureringsadress"
"Billing Address: ","Faktureringsadress: "
"Billing Agreements","Faktureringsavtal"
"Block Information","Block information"
"Blocks","Block"
"Both (without and with tax)","Båda (med och utan moms)"
"Browse Files...","Bläddra..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundlade produkter med dynamisk prissättning kan ej innehålla anpassade val. Valet kommer ej sparas."
"By Email","Via e-post"
"By IP","Via IP"
"By IP and Email","Via IP och E-post"
"CSV / Tab separated","CSV/tabbseparerad"
"Cache Control","Cache kontroll"
"Cache Control (beta)","Cache kontroll (beta)"
"Cache Management","Cache lagringen"
"Cache Type","Cachetyp"
"Cancel","Avbryt"
"Cannot add new comment.","Kan inte lägga till ny kommentar."
"Cannot add tracking number.","Kan inte lägga till sändningsnummer."
"Cannot do shipment for the order.","Kan inte göra försändelse för ordern."
"Cannot save shipment.","Kan inte spara försändelsen."
"Cannot send shipment information.","Kan inte skicka sändelseinformation."
"Cannot update item quantity.","Kan inte uppdatera artikelantal."
"Card Verification Number","Verifikationsnummer för kort"
"Catalog","Katalog"
"Catalog Price Rules","Prisregler för katalog"
"Catalog Rewrites","Katalog överskrivningar"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Checkbox","Kryssruta"
"Choose an attribute","Välj ett attribut"
"Clear","Rensa"
"Close","Stäng"
"Code","Kod"
"Complete","Slutförd"
"Configuration","Konfiguration"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Confirmed email:","Bekräftad e-post:"
"Continue","Fortsätt"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Cookie (unsafe)","Cookie (osäkra)"
"Country","Land"
"Country:","Land:"
"Coupons","Kuponger"
"Create","Skapa"
"Create DB Backup","Skapa DB Backup"
"Create New Attribute","Skapa nytt attribut"
"Created At","Skapades"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Number: xxxx-%s","Bankkortsnummer: xxxx-%s"
"Credit Card Type","Kreditkortstyp"
"Credit Card Type: %s","Typ av bankkort: %s"
"Credit Memo History","Historik kreditnotor"
"Credit Memo Totals","Kreditnotesumma"
"Credit Memos","Kreditnotor"
"Currency","Valuta"
"Currency Information","Valutainformation"
"Currency Setup Section","Valutainställningsdel"
"Current Configuration Scope:","Omfång för nuvarande konfiguration:"
"Current Month","Aktuell månad"
"Custom","Anpassad"
"Custom Variables","Anpassade variabler"
"Customer","Kund"
"Customer Group:","Kundgrupp:"
"Customer Groups","Kundgrupper"
"Customer Name","Kundnamn"
"Customer Reviews","Kundrecensioner"
"Customer Since:","Kund sedan:"
"Customer Tax Classes","Momsklasser för kunder"
"Customer with the same email already exists.","Det existerar redan en kund med den angivna e-postadressen."
"Customers","Kunder"
"Customers by Orders Total","Kunder efter ordersumma"
"DHTML Date/Time Selector","DHTML Datum/Tid väljare"
"Dashboard","Översikt"
"Data Format","Dataformat"
"Data transfer:","Dataöverföring:"
"Database","Databas"
"Date","Datum"
"Date & Time","Datum & tid"
"Date Added","Tillagd datum"
"Date Updated","Uppdaterad den"
"Date selection:","Datumval:"
"Date selector","Datumväljaren"
"Day","Dag"
"Default (Admin) Values","Förvalda (admin) värden"
"Default Billing Address","Förvald faktureringsadress"
"Default Config","Standardinställningar"
"Default Template from Locale","Förvald mall"
"Default Values","Standardvärden"
"Default scope","Förvalt omfång"
"Delete","Ta bort"
"Delete %s","Ta bort %s"
"Delete %s '%s'","Ta bort %s '%s'"
"Delete Block","Ta bort block"
"Delete File","Radera fil"
"Delete Image","Radera bild"
"Delete Profile","Ta bort profil"
"Delete Role","Ta bort Roll"
"Delete Store","Ta bort butik"
"Delete Store View","Tag bort butiksvy"
"Delete Template","Ta bort mallen"
"Delete User","Ta bort användare"
"Delete Website","Ta bort webbplats"
"Description","Beskrivning"
"Design Section","Designdel"
"Details","Detaljer"
"Developer Section","Utvecklardel"
"Direction:","Riktning:"
"Disable","Inaktivera"
"Disabled","Inaktiverad"
"Display %s first","Visa %s först"
"Display default currency","Visa förvald valuta"
"Distributed under GNU LGPL. See %s for details.","Distribuerad under GNU LGPL. Se %s för detaljer."
"Do you really want to KILL parallel process and start new indexing process?","Vill du verkligen STOPPA parallell process och starta ny indexeringprocess?"
"Download","Ladda ner"
"Downloads","Nerladdningar"
"Drag to move","Drag för att flytta"
"Drop-down","Rullgardin"
"Edit","Redigera"
"Edit Block","Redigera block"
"Edit Block '%s'","Ändra blocket '%s'"
"Edit Design Change","Redigera designändring"
"Edit Email Template","Redigera e-postmall"
"Edit Order","Redigera beställning"
"Edit Poll","Ändra enkäten"
"Edit Queue","Ändra kö"
"Edit Role","Redigera roll"
"Edit Store View","Redigera butiksvy"
"Edit System Template","Redigera systemmall"
"Edit Template","Redigera mall"
"Edit URL Rewrite","Redigera URL omskrivning"
"Edit User","Redigera användare"
"Edit User '%s'","Ändra användaren '%s'"
"Edit Website","Ändra webbplats"
"Email","E-post"
"Email Address:","E-postadress:"
"Email to a Friend","E-posta till en vän"
"Email:","Epost:"
"Enable","Aktivera"
"Enabled","Aktiverad"
"Enclose Values In:","Inneslut värden i:"
"Entity Type","Typ av enhet"
"Entity type:","Entitetstyp:"
"Error","Fel"
"Excl. Tax","-Exkl. Moms"
"Excl. Tax:","Excl. moms:"
"Exclude media folder from backup","Utesluta media-mapp från säkerhetskopia"
"Expiration Date","Utgångsdatum"
"Expiration Date: %s/%s","Utgångsdatum: %s/%s"
"Export","Exportera"
"Export CSV","Exportera till CSV"
"Export Filters","Exportera filter"
"Export to:","Exportera till:"
"Export:","Exportera:"
"FTP Host","FTP-värd"
"FTP Host[:Port]","FTP-värd [: Port]"
"FTP Login","FTP-inloggning"
"FTP Password","FTP-lösenord"
"FTP credentials","FTP-uppgifter"
"Failed","Misslyckad"
"Field","Fält"
"Field Mapping","Fältkoppling"
"File","Fil"
"File Information","Filinformation"
"File System","Filsystem"
"File name:","Filnamn:"
"File size should be more than 0 bytes","Filstorleken bör vara större än 0 bytes"
"Finished profile execution.","Verkställning av profilen är klar."
"First Name","Förnamn"
"First Name:","Förnamn:"
"Fixed","Fast"
"Flush Catalog Images Cache","Töm katalogsbilder cachen"
"Flush JavaScript/CSS Cache","Töm javascript/css cachen"
"For category","För kategori"
"For latest version visit: %s","För senaste version besök: %s"
"For product","För produkt"
"Forgot your password?","Glömt ditt lösenord?"
"Forgot your user name or password?","Glömt ditt användarnamn eller lösenord?"
"From","Från"
"Gb","GB"
"General Information","Allmän Information"
"General Section","Allmän del"
"Get Image Base64","Hämta bildens Base64-kod"
"Get help for this page","Få hjälp med denna sida"
"Global Attribute","Globalt attribut"
"Global Record Search","Sök igenom alla butikers poster"
"Global Search","Global sökning"
"Go Today","Gå till Idag"
"Go to Top","Gå till topp"
"Grand Total","Totalsumma"
"Grid (default) / List","Rutnät (standard) / Lista"
"Grid Only","Endast Rutnät"
"Group:","Grupp:"
"Guest","Gäst"
"HTTP (unsecure)","HTTP (osäker)"
"Home","Hem"
"ID Path","ID-sökväg"
"IP Address","IP-adress"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett värde för valet på butiksvynivå kommer det förvalda (Admin) värdet användas."
"Images (.gif, .jpg, .png)","Bilder (.gif, .jpg, .png)"
"Images Cache","Bild cache"
"Import","Importera"
"Import Service","Importtjänst"
"Import and Export Tax Rates","Import och Export skattesatser"
"Import/Export","Importera/Exportera"
"Import/Export Advanced","Avancerad Import/export"
"Import/Export Profile","Importera/Exportera profil"
"Imported <strong>%s</strong> records","Importerade <strong>%s</strong> poster"
"In","I"
"In Database:","I databasen:"
"In File:","i filen:"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inkl moms:"
"Incoming Message","Inkommande meddelande"
"Insert Variable...","Infoga variabel..."
"Interactive","Interaktiv"
"Interface Locale: %s","Språk för gränssnittet: %s"
"Invalid Form Key. Please refresh the page.","Ogiltig Form nyckel. Vänligen uppdatera sidan."
"Invalid Import Service Specified","Ogiltig importtjänst har angetts"
"Invalid Secret Key. Please refresh the page.","Felaktig Secret Key. Vänligen ladda om denna sida."
"Invalid data","Ogiltiga data"
"Invalid directory: %s","Ogiltig katalog: %s"
"Invalid file: %s","Ogiltig fil: %s"
"Invalid input data for %s => %s rate","Ogiltig indata för %s => %s kurs"
"Invalid parent block for this block","Ogiltig överordnat block för detta block"
"Invalidated","Ogiltig"
"Inventory Stock Status","Lagerstatus"
"Invoice #%s comment added","Kommentar till fakturan #%s har lagts till"
"Invoice #%s created","Fakturan #%s har skapats"
"Invoice History","Faktureringshistorik"
"Invoice Totals","Fakturasummor"
"Invoices","Fakturor"
"Is Closed","Är stängd"
"Is Default","Standard"
"Issue Number","Utfärdandenummer"
"Items","Artiklar"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"Kb","KB"
"Last 24 Hours","Senaste 24 timmarna"
"Last 5 Orders","Senaste 5 beställningar"
"Last 5 Search Terms","Senaste 5 sökord"
"Last 7 Days","Senaste 7 dagarna"
"Last Logged In (%s):","Senast inloggade (%s):"
"Last Logged In:","Senast inloggad:"
"Last Name","Efternamn"
"Last Name:","Efternamn:"
"Latest Message:","Senaste meddelande:"
"Layered Navigation Indices","Lagerbaserad filternavigeringsindex"
"Leave empty to use tax identifier","Lämna tom för att använda momsidentifierare"
"Lifetime Sales","Livstids försäljning"
"Links","Länkar"
"List (default) / Grid","Lista (standard) / Rutnät"
"List Only","Endast lista"
"Load Template","Hämta mall"
"Load default template","Ladda förvald mall"
"Loading...","Laddar..."
"Local Server","Lokal server"
"Local/Remote Server","Lokal/fjärrserver"
"Locale","Språk"
"Log In","Logga in"
"Log Out","Logga ut"
"Log in to Admin Panel","Logga in på administrationsdelen"
"Logged in as %s","Inloggad som %s"
"Login","Logga in"
"MAJOR","STÖRRE"
"MINOR","MINDRE"
"MS Excel XML","MS Excel-XML"
"Magento Logo","Magento-logga"
"Magento root directory","Magento rotkatalog"
"Manage Attribute Sets","Redigera attributgrupper"
"Manage Attributes","Hantera attribut"
"Manage Categories","Hantera kategorier"
"Manage Currency Rates","Hantera valutakurser"
"Manage Customers","Hantera kunder"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Manage Ratings","Hantera betyg"
"Manage Stores","Hantera butiker"
"Manage Tax Rules","Hantera skattesatser"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Manual","Manuellt"
"Mb","MB"
"Messages Inbox","Inkorgen"
"Month","Månad"
"Most Viewed","Mest visade"
"Most Viewed Products","Mest visade produkter"
"Multiple Select","Flerval"
"My Account","Mitt konto"
"N/A","Ej tillgängligt"
"NOTICE","MEDDELANDE"
"Name","Namn"
"Name on Card","Namn på kortet"
"Name on the Card: %s","Namn på kortet: %s"
"Name:","Namn:"
"New ","Ny "
"New Accounts","Nya konton"
"New Attribute","Nytt attribut"
"New Block","Nytt block"
"New Category","Ny kategori"
"New Class","Ny klass"
"New Condition","Nytt villkor"
"New Custom Variable","Nya Anpassade variabler"
"New Customer","Ny kund"
"New Customers","Nya kunder"
"New Design Change","Ny designändring"
"New Email Template","Ny e-postmall"
"New Group","Ny grupp"
"New Invoice","Ny faktura"
"New Item Type","Ny produkttyp"
"New Memo","Nytt memo"
"New Page","Ny Sida"
"New Password","Nytt lösenord"
"New Poll","Ny enkät"
"New Profile","Ny profil"
"New Rating","Nytt betyg"
"New Review","Ny Recension"
"New Rule","Ny regel"
"New Search","Ny sökning"
"New Set","Ny grupp"
"New Shipment","Ny sändelse"
"New Sitemap","Ny Sitemap"
"New Store View","Ny butiksvy"
"New System Template","Ny system mall"
"New Tag","Ny etikett"
"New Template","Ny mall"
"New User","Ny användare"
"New Website","Ny webbplats"
"Newsletter","Nyhetsbrev"
"Newsletter Queue","Kö för nyhetsbrev"
"Newsletter Subscribers","Prenumeranter på nyhetsbrev"
"Newsletter Templates","Nyhetsbrev mallar"
"Next month (hold for menu)","Nästa månad (håll inne för meny)"
"Next year (hold for menu)","Nästa år (håll inne för meny)"
"No","Nej"
"No (price without tax)","Nej (pris utan moms)"
"No Data","Inga data"
"No Data Found","Inga Data hittades"
"No Templates Found","Inga mallar hittade"
"No change","Ingen förändring"
"No profile loaded...","Ingen profil har laddats..."
"No records found for this period.","Inga poster har hittats för denna period."
"No records found.","Inga poster funna."
"No search keywords.","Inga sökord."
"No search modules were registered","Ingen Sök-moduler registrerades"
"None","Inga"
"Note:","Anteckning:"
"Notes","Anteckningar"
"Notifications","Aviseringar"
"Number of Orders","Antal beställningar"
"Number of Uses","Antal användningar"
"Number of Views","Antal visningar"
"Number of records:","Antal poster:"
"OK","Ok"
"Old rate:","Gammalt pris:"
"Online Customers","Kunder online"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Endast attribut med <em>omfånget</em> satt till ""Global"", <em>indatatyp</em> satt till ""Rullgardinsmeny"" och <em>Använd för att skapa konfigurerbar produkt</em> satt till ""Ja"" är tillgängliga."
"Only mapped fields","Endast kopplade fält"
"Optional","Valfritt"
"Options","Alternativ"
"Options is required","Alternativ krävs"
"Order","Beställning"
"Order #%s","Beställning #%s"
"Order #%s (%s)","Beställning #%s (%s)"
"Order ID","Order-ID"
"Order Totals","Ordersumma"
"Orders","Beställningar"
"Original Magento attribute names in first row:","Ursprungliga Magento-attributnamn i första raden:"
"Out of stock","Ej i lager"
"Pages","Sidor"
"Parent Product Thumbnail","Föräldrar produktens thumbnail"
"Parent Transaction ID","Överordnat transaktions-ID"
"Passive mode","Passivt läge"
"Password","Lösenord"
"Password Confirmation","Lösenords bekräftelse"
"Password:","Lösenord:"
"Path:","Sökväg:"
"Pending Reviews","Recensioner att granska"
"Pending Tags","Etiketter att granska"
"Per Item","Frakt per vara"
"Per Order","Per beställning"
"Percent","Procent"
"Performed At","Utförd:"
"Permissions","Rättigheter"
"Personal Information","Personlig information"
"Phone:","Telefon:"
"Please Select","Vänligen välj"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vänligen bekräfta byte av webbplats. All data som inte har sparats kommer att förloras."
"Please enter 6 or more characters.","Vänligen ange 6 eller fler tecken."
"Please enter a number greater than 0 in this field.","Vänligen ange ett tal som är större än 0 i detta fält."
"Please enter a valid $ amount. For example $100.00.","Vänligen ange ett giltigt belopp. Exempelvis 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen ange en giltig URL, exempelvis http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Vänligen ange en giltig URL, http:// måste finnas med"
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid date.","Vänligen ange ett giltigt datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen ange en giltig e-postadress, exempelvis namn@example.com."
"Please enter a valid email.","Vänligen ange en giltig e-post."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel +46 23 456 78 90 eller +46 (0)23-456 78 90."
"Please enter a valid social security number. For example 123-45-6789.","Vänligen ange ett giltigt personnummer, exempelvis 010101-0106."
"Please enter a valid value from list","Vänligen ange ett giltigt värde från listan"
"Please enter a valid value, ex: 10,20,30","Vänligen ange ett giltigt värde, exempelvis 10, 20, 30"
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 980 16 eller 231 78."
"Please enter valid password.","Vänligen ange lösenord."
"Please make sure that all global admin search modules are installed and activated.","Kontrollera att alla globala admin Sök moduler är installerat och aktiverat."
"Please make sure that your changes were saved before running the profile.","Vänligen se till att dina ändringar har sparats innan du kör igång profilen."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select State/Province.","Vänligen välj region."
"Please select an option.","Välj ett alternativ."
"Please select customer(s).","Välj kund(er)."
"Please select one of the above options.","Vänligen välj ett av ovanstående alternativ."
"Please select one of the options.","Vänligen välj ett av alternativen."
"Please use in this field only ""a-z,0-9,_"".","Vänligen använd endast tecknen ""a-z,0-9,_"" i detta fält."
"Please use letters only (a-z) in this field.","Vänligen använd endast bokstäver (a-ö) i detta fält."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller blanksteg i fältet."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-ö) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vänligen använd endast bokstäver (a-ö), siffror (0-9), mellanslag eller # (brädgård) i detta fält."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Please wait...","Var god vänta..."
"Poll Manager","Hantera enkäter"
"Polls","Frågeformulär"
"Popular","Populära"
"Position","Plats"
"Position of Watermark for %s","Placering av vattenmärke för %s"
"Prev. month (hold for menu)","Föreg. månad (håll inne för meny)"
"Prev. year (hold for menu)","Föreg. år (håll inne för meny) "
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Price","Pris"
"Price:","Pris:"
"Processed <strong>%s%% %s/%d</strong> records","Bearbetningen av posterna <strong>%s%% %s/%d</strong> är klar"
"Processing","Bearbetar"
"Product","Produkt"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Tax Classes","Momsklasser för produkter"
"Product Thumbnail Itself","Produktens egen Thumbnail"
"Product:","Produkt:"
"Products","Produkter"
"Products Bestsellers Report","Bästsäljande produkter"
"Products Ordered","Beställda produkter"
"Profile Action","Profilåtgärd"
"Profile Actions XML","XML för profilåtgärder"
"Profile Direction","Profilriktning"
"Profile History","Profilhistorik"
"Profile Information","Profilinformation"
"Profile Name","Profilnamn"
"Profile Wizard","Profilguide"
"Profiles","Profiler"
"Promo","Marknadsföring"
"Promotions","Kampanjer"
"Quantity","Antal"
"Queue Refresh","Ladda om kö"
"Queued... Cancel","kö...Avbruten"
"Radio Buttons","Radioknappar"
"Rates","Kurser"
"Read details","Läs detaljer"
"Rebuild","Återskapa"
"Rebuild Catalog Index","Återskapa indexet Katalogfält"
"Rebuild Flat Catalog Category","Återskapa Flat katalog katagorin"
"Rebuild Flat Catalog Product","Återskapa Flat katalog produkterna"
"Recent Orders","Senaste beställningar"
"Redirect","Omdirigera"
"Reference ID","Referens ID"
"Refresh","Ladda om"
"Refresh Now*","Ladda om nu*"
"Refresh Statistics","Uppdatera statistik"
"Region/State","Region/delstat"
"Regular Price:","Ordinarie pris"
"Reject","Förkasta"
"Release","Leveransversion"
"Release Stability","Leveransversionens stabilitet"
"Release Version","Leveransversion"
"Reload captcha","Uppdatera captcha"
"Remote FTP","Fjärr-FTP"
"Remove","Ta bort"
"Reports","Rapporter"
"Request Path","Sökväg för begäran"
"Required","Obligatorisk"
"Reset","Återställ"
"Reset Filter","Återställ Filter"
"Reset Password","Återställ lösenord"
"Reset a Password","Återställ ett Lösenord"
"Resize","Ändra storlek"
"Resource Access","Resursåtkomst"
"Resources","Resurser"
"Results","Resultat"
"Retrieve Password","Hämta lösenord"
"Return Html Version","Återställ Html-version"
"Revenue","Intäkter"
"Reviews","Recensioner"
"Role ID","ID för roll"
"Role Info","Roll Info"
"Role Information","Rollinformation"
"Role Name","Rollnamn"
"Role Resources","Roll resurser"
"Role Users","Roll-användare"
"Roles","Roller"
"Roles Resources","Resurser för roller"
"Root Category","Rotkategori"
"Rotate CCW","Rotera motsols"
"Rotate CW","Rotera medsols"
"Run","Kör"
"Run Profile","Kör profil"
"Run Profile Inside This Window","Kör profil i detta fönster"
"SKU","Art.nr"
"SKU:","Artikelnummer:"
"SSL Error: Invalid or self-signed certificate","SSL-fel: ogiltigt eller självsignerat certifikat"
"Sales","Försäljning"
"Sales Report","Försäljningsrapport"
"Save","Spara"
"Save & Generate","Spara & generera"
"Save Account","Spara konto"
"Save Block","Spara block"
"Save Cache Settings","Spara Cache-inställningar"
"Save Config","Spara Config"
"Save Currency Rates","Spara valutakurser"
"Save Profile","Spara profilen"
"Save Role","Spara roll"
"Save Template","Spara mall"
"Save User","Spara användare"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Search","Sök"
"Search Index","Söknindex"
"Search Term","Sökord"
"Search Terms","Söktermer"
"Search entire store here...","Sök i hela butiken här..."
"Select","Välj"
"Select All","Markera alla"
"Select Category","Välj kategori"
"Select Date","Välj datum"
"Select Range","Välj period"
"Select date","Välj datum"
"Sender","Avsändare"
"Shipment #%s comment added","Kommentar till leveransen #%s har lags till"
"Shipment #%s created","Leveransen #%s har skapats"
"Shipment Comments","Fraktkommentarer"
"Shipment History","Frakthistorik"
"Shipments","Sändelser"
"Shipping","Frakt"
"Shipping Address","Leveransadress"
"Shipping Address: ","Leveransadress: "
"Shipping Price","Fraktavgift"
"Shipping address selection is not applicable","Valet av leveransadress är ej tillämpbart"
"Shipping method selection is not applicable","Valet av fraktmetod är ej tillämpbart"
"Shopping Cart","Kundvagn"
"Shopping Cart Price Rules","Prisregler för varukorg"
"Shopping Cart from %s","Varukorg från %s"
"Show Reviews","Visa recensioner"
"Sitemap Information","Sitemap information"
"Size for %s","Storlek för %s"
"Skip Category Selection","Hoppa över Kategorival"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Vissa artiklar op denna order har separat faktura- och leveransadress. Du kan skapa leverans först efter att faktura har skapats."
"Sorry, this feature is coming soon...","Denna funktionalitet kommer att finnas tillgänglig inom kort. Vi ber om ursäkt för besväret."
"Special Price:","Specialpris:"
"Specific Countries","Specifika länder"
"Specified","Angivna"
"Spreadsheet Name:","Namn för kalkylblad:"
"Start Date","Startdatum"
"Starting at:","Börjar på:"
"Starting profile execution, please wait...","Börjar köra profilen, vänligen vänta..."
"State/Province:","Län/provins:"
"Static Blocks","Statiska block"
"Status:","Status"
"Stock Quantity:","Lagersaldo:"
"Store","Butik"
"Store Email Addresses Section","E-post adresser för butik"
"Store View","Butiksvy"
"Store:","Butik:"
"Stores","Butiker"
"Subject","Ämne"
"Submit","Skicka"
"Subtotal","Delsumma"
"Switch/Solo card issue number: %s","Nummer för Switch/Solo-bankkort: %s"
"Switch/Solo card start Date: %s/%s","Startdatum för Switch/Solo-bankkort: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Endast Switch/Solo/Maestro"
