"(Excl. Tax)","(Exkl. Moms)"
"My Cart Link","Mina Länk för Varukorgen"
"New Address","Ny adress"
"New Condition","Nytt villkor"
"New Terms and Conditions","Allmänna villkor"
"No Payment Methods","Inga betalningsmetoder tillgängliga"
"One Page Checkout","Ensideskassa"
"Order #","Beställning #"
"Order Review","Granska beställning"
"Order Success","Beställningen har lagts"
"Password","Lösenord"
"Payment Failed Email Reciever","Betalning misslyckades epostmottagare"
"Payment Failed Email Sender","E-post Sändare för Misslyckade Betalningar"
"Payment Failed Emails","E-post för Misslyckade Betalningar"
"Payment Failed Template","Mall för Misslyckade Betalningar"
"Payment Information","Betalinformation"
"Payment Method","Betalningsmetod"
"Payment method is not defined","Betalningssätt har inte angetts"
"Place Order","Beställ"
"Please agree to all Terms and Conditions before placing the order.","Vänligen godkänn köpvillkoren innan du genomför beställningen."
"Please agree to all Terms and Conditions before placing the orders.","Vänligen acceptera köpvillkoren för att kunna beställa."
"Please agree to all the terms and conditions before placing the order.","Du måste acceptera villkoren innan du lägger en order."
"Please choose to register or to checkout as a guest","Vänligen registrera dig som kund eller checka ut som gäst"
"Please log in below:","Vänligen logga in nedan:"
"Please select region, state or province","Ange region eller område"
"Please select shipping address for applicable items","Vänligen välj leveransadress"
"Please select shipping methods for all addresses","Vänligen välj leveranssätt för alla adresser"
"Please specify payment method.","Vänligen ange betalningssätt."
"Please specify shipping method.","Vänligen ange fraktsätt."
"Price","Pris"
"Proceed to Checkout","Gå vidare till Kassan"
"Product","Produkt"
"Product Name","Produktnamn"
"Products","Produkter"
"Qty","Antal"
"Qty:","Antal:"
"Quantity","Antal"
"Quote Lifetime (days)","Offert Livstid (dagar)"
"Recently added item(s)","Nyligen tillagda produkter"
"Register","Registrera"
"Register and save time!","Registrera dig och spara tid!"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Register with us for future convenience:","Om du registrerar dig kan du handla smidigare i framtiden:"
"Remove Item","Ta bort Artikel"
"Remove This Item","Ta bort Denna Artikel"
"Remove item","Ta bort artikel"
"Review Order","Granska beställning"
"Review Order - %s","Granska beställning - %s"
"SKU","Art.nr"
"Sales","Försäljning"
"Save Condition","Spara Regelvillkor"
"Save in address book","Spara i adressboken"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Select Address","Välj adress"
"Select Addresses","Välj adresser"
"Select Shipping Method","Välj fraktsätt"
"Select State/Province...","Välj region..."
"Select a billing address from your address book or enter a new address.","Välj fakturasadress från adressboken eller ange en ny adress."
"Select a shipping address from your address book or enter a new address.","Välj en leveransadress från din adressbok eller ange en ny adress."
"Send Payment Failed Email Copy Method","Skicka Misslyckad Betalning E-post Kopia Metod"
"Send Payment Failed Email Copy To","Skicka Misslyckad Betalning E-post Kopia Till"
"Separate by "","".","Avgränsa med "",""."
"Ship to Multiple Addresses","Leverera till flera adresser"
"Ship to different address","Leverera till annan adress"
"Ship to this address","Leverera till denna adress"
"Shipping Address","Leveransadress"
"Shipping Information","Leveransinformation"
"Shipping Method","Leveransmetod"
"Shipping Methods","Fraktsätt"
"Shipping method has not been selected yet","Något leveranssätt har inte valts än"
"Shopping Cart","Kundvagn"
"Shopping Cart Sidebar","Miniatyrvarukorg"
"Shopping Cart is Empty","Din varukorg är tom"
"Show Content as","Visa innehåll som"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Gästutcheckning är inte aktiverad. Vänligen försök igen senare eller kontakta butiksadministratören."
"Sorry, no quotes are available for this order at this time.","Tyvärr är det för närvarande inte möjligt att begära offert för denna beställning."
"State/Province","Län"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Submitting order information...","Skickar information om beställning..."
"Subtotal","Delsumma"
"Telephone","Telefon"
"Terms and Conditions","Regler och Villkor"
"Terms and Conditions Information","Information om Allmänna Villkor"
"Terms and conditions","Köpvillkor"
"Thank you for your purchase!","Tack för ditt köp!"
"The product does not exist.","Produkten finns inte."
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod när din beställning skulle behandlas. Vänligen kontakta oss eller försök igen senare."
"This condition no longer exists.","Detta villkor existerar inte längre."
"Total","Summa"
"Total for this address","Totalt för denna adress"
"Unit Price","Styckpris"
"Update","Uppdatera"
"Update Cart","Uppdatera Kundvagn"
"Update Qty &amp; Addresses","Uppdatera antal &amp; adresser"
"Update Shopping Cart","Uppdatera Kundvagn"
"Update Total","Uppdatera total"
"Use Billing Address","Använd fakturaadress"
"VAT Number","VAT-nummer"
"View Shopping Cart","Visa kundvagn"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","En orderbekräftelse skickas så snart vi behandlat din order. När ordern levereras skickar vi även en leveransbekräftelse. I leveransbekräftelsen bifogas kolli-id och en länk så att du kan följa försändelsen."
"What's this?","Vad är detta?"
"You have no items in your shopping cart.","Du har inga artiklar i din kundvagn."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en bekräftelse skickat till din e-postadress med detaljerna för din beställning och information om hur du kan spåra försändelsen."
"Your Checkout Progress","Steg i kassan"
"Your order number is ","Ditt beställningsnr är"
"Zip/Postal Code","Postnummer"
"or","eller"
