"-- Please Select --","-- Виберіть --"
"Merge CSS Files","Об'єднати Файли CSS"
"Merge JavaScript Files","Об'єднати JavaScript Файли"
"Name","Назва"
"New Design Change","Нові зміни в дизайні"
"New Store","Новий Магазин"
"New Store View","Новий Вид Магазину"
"New Website","Нвий вебсайт"
"No","Ні"
"Offloader header","Заголовок Вивантажувача"
"Package","Пакет"
"Pagination","Пагінація"
"Pagination Frame","Кадрування Пагінації"
"Pagination Frame Skip","Пропустити Кадрування Пагінації"
"Please enter a number 0 or greater in this field.","Будь ласка, введіть у це поле число 0 або більше."
"Please enter a number 1 or greater in this field.","Будь-ласка, введіть у це поле число 1 або більше."
"Please enter a number greater than 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please enter a valid $ amount. For example $100.00.","Будь-ласка, введіть дійсну суму $. Наприклад $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Будь-ласка, введіть вірний URL. Наприклад http://www.example.com або www.example.com"
"Please enter a valid credit card number.","Будь ласка, введіть правильний номер кредитної карти."
"Please enter a valid credit card verification number.","Будь ласка, введіть правильний номер перевірки кредитної картки."
"Please enter a valid date.","Будь ласка, вкажіть правильну дату."
"Please enter a valid email address. For example johndoe@domain.com.","Будь-ласка, введіть вірну email адресу.
Наприклад ivandoe@domain.com."
"Please enter a valid number in this field.","Будь ласка, введіть у це поле дійсне число."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Будь-ласка, введіть вірний номер телефону. Наприклад (123) 456-7890 або 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Будь-ласка, введіть вірний номер соціального страхування. Наприклад 123-45-6789."
"Please enter a valid zip code.","Введіть правильний поштовий індекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний поштовий код. Наприклад 90602 або 90602-1234."
"Please make sure your passwords match.","Переконайтеся, що ваші паролі співпадають."
"Please select State/Province.","Будь ласка, виберіть область."
"Please select an option.","Будь ласка, виберіть варіант."
"Please select one of the above options.","Будь-ласка, виберіть одну з вищенаведених варіантів."
"Please select one of the options.","Будь ласка, виберіть одну з опцій."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), або символ підкреслення(_) для цього поля. Перший знак повинен бути літерою."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Будь-ласка, використовуйте наступний формат дати: дд/мм/рррр. Наприклад 17/03/2006 для 17го Березня, 2006 року."
"Please wait, loading...","Будь-ласка, зечекайте.Йде завантаження.."
"Port (25)","Порт (25)"
"Profiler","Профайлер"
"Recovery Link Expiration Period (hours)","Період Закінчення Відновлення Посилання (години)"
"Return-Path Email","Зворотній Шлях Електронної Пошти"
"Root Category","Коренева Категорія"
"Sales Representative","Торговий Представник"
"Save","Зберегти"
"Save Store","Зберегти Магазин"
"Save Store View","Зберегти Вид Магазину"
"Save Website","Зберегти вебсайт"
"Search Engines Optimization","Оптимізація під пошукові двигуни"
"Secure","Захищене з'єднання"
"Security","Безпека"
"Select Date","Вибрати дату"
"Sender Email","Електронна Пошта Відправника"
"Sender Name","Ім'я Відправника"
"Services","Сервіси"
"Session Validation Settings","Налаштування Валідації Сесії"
"Set Return-Path","Задати Зворотній Шлях"
"Set as Default","Зробити Значенням за Замовчуванням"
"Skin (Images / CSS)","Скін (Зображення/ CSS)"
"Sort Order","Порядок Сортування"
"Startup Page","Стартова сторінка"
"Status","Статус"
"Store","Магазин"
"Store Email Addresses","Адреси Електронної Пошти Магазину"
"Store Hours of Operation","Часи Роботи Магазину"
"Store Information","Інформація Магазину"
"Store Name","Назва Магазину"
"Store View","Вид Магазину"
"Store View Information","Інформація Виду Магазину"
"Store View Name","Назва магазину"
"Store view doesn't exist","Вид магазину не існує"
"Store with the same code","Крамниця з таким самим кодом"
"System","Система"
"Template Path Hints","Підказка шляху шаблону"
"Template Settings","Налаштування Шаблонів"
"Template Variables","Змінні шаблону"
"Templates","Шаблони"
"The store does not exist","Магазин не існує"
"The website does not exist.","Вебсайт не інсує."
"Themes","Теми"
"This category only","Виключно ця категорія"
"This is a required field.","Це поле є обов'язковим."
"This store cannot be deleted.","Цей магазин не може бути видаленим."
"This store view cannot be deleted.","Цей вид магазину не може бути видаленим."
"This website cannot be deleted.","Цей вебсайт не може бути видаленим."
"Timezone","Часовий пояс"
"Transactional Emails","Транзакційні листи"
"Translate Inline","Перекласти у Тексті"
"Translations","Переклади"
"Unsecure","Незахищене з'єднання"
"Url Options","Опції Url-адреси"
"Use Custom Admin Path","Використовувати Користувальницький Шлях Адміністратора"
"Use Custom Admin URL","Використовувати Користувальницьку URL-адресу Адміністратора"
"Use HTTP Only","Використовувати лише HTTP"
"None","Жоден"
"Use Secure URLs in Admin","Використовувати Безпечні URL-адреси в Адмін-панелі"
"Use Secure URLs in Frontend","Використовувати захищені URL у зовнішньому інтерфейсі"
"Use Web Server Rewrites","Використовувати Перезаписи Веб Серверу"
"VAT Number","Номер VAT"
"Validate HTTP_USER_AGENT","Перевірити HTTP_USER_AGENT"
"Validate HTTP_VIA","Перевірити HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Перевірити HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Валідувати REMOTE_ADDR"
"Web","Веб"
"Website","Веб-сайт"
"Website Information","Інформація про вебсайт"
"Website Name","Назва вебсайту"
"Website with the same code","Вебсайт з одинаковим кодом"
"Weekend Days","Вихідні Дні"
"Wrong number of arguments for %s","Невірна кількість аргументів для %s"
"Yes","Так"
"Frontend","Зовнішній інтерфейс"
