"* Required Fields","* Обов'язкові поля"
"Edit Items","Редагувати товари"
"Edit Shipping Address","Адреса доставки"
"Edit Terms and Conditions","Редагувати правила та умови"
"Edit Your Cart","Редагувати кошик"
"Edit item parameters","Редегувати параметри позиції"
"Email Address","Електронна пошта"
"Enable Onepage Checkout","Увімкнути розрахунок на одній сторінці"
"Enabled","Ввімкнено"
"Enter a New Address","Ввести нову адресу"
"Enter your coupon code if you have one.","Якщо Ви маєте сертифікат на знижку, введіть його код."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Estimate Shipping and Tax","Оцінка доставки та податків"
"Excl. Tax","Викл. податки"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Fax","Факс"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули Ваш пароль?"
"Get a Quote","Отримати загальну вартість"
"Gift Message","Подарункове повідомлення"
"Grand Total:","Загальний підсумок:"
"ID","Ідентифікатор"
"Incl. Tax","З податками"
"Invalid shipping method.","Невірний метод доставки."
"Items","Елементи"
"Load customer quote error","Помилка при спробі завантаження користувацьких даних"
"Loading next step...","Завантаження наступного кроку..."
"Login","Увійти"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"Move to Wishlist","Перемістити до списку бажань"
"My Cart","Кошик"
"My Cart (%s item)","Кошик (%s од.)"
"My Cart (%s items)","Кошик (%s од.)"
"My Cart Link","Посилання на кошик"
"New Address","Нова адреса"
"New Condition","Нова умова"
"New Terms and Conditions","Нові правила та умови"
"No Payment Methods","Не вибрано спосіб оплати"
"Order #","Замовлення #"
"Order Review","Огляд замовлення"
"Order Success","Замовлення здійснено вдало!"
"Password","Пароль"
"Payment Failed Email Sender","Відправник листів щодо замовлень з невдалою оплатою"
"Payment Failed Emails","Інформування щодо замовлень з невдалою оплатою (ел. пошта)"
"Payment Failed Template","Шаблон листа щодо замовлення з невдалою оплатою"
"Payment Information","Відомості про оплату"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не вказано"
"Place Order","Розмістити Замовлення"
"Please agree to all Terms and Conditions before placing the order.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please agree to all Terms and Conditions before placing the orders.","Потрібна ваша згода на умови надання послуг перш ніж дати замовлення."
"Please agree to all the terms and conditions before placing the order.","Буль-ласка, погодьтеся з усіма правилами та умовами перед тим як розмістити замовлення."
"Please log in below:","Будь ласка, увійдіть у систему нижче:"
"Please select region, state or province","Будь-ласка, оберіть регіон, штат або область"
"Please select shipping address for applicable items","Будь ласка, виберіть адресу отримувача для придатних товарів"
"Please select shipping methods for all addresses","Будь-ласка, виберіть способи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Перейти до оформлення замовлення"
"Product","Продукт"
"Product Name","Назва товару"
"Products","Товари"
"Qty","Кіл-ть"
"Qty:","Кількість:"
"Quantity","Кількість"
"Quote Lifetime (days)","Час життя заявки (дні)"
"Recently added item(s)","Нещодавно доданий крам"
"Register","Реєстрація"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Remove Item","Видалити елемент"
"Remove This Item","Видалити Цей Елемент"
"Remove item","Видалити елемент"
"Review Order","Перевірте замовлення"
"Review Order - %s","Перевірте замовлення - %s"
"SKU","Артикул"
"Sales","Продажі"
"Save Condition","Зберегти умову"
"Save in address book","Зберегти в адресну книгу"
"See price before order confirmation.","Перегляньте ціну перед підтвердженням замовлення."
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Оберіть спосіб доставки"
"Select State/Province...","Виберіть область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Спосіб надсилання копії повідомлення щодо замовлення з невдалою оплатою"
"Send Payment Failed Email Copy To","Надіслати копію листа з інформацією щодо замовлення з невдалою оплатою на таку адресу"
"Separate by "","".","Окремо від "",""."
"Ship to Multiple Addresses","Доставити за кількома адресами"
"Ship to different address","Доставити на іншу адресу"
"Ship to this address","Доставити на цю адресу"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація про доставку"
"Shipping Method","Спосіб доставки"
"Shipping Methods","Способи доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Shopping Cart","Кошик"
"Shopping Cart is Empty","Кошик порожній"
"Show Content as","Показати зміст як"
"State/Province","Штат/Область"
"Status","Статус"
"Store View","Вид Магазину"
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Submitting order information...","Відбувається відправлення даних замовлення..."
"Subtotal","Проміжні підсумки"
"Telephone","Телефон"
"Terms and Conditions","Правила та умови використання"
"Terms and Conditions Information","Інформація про правила та умови"
"Terms and conditions","Умови надання послуг"
"Text","Текст"
"Thank you for your purchase!","Дякуємо за покупку!"
"The product does not exist.","Продукт не існує."
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"This condition no longer exists.","Цієї умови більше не існує."
"Total","Загалом"
"Total for this address","Загальна сума замовлення на цю адресу"
"Unit Price","Ціна одиниці"
"Update","Оновити"
"Update Cart","Оновлення кошику"
"Update Qty &amp; Addresses","Оновити кількість &amp; адреси"
"Update Shopping Cart","Оновити кошик"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу платника"
"VAT Number","Номер VAT"
"View Shopping Cart","Переглянути кошик покупок"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"What's this?","Що це?"
"You have no items in your shopping cart.","У вас немає товарів в кошику."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Відбувається виконання вашого замовлення"
"Your order number is ","Вашому замовленню надано номер "
"Zip/Postal Code","Поштовий індекс"
"or","або"
