" [deleted]"," [видалено]"
"All Websites","Всі Веб-сайти"
"All countries","Всі країни"
"All fields","Всі поля"
"Amounts","Суми"
"An error occurred while clearing the JavaScript/CSS cache.","Сталася помилка під час очищення JavaScript/CSS кешу."
"An error occurred while clearing the image cache.","Сталася помилка під час очищення кешу зображення."
"An error occurred while saving account.","Сталася помилка під час збереження облікового запису."
"Any","Будь-який"
"Any Attribute Set","Будь-який набір атрибутів"
"Any Group","Будь-яка група"
"Any Status","Будь-який статус"
"Any Store","Будь-яака група магазинів"
"Any Type","Будь-який тип"
"Any Visibility","Будь-яка видимість"
"Archive file name:","Назва архівного файлу:"
"Are you sure that you want to delete this template?","Ви впевнені, що бажаєте видалити цей шаблон?"
"Are you sure that you want to strip tags?","Ви впевнені, що бажаєте забрати мітки?"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"As low as:","Всього за:"
"Assigned","Призначено"
"Attribute Set Name:","Назва набору атрибутів:"
"Attributes","Атрибути"
"Authorize","Авторизувати"
"Automatic (equalize price ranges)","Автоматично (зрівняти діапазони цін)"
"Automatic (equalize product counts)","Автоматично (зрівняти кількості товарів)"
"Average Order Amount","Середня вартість замовлення"
"Average Orders","Середьо-статистичні замовлення"
"Back","Назад"
"Back to Login","Назад до входу в систему"
"Backup","Резервне копіювання"
"Backup Name","Назва резервної копії"
"Backup options","Опції Резервної Копії"
"Backups","Резервні копії"
"Base currency","Основна валюта"
"Bestsellers","Лідери продажів"
"Billing Address","Платіжна Адреса"
"Billing Agreements","Білінгові угоди"
"Block Information","Інформація про блок"
"Blocks","Блоки"
"Both (without and with tax)","Два варіанти(з та без опадаткування)"
"Browse Files...","Перегляд Файлів..."
"Cache Control","Керування Кешем"
"Cache Management","Управління Кешем"
"Cache Type","Тип Кешу"
"Cancel","Скасувати"
"Card Verification Number","Номер Підтвердження Картки"
"Catalog","Каталог"
"Catalog Price Rules","Правила цін каталога"
"Catalog Rewrites","Перезаписи Каталогу"
"Categories","Категорії"
"Category","Категорія"
"Category:","Категорія:"
"Checkbox","Прапорець"
"Choose an attribute","Виберіть атрибут"
"Clear","Очистити"
"Close","Закрити"
"Code","Код"
"Complete","Закінчувати"
"Configuration","Налаштування"
"Confirm New Password","Підтвердьте новий пароль"
"Continue","Продовжити"
"Convert to Plain Text","Перетворити на звичайний текст"
"Country","Країна"
"Country:","Країна:"
"Coupons","Сертифікати"
"Create","Створити"
"Create DB Backup","Створити Резервну Копію БД"
"Create New Attribute","Створити Новий Атрибут"
"Created At","Створений в"
"Credit Card Number","Номер Кредитної Картки"
"Credit Card Number: xxxx-%s","Номер кредитної картки: xxxx-%s"
"Credit Card Type","Тип Кредитної Картки"
"Credit Card Type: %s","Тип кредитної картки: %s"
"Credit Memo History","Історія повернення платежів"
"Credit Memo Totals","Сума повернення платежів"
"Credit Memos","Повернення платежів"
"Currency","Валюта"
"Currency Information","Інформація про валюту"
"Current Configuration Scope:","Поточні межі налаштування:"
"Current Month","Поточний Місяць"
"Custom","Користувацький"
"Customer","Покупець"
"Customer Group:","Група покупців:"
"Customer Groups","Групи Покупців"
"Customer Name","Ім'я клієнта"
"Customer Reviews","Відгуки клієнта"
"Customer Since:","Є клієнтом з:"
"Customer Tax Classes","Класи податків клієнта"
"Customer with the same email already exists.","Клієнт з такою email адресою вже існує."
"Customers","Покупці"
"Dashboard","Панель управління"
"Data Format","Формат дати"
"Data transfer:","Передача даних:"
"Database","База даних"
"Date","Дата"
"Date & Time","Дата і час"
"Date Added","Дата додавання"
"Date Updated","Оновлено"
"Date selector","Вибір дати"
"Day","День"
"Debug","Відладка"
"Default (Admin) Values","(Адміністративні) Значення за замовчуванням"
"Default Billing Address","Адреса виставлення рахунка за промовчанням"
"Default Config","Типова конфігурація"
"Default Template from Locale","Шаблон за замовчуванням з Locale"
"Default Values","Типові значення"
"Default scope","Область використання за замовчуванням"
"Delete","Видалити"
"Delete Block","Видалити блок"
"Delete File","Видалити файл"
"Delete Profile","Видалити профіль"
"Delete Role","Видалити роль"
"Delete Store","Видалити магазин"
"Delete Store View","Видалити Вид Магазину"
"Delete Template","Видалити шаблон"
"Delete User","Видалити користувача"
"Delete Website","Видалити вебсайт"
"Description","Опис"
"Design","Дизайн"
"Details","Подробиці"
"Direction:","Дія:"
"Disable","Вимкнути"
"Disabled","Вимкнено"
"Display default currency","Відображати валюту за замовчуванням"
"Download","Завантажити"
"Downloads","Завантаження"
"Drop-down","Випадаючий"
"Edit","Редагувати"
"Edit Block","Редагувати блок"
"Edit Block '%s'","Редагувати блок '%s'"
"Edit Design Change","Редагувати Зміну Дизайну"
"Edit Email Template","Редагувати шаблон листа"
"Edit Order","Редагувати замовлення"
"Edit Poll","Редагувати опитування"
"Edit Queue","Редагувати чергу"
"Edit Role","Редагувати роль"
"Edit Store View","Редагувати Вид Магазину"
"Edit System Template","Редагувати системний шаблон"
"Edit Template","Редагувати шаблон"
"Edit User","Редагувати користувача"
"Edit User '%s'","Редагувати користувача '%s'"
"Edit Website","Редагувати вебсайт"
"Email","Електронна пошта"
"Email Address:","Електронна пошта:"
"Email to a Friend","Надіслати другу"
"Email:","Електронна пошта:"
"Enable","Увімкнути"
"Enabled","Ввімкнено"
"Enclose Values In:","Взяти значення в:"
"Entity Type","Тип об'єкту"
"Entity type:","Тип об'єкту:"
"Error","Помилка"
"Excl. Tax","Викл. податки"
"Exclude media folder from backup","Виключити медіа папку з резервної копії"
"Expiration Date","Дата Збігає"
"Expiration Date: %s/%s","Дата завершення: %s/%s"
"Export","Експорт"
"Export CSV","Експорт CSV"
"Export Filters","Фільтр експорту"
"Export to:","Експорт до:"
"Export:","Експорт:"
"FTP Host","FTP вузол"
"FTP Host[:Port]","FTP хост[:порт]"
"FTP Login","FTP логін"
"FTP Password","FTP пароль"
"FTP credentials","Облікові дані FTP"
"Failed","Не вдалося"
"Field Mapping","Співставлення полів"
"File","Файл"
"File Information","Інформація про файл"
"File name:","Назва файлу:"
"File size should be more than 0 bytes","Розмір файлу повинен бути більшим 0 байт"
"Finished profile execution.","Виконання профілю завершено."
"First Name","Ім'я"
"First Name:","Ім'я:"
"Fixed","Фіксована"
"Flush Catalog Images Cache","Скинути Кеш Зображень Каталогу"
"Flush JavaScript/CSS Cache","Скинути JavaScript/CSS Кеш"
"Forgot your password?","Забули Ваш пароль?"
"Forgot your user name or password?","Забули логін або пароль?"
"From","Від"
"Gb","Гб"
"General Information","Загальна інформація"
"Get Image Base64","отримати зображення в Base64"
"Global Attribute","Глобальний атрибут"
"Global Record Search","Глобальний пошук"
"Global Search","Глобальний Пошук"
"Go Today","Перейти на Сьогодні"
"Grand Total","Загальний підсумок"
"Grid (default) / List","Сітка (типово) / Список"
"Grid Only","Тільки сітка"
"Group:","Група:"
"Guest","Гість"
"HTTP (unsecure)","HTTP (не захщений)"
"Home","Головна"
"ID","Ідентифікатор"
"ID Path","Шлях ID"
"IP Address","IP адреса"
"Id","Ідентифікатор"
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)"
"Images Cache","Кеш Зображень"
"Import","Імпорт"
"Import Service","Імпорт послуг"
"Import/Export","Імпорт/Експорт"
"Import/Export Profile","Профіль Імпорту/Експорту"
"Imported <strong>%s</strong> records","Імпортовано <strong>%s</strong> записів"
"In","В"
"In Database:","В базі даних:"
"In File:","У файлі:"
"Inactive","Неактивний"
"Incl. Tax","З податками"
"Incoming Message","Вхідне повідомлення"
"Insert Variable...","Вставити змінну..."
"Interactive","Інтерактивна"
"Interface Locale: %s","Локальний інтерфейс: %s"
"Invalid Form Key. Please refresh the page.","Недійсний Ключ Форми. Будь-ласка, оновіть сторінку."
"Invalid Import Service Specified","Вказано невірну послугу імпорту"
"Invalid data","Некоректні дані"
"Invalid directory: %s","Невірна директорія: %s"
"Invalid file: %s","Невірний файл: %s"
"Invalid input data for %s => %s rate","Невірні ввідні дані для  %s => %s ставки"
"Invalidated","Визнано недійсним"
"Inventory Stock Status","Статус Запасу"
"Invoice #%s comment added","Було долано нотатку до Рахунку #%s "
"Invoice #%s created","Рахунок #%s створено"
"Invoice History","Історія рахунків"
"Invoice Totals","Загальні суми рахунку"
"Invoices","Рахунки"
"Is Default","Є за промовчанням"
"Issue Number","Номер емітента картки"
"Items","Елементи"
"JavaScript/CSS Cache","JavaScript/CSS Кеш"
"Kb","Кб"
"Last 24 Hours","Останні 24 Години"
"Last 5 Orders","Останні 5 замовлень"
"Last 5 Search Terms","Останні 5 пошукових умов"
"Last 7 Days","Останні 7 Днів"
"Last Logged In:","Останній візит:"
"Last Name","Прізвище"
"Last Name:","Прізвище:"
"Lifetime Sales","Довічні Продажі"
"Links","Посилання"
"List (default) / Grid","Список (типово) / СІтка"
"List Only","Тільки список"
"Load Template","Завантажити шаблон"
"Load default template","Завантажити шаблон за замовчуванням"
"Loading...","Завантаження..."
"Local Server","Локальний сервер"
"Local/Remote Server","Локальний/Віддалений сервер"
"Locale","Локалізація"
"Log In","Вхід"
"Log Out","Вийти"
"Log in to Admin Panel","Увійти  до Панелі Адміністрування"
"Logged in as %s","Ви увійшли як %s"
"Login","Увійти"
"OpenMage Admin","Адмін-панель OpenMage"
"Magento Logo","Логотип OpenMage"
"Magento root directory","Коренева папка OpenMage"
"Content","Вміст"
"Tax Rules","Правиила податку"
"Manual","Ручний"
"Mb","Мб"
"Media (.avi, .flv, .swf)","Медіа (.avi, .flv, .swf)"
"Messages Inbox","Вхідні повідомлення"
"Month","Місяць"
"Most Viewed","Товари, що найчастіше переглядаються"
"Most Viewed Products","Найбільш Просмотрювані Товари"
"Multiple Select","Множинний вибір"
"My Account","Мій обліковий запис"
"N/A","Н/Д"
"NOTICE","ПОВІДОМЛЕННЯ"
"Name","Назва"
"Name on Card","Ім’я та прізвище на картці"
"Name on the Card: %s","Ім’я та прізвище на картці: %s"
"Name:","Назва:"
"New ","Новий "
"New Accounts","Новий акаунт"
"New Attribute","Новий атрибут"
"New Block","Новий блок"
"New Category","Нова категорія"
"New Class","Новий клас"
"New Condition","Нова умова"
"New Customer","Новий покупець"
"New Customers","Нові покупці"
"New Design Change","Нові зміни в дизайні"
"New Email Template","Новий шаблон листа"
"New Group","Нова група"
"New Invoice","Новий рахунок"
"New Page","Нова сторінка"
"New Password","Новий пароль"
"New Poll","Нове опитування"
"New Profile","Новий профіль"
"New Rating","Новий рейтинг"
"New Review","Новий відгук"
"New Rule","Нове правило"
"New Search","Новий пошук"
"New Set","Новий набір"
"New Shipment","Нова доставка"
"New Sitemap","Нова карта сайту"
"New Store View","Новий Вид Магазину"
"New System Template","Новий системний шаблон"
"New Tag","Новий тег"
"New Template","Новий шаблон"
"New User","Новий користувач"
"New Website","Нвий вебсайт"
"Newsletter","Розсилка новин"
"Newsletter Queue","Черга"
"Newsletter Subscribers","Клієнти, підписані на інформаційні листи"
"Newsletter Templates","Шаблони"
"No","Ні"
"No (price without tax)","Ні(ціна без врахування податків)"
"No Data Found","Дані Не Знайдено"
"No Templates Found","Жодного шаблону не знайдено"
"No change","Без змін"
"No profile loaded...","Жодного профілю не завантажено..."
"No records found for this period.","Для вказаного періоду не знайдено жодного запису."
"No records found.","Записів не знайдено."
"No search keywords.","Відсутні ключові слова для пошуку."
"No search modules were registered","Жодного пошукового модуля не було зареєстровано"
"None","Жоден"
"Note:","Примітка:"
"Notes","Нотатки"
"Notifications","Сповіщення"
"Number of Orders","Кількість замовлень"
"Number of Uses","Кількість запитів"
"Number of Views","Кількість переглядів"
"OK","ОК"
"Old rate:","Старий курс:"
"Online Customers","Клієнти он-лайн"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Доступні виключно атрибути з діапазоном ""Глобальне значення"", поля вводу типу ""Випадаюче меню"" та для створення конфігурованого продукту ."
"Only mapped fields","Виключно співставлені поля"
"Optional","Додатково"
"Options","Варіанти"
"Options is required","Необхідно вказати варіанти"
"Order","Замовлення"
"Order #%s","Замовлення #%s"
"Order #%s (%s)","Замовлення #%s (%s)"
"Order ID","Ідентифікатор замовлення"
"Order Totals","Загальна сума замовлення"
"Orders","Замовлення"
"Original Magento attribute names in first row:","Оригінальні назви атрибута OpenMage в першому рядку :"
"Out of stock","Немає у наявності"
"Pages","Сторінки"
"Parent Product Thumbnail","Мініатюра батьківського продукту"
"Passive mode","Пасивний режим"
"Password","Пароль"
"Password Confirmation","Підтвердження Паролю"
"Password:","Пароль:"
"Path:","Шлях:"
"Pending Reviews","Відгуки в очікуванні"
"Pending Tags","Теги в очікуванні"
"Per Item","за шт."
"Per Order","За замовлення"
"Percent","Відсоток"
"Performed At","Виконано"
"Period","Період"
"Permissions","Права"
"Personal Information","Персональна інформація"
"Phone:","Телефон:"
"Please Select","Виберіть, будь ласка"
"Please confirm site switching. All data that hasn't been saved will be lost.","Будь ласка, підтвердіть зміну сайту. Всі незбережені дані буде втрачено."
"Please enter 6 or more characters.","Будь-ласка, введіть 6 або більше знаків."
"Please enter a number greater than 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please enter a valid $ amount. For example $100.00.","Будь-ласка, введіть дійсну суму $. Наприклад $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Будь-ласка, введіть вірний URL. Наприклад http://www.example.com або www.example.com"
"Please enter a valid URL. http:// is required","Будь-ласка, введіть вірний URL. Обов'язково поставте http:// перед адресою"
"Please enter a valid credit card number.","Будь ласка, введіть правильний номер кредитної карти."
"Please enter a valid date.","Будь ласка, вкажіть правильну дату."
"Please enter a valid email address. For example johndoe@domain.com.","Будь-ласка, введіть вірну email адресу.
Наприклад ivandoe@domain.com."
"Please enter a valid number in this field.","Будь ласка, введіть у це поле дійсне число."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Будь-ласка, введіть вірний номер телефону. Наприклад (123) 456-7890 або 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Будь-ласка, введіть вірний номер соціального страхування. Наприклад 123-45-6789."
"Please enter a valid value from list","Будь ласка, введіть припустиме значення зі списку"
"Please enter a valid value, ex: 10,20,30","Будь-ласка, введіть вірне значення, напр.: 10,20,30"
"Please enter a valid zip code.","Введіть правильний поштовий індекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний поштовий код. Наприклад 90602 або 90602-1234."
"Please enter valid password.","Будь-ласка, введіть вірний пароль."
"Please make sure that all global admin search modules are installed and activated.","Будь-ласка, переконайтеся, що усі загальні пошукові модулі адміністратора встановлені та активовані."
"Please make sure that your changes were saved before running the profile.","Будь-ласка, переконайтесь в тому, що Ваші зміни були зережені перед активуванням профілю."
"Please make sure your passwords match.","Переконайтеся, що ваші паролі співпадають."
"Please select State/Province.","Будь ласка, виберіть область."
"Please select an option.","Будь ласка, виберіть варіант."
"Please select one of the above options.","Будь-ласка, виберіть одну з вищенаведених варіантів."
"Please select one of the options.","Будь ласка, виберіть одну з опцій."
"Please use in this field only ""a-z,0-9,_"".","Будь-ласка, використовуйте в цьому полі виключно знаки ""а-я,0-9,_""."
"Please use letters only (a-z) in this field.","Будь-ласка, використовуйте виключно літери (а-я) в цьому полі."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Будь ласка, використовуйте тільки літери (a-z або A-Z), цифри (0-9) або пробіли у цьому полі."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Будь-ласка, використовуйте лише літери (а-я) або цифри (0-9) для цього поля. Використання пробілів та інших знаків заборонено."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), пробіли або # для цього поля"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Будь-ласка, використовуйте наступний формат дати: дд/мм/рррр. Наприклад 17/03/2006 для 17го Березня, 2006 року."
"Please wait, loading...","Будь-ласка, зечекайте.Йде завантаження.."
"Please wait...","Зачекайте будь ласка..."
"Poll Manager","Опитування"
"Popular","Популярні"
"Position","Позиція"
"Position of Watermark for %s","Позиція водного знаку для %s"
"Preview","Перегляд"
"Preview Template","Попередній перегляд шаблону"
"Price","Ціна"
"Price:","Ціна:"
"Processed <strong>%s%% %s/%d</strong> records","Оброблено <strong>%s%% %s/%d</strong> записів"
"Processing","Обробка"
"Product","Продукт"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product Tax Classes","Класи податку товару"
"Product Thumbnail Itself","Власна мініатюра товару"
"Products","Товари"
"Profile Action","Дія"
"Profile Actions XML","Профіль дій XML"
"Profile Direction","Напрямок профілю"
"Profile History","Лог профілів"
"Profile Information","Інофрмація про профіль"
"Profile Name","Назва профілю"
"Profile Wizard","Мастер створення профілю"
"Profiles","Профілі"
"Promo","Акції"
"Promotions","Заохочення"
"Quantity","Кількість"
"Radio Buttons","Радіокнопки"
"Rates","Ставки"
"Rebuild","Перебудувати"
"Rebuild Catalog Index","Перебудувати Індекс Каталогу"
"Rebuild Flat Catalog Category","Перебудувати Просту Категорію Каталогу"
"Rebuild Flat Catalog Product","Перебудувати Простий Продукт Каталогу"
"Recent Orders","Нещодавні замовлення"
"Redirect","Перенаправлення"
"Refresh","Оновити"
"Region/State","Регіон/Штат"
"Regular Price:","Звичайна ціна:"
"Release","Реліз"
"Release Stability","Стабільність релізу"
"Release Version","Версія релізу"
"Reload captcha","Перезавантажити captcha"
"Remote FTP","Віддалений FTP"
"Remove","Вилучити"
"Reports","Звіти"
"Request Path","Запитуваний шлях"
"Required","Обов'язкове"
"Reset","Очистити"
"Reset Filter","Скинути фільтр"
"Reset Password","Скинути пароль"
"Reset a Password","Скинути пароль"
"Resize","Змінити розмір"
"Resource Access","Доступ до даних"
"Resources","Дані"
"Results","Результати"
"Retrieve Password","Запит паролю"
"Return Html Version","Повернути html-версію"
"Revenue","Прибуток"
"Reviews","Відгуки"
"Role ID","ID ролі"
"Role Info","Інформація про роль"
"Role Information","Інформація про роль"
"Role Name","Назва ролі"
"Role Resources","Дані ролі"
"Role Users","Користувачі ролі"
"Roles","Ролі"
"Roles Resources","Дані ролі"
"Root Category","Коренева Категорія"
"Rotate CCW","Обртати проти годинникової стрілки"
"Rotate CW","Обртати за годинниковою стрілкою"
"Run","Запустити"
"Run Profile","Застосувати профіль"
"Run Profile Inside This Window","Застосувати цьому вікніЗастосувати"
"SKU","Артикул"
"SKU:","Обліковий номер:"
"SSL Error: Invalid or self-signed certificate","Помилка SSL : Невірний або автоматично підписаний сертифікат"
"Sales","Продажі"
"Sales Report","Звіт про продажі"
"Save","Зберегти"
"Save Account","Зберегти Обліковий Запис"
"Save Block","Зберегти блок"
"Save Cache Settings","Зберегти Налаштування Кешу"
"Save Config","Зберегти конфігурацію"
"Save Currency Rates","Зберегти курс валют"
"Save Profile","Зберегти профіль"
"Save Role","Зберегти роль"
"Save Template","Зберегти шаблон"
"Save User","Зберегти користувача"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Search","Пошук"
"Search Index","Індекс пошуку"
"Search Term","Пошуковий запит"
"Search Terms","Пошукові фрази"
"Search entire store here...","Шукайте тут..."
"Select All","Вибрати все"
"Select Category","Виберіть категорію"
"Select Date","Вибрати дату"
"Select Range","Виберіть діапазон"
"Sender","Відправник"
"Shipment #%s comment added","Нотатка була додана до доставки #%s "
"Shipment #%s created","Сворено доставку #%s "
"Shipment Comments","Коментраі по доставці"
"Shipment History","Історія доставки"
"Shipments","Поставки"
"Shipping","Доставка"
"Shipping Address","Адреса доставки"
"Shipping Address: ","Адреса доставки: "
"Shipping Price","Вартість доставки"
"Shopping Cart","Кошик"
"Shopping Cart Price Rules","Правила ціни кошика"
"Shopping Cart from %s","Кошик з %s"
"Show Reviews","Показати відгуки"
"Sitemap Information","Інформація про мапу сайту"
"Size for %s","Розмір %s"
"Sorry, this feature is coming soon...","Приносимо свої вибачення, ця функція скоро буде доступною..."
"Special Price:","Спеціальна ціна:"
"Specific Countries","Окремі країни"
"Spreadsheet Name:","Назва таблиці:"
"Start Date","Дата початку"
"Starting at:","Починаючи з:"
"Starting profile execution, please wait...","Виконується профіль, зачекайте..."
"State/Province:","Регіон/Область:"
"Static Blocks","Статичні блоки"
"Status","Статус"
"Status:","Статус:"
"Stock Quantity:","Кількість на складі:"
"Store","Магазин"
"Store View","Вид Магазину"
"Store:","Група магазинів:"
"Stores","Магазини"
"Subject","Тема"
"Submit","Підтвердити"
"Subtotal","Проміжні підсумки"
"Switch/Solo card issue number: %s","Номер картки Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Дата дійсності картки Switch/Solo : %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Виключно Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Серійний номер картки Switch/Solo/Maestro(UK Domestic) card issue number: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Дата дійсності картки Switch/Solo/Maestro(UK Domestic): %s/%s"
"Synchronize","Синхронізувати"
"Synchronizing...","Синхронізація..."
"System","Система"
"Tags","Мітки"
"Target Path","Шлях до цілі"
"Tax","Податок"
"Tb","Tб"
"Template","Шаблон"
"Template Content","Вміст шаблону"
"Template Information","Інформація про шаблон"
"Template Name","Назва шаблону"
"Template Styles","Стилі шаблону"
"Template Subject","Тема шаблону"
"Template Type","Тип шаблону"
"Terms and Conditions","Правила та умови використання"
"Text","Текст"
"The JavaScript/CSS cache has been cleaned.","Кеш JavaScript/CSS було очищено."
"The attribute set has been removed.","Набір атрибутів було видалено."
"The image cache was cleaned.","Кеш зображення було очищено."
"This account is","Цей обліковий запис є"
"This action cannot be undone.","Ця дія не може бути скасована."
"This attribute shares the same value in all the stores","Цей атрибут використовує спільне значення для всіх груп магазинів"
"This block no longer exists.","Цього блоку більше не існує."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Цей магазин є демо-версією. Будь-які замовлення зроблені через цей магазин не будуть враховані чи виконані."
"This is a required field.","Це поле є обов'язковим."
"Time","Час"
"To","До"
"Toggle Editor","Перемикач редактора"
"Tools","Інструменти"
"Top 5 Search Terms","5 найбільш популярних пошукових умов"
"Total","Загалом"
"Total Invoiced","Загалом виставлено рахунків"
"Total Order Amount","Загальна сума замовлення "
"Total Refunded","Загальна сума відшкодувань"
"Track Order","Відслідковувати замовлення"
"Track this shipment","Відслідкувати цю доставку"
"Tracking number %s for %s assigned","номер операції відслідковування %s для %s був призначений"
"Transaction ID","Ідентифікатор Танзакції"
"Transaction Type","Тип Транзакції"
"Transactional Emails","Транзакційні листи"
"Transactions","Платіжні операції"
"Type","Тип"
"Type:","Тип:"
"Unable to initialize import model","Неможливо ініціалізувати модель імпорту"
"Unknown","Невідомо"
"Unlimited","Необмежено"
"Update","Оновити"
"Updated At","Оновлено"
"Upload File","Завантажити файл"
"Upload Files","Завантажити файли"
"Upload HTTP Error","HTTP помилка завантаження"
"Upload I/O Error","I/O помилка завантаження"
"Upload Security Error","Помилка безпечності завантаження"
"Upload import file","Завантаження файлу імпорту"
"Use All Available Attributes","Використовувати всі доступні атрибути"
"Use Config Settings","Використовувати значення за замовчуванням"
"Use Default","Використовувати типовий"
"Use Default Value","Використовувати типове значення"
"Use FTP Connection","Використовувати FTP-підключення"
"User Email","Email Користувача"
"User ID","ID користувача"
"User Info","Інформація про користувача"
"User Information","Інформація про користувача"
"User Name","Ім'я користувача"
"User Name:","Ім'я користувача:"
"User Password","Пароль користувача"
"User Role","Роль користувача"
"User Roles","Роль користувача"
"User Roles Information","Інформація про ролі користувача"
"User name","Ім'я користувача"
"Users","Користувачі"
"Value Delimiter:","Розділювач значення:"
"Variable","Змінна"
"View Actions XML","Перегляд дій XML"
"View Statistics For:","Переглянути Статистику Для:"
"Visibility:","Втдимість:"
"Warning","Попередження"
"Watermark File for %s","Файл водного знаку для %s"
"Website","Веб-сайт"
"What is this?","Що це?"
"Wishlist Report","Звіт по списку бажань "
"YTD","З Початку Року"
"Year","Рік"
"Yes","Так"
"Yes (301 Moved Permanently)","Так (301 Moved Permanently)"
"Yes (302 Found)","Так (302 Found)"
"Yes (only price with tax)","Так (тільки ціна з врахуваннями податків)"
"You have logged out.","Ви вийшли з системи."
"Your answers contain duplicates.","У Ваших відповідях містяться копії."
"Zip/Postal Code","Поштовий індекс"
"Zip/Postal Code:","Поштовий код:"
"[ deleted ]","[ видалено ]"
"[GLOBAL]","[Глобальна змінна]"
"close","закрити"
"critical","критично"
"failed","не вдалося"
"from","від"
"major","основне"
"minor","другорядне"
"notice","повідомлення"
"store(%s) scope","діапазон групи магазинів(%s)"
"successful","вдало"
"to","до"
"website(%s) scope","Діапазон вебсайту(%s)"
