"* Required Fields","* Обов'язкові поля"
"Default Shipping Address","Адреса доставки за промовчанням"
"Delete","Видалити"
"Delete Address","Видалити адресу"
"Delete Customer","Видалити покупця"
"Delete Customer Group","Видалити групу покупців"
"Deleted Stores","Видалити групу магазинів"
"Details","Подробиці"
"Disabled","Вимкнено"
"Edit","Редагувати"
"Edit Account Information","Редагувати обліковий запис"
"Edit Address","Редагувати адресу"
"Edit Address Entry","Редагувати запис адреси"
"Edit Customer Group ""%s""","Редагувати групу клієнтів ""%s"""
"Edit Customer Groups","Редагувати групи покупців"
"Edit Customer's Address","Редагувати адресу клієнта"
"Edit Group","Редагувати групу"
"Edit Newsletters","Редагувати інформаційні листи"
"Email","Електронна пошта"
"Email Address","Електронна пошта"
"Email Sender","Відправник електронного листа"
"Email:","Електронна пошта:"
"Enable Automatic Assignment to Customer Group","Увімкнути автоматичне присвоєння групи покупцю"
"Fax","Факс"
"First Name","Ім'я"
"Forgot Email Template","Шаблон листа про втрачений пароль"
"Forgot Password","Забули пароль"
"Forgot Your Password?","Забули пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","З панелі інструментів Вашої сторінки Ви маєте можливість переглянути Ваші нещодавні дії і оновити інофрмацію про обліковий запис. Перейдіть по посиланню, вказаному нижче, для перегляду або редагування інформації."
"Gender","Стать"
"General Subscription","Загальна підписка"
"Global","Загальний"
"Group","Група"
"Group Information","Відомості про групу"
"Group Name","Назва групи"
"Guest","Гість"
"Hello, %s!","Вітаємо, %s!"
"ID","Ідентифікатор"
"IP Address","IP адреса"
"If you have an account with us, please log in.","Якщо Ви вже зареєстрований користувач, будь-ласка, увійдіть в систему."
"Invalid current password","Невірний поточний пароль"
"Invalid customer data","Невірні дані клієнта"
"Invalid login or password.","Невірне ім'я користувача або пароль."
"Last Activity","Останні дії"
"Last Date Subscribed","Дата останньої підписки"
"Last Name","Прізвище"
"Lifetime Sales","Довічні Продажі"
"Log In","Вхід"
"Log Out","Вийти"
"Login","Увійти"
"Login Information","Пароль"
"Login or Create an Account","Ввійдіть в систему або Зареєструйтесь"
"MM","ММ"
"Manage Addresses","Керувати адресами"
"Month","Місяць"
"My Account","Мій обліковий запис"
"My Dashboard","Моя панель інструментів"
"My Orders","Мої замовлення"
"Name","Назва"
"Never","Ніколи"
"New Address","Нова адреса"
"New Address Entry","Новий запис адреси"
"New Customer","Новий покупець"
"New Customer Address","Адреса нового клієнта"
"New Customer Group","Нові група покупців"
"New Customer Groups","Нові групи покупців"
"New Customers","Нові покупці"
"New Group","Нова група"
"New Password","Новий пароль"
"New account","Новий обліковий запис"
"Newsletter","Розсилка новин"
"Newsletter Finish","Кінець інформаційного листа"
"Newsletter Information","Розсилка інформації"
"Newsletter Received","Інформаційний лист отримано"
"Newsletter Start","Початок інформаційного листа"
"Newsletter Subscription","Підписка на розсилку новин"
"Newsletters","Розсилки новин"
"No Items Found","Не знайдено жодного товару"
"No Newsletter Found","Жодного інформаційного листа не знайдено"
"No item specified.","Не вказано жодної позиції."
"Not Sent","Не надіслано"
"Offline","Не в мережі"
"Online","Онлайн"
"Online Customers","Клієнти он-лайн"
"Order #","Замовлення #"
"Order Total","Вартість замовлення"
"Orders","Замовлення"
"Password","Пароль"
"Password Management","Паролі"
"Password Options","Налаштування паролю"
"Password:","Пароль:"
"Paused","Призупинено"
"Pending","В очікуванні"
"Per Website","Цього вебсайту"
"Personal Information","Персональна інформація"
"Please enter a number 1 or greater in this field.","Будь-ласка, введіть у це поле число 1 або більше."
"Please enter the zip/postal code.","Будь ласка, вкажіть поштовий індекс."
"Please enter your email.","Будь-ласка, введіть ваш email."
"Please make sure your passwords match.","Переконайтеся, що ваші паролі співпадають."
"Please select region, state or province","Будь-ласка, оберіть регіон, штат або область"
"Price","Ціна"
"Product","Продукт"
"Product ID","ID товару"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product Tags","Теги товару"
"Purchase On","Куплений"
"Purchased On","Куплено"
"Qty","Кіл-ть"
"Recent Orders","Нещодавні замовлення"
"Recovery Link Expiration Period (hours)","Період Закінчення Відновлення Посилання (години)"
"Redirect Customer to Account Dashboard after Logging in","Після входу в систему перенаправити клієнта на панель управління в акаунті"
"Refunded","Повернено"
"Register","Реєстрація"
"Registered Customers","Зареєстровані покупці"
"Remove","Вилучити"
"Reset a Password","Скинути пароль"
"Retrieve your password here","Віднолення паролю"
"SKU","Артикул"
"Sales Statistics","Статистика продаж"
"Save","Зберегти"
"Save Address","Зберегти адресу"
"Save Customer","Зберегти покупця"
"Save Customer Group","Зберегти групу покупців"
"Save Password","Зберегти пароль"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Sending","Надсилається"
"Sent","Надіслано"
"Session Start Time","Дата початку сесії"
"Set as Default Billing Address","Встановити як первинну адресу оплати за замовчуваннями"
"Set as Default Shipping Address","Встановити як первинну адресу доставки за замовчуваннями"
"Share Customer Accounts","Обліковий запис клієнта дійсний для"
"Shipped to First Name","Ім'я отримувача"
"Shipped to Last Name","Прізвище отримувача"
"Shipped to Name","Отримувач"
"Shopping Cart","Кошик"
"Shopping Cart - %d item(s)","Кошик - %d шт."
"Sign Up for Newsletter","Підписатися на розсилку новин"
"State/Province","Штат/Область"
"Status","Статус"
"Store","Магазин"
"Store View","Вид Магазину"
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Subject","Тема"
"Submit","Підтвердити"
"Subscribe to Newsletter","Підписка на розсилку"
"Subscribed to Newsletter?","Підписатись на інформаційний лист?"
"Tag Name","Назва тегу"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст однією лінією"
"The customer does not have default billing address.","Покупець не має адреси виставлення рахунка за промовчанням."
"There are no items in customer's wishlist at the moment","У списку бажань клієнта немає жодного товару на даний момент"
"There are no items in customer's shopping cart at the moment","На даний момент кошик клієнта пустий"
"This customer has no saved addresses.","В цього клієнта немає збережених адрес."
"To Cart","В кошик"
"Total","Загалом"
"Type","Тип"
"Unknown","Невідомо"
"Unsubscribe from Newsletter","Відписатися від розсилки новин"
"Update","Оновити"
"Use as my default billing address","Використовувати як мою адресу виставлення рахунка за промовчанням"
"Use as my default shipping address","Використовувати як мою адресу доставки за промовчанням"
"VAT Number","Номер VAT"
"View","Переглянути"
"View Order","Переглянути замовлення"
"Visitor","Відвідувач"
"Visitors Only","Виключно для відвідувачів"
"Website","Веб-сайт"
"Wishlist","Список бажань"
"Wishlist - %d item(s)","Список бажань - %d шт."
"Year","Рік"
"You are currently not subscribed to any newsletter.","На даний момент Ви не підписані на жоден інформаційний лист."
"You are currently subscribed to 'General Subscription'.","На даний момент Ви  підписані на 'Загальну підписку'."
"You are currently subscribed to our newsletter.","На даний момент Ви  підписані на наш інформаційний лист."
"You have no additional address entries in your address book.","Ви не маєте додаткових записів адрес у Вашій адресній книжці."
"You have no additional entries in your address book.","Ви не маєте додаткових записів у Вашій адресній книжці."
"You have no default billing address in your address book.","У Вас немає адреси виставлення рахунка за промовчанням у Вашій адресній книзі."
"You have no default shipping address in your address book.","У Вас немає адреси доставки за промовчанням у Вашій адресній книзі."
"You have not set a default billing address.","Ви не налаштували адресу виставлення рахунка за промовчанням."
"You have not set a default shipping address.","Ви не налаштували адресу доставки за промовчанням."
"You have placed no orders yet.","Ви ще не оформили жодного замовлення."
"You have placed no products yet.","Ви ще не замовили ще жодного товару."
"Your account balance is: %s","Баланс на Вашому рахунку становить: %s"
"ZIP/Post Code","Поштовий код"
"Zip/Postal Code","Поштовий індекс"
"n/a","недоступно"
"or","або"
