" Copy"," Αντιγραφή"
"Security","Ασφάλεια"
"Sender","Αποστολέας"
"Sender Email","Email αποστολέα"
"Sender Name","Όνομα αποστολέα"
"Sending","Γίνεται αποστολή"
"Sent","Απεστάλη"
"Sign Up for Our Newsletter:","Εγγραφή στο Ενημερωτικό Δελτίο:"
"Sign up for our newsletter","Εγγραφτείτε στο Δελτίο Νέων μας"
"Start","Έναρξη"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subscribe","Εγγραφή"
"Subscribed","Εγγραφή"
"Subscriber","Συνδρομητής"
"Subscribers","Συνδρομητές"
"Subscribers From","Συνδρομητές από"
"Subscription Options","Επιλογές συνδρομής"
"Success Email Sender","Αποστολέας Επιτυχούς Email"
"Success Email Template","Πρότυπο Επιτυχούς Email"
"Template Content","Περιεχόμενο Προτύπου"
"Template Information","Πληροφορίες Πρότυπου"
"Template Name","Όνομα προτύπου"
"Template Styles","Στυλ προτύπου"
"Template Subject","Θέμα Προτύπου"
"Template Type","Τύπος προτύπου"
"Thank you for your subscription.","Σας ευχαριστούμε για την εγγραφή σας."
"There was a problem with the subscription: %s","Υπήρξε ένα πρόβλημα με την συνδρομή: %s"
"There was a problem with the un-subscription.","Υπήρξε ένα πρόβλημα με την ακύρωση συνδρομής."
"This email address is already assigned to another user.","Αυτή η διεύθυνση email έχει ήδη συσχετιστεί με έναν άλλο χρήστη."
"Type","Τύπος"
"Unconfirmed","Ανεπιβεβαίωτες"
"Unsubscribe","Διαγραφείτε"
"Unsubscribe Selected","Αποεγγραφή Επιλεγμένων"
"Unsubscribed","Διαγραφήκατε"
"Unsubscription Email Sender","Κατάργησης εγγραφής Αποστολέα Email"
"Unsubscription Email Template","Κατάργησης εγγραφής Προτύπου Email"
"View Newsletter","Προβολή ενημερωτικού δελτίου"
"Website","Ιστοσελίδα"
"Your subscription has been confirmed.","Η συνδρομή σας έχει επιβεβαιωθεί."
