"Actions","Ενέργειες"
"Product attribute combination","Συνδυασμό χαρακτηριστικού προϊόντων"
"Products subselection","Υποεπιλογή Προϊόντων"
"Promotions","Προωθητικές ενέργειες"
"Public In RSS Feed","Κοινό στην Τροφοδοσία RSS"
"Quantity in cart","Ποσότητα στο καλάθι"
"Row total in cart","Σύνολο γραμμής στο καλάθι"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα κανόνα"
"Rule is not defined","Ο Κανόνας δεν έχει οριστεί"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Shipping Country","Χώρα Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Postcode","Ταχυδρομικός κώδικας αποστολής"
"Shipping Region","Περιοχή Αποστολής"
"Shipping State/Province","Νομός/επαρχία αποστολής"
"Shopping Cart Price Rule","Κανόνας Τιμής του Καλαθιού Αγοράς"
"Shopping Cart Price Rules","Κανόνες Τιμών Καλαθιού Αγορών"
"Special Price","Ειδική Τιμή"
"Specific Coupon","Συγκεκριμένο Κουπόνι"
"Status","Κατάσταση"
"Store View Specific Labels","Προβολή Καταστήματος Ειδικές Ετικέτες"
"Subtotal","Υποσύνολο"
"Subtotal Amount","Ποσό Μερικού Συνόλου"
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"Times Used","Φορές χρησιμοποιούνται"
"To Date","Μέχρι Ημερομηνία"
"To Fixed Value","Σε σταθερή τιμή"
"To Percentage","Σε ποσοστό"
"Total","Σύνολο"
"Total Amount","Συνολικό ποσό"
"Total Items Quantity","Ποσότητα συνολικών αντικειμένων"
"Total Weight","Συνολικό βάρος"
"Update prices using the following information","Ενημέρωση τιμών σύμφωνα με τα ακόλουθα στοιχεία"
"Update product's %s %s: %s","Ενημέρωση προϊόντος %s %s: %s"
"Update the Product","Ενημερώστε το Προϊόν"
"Use Auto Generation","Χρήση Αυτόματης Δημιουργίας"
"Used","Χρησιμοποιείται"
"Uses per Coupon","Χρήσεις ανά Κουπόνι"
"Uses per Customer","Χρήσεις ανά πελάτη"
"Website","Ιστοσελίδα"
"Websites","Ιστοσελίδες"
"Yes","Ναί"
"total amount","συνολικό ποσό"
"total quantity","συνολική ποσότητα"
