"* Required Fields","* Απαιτούμενα πεδία"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού Πρόσβασης"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Confirmation Link Email","Σύνδεσμος Επιβεβαίωσης Email"
"Confirmed","Επιβεβαιωμένη"
"Contact Information","Στοιχεία Επικοινωνίας"
"Continue Shopping","Συνέχεια Αγορών"
"Country","Χώρα"
"Create","Δημιουργία"
"Create New Account Options","Δημιουργήστε νέες επιλογές λογαριασμού"
"Create New Customer Account","Δημιουργία Λογαριασμού Νέου Πελάτη"
"Create Order","Δημιουργία παραγγελίας"
"Create an Account","Δημιουργία Λογαριασμού"
"Current Password","Τρέχον Κωδικός Πρόσβασης"
"Customer","Πελάτης"
"Customer Addresses","Διευθύνσεις Πελάτη"
"Customer Configuration","Ρύθμιση παραμέτρων του πελάτη"
"Customer Group","Ομάδα Πελατών"
"Customer Groups","Ομάδες Πελατών"
"Customer Information","Στοιχεία Πελάτη"
"Customer Login","Σύνδεση Πελάτη"
"Customer Since","Πελάτης Από"
"Customer View","Προβολή Πελάτη"
"Customer will stay on the current page if ""No"" is selected.","Ο Πελάτης θα παραμείνει στην τρέχουσα σελίδα, αν το ""Όχι"" είναι επιλεγμένο."
"Customers","Πελάτες"
"Customers Only","Πελάτες Μόνο"
"Customers Section","Τμήμα Πελατών"
"Date","Ημερομηνία"
"Date Added","Ημερομηνίας Προσθήκης"
"Date of Birth","Ημερομηνία γέννησης"
"Day","Ημέρα"
"Days in Wishlist","Ημέρες στα Επιθυμητά"
"Default Addresses","Προεπιλεγμένες Διευθύνσεις"
"Default Billing Address","Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Default Email Domain","Προκαθορισμένος Τομέας Email"
"Default Group","Προεπιλεγμένη Ομάδα"
"Default Shipping Address","Προεπιλεγμένη Διεύθυνση Αποστολής"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Προεπιλεγμένη τιμή για την απενεργοποίηση Αυτόματων αλλαγών Ομάδας με βάση ID Φόρου"
"Default Welcome Email","Προπιλεγμένο Email Kαλωσορίσματος"
"Delete","Διαγραφή"
"Delete Address","Διαγραφή Διεύθυνσης"
"Delete Customer","Διαγραφή πελάτη"
"Delete Customer Group","Διαγραφή Ομάδας Πελατών"
"Deleted Stores","Διαγραμμένα καταστήματα"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Edit Account Information","Επεξεργασία Στοιχείων Λογαριασμού"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Address Entry","Επεξεργασία Στοιχείου Διεύθυνσης"
"Edit Customer Group ""%s""","Επεξεργασία Ομάδας Πελατών ""%s"""
"Edit Customer Groups","Επεξεργασία Ομάδας Πελατών"
"Edit Customer's Address","Επεξεργασία Διεύθυνσης Πελάτη"
"Edit Group","Επεξεργασία ομάδας"
"Edit Newsletters","Επεξεργασία Δελτίων Νέων"
"Email Address","Διεύθυνση Email"
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Enable Automatic Assignment to Customer Group","Ενεργοποιήσετε την αυτόματη εκχώρηση σε ομάδα πελατών"
"Fax","Φαξ"
"First Name","Όνομα"
"Forgot Email Template","Πρότυπο Email του Ξεχάσατε τον κωδικό πρόσβασης"
"Forgot Password","Ξεχάσατε τον κωδικό πρόσβασης"
"Forgot Your Password?","Ξεχάσατε τον Κωδικό σας;"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Από το Πίνακα Ελέγχου του Λογαριασμού σας έχετε τη δυνατότητα να δείτε ένα στιγμιότυπο των πρόσφατων ενεργειών στο λογαριασμό σας και να ενημερώσετε τις πληροφορίες του λογαριασμού σας. Επιλέξτε ένα σύνδεσμο παρακάτω για να δείτε ή να επεξεργαστείτε πληροφορίες"
"Gender","Φύλο"
"General Subscription","Γενική Συνδρομή"
"Generate Human-Friendly Customer ID","Δημιουργία Φιλικού προς Ανθρώπους ID πελάτη"
"Global","Παγκόσμια"
"Group","Ομάδα"
"Group Information","Πληροφορίες Ομάδας"
"Group Name","Όνομα ομάδας"
"Group for Invalid VAT ID","Ομάδα για το μη έγκυρο ΑΦΜ"
"Group for Valid VAT ID - Domestic","Ομάδα για το έγκυρο ID Φόρου - εγχώριες"
"Group for Valid VAT ID - Intra-Union","Ομάδα για έγκυρο ΑΦΜ - εντός της Ένωσης"
"Guest","Επισκέπτης"
"Hello, %s!","Καλώς ήρθες, %s!"
"IP Address","Διεύθυνση IP"
"If you have an account with us, please log in.","Αν έχετε ανοίξει λογαριασμό μαζί μας, παρακαλούμε συνδεθείτε."
"Invalid current password","Ο ισχύων κωδικός είναι άκυρος"
"Invalid customer data","Άκυρα δεδομένα πελάτη"
"Invalid login or password.","Μη έγκυρες πληροφορίες σύνδεσης ή κωδικός πρόσβασης."
"Last Activity","Τελευταία Δραστηριότητα"
"Last Date Subscribed","Τελευταία Ημερομηνία Εγγραφής"
"Last Date Unsubscribed","Τελευταία Ημερομηνία Διαγραφής"
"Last Name","Επώνυμο"
"Leave empty for default (15 minutes).","Αφήστε κενό για την προεπιλογή (15 λεπτά)."
"Lifetime Sales","Όλες οι Πωλήσεις"
"Log In","Σύνδεση"
"Log Out","Αποσύνδεση"
"Login","Σύνδεση"
"Login Information","Πληροφορίες Σύνδεσης"
"Login Options","Επιλογές Σύνδεσης"
"Login or Create an Account","Συνδεθείτε ή Δημιουργείστε ένα Λογαριασμό"
"Manage Addresses","Διαχείριση Διευθύνσεων"
"Manage Customers","Διαχειριστείτε τους πελάτες"
"Month","Μήνας"
"My Account","Ο Λογαριασμός μου"
"My Dashboard","Ο Πίνακας Ελέγχου μου"
"My Orders","Οι Παραγγελίες μου"
"Name","Όνομα"
"Name and Address Options","Επιλογές ονόματος και διεύθυνσης"
"Never","Ποτέ"
"New Address","Νέα διεύθυνση"
"New Address Entry","Εισαγωγή Νέας Διεύθυνσης"
"New Customer","Νέος πελάτης"
"New Customer Address","Νέα Διεύθυνση Πελάτη"
"New Customer Group","Νέα Ομάδα Πελατών"
"New Customer Groups","Νέα Ομάδα Πελατών"
"New Customers","Νέοι Πελάτες"
"New Group","Νέα ομάδα"
"New Password","Νέος κωδικός"
"New account","Νέος λογαριασμός"
"Newsletter","Ενημερωτικό δελτίο"
"Newsletter Finish","Λήξη Δελτίου Νέων"
"Newsletter Information","Πληροφορίες Ενημερωτικού Δελτίου"
"Newsletter Received","Παραλαβή Δελτίου Νέων"
"Newsletter Start","Έναρξη Δελτίου Νέων"
"Newsletter Subscription","Συνδρομή στο Ενημερωτικό δελτίο"
"Newsletters","Ενημερωτικά Δελτία"
"No Items Found","Δεν Βρέθηκε Κανένα Αντικείμενο"
"No Newsletter Found","Δεν βρέθηκε κανένα Ενημερωτικό Δελτίο"
"No item specified.","Δεν καθορίστηκε είδος."
"Not Sent","Δεν αποστάλθηκε"
"Offline","Χωρίς σύνδεση"
"Online","Σε σύνδεση"
"Online Customers","Πελάτες σε Σύνδεση"
"Online Customers Options","Επιλογές Πελατών σε Σύνδεση"
"Online Minutes Interval","Διάστημα σε λεπτά σε Σύνδεση"
"Order #","Παραγγελία #"
"Order Total","Σύνολο Παραγγελίας"
"Orders","Παραγγελίες"
"Password","Κωδικός πρόσβασης"
"Password Management","Διαχείριση Κωδικών"
"Password Options","Επιλογές Κωδικού Πρόσβασης"
"Password forgotten","Ξεχάσατε τον κωδικό σας"
"Password:","Κωδικός πρόσβασης:"
"Paused","Σε παύση"
"Pending","Προς έγκριση"
"Per Website","Ανά ιστοσελίδα"
"Personal Information","Προσωπικές Πληροφορίες"
"Please enter a number 1 or greater in this field.","Σε αυτό το πεδίο εισαγάγετε αριθμό 1 ή μεγαλύτερο."
"Please enter the city.","Παρακαλούμε εισάγετε την πόλη."
"Please enter the country.","Παρακαλώ εισάγετε τη χώρα."
"Please enter the first name.","Παρακαλούμε εισάγετε το όνομα."
"Please enter the last name.","Παρακαλούμε εισάγετε το επώνυμο."
"Please enter the state/province.","Παρακαλούμε εισάγετε το νομό/επαρχία."
"Please enter the street.","Παρακαλούμε εισάγετε το δρόμο."
"Please enter the zip/postal code.","Παρακαλώ εισάγετε τον ταχυδρομικό κωδικό."
"Please enter your email.","Παρακαλώ εισάγετε τη διεύθυνση email σας."
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί σας είναι ίδιοι."
"Please select region, state or province","Παρακαλώ επιλέξτε μια περιοχή, χώρα ή περιφέρεια"
"Prefix Dropdown Options","Επιλογές Αναπτυσσόμενου μενού Προθέματος"
"Price","Τιμή"
"Product","Προϊόν"
"Product ID","ID Προϊόντος"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Purchase On","Αγορά Στο"
"Purchased On","Αγοράστηκε Την"
"Qty","Ποσότητα"
"Recent Orders","Πρόσφατες Παραγγελίες"
"Recovery Link Expiration Period (hours)","Λήξη περιόδου Σύνδεσμου Ανάκτησης (ώρες)"
"Redirect Customer to Account Dashboard after Logging in","Ανακατευθύνετε τον πελάτη στον πίνακα ελέγχου του λογαριασμού αφού συνδεθεί στο"
"Refunded","Επιστράφηκαν"
"Register","Εγγραφή"
"Registered Customers","Εγγεγραμμένοι Πελάτες"
"Remind Email Template","Πρότυπο υπενθύμισης κωδικού πρόσβασης"
"Remove","Αφαίρεση"
"Require Emails Confirmation","Να Απαιτείται Eπαλήθευση Email"
"Reset a Password","Επαναφορά του κωδικού πρόσβασης"
"Retrieve your password here","Ανακτήστε το κωδικό σας εδώ"
"SKU","Κωδικός"
"Sales Statistics","Στατιστικά Πωλήσεων"
"Save","Αποθήκευση"
"Save Address","Αποθήκευση διεύθυνσης"
"Save Customer","Αποθήκευση πελάτη"
"Save Customer Group","Αποθήκευση Ομάδας Πελατών"
"Save Password","Αποθήκευση Κωδικού"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Send From","Αποστολή από"
"Send confirmation link","Στείλτε το σύνδεσμο επιβεβαίωσης"
"Sending","Γίνεται αποστολή"
"Sent","Απεστάλη"
"Session Start Time","Χρόνος Έναρξης Συνεδρίας"
"Set as Default Billing Address","Ορισμός ως Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Set as Default Shipping Address","Ορισμός ως Προεπιλεγμένη Διεύθυνση Αποστολής"
"Share Customer Accounts","Μοιραστείτε τους λογαριασμούς των πελατών"
"Shipped to First Name","Απεστάλη στο Όνομα"
"Shipped to Last Name","Απεστάλη στο Επίθετο"
"Shipped to Name","Απεστάλη στο Όνομα"
"Shopping Cart","Καλάθι"
"Shopping Cart - %d item(s)","Καλάθι Αγορών - %d είδος(η)"
"Show Date of Birth","Εμφάνιση Ημερομηνίας Γέννησης"
"Show Gender","Εμφάνιση Φύλου"
"Show Middle Name (initial)","Εμφάνιση πατρώνυμο (αρχικό)"
"Show Prefix","Εμφάνιση προθέματος"
"Show Suffix","Εμφάνιση επιθέματος"
"Show Tax/VAT Number","Εμφάνιση ΑΦΜ"
"Sign Up for Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"State/Province","Νομός/επαρχία"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Street Address","Διεύθυνση"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subscribe to Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"Subscribed to Newsletter?","Συνδρομή στο Δελτίο Νέων;"
"Suffix Dropdown Options","Αναπτυσσόμενο μενού επιλογών Επιθέματος"
"Tag Name","Όνομα ετικέτας"
"Tax Calculation Based On","Υπολογισμός Φόρου Βάση"
"Tax Class","Φορολογική κλάση"
"Telephone","Τηλέφωνο"
"Text","Κείμενο"
"Text One Line","Κείμενο Μία Γραμμή"
"The VAT ID entered (%s) is not a valid VAT ID.","Το ΑΦΜ που εισάγατε (%1) δεν είναι ένα έγκυρο ΑΦΜ."
"The VAT ID is valid. The current Customer Group will be used.","Το ΑΦΜ είναι έγκυρο. Θα χρησιμοποιηθεί η τρέχουσα ομάδα πελατών."
"The customer does not have default billing address.","Ο πελάτης δεν έχει προεπιλεγμένη διεύθυνση χρέωσης."
"The suffix that goes after name (Jr., Sr., etc.)","Το επίθημα που πηγαίνει μετά από το όνομα (νεώτερος, πρεσβύτερος, κλπ.)"
"The title that goes before name (Mr., Mrs., etc.)","Ο τίτλος που πάει πριν από το όνομα (Κος, κα, κτλ.)"
"There are no items in customer's wishlist at the moment","Αυτή τη στιγμή δεν υπάρχει κανένα είδος στη λίστα επιθυμητών του πελάτη"
"There are no items in customer's shopping cart at the moment","Αυτή τη στιγμή δεν υπάρχει κανένα είδος στο καλάθι αγορών του πελάτη"
"This customer has no saved addresses.","Ο πελάτης δεν έχει αποθηκεύσει καμία διεύθυνση."
"This email does not require confirmation.","Αυτό το email δεν απαιτεί επιβεβαίωση."
"To Cart","Στο Καλάθι"
"Total","Σύνολο"
"Type","Τύπος"
"Unknown","Άγνωστο"
"Unsubscribe from Newsletter","Διαγραφή από το Ενημερωτικό Δελτίο"
"Update","Ενημέρωση"
"Use as my default billing address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση χρέωσης"
"Use as my default shipping address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση αποστολής"
"VAT Number","Α.Φ.Μ."
"VAT Request Date","Ημερομηνία Αίτησης ΦΠΑ"
"VAT Request Identifier","Αναγνωριστικό Αιτήματος ΦΠΑ"
"Validate VAT Number","Επικύρωση ΑΦΜ"
"Validate on Each Transaction","Επικύρωση σε κάθε συναλλαγή"
"Validation Error Group","Σφάλμα Επικύρωσης Ομάδας"
"View","Προβολή"
"View Order","Προβολή Παραγγελίας"
"Visitor","Επισκέπτης"
"Visitors Only","Επισκέπτες Μόνο"
"Website","Ιστοσελίδα"
"Welcome Email","Email Καλώς Ορίσματος"
"Wishlist","Λίστα Επιθυμιών"
"Wishlist - %d item(s)","Επιθυμητά - %d είδος(η)"
"Would you like to change the Customer Group for this order?","Θα θέλατε να αλλάξετε την ομάδα πελατών για αυτή τη ταξινόμιση;"
"Wrong email.","Λάθος email."
"Year","Έτος"
"You are currently not subscribed to any newsletter.","Αυτή τη στιγμή δεν είστε συνδρομητής σε κανένα δελτίο νέων."
"You are currently subscribed to 'General Subscription'.","Αυτή τη στιγμή έχετε συνδρομή στις 'Γενικές Συνδρομές'."
"You are currently subscribed to our newsletter.","Αυτή τη στιγμή είστε συνδρομητής στο δελτίο νέων μας."
"You have no additional address entries in your address book.","Δεν έχετε άλλες διευθύνσεις στο βιβλίο διευθύνσεων σας."
"You have no additional entries in your address book.","Δεν έχετε άλλες εγγραφές στο βιβλίο διευθύνσεων σας."
"You have no default billing address in your address book.","Δεν έχετε καμία προεπιλεγμένη διεύθυνση χρέωσης στο βιβλίο διευθύνσεών σας."
"You have no default shipping address in your address book.","Δεν έχετε καμία προεπιλεγμένη διεύθυνση αποστολής στο βιβλίο διευθύνσεών σας."
"You have not set a default billing address.","Δεν έχετε ορίσει κάποια προεπιλεγμένη διεύθυνση χρέωσης."
"You have not set a default shipping address.","Δεν έχετε ορίσει κάποια προεπιλεγμένη διεύθυνση αποστολής."
"You have placed no orders yet.","Δεν έχετε κάνει καμιά παραγγελία ακόμα."
"You have placed no products yet.","Δεν έχετε παραγγείλει κανένα προϊόν ακόμα."
"You will be charged tax.","Θα χρεωθείτε φόρο."
"You will not be charged tax.","Δεν θα χρεωθείτε φόρο."
"Your Tax ID cannot be validated.","Δεν μπορεί να επικυρωθεί το ID Φόρου σας."
"Your VAT ID was successfully validated.","Το ΑΦΜ σας επικυρώθηκε επιτυχώς."
"Your account balance is: %s","Το οφειλόμενο υπόλοιπο σας είναι: %s"
"ZIP","TK"
"ZIP/Post Code","Ταχυδρομικός Κώδικας"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"n/a","δ/δ"
"or","ή"
