" [deleted]"," [διεγράφη]"
"Default (Admin) Values","Προκαθορισμένες (Διαχειριστής) Τιμές"
"Default Billing Address","Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Default Config","Προεπιλεγμένη Ρύθμιση"
"Default Template from Locale","Προκαθορισμένο Πρότυπο από Τοποθεσία"
"Default Values","Προεπιλεγμένες τιμές"
"Default scope","Προεπιλεγμένο εύρος"
"Delete","Διαγραφή"
"Delete Block","Διαγραφή του μπλοκ"
"Delete File","Διαγραφή Αρχείου"
"Delete Image","Διαγραφή εικόνας"
"Delete Profile","Διαγραφή Προφίλ"
"Delete Role","Διαγραφή του Ρόλου"
"Delete Store","Διαγραφή Κατάστηματος"
"Delete Store View","Διαγραφή Προβολής Καταστήματος"
"Delete Template","Διαγραφή προτύπου"
"Delete User","Διαγραφή Χρήστη"
"Delete Website","Διαγραφή Ιστότοπου"
"Description","Περιγραφή"
"Design","Σχεδίαση"
"Details","Λεπτομέρειες"
"Direction:","Κατεύθυνση:"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Display default currency","Προβολή προεπιλεγμένου νομίσματος"
"Download","Λήψη"
"Downloads","Μεταφορτώσεις"
"Drop-down","Αναπτυσσόμενη λίστα"
"Edit","Επεξεργασία"
"Edit Block","Επεξεργασία Μπλοκ"
"Edit Block '%s'","Επεξεργασία Τμήματος '%s'"
"Edit Design Change","Επεξεργασία Αλλαγής της Σχεδίασης"
"Edit Email Template","Επεξεργασία προτύπου Email"
"Edit Order","Επεξεργασία Παραγγελίας"
"Edit Poll","Επεξεργασία Δημοψηφίσματος"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Review","Επεξεργασία Αξιολόγησης"
"Edit Role","Επεξεργασία Ρόλου"
"Edit Store View","Επεξεργασία Προβολής Καταστήματος"
"Edit System Template","Επεξεργασία προτύπου συστήματος"
"Edit Template","Επεξεργασία προτύπου"
"Edit URL Rewrite","Επεξεργαστείτε τη διεύθυνση επανεγγραφής URL"
"Edit User","Επεξεργασία χρήστη"
"Edit User '%s'","Επεξεργασία Χρήστη '%s'"
"Edit Variable","Διόρθωση Μεταβλητής"
"Edit Website","Επεξεργασία Ιστότοπου"
"Email Address:","Διεύθυνση Email:"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργό"
"Enclose Values In:","Περιορισμός Τιμών Σε:"
"Entity Attributes","Χαρακτηριστικά Οντότητας"
"Entity Type","Τύπος Οντότητας"
"Entity type:","Τύπος Οντότητας:"
"Error","Σφάλμα"
"Excl. Tax","Χωρίς ΦΠΑ"
"Exclude media folder from backup","Εξαίρεση φακέλου πολυμέσων από το αντίγραφο ασφαλείας"
"Expiration Date","Ημερομηνία λήξης"
"Expiration Date: %s/%s","Ημερομηνία Λήξης: %s/%s"
"Export","Εξαγωγή"
"Export CSV","Εξαγωγή σε CSV"
"Export Filters","Εξαγωγή Φίλτρων"
"Export to:","Εξαγωγή σε:"
"Export:","Εξαγωγή:"
"FTP Host","Εξυπηρετητής FTP"
"FTP Host[:Port]","Κεντρικός υπολογιστής FTP Host[:Port]"
"FTP Login","Σύνδεση FTP"
"FTP Password","Κωδικός πρόσβασης FTP"
"FTP credentials","πιστοποιήσεις FTP"
"Failed","Απέτυχε"
"Field Mapping","Χαρτογράφηση Πεδίων"
"File","Αρχείο"
"File Information","Πληροφορίες Αρχείου"
"File System","Σύστημα Αρχείων"
"File name:","Όνομα αρχείου:"
"File size should be more than 0 bytes","Το μέγεθος του αρχείου θα πρέπει να είναι μεγαλύτερο των 0 bytes"
"Finished profile execution.","Ολοκληρώθηκε η εκτέλεση του προφίλ."
"First Invoice Created Date","Πρώτη Ημερομηνία Δημιουργίας Πιστωτικού Υπομνήματος"
"First Name","Όνομα"
"First Name:","Όνομα:"
"Fixed","Σταθερή"
"Flush Catalog Images Cache","Άδειασμα της Cache του Καταλόγου Εικόνων"
"Flush JavaScript/CSS Cache","Διαγραφή JavaScript/CSS Προσωρινής Μνήμης"
"Forgot your password?","Ξεχάσατε τον κωδικό σας;"
"Forgot your user name or password?","Ξεχάσατε το όνομα χρήστη ή τον κωδικό σας;"
"From","Από"
"General Information","Γενικές Πληροφορίες"
"Get Image Base64","Επιστροφή Εικόνας κατά Base64"
"Global Attribute","Καθολικό Χαρακτηριστικό"
"Global Record Search","Καθολική Αναζήτηση Εγγραφών"
"Global Search","Καθολική Αναζήτηση"
"Go Today","Στο Σήμερα"
"Go to Top","Μεταβείτε στην κορυφή"
"Grand Total","Γενικό Σύνολο"
"Grid (default) / List","Πλέγμα (προεπιλογή) / Λίστα"
"Grid Only","Μόνο πλέγμα"
"Group:","Ομάδα:"
"Guest","Επισκέπτης"
"HTTP (unsecure)","HTTP (μη ασφαλές)"
"Home","Αρχική"
"ID Path","Διαδρομή ID"
"IP Address","Διεύθυνση IP"
"IPN (Instant Payment Notification) Only","IPN (άμεση κοινοποίηση πληρωμής) Μόνο"
"Images (.gif, .jpg, .png)","Εικόνες (.gif, .jpg, .png)"
"Images Cache","Cache Εικόνων"
"Import","Εισαγωγή"
"Import Service","Εισαγωγή Υπηρεσίας"
"Import and Export Tax Rates","Εισαγωγή και Εξαγωγή Συντελεστών ΦΠΑ"
"Import/Export","Εισαγωγή/Εξαγωγή"
"Import/Export Advanced","Εισαγωγή/Εξαγωγή Για Προχωρημένους"
"Import/Export Profile","Εισαγωγή/Εξαγωγή Προφίλ"
"Important: ","Σημαντικό: "
"Imported <strong>%s</strong> records","Εισαγωγή <strong>%s</strong> εγγραφών"
"In","Σε"
"In Database:","Στη Βάση Δεδομένων:"
"In File:","Στο Αρχείο:"
"Inactive","Ανενεργό"
"Incl. Tax","Με ΦΠΑ"
"Incoming Message","Εισερχόμενο μήνυμα"
"Insert Variable...","Εισαγωγή μεταβλητής..."
"Interactive","Διαδραστικό"
"Interface Locale: %s","Γλώσσα Διασύνδεσης: %s"
"Invalid Form Key. Please refresh the page.","Το κλειδί δεν είναι έγκυρη μορφή. Παρακαλούμε ανανεώστε τη σελίδα."
"Invalid Import Service Specified","Καθορισμός Άκυρης Υπηρεσίας Εισαγωγής"
"Invalid data","Μη έγκυρα δεδομένα"
"Invalid directory: %s","Άκυρος φάκελος: %s"
"Invalid file: %s","Άκυρο Αρχείο: %s"
"Invalid input data for %s => %s rate","Άκυρα δεδομένα εισαγωγής για %s => %s συντελεστής"
"Invalid parent block for this block","Μη έγκυρο γονικό μπλοκ για αυτό το μπλοκ"
"Invalidated","Μη έγκυρο"
"Inventory Stock Status","Κατάσταση Απογραφής των Αποθεμάτων"
"Invoice #%s comment added","Τιμολόγιο #%s προστέθηκε σχόλιο"
"Invoice #%s created","Τιμολόγιο #%s δημιουργήθηκε"
"Invoice History","Ιστορικό τιμολογίων"
"Invoice Totals","Σύνολα Τιμολογίου"
"Invoices","Παραστατικά"
"Is Closed","Είναι Κλειστό"
"Is Default","Είναι Προεπιλογή"
"Issue Number","Αριθμός Έκδοσης"
"Items","Είδη"
"JavaScript seems to be disabled in your browser.","Η JavaScript φαίνεται να είναι απενεργοποιημένη στο πρόγραμμα περιήγησης σας."
"Last 24 Hours","Τελευταίες 24 ώρες"
"Last 5 Orders","Τελευταίες 5 Παραγγελίες"
"Last 5 Search Terms","Τελευταίοι 5 Όροι Αναζήτησης"
"Last 7 Days","Τελευταίες 7 ημέρες"
"Last Credit Memo Created Date","Τελευταία Ημερομηνία Δημιουργίας Πιστωτικού Υπομνήματος"
"Last Invoice Created Date","Τελευταία Ημερομηνία Δημιουργίας Τιμολογίου"
"Last Logged In:","Τελευταία Σύνδεση Στις:"
"Last Name","Επώνυμο"
"Last Name:","Επώνυμο:"
"Lifetime Sales","Όλες οι Πωλήσεις"
"Links","Σύνδεσμοι"
"List (default) / Grid","Λίστα (προεπιλογή) / Πλέγμα"
"List Only","Λίστα μόνο"
"Load Template","Φόρτωση προτύπου"
"Load default template","Φόρτωση προεπιλεγμένου προτύπου(template)"
"Loading...","Φόρτωση..."
"Local Server","Τοπικός Διακομιστής"
"Local/Remote Server","Τοπικός/Απομακρυσμένος Εξυπηρέτης"
"Locale","Τοπική ρύθμιση"
"Log In","Σύνδεση"
"Log Out","Αποσύνδεση"
"Log in to Admin Panel","Σύνδεση στο Σύστημα Διαχείρισης"
"Logged in as %s","Συνδεδεμένος ως %s"
"Login","Σύνδεση"
"Low Stock","Χαμηλό απόθεμα"
"OpenMage Admin","Διαχειριστής OpenMage"
"Magento Logo","Λογότυπο OpenMage"
"Magento root directory","Κύριος κατάλογος OpenMage"
"Content","Περιεχόμενο"
"Currency Rates","Ισοτιμίες νομισμάτων"
"Tax Rules","Φορολογικές Διατάξεις"
"Tax Zones and Rates","Ζώνες Φορολόγησης και Συντελεστές"
"Manual","Χειροκίνητα"
"Maximum sender name length is 255. Please correct your settings.","Το μέγιστο μήκος Ονόματος αποστολέα είναι 255. Παρακαλώ διορθώστε τις ρυθμίσεις σας."
"Media (.avi, .flv, .swf)","Πολυμέσα (.avi, .flv και .swf)"
"Messages Inbox","Εισερχόμενα μηνύματα"
"Month","Μήνας"
"Most Viewed","Περισσότερο εμφανισμένα"
"Most Viewed Products","Τα Προϊόντα με τις Περισσότερες Εμφανίσεις"
"Multiple Select","Πολλαπλή Επιλογή"
"My Account","Ο Λογαριασμός μου"
"N/A","Μ/Δ Μή Διαθέσιμο"
"Name","Όνομα"
"Name on Card","Όνομα στη Κάρτα"
"Name on the Card: %s","Όνομα στα Κάρτα: %s"
"Name:","Όνομα:"
"Never (production)","Ποτέ (παραγωγή)"
"New ","Νέο "
"New Accounts","Νέοι Λογαριασμοί"
"New Attribute","Νέο Χαρακτηριστικό"
"New Block","Νέο Μπλοκ"
"New Category","Νέα κατηγορία"
"New Class","Νέα Κλάση"
"New Condition","Νέα κατάσταση"
"New Custom Variable","Νέα Προσαρμοσμένη Μεταβλητή"
"New Customer","Νέος πελάτης"
"New Customers","Νέοι Πελάτες"
"New Design Change","Νέα Αλλαγή Design"
"New Email Template","Νέο Πρότυπο Email"
"New Group","Νέα ομάδα"
"New Invoice","Νέο τιμολόγιο"
"New Memo","Νέο Υπόμνημα"
"New Page","Νέα Σελίδα"
"New Password","Νέος κωδικός"
"New Poll","Νέα Δημοσκόπηση"
"New Profile","Νέο Προφίλ"
"New Rating","Νέα Βαθμολόγηση"
"New Review","Νεά Αξιολόγηση"
"New Role","Νέος Ρόλος"
"New Rule","Νέος Κανόνας"
"New Search","Νέα αναζήτηση"
"New Set","Νέο σύνολο"
"New Shipment","Νέα αποστολή"
"New Sitemap","Νέος Χάρτης Ιστοτόπου"
"New Store View","Νέα Προβολή Καταστήματος"
"New System Template","Νέο πρότυπο συστήματος"
"New Tag","Νέα Ετικέτα"
"New Template","Νέο πρότυπο"
"New User","Νέος Χρήστης"
"New Website","Νέος Ιστότοπος"
"Newsletter","Ενημερωτικό δελτίο"
"Newsletter Queue","Ουρά Ενημερωτικού Δελτίου"
"Newsletter Subscribers","Συνδρομητές Ενημερωτικών Δελτίων"
"Newsletter Templates","Πρότυπα Ενημερωτικού Δελτίου"
"No","Όχι"
"No (price without tax)","Όχι (τιμή χωρίς ΦΠΑ)"
"No Data","Δεν υπάρχουν δεδομένα"
"No Data Found","Δεν Βρέθηκαν Δεδομένα"
"No Templates Found","Δεν Βρέθηκε Κανένα Πρότυπο"
"No change","Καμία αλλαγή"
"No profile loaded...","Δεν έχει φορτωθεί προφίλ..."
"No records found for this period.","Δε βρέθηκαν εγγραφές για αυτή τη περίοδο."
"No records found.","Δεν βρέθηκαν εγγραφές."
"No search keywords.","Δεν υπάρχουν λέξεις-κλειδιά για την αναζήτηση."
"No search modules were registered","Δεν καταχωρήθηκαν μονάδες αναζήτησης"
"None","Κανένα"
"Note:","Σημείωση:"
"Notes","Σημειώσεις"
"Notifications","Ειδοποιήσεις"
"Number of Orders","Αριθμός Παραγγελιών"
"Number of Uses","Αριθμός Χρήσεων"
"Number of Views","Αριθμός Εμφανίσεων"
"OK","Οκ"
"Old rate:","Παλιά τιμή:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Μόλις συνδεθείτε στο λογαριασμό σας PayPal για προχωρημένους, μεταβείτε στο μενού Ρυθμίσεις Υπηρεσίας - Φιλοξενία Σελίδων Ολοκλήρωσης Παραγγελίας - Ρυθμίσεις Μενού και ορίστε τις επιλογές που περιγράφονται παρακάτω"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Μόλις συνδεθείτε στο σύνδεσμο λογαριασμού σας PayPal Payflow, μεταβείτε στο μενού Ρυθμίσεις Υπηρεσίας - Φιλοξενία Σελίδων Ολοκλήρωσης Παραγγελίας - Ρυθμίσεις Μενού και ορίστε τις επιλογές που περιγράφονται παρακάτω"
"Online Customers","Πελάτες σε Σύνδεση"
"Only Once (version upgrade)","Μόνο μια φορά (έκδοση αναβάθμισης)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Μόνο χαρακτηριστικά με εμβέλεια ""Καθολική"", τύπο εισαγωγής ""Dropdown"" και ""Ναι"" στο Χρησιμοποιήστε για να Δημιουργήσετε Διαμορφώσιμο Προϊόν είναι διαθέσιμα."
"Only mapped fields","Μόνο χαρτογραφημένα πεδία"
"Optional","Προαιρετικό"
"Options","Επιλογές"
"Options is required","Οι Επιλογές Απαιτούνται"
"Order","Παραγγελία"
"Order #%s","Παραγγελία #%s"
"Order #%s (%s)","Παραγγελία #%s (%s)"
"Order ID","Κωδικός Παραγγελίας"
"Order Totals","Σύνολα παραγγελιών"
"Orders","Παραγγελίες"
"Original Magento attribute names in first row:","Προτότυπα ονόματα χαρακτηριστικών του OpenMage στη πρώτη γραμμή:"
"Out of stock","Εξαντλημένο"
"Pages","Σελίδες"
"Parent Product Thumbnail","Μικρογραφία Γονικού Προϊόντος"
"Parent Transaction ID","ID Συναλλαγής Γονέα"
"Passive mode","Παθητική κατάσταση"
"Password","Κωδικός πρόσβασης"
"Password Confirmation","Επιβεβαίωση κωδικού"
"Password:","Κωδικός πρόσβασης:"
"Path:","Διαδρομή:"
"Pending Reviews","Αξιολογήσεις σε Εκκρεμότητα"
"Pending Tags","Εκκρεμής Ετικέτες"
"Per Item","Ανά στοιχείο"
"Per Order","Ανά παραγγελία"
"Percent","Ποσοστό"
"Performed At","Επιτελέστηκε Στο"
"Period","Περίοδος"
"Permanent (301)","Μόνιμοι (301)"
"Permissions","Δικαιώματα"
"Personal Information","Προσωπικές Πληροφορίες"
"Phone:","Τηλέφωνο:"
"Please Select","Παρακαλώ Επιλέξτε"
"Please confirm site switching. All data that hasn't been saved will be lost.","Επιβεβαιώστε την εναλλαγή ιστότοπου. Όλα τα δεδομένα που δεν έχουν αποθηκευτεί θα χαθούν."
"Please enter 6 or more characters.","Παρακαλούμε εισάγετε 6 ή περισσότερους χαρακτήρες."
"Please enter a number greater than 0 in this field.","Παρακαλούμε εισάγετε έναν αριθμό μεγαλύτερο του 0 για αυτό το πεδίο."
"Please enter a valid $ amount. For example $100.00.","Παρακαλούμε εισάγετε ένα έγκυρο ποσό $. Για παράδειγμα $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση URL. Για παράδειγμα http://www.example.com ή www.example.com"
"Please enter a valid URL. http:// is required","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση URL. Το http:// είναι απαραίτητο"
"Please enter a valid credit card number.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό πιστωτικής κάρτας."
"Please enter a valid date.","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία."
"Please enter a valid email address. For example johndoe@domain.com.","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση email. Για παράδειγμα johndoe@domain.com."
"Please enter a valid email.","Παρακαλώ εισάγετε ένα έγκυρο email."
"Please enter a valid number in this field.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό σε αυτό το πεδίο."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό τηλεφώνου. Για παράδειγμα (123) 456-7890 ή 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό κοινωνικής ασφάλισης. Για παράδειγμα 123-45-6789."
"Please enter a valid value from list","Παρακαλούμε εισάγετε μια έγκυρη τιμή από τη λίστα"
"Please enter a valid value, ex: 10,20,30","Παρακαλούμε εισάγετε μια έγκυρη τιμή, πχ: 10,20,30"
"Please enter a valid zip code.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό Κωδικό."
