"(Excl. Tax)","(Χωρίς ΦΠΑ)"
"State/Province","Νομός/επαρχία"
"Status","Κατάσταση"
"Store View","Προβολή Καταστήματος"
"Street Address","Διεύθυνση"
"Submitting order information...","Υποβολή Πληροφοριών Παραγγελίας..."
"Subtotal","Υποσύνολο"
"Telephone","Τηλέφωνο"
"Terms and Conditions Information","Πληροφορίες για Όρους και Προϋποθέσεις"
"Text","Κείμενο"
"Thank you for your purchase!","Σας ευχαριστούμε για την αγορά σας!"
"The product does not exist.","Το προϊόν δεν υπάρχει."
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"This condition no longer exists.","Η κατάσταση αυτή δεν υπάρχει πλέον."
"Total","Σύνολο"
"Total for this address","Σύνολο για αυτή τη διεύθυνση"
"Unit Price","Τιμή Mονάδoς"
"Update","Ενημέρωση"
"Update Cart","Ενημερώστε το καλάθι"
"Update Qty &amp; Addresses","Ενημέρωση Ποσ. &amp; Διευθύνσεων"
"Update Shopping Cart","Ενημερώστε το καλάθι αγορών"
"Update Total","Ενημέρωση Συνόλου"
"Use Billing Address","Χρήση της διεύθυνσης χρέωσης"
"VAT Number","Α.Φ.Μ."
"View Shopping Cart","Δείτε το καλάθι αγορών"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Επεξεργαζόμαστε την παραγγελία σας και σύντομα θα λάβετε ένα email με τις λεπτομέρειες της αγοράς σας. Μόλις η παραγγελία σας αποσταλεί θα λάβετε ένα νέο email με έναν σύνδεσμο για να παρακολουθείτε την πρόοδό της."
"What's this?","Τι είναι αυτό;"
"You have no items in your shopping cart.","Δεν έχετε προϊόντα στο καλάθι αγορών σας."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Θα λάβετε ένα email για επιβεβαίωση της παραγγελίας σας με λεπτομέρειες τής και με έναν σύνδεσμο για να παρακολουθείτε τη πρόοδό της."
"Your Checkout Progress","Η Εξελιξη της Αγοράς σας"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"or","ή"
