" [deleted]","[ลบทิ้งแล้ว]"
"An error occurred while clearing the JavaScript/CSS cache.","ข้อผิดพลาดเกิดขึ้นขณะล้างแคช JavaScript/CSS"
"An error occurred while clearing the image cache.","ข้อผิดพลาดเกิดขึ้นขณะล้างภาพแคชภาพ"
"Any","อะไรก็ได้"
"Any Attribute Set","ชุดคุณลักษณะใดๆ"
"Any Group","กลุ่มใดก็ได้"
"Any Status","สถานะใด ๆ"
"Any Store","ร้านค้าใด ๆ"
"Any Type","ประเภทใด ๆ"
"Any Visibility","การมองเห็นใดๆ"
"Archive file name:","ชื่อแฟ้มเ็ก็ับไฟล์:"
"Are you sure that you want to delete this template?","คุณแนว่าต้องการลบเทมเพลตนี้?"
"Are you sure that you want to strip tags?","คุณแน่ใจว่าต้องการถอน tags?"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้"
"Area","พื้นที่"
"As low as:","ต่ำเท่ากับ:"
"Assigned","กำหนด"
"Attribute Set Name:","ชื่อชุดคุณลักษณะ:"
"Attributes","คุณสมบัติ"
"Average Order Amount","จำนวนคำสั่งซื้อเฉลี่ย"
"Average Orders","คำสั่ังซื้อเฉลี่ย"
"Back","ย้อนกลับ"
"Back to Login","กลับไปหน้าลงทะเบียน"
"Backup","การสำรองข้อมูล"
"Backup Name","ชื่อการสำรองข้อมูล"
"Backup options","ตัวเลือกการสำรองข้อมูล"
"Backups","การสำรองข้อมูล"
"Base currency","สกุลเงินพื้นฐาน"
"Bestsellers","สินค้าที่ขายดี"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Block Information","บล็อคข้อมูล"
"Both (without and with tax)","ทั้งสอง (โดยไม่มี และ มี ภาษี)"
"Browse Files...","ค้นหาไฟล์..."
"CSV","ไฟล์ CSV"
"CSV / Tab separated","CSV / แยกด้วย Tab"
"Cache Control","ส่วนควบคุมหน่วยความจำแคช"
"Cache Management","การจัดการแคช"
"Cancel","ยกเลิก"
"Card Verification Number","รหัสยืนยันของบัตร"
"Catalog","แค็ตตาล็อก"
"Catalog Price Rules","การควบคุมราคาสินค้าในรายการ"
"Categories","หมวดหมู่"
"Category","หมวดหมู่"
"Category:","หมวดหมู่"
"Checkbox","ช่องกาตัวเลือก"
"Choose an attribute","เลือกคุณลักษณะ"
"Clear","ล้างข้อมูล"
"Close","ปิด"
"Code","รหัส"
"Complete","เสร็จ"
"Configuration","การตั้งค่า"
"Confirm New Password","ยืนยันรหัสผ่านใหม่"
"Confirmed email:","ยืนยันอีเมล์แล้ว"
"Continue","ดำเนินการต่อ"
"Convert to Plain Text","เปลี่ยนเป็นข้อความธรรมดา"
"Country","ประเทศ"
"Country:","ประเทศ:"
"Coupons","คูปอง"
"Create","สร้าง"
"Create DB Backup","สร้างการสำรองข้อมูลใหม่"
"Create New Attribute","สร้างคุณลักษณะใหม่"
"Created At","สร้า้งเมื่อ"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Memo History","ประวัติใบลดหนี้"
"Credit Memo Totals","ใบลดหนี้ทั้งหมด"
"Credit Memos","ใบลดหนี้"
"Currency","สกุลเงิน"
"Currency Information","ข้อมูลสกุลเงิน"
"Current Configuration Scope:","ขอบเขตการตั้งค่าปัจจุบัน:"
"Current Month","เดือนปัจจุบัน"
"Custom","กำหนดเอง"
"Customer","ลูกค้า"
"Customer Group:","กลุ่มลูกค้า:"
"Customer Groups","กลุ่มลูกค้า"
"Customer Name","ชื่อลูกค้า"
"Customer Reviews","บทวิจารณ์ของลูกค้า"
"Customer Since:","ลูกค้าตั้ัั้งแต่:"
"Customer Tax Classes","คลาสภาษีลูกค้า"
"Customer with the same email already exists.","ลูกค้ามีอีเมลล์อยู่แล้ว."
"Customers","ลูกค้า"
"DHTML Date/Time Selector","ตัวเลือก วันที่/เวลา แบบ DHTML"
"Dashboard","แดชบอร์ด"
"Data Format","รูปแบบข้อมูล"
"Data transfer:","การส่งข้อมูล:"
"Database","ฐานข้อมูล"
"Date","วันที่"
"Date & Time","วันที่ & เวลา"
"Date Added","วันที่เพิ่ม:"
"Date Updated","วันที่ปรับปรุง"
"Date selection:","เลือกวันที่:"
"Date selector","เลือกวันที่"
"Day","วัน"
"Decimal separator:","สัญลักษณ์คั่นจุดทศนิยม"
"Default (Admin) Values","ค่าที่เป็นค่าเริ่มต้น(ผู้ดูแลระบบ)"
"Default Billing Address","ที่อยู่หลักสำหรับออกใบเสร็จ"
"Default Config","ตั้งค่าตามค่าเริ่มต้น"
"Default Template from Locale","เทมเพลตเริ่มต้นจากพื้นฐาน"
"Default Values","ค่าพื้นฐาน"
"Default scope","ขอบเขตค่าเริ่มต้น"
"Delete","ลบ"
"Delete %s","ลบ %s"
"Delete %s '%s'","ลบ %s '%s'"
"Delete Block","ลบ Block"
"Delete File","ลบไฟล์"
"Delete Image","ลบรูป"
"Delete Profile","ลบโปรไฟล์"
"Delete Role","ลบบทบาท"
"Delete Store","ลบ ร้านค้า"
"Delete Store View","ลบ มุมมองร้านค้า"
"Delete Template","ลบเทมเพลต"
"Delete User","ลบผู้ใช้"
"Delete Website","ลบเว็บไซต์"
"Description","รายละเอียด"
"Design","การออกแบบ"
"Details","รายละเอียด"
"Direction:","การควบคุม:"
"Disable","ปิดการใช้งาน"
"Disabled","ปิดการใช้งาน"
"Display %s first","แสดง %s ก่อน"
"Display default currency","แสดงสกุลเงินเริ่มต้น"
"Distributed under GNU LGPL. See %s for details.","แจกจ่ายภายใต้สัญญาอนุญาติสาธารณะทั่วไปกินู LGP อ่าน %s สำหรับรายละเอียดเพิ่มเติม."
"Do you really want to KILL parallel process and start new indexing process?","คุณต้องการยกเลิกกระบวนการทำงานแบบคู่ขนานและเริ่มต้นกระบวนการจัดทำดัชนีใหม่หรือไม่?"
"Download","ดาวน์โหลด"
"Drag to move","คลิกลากเพื่อย้ายตำแหน่ง"
"Drop-down","ดรอปดาวน์"
"Edit","แก้ไข"
"Edit Block","แก้ไข Block"
"Edit Block '%s'","แก้ไข Block '%s'"
"Edit Design Change","แก้ไขการเปลี่ยนแปลงดีไซน์"
"Edit Email Template","แก้ไขอีเมลล์เทมเพลต"
"Edit Poll","แก้ไขโพล"
"Edit Queue","แก้ไขคิว"
"Edit Role","แก้ไขบทบาท"
"Edit Store View","แก้ไข มุมมอง ร้านค้า"
"Edit System Template","แก้ไขเทมเพลตของระบบ"
"Edit Template","แก้ไขเทมเพลต"
"Edit User","แก้ไขผู้ใช้"
"Edit User '%s'","แก้ไขผู้ใช้ '%s'"
"Edit Website","แก้ไขเว็บไซต์"
"Email","อีเมล"
"Email Address:","อีเมล:"
"Email to a Friend","ส่งอีเมล์ถึงเพื่อน"
"Email:","อีเมล:"
"Enable","เปิดใช้งาน"
"Enabled","เปิดใช้งาน"
"Enclose Values In:","แนบค่าไว้ใน:"
"Entity Type","ประเภท เอกลักษณ์"
"Entity type:","ประเภท เอกลักษณ์:"
"Error","ข้อผิดพลาด"
"Excl. Tax","ไม่รวมภาษี"
"Exclude media folder from backup","ยกเว้นโฟลเดอร์ สื่อ ในการสำรองข้อมูล"
"Expiration Date","วันหมดอายุ"
"Expiration Date: %s/%s","วันหมดอายุ: %s/%s"
"Export","ส่งออก"
"Export CSV","ส่งออก CSV"
"Export Filters","ส่งออกตัวกรอง"
"Export to:","ส่งออก"
"Export:","ส่งออก:"
"FTP Host[:Port]","FTP Host[:พอร์ต]"
"FTP Login","เข้าสู่ระบบ FTP"
"FTP Password","รหัสผ่าน FTP"
"FTP credentials","ข้อมูลรับรอง FTP"
"Failed","ล้มเหลว"
"Field","ช่องรับข้อมูล"
"Field Mapping","ฟิลด์ Mapping"
"File","ไฟล์"
"File Information","ข้อมูลไฟล์"
"File name:","ชื่อไฟล์:"
"File size should be more than 0 bytes","ขนาดของไฟล์ต้องมากกว่า 0 bytes"
"Finished profile execution.","การจัดการโปรไฟล์เสร็จแล้ว."
"First Name","ชื่อ"
"First Name:","ชื่่อ:"
"Fixed","คงที่"
"For category","สำหรับหมวดหมู่"
"For latest version visit: %s","สำหรับรุ่นล่าสุดกรุณาเยี่ยมชมที่: %s"
"For product","สำหรับสินค้า"
"Forgot your password?","ลืมรหัสผ่าน?"
"Forgot your user name or password?","ลืมชื่อผู้ใช้หรือรหัสผ่าน?"
"From","จาก"
"General Information","ข้อมูลทั่วไป"
"Get Image Base64","เรียกรูป Base64"
"Get help for this page","เรียกหน้าสำหรับช่วยเหลือ"
"Global Attribute","คุณลักษณะโดยรวม"
"Global Record Search","ค้นหาข้อมูลทั้งหมด"
"Global Search","ค้นหาทั่วไป"
"Go Today","ไปที่ วันนี้"
"Grand Total","รวมทั้งหมด"
"Grid (default) / List","ตาราง (ค่าเริ่มต้น) / รายการ"
"Grid Only","ตารางเท่านั้น"
"Group:","กลุ่ม:"
"Guest","ผู้ใช้ทั่วไป"
"HTTP (unsecure)","HTTP (ไม่ปลอดภัย)"
"Home","หน้าหลัก"
"ID","ไอดี"
"ID Path","Path ID"
"IP Address","เลขไอพีเครื่อง"
"Images (.gif, .jpg, .png)","รูปภาพ (.gif, .jpg, .png)"
"Images Cache","แคชรูปภาพ"
"Import","นำเข้า"
"Import Service","บริการนำเข้า"
"Import/Export","นำเข้า/ส่งออก"
"Import/Export Advanced","นำเข้า/ส่งออก ขั้้นสูง"
"Import/Export Profile","นำเข้า/ส่งออก โปรไฟล์"
"Imported <strong>%s</strong> records","นำเข้า <strong>%s</strong> บันทึก"
"In","ใน"
"In Database:","ในฐานข้อมูล:"
"In File:","ในไฟล์:"
"Inactive","ไม่ใช้งาน"
"Incl. Tax","รวมภาษี"
"Incoming Message","ข้อความขาเข้า"
"Interactive","ทำงานร่มกัน"
"Interface Locale: %s","การแสดงผลภาษา: %s"
"Invalid Form Key. Please refresh the page.","รหัสฟอร์มไม่ถูกต้อง กรุณารีเฟรชหน้า"
"Invalid Import Service Specified","การระบุบริการนำเข้าไม่ถูกต้อง"
"Invalid data","ข้อมูลไม่ถูกต้อง"
"Invalid directory: %s","ไดเรททอรี่ไม่ถูกต้อง: %s"
"Invalid file: %s","ไฟล์ไม่ถูกต้อง: %s"
"Invalid input data for %s => %s rate","ข้อมูลที่ป้อนเข้าสู่ระบบไม่ถูกต้องสำหรับ %s => %s อัตรา"
"Invalidated","วันที่ไม่ถูกต้อง"
"Inventory Stock Status","สถานะสินค้าคงคลัง"
"Invoice #%s comment added","ใบแจ้งราคาสินค้า #%s แสดงความคิดเห็น"
"Invoice #%s created","ใบแจ้งราคาสินค้า #%s ถูกสร้างแล้ว"
"Invoice History","ประวัติใบแจ้งราคาสินค้า"
"Invoice Totals","ยอดรวมในใบแจ้งราคาสินค้าทั้งหมด"
"Invoices","ใบส่งสินค้า"
"Is Default","เป็นค่าเริ่มต้น"
"Issue Number","จำนวนที่ส่งออกไป"
"Items","รายการ"
"JavaScript/CSS Cache","JavaScript/CSS แคช"
"Last 24 Hours","24 ชั่วโมงล่าสุด"
"Last 5 Orders","คำสั่ั้่งซื้อ 5 คำสั่งซื้อล่าสุด"
"Last 5 Search Terms","คำค้นหา 5 รายการล่าสุด"
"Last 7 Days","7 วันล่าสุด"
"Last Logged In (%s):","เข้าสู่ระบบครั้งล่าสุด (%s):"
"Last Logged In:","อยู่ในระบบล่าสุด:"
"Last Name","นามสกุล"
"Last Name:","นามสกุล:"
"Latest Message:","ข้อความล่าสุด:"
"Lifetime Sales","ยอดขายตลอดการใช้งาน"
"Links","ลิงค์"
"List (default) / Grid","รายการ (ค่าเริ่มต้น) / ตาราง"
"List Only","แบบรายการเท่านั้น"
"Load Template","โหลด เทมเพลต"
"Load default template","โหลดเทมเพลตเริ่มต้น"
"Loading...","กำลังโหลด..."
"Local Server","เซิร์ฟเวอร์พื้นฐาน"
"Local/Remote Server","เซิร์ฟเวอร์แบบ Local/Remote"
"Locale","สถานที่"
"Log In","เข้าสู่ระบบ"
"Log Out","ออกจากระบบ"
"Log in to Admin Panel","ลงทะเบียนเข้าสู่ระบบการจัดการ"
"Logged in as %s","เข้าสู่ระบบแล้วในนามของ %s"
"Login","เข้าสู่ระบบ"
"OpenMage Admin","OpenMage แอดมิน"
"Magento Logo","โลโก้ OpenMage "
"Content","เนื้อหา"
"Currency Rates","อัตราแลกเปลี่ยนสกุลเงิน"
"Tax Rules","ข้อกำหนดภาษี"
"Manual","ปรับเอง"
"Media (.avi, .flv, .swf)","สื่อ (.avi, .flv, .swf)"
"Messages Inbox","กล่องข้อความ"
"Month","เดือน"
"Most Viewed","ถูกเรียกดูมากที่สุด"
"Most Viewed Products","สินค้าที่ดูมากที่สุด"
"Multiple Select","เลือกหลายรายการ"
"My Account","บัญชีของฉัน"
"N/A","ยังไม่มีรายการ"
"NOTICE","หมายเหตุ"
"Name","ชื่อ"
"Name on Card","ชื่อบนบัตร"
"Name on the Card: %s","ชื่อที่ปรากฏบนบัตร: %s"
"Name:","ชื่อ:"
"New ","สร้างใหม่ "
"New Accounts","บัญชีใหม่"
"New Attribute","เพิ่มแอตทริบิวต์"
"New Block","Block ใหม่"
"New Category","สร้างหมวดหมู่ใหม่"
"New Class","คลาสใหม่"
"New Customer","ลูกค้าใหม่"
"New Customers","ลูกค้าใหม่"
"New Design Change","การเปลี่ยนแปลงดีไซน์ใหม่"
"New Email Template","เทมเพลตอีเมลล์ใหม่"
"New Group","สร้างกลุ่มใหม่"
"New Invoice","ใบส่งของใหม่"
"New Page","หน้าใหม่"
"New Password","รหัสผ่านใหม่"
"New Poll","โพลใหม่"
"New Profile","โปรไฟล์ใหม่"
"New Rating","การให้คะแนนใหม่"
"New Review","บทวิจารณ์ใหม่"
"New Rule","ข้อกำหนดใหม่"
"New Search","การค้นหาใหม่"
"New Shipment","การส่งสินค้าใหม่"
"New Sitemap","แผนผังเว็บไซต์ใหม่"
"New Store View","สร้าง มุมมองร้านค้าใหม่"
"New System Template","เทมเพลตระบบใหม่"
"New Tag","Tag ใหม่"
"New Template","เทมเพลตใหม่"
"New User","ผู้ใช้ใหม่"
"New Website","เว็บไซต์ใหม่"
"Newsletter","จดหมายข่าว"
"Newsletter Queue","คิวจดหมายข่าว"
"Newsletter Subscribers","ผู้สมัครสมาชิกจดหมายข่าว"
"Newsletter Templates","เทมเพลตจดหมายข่าว"
"No","ไม่"
"No (price without tax)","ไม่ (ราคาไม่รวมภาษี)"
"No Data Found","ไม่พบข้อมูล"
"No Templates Found","ไม่พบเทมเพลต"
"No change","ยังไม่มีการเปลี่ยนแปลง"
"No profile loaded...","ไม่มีโปรๆฟล์ที่โหลดแล้ว..."
"No records found for this period.","ไม่พบข้อมูลในเวลานี้."
"No records found.","ไม่พบข้อมูล"
"No search keywords.","ไม่มีคำสำคัญในการค้นหา."
"None","ไม่มี"
"Note:","หมายเหตุ:"
"Notes","บันทึก"
"Notifications","การแจ้งเตือน"
"Number of Orders","จำนวนของคำสั้งซื้อ"
"Number of Uses","จำนวนที่่ใช้"
"Number of Views","จำนวนการดู"
"Number of records:","จำนวนแถว"
"Old rate:","อัตราเก่า:"
"Online Customers","ลูกค้าที่ออนไลน์"
"Only mapped fields","เฉพาะฟิลด์ที่แมปแล้ว"
"Optional","ตัวเลือก"
"Options","ตัวเลือก"
"Options is required","ต้องการตัวเลือก"
"Order","รายการสั่งซื้อ"
"Order #%s","คำสั่งซื้อ #%s"
"Order #%s (%s)","คำสั่งซื้อ #%s (%s)"
"Order Totals","คำสั่งซื้อทั้งหมด"
"Orders","รายการสั่งซื้อ"
"Original Magento attribute names in first row:","ชื่อคุณลักษณะแรกเริ่มของ magento ในแถวแรก:"
"Out of stock","สินค้าหมด"
"Parent Product Thumbnail","ภาพตัวอย่างที่มาของสินค้า"
"Passive mode","โหมด Passive"
"Password","รหัสผ่าน"
"Password Confirmation","ยืนยันรหัสผ่าน"
"Password:","รหัสผ่าน:"
"Path:","ตำแหน่งเก็บไฟล์:"
"Pending Reviews","บทวิจารณ์ที่กำลังตรวจสอบ"
"Pending Tags","Tags ที่รอตรวจสอบ"
"Per Item","ต่อรายการ"
"Per Order","ต่อคำสั่งซื้อ"
"Percent","เปอร์เซนต์"
"Performed At","แสดงที่"
"Period","ระยะเวลา"
"Permissions","สิทธิ์"
"Personal Information","ข้อมูลส่วนบุคคล"
"Phone:","โทรศัพท์:"
"Please Select","กรุณาเลือก"
"Please confirm site switching. All data that hasn't been saved will be lost.","กรุณายืนยันการเปลี่ยนไซต์ ข้อมูลทั้งหมดที่ไม่ได้บันทึกจะหายไป."
"Please enter 6 or more characters.","กรุณาใส่อย่างน้อย 6 ตัวอักษรหรือมากกว่า."
"Please enter a number greater than 0 in this field.","กรุณาใส่หมายเลขที่มากกว่า 0 ในฟิลด์นี้."
"Please enter a valid $ amount. For example $100.00.","กรุณาใส่จำนวนเงิน $ ที่ถูกต้อง ตัวอย่างเช่น $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","กรุณาใส่ URL ที่ถูกต้อง ตัวอย่างเช่น http://www.example.com หรือ www.example.com"
"Please enter a valid URL. http:// is required","กรุณาใส่ URL ที่ถูกต้อง โดยมี http://"
"Please enter a valid credit card number.","กรุณาใส่หมายเลขบัตรเครดิตที่ถูกต้อง."
"Please enter a valid date.","กรุณาใส่วันที่ที่ถูกต้อง."
"Please enter a valid email address. For example johndoe@domain.com.","กรุณาใส่อีเมลล์ที่ถูกต้อง ตัวอย่างเช่น johndoe@domain.com."
"Please enter a valid number in this field.","กรุณาใส่เลขที่ถูกต้องในฟิลด์นี้."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","กรุณาใส่หมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","กรุณาใส่หมายเลขประกันสังคมที่ถูกต้อง ตัวอยางเช่น 123-45-6789."
"Please enter a valid value from list","กรุณาใส่ค่าที่ถูกต้องจากรายการ"
"Please enter a valid value, ex: 10,20,30","กรุณาใส่ค่าที่ถูกต้อง, ตัวอย่าง: 10,20,30"
"Please enter a valid zip code.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234."
"Please enter valid password.","กรุณาใส่รหัสผ่านที่ถูกต้อง."
"Please make sure that all global admin search modules are installed and activated.","กรุณาตรวจสอบให้แน่ใจว่าโมดูลการค้นหา Global Admin ทุกโมดูลถูกติดตั้งและเปิดการใช้งานอยู่."
"Please make sure that your changes were saved before running the profile.","โปรดตรวจสอบให้แน่ใจว่าคุณได้บันทึกการเปลี่ยนแปลงก่อนที่จะทำการรันโปรไฟล์."
"Please make sure your passwords match.","กรุณาตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณตรงกัน."
"Please select State/Province.","กรุณาเลือกรัฐ/จังหวัด."
"Please select an option.","กรุณาเลือกตัวเลือก."
"Please select customer(s).","กรุณาเลือกลูกค้า"
"Please select one of the above options.","กรุณาเลือกหนึ่งในตัวเลือกด้านบน."
"Please select one of the options.","กรุณาเลือกตัวเลือกใดตัวเลือกหนึ่ง."
"Please use in this field only ""a-z,0-9,_"".","กรุณาใช้เฉพาะตัวอักษร""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","กรุณาใช้เฉพาะตัวอักษร (a-z) ในฟิลด์นี้."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-z), ตัวเลข (0-9) หรือ spaces ในฟิลด์นี้"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","กรุณาใช้เฉพาะตัวอักษร (a-z) หรือตัวเลข (0-9) ในฟิลด์นี้ ห้ามเว้นวรรคหรือใช้อักขระอื่น."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","กรุณาใช้เฉพาะตัวอักษร (a-z) หรือตัวเลข (0-9) หรือเว้นวรรคและ # เท่านั้นในฟิลด์นี้."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","กรุณาเลือก format วันที่: dd/mm/yyyy ตัวอย่างเช่น 17/03/2006 สำหรับวันที่ 17 มีนาคม 2006."
"Please wait, loading...","โปรดรอสักครู่ กำลังโหลด..."
"Please wait...","กรุณารอสักครู่..."
"Poll Manager","การจัดการโพล"
"Popular","ยอดนิยม"
"Position","ตำแหน่ง"
"Position of Watermark for %s","ตำแหน่งของลายน้ำสำหรับ %s"
"Prev. month (hold for menu)","เดือนก่อน (กดค้างที่เมนู)"
"Prev. year (hold for menu)","ปีก่อนหน้า (กดค้างไว้ที่เมนู)"
"Preview","แสดงตัวอย่าง"
"Preview Template","แสดงตัวอย่างเทมเพลต"
"Price","ราคา"
"Price:","ราคา:"
"Processed <strong>%s%% %s/%d</strong> records","การดำเนินการบันทึก <strong>%s%% %s/%d</strong>"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tax Classes","คลาสภาษีสินค้า"
"Product Thumbnail Itself","ภาพตัวอย่างสินค้า"
"Products","สินค้า"
"Profile Action","การกระทำโปรไฟล์"
"Profile Actions XML","การกระทำโปรไฟล์ XML"
"Profile Direction","การควบคุมโปรไฟล์"
"Profile History","ประวัติโปรไฟล์"
"Profile Information","ข้อมูลโปรไฟล์"
"Profile Name","ชื่อโปรไฟล์"
"Profile Wizard","โปรไฟล์ พิเศษ"
"Profiles","โปรไฟล์"
"Promo","การโฆษณา"
"Promotions","โปรโมชั่น"
"Quantity","จำนวน"
"Radio Buttons","ปุ่มกดเรดิโอบัททอน"
"Rates","อัตรา"
"Read details","อ่านรายละเอียด"
"Rebuild","สร้างใหม่"
"Rebuild Catalog Index","สร้างดัชนี้แค็ตตาล็อกใหม่"
"Recent Orders","คำสั่งซื้อล่าสุด"
"Redirect","เปลี่ยนการควบคุมใหม่"
"Refresh","รีเฟรช"
"Refresh Now*","รีเฟรชเดี๋ยวนี้*"
"Region/State","ภูมิภาค/รัฐ"
"Regular Price:","ราคาปกติ:"
"Release","ออกวางจำหน่าย"
"Release Stability","ความเสถียรของการออกวางจำหน่าย"
"Release Version","เวอร์ชันที่ออกจำหน่าย"
"Reload captcha","โหลด captcha ใหม่"
"Remove","ลบ"
"Reports","รายงาน"
"Request Path","Path ที่ต้องการ"
"Required","จำเป็น"
"Reset","รีเซ็ต"
"Reset Filter","รีเซ็ตตัวกรอง"
"Reset Password","รีเซ็ตรหัสผ่าน"
"Resize","ลดขนาด"
"Resource Access","การเข้าถึงแหล่งที่มา"
"Resources","แหล่งที่มา"
"Results","ผลลัพธ์"
"Retrieve Password","ขอรหัสผ่านใหม่"
"Return Html Version","กลับไปเวอร์ชัน Html"
"Revenue","รายได้"
"Reviews","รีวิว"
"Role ID","รหัสบทบาท
Role Info"""
"Role Info","ข้อมูลบทบาท"
"Role Information","ข้อมูลบทบาท"
"Role Name","ชื่อบทบาท"
"Role Resources","แหล่งที่มาของบทบาท"
"Role Users","บทบาทผู้ใช้"
"Roles","บทบาท"
"Roles Resources","แหล่งที่มาของบทบาท"
"Root Category","หมวดหมู่หลัก"
"Rotate CCW","หมุน CCW"
"Rotate CW","หมุน CW"
"Run","ดำเนินการ"
"Run Profile","ดำเนินการโปรไฟล์"
"Run Profile Inside This Window","ดำเนินการโปรไฟล์ในหน้าต่างนี้"
"SKU","รหัสสินค้า"
"Sales Report","รายงานยอดขาย"
"Samples","ตัวอย่าง"
"Save","บันทึก"
"Save & Generate","บันทึก & สร้างข้อมูล"
"Save Account","บันทึกบัญชี"
"Save Block","บันทึก Block"
