"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"No Payment Methods","ไม่มีวิธีการชำระเงิน"
"Order #","รายการสั่งซื้อ #"
"Order Review","ตรวจสอบคำสั่งซื้อ"
"Order Success","สั่งซื้อสำเร็จแล้ว"
"Password","รหัสผ่าน"
"Payment Information","ข้อมูลการชำระเงิน"
"Payment Method","วิธีการชำระเงิน"
"Payment method is not defined","ไม่ได้ระบุวิธีการชำระเงิน"
"Place Order","สั่งสินค้า"
"Please agree to all the terms and conditions before placing the order.","โปรดยอมรับข้อกำหนดและเงื่อนไขทั้งหมดก่อนทำการสั่งซื้อ"
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Please select shipping methods for all addresses","กรุณาเลือกวิธีจัดส่งสินค้าสำหรับทุกที่อยู่"
"Price","ราคา"
"Proceed to Checkout","เริ่มชำระเงิน"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Products","สินค้า"
"Qty","จำนวน"
"Qty:","จำนวนสินค้า"
"Quantity","จำนวน"
"Quote Lifetime (days)","อ้างอิงเวลาตลอดการใช้งาน (วัน)"
"Recently added item(s)","รายการที่เพิ่มเมื่อไม่นานนี้"
"Register","ลงทะเบียน"
"Register and save time!","ลงทะเบียนเพื่อประหยัดเวลาของคุณ!"
"Register to Create an Account","ลงทะเบียนเพื่อสร้างบัญชีผู้ใช้"
"Register with us for future convenience:","ลงทะเบียนกับเราเพื่อความสะดวกในอนาคต:"
"Remove Item","ลบรายการสินค้าออก"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Remove item","ลบสินค้า"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Review Order - %s","ตรวจสอบคำสั่งซื้อ - %s"
"SKU","รหัสสินค้า"
"Save in address book","บันทึกในสมุดเก็บที่อยู่"
"See price before order confirmation.","โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ"
"Select Address","เลือกที่อยู่"
"Select Addresses","เลือกที่อยู่"
"Select Shipping Method","เลือกวิธีการจัดส่งสินค้า"
"Select State/Province...","เลือก รัฐ/จังหวัด..."
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่"
"Select a shipping address from your address book or enter a new address.","เลือกที่อยู่สำหรับจัดส่งสินค้าจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่"
"Ship to Multiple Addresses","ส่งไปยังที่อยู่หลายที่"
"Ship to different address","ส่งไปยังที่อยู่ที่ต่างกัน"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"Shipping Address","ที่อยู่จัดส่ง"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Methods","วิธีการจัดส่ง"
"Shipping method has not been selected yet","ยังไม่ได้เลือกวิธีการส่งสินค้า"
"Shopping Cart","ตะกร้าสินค้า"
"Shopping Cart is Empty","รถเข็นยังว่างเปล่าอยู่"
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับออเดอร์นี้ที่ใช้ได้ขณะนี้"
"State/Province","จังหวัด"
"Status","สถานะ"
"Store View","มุมมองร้าน"
"Street Address","ที่อยู่"
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Subtotal","ผลรวมย่อย"
"Telephone","โทรศัพท์"
"Text","ข้อความ"
"Thank you for your purchase!","ขอบคุณที่ซื้อสินค้ากับเรา!"
"The product does not exist.","ไม่มีสินค้านี้"
"Total","รวม"
"Total for this address","ทั้งหมดสำหรับที่อยู่นี้"
"Unit Price","ราคาต่อหน่วย"
"Update","อัพเดท"
"Update Cart","อัพเดท ตะกร้าสินค้า"
"Update Qty &amp; Addresses","อัพเดท จำนวน &amp; ที่อยู่"
"Update Shopping Cart","อัพเดทตะกร้าสินค้า"
"Update Total","อัพเดทยอดรวมทั้งหมด"
"Use Billing Address","ใช้ที่อยู่สำหรับออกใบเสร็จ"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"View Shopping Cart","ดูตะกร้าสินค้า"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","เรากำลังดำเนินการกับออเดอร์ของคุณอยู่ คุณจะได้รับอีเมลล์พร้อมรายละเอียดออเดอร์ในไม่ช้า และเมื่อเราจัดส่งออเดอร์ให้คุณ คุณจะได้รับอีเมล์อีกฉบับซึ่งจะมีลิงค์สำหรับติดตามความคืบหน้า"
"What's this?","นี่คืออะไร?"
"You have no items in your shopping cart.","คุณไม่มีสินค้าในตะกร้า"
"You will receive an order confirmation email with details of your order and a link to track its progress.","คุณจะได้รับอีเมล์ยืนยันการสั่งซื้อพร้อมรายละเอียดการสั่งซื้อของคุณและลิงค์สำหรับติดตามความคืบหน้าของการสั่งซื้อ"
"Your Checkout Progress","ความคืบหน้าในการ Checkout ของคุณ"
"Zip/Postal Code","รหัสไปรษณีย์"
"or","หรือ"
