"-- Please Select --","-- โปรดเลือก-"
"Please enter a number 0 or greater in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please enter a number greater than 0 in this field.","กรุณาใส่หมายเลขที่มากกว่า 0 ในฟิลด์นี้."
"Please enter a valid $ amount. For example $100.00.","กรุณาใส่จำนวนเงิน $ ที่ถูกต้อง ตัวอย่างเช่น $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","กรุณาใส่ URL ที่ถูกต้อง ตัวอย่างเช่น http://www.example.com หรือ www.example.com"
"Please enter a valid credit card number.","กรุณาใส่หมายเลขบัตรเครดิตที่ถูกต้อง."
"Please enter a valid date.","กรุณาใส่วันที่ที่ถูกต้อง."
"Please enter a valid email address. For example johndoe@domain.com.","กรุณาใส่อีเมลล์ที่ถูกต้อง ตัวอย่างเช่น johndoe@domain.com."
"Please enter a valid number in this field.","กรุณาใส่เลขที่ถูกต้องในฟิลด์นี้."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","กรุณาใส่หมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","กรุณาใส่หมายเลขประกันสังคมที่ถูกต้อง ตัวอยางเช่น 123-45-6789."
"Please enter a valid zip code.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234."
"Please make sure your passwords match.","กรุณาตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณตรงกัน."
"Please select State/Province.","กรุณาเลือกรัฐ/จังหวัด."
"Please select an option.","กรุณาเลือกตัวเลือก."
"Please select one of the above options.","กรุณาเลือกหนึ่งในตัวเลือกด้านบน."
"Please select one of the options.","กรุณาเลือกตัวเลือกใดตัวเลือกหนึ่ง."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","กรุณาใช้เฉพาะตัวอักษร (a-z), ตัวเลข (0-9) หรือขีดล่าง (_) ในฟิลด์นี้ โดยตัวแรกสุดจะต้องเป็นตัวอักษร"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","กรุณาเลือก format วันที่: dd/mm/yyyy ตัวอย่างเช่น 17/03/2006 สำหรับวันที่ 17 มีนาคม 2006."
"Please wait, loading...","โปรดรอสักครู่ กำลังโหลด..."
"Port (25)","พอร์ต (25)"
"Root Category","หมวดหมู่หลัก"
"Save","บันทึก"
"Save Store","บันทึกร้านค้า"
"Save Store View","บันทึก มุมมองร้านค้า"
"Save Website","บันทึกเว็บไซต์"
"Search Engines Optimization","การปรับแต่งเครื่องมือในการค้นหา"
"Secure","ปลอดภัย"
"Security","ความปลอดภัย"
"Select Date","เลือกวันที่"
"Sender Email","Email ผู้ส่ง"
"Sender Name","ชื่อผู้ส่ง"
"Services","บริการ"
"Set as Default","ตั้งเป็นค่าเริ่มต้น"
"Skin (Images / CSS)","สกิน (รูปภาพ / CSS)"
"Sort Order","การเรียงลำดับ"
"Status","สถานะ"
"Store","ร้านค้า"
"Store Email Addresses","อีเมลร้านค้า"
"Store Hours of Operation","เวลาทำการของร้านค้า"
"Store Information","ข้อมูลร้านค้า"
"Store Name","ชื่อร้านค้า"
"Store View","มุมมองร้าน"
"Store View Information","ข้อมูลมุมมองร้านค้า"
"Store View Name","ชื่อมุมมองร้าน"
"Store view doesn't exist","มุมมองร้านไม่มีอยู่"
"Store with the same code","ร้านค้าที่มีโค้ดเหมือนกัน"
"System","ระบบ"
"Template Path Hints","เทมเพลต Path Hints"
"Templates","เทมเพลต"
"The store does not exist","ไม่มีร้านค้า"
"The website does not exist.","ไม่มีเว็บไซต์"
"Themes","ธีม"
"This category only","เฉพาะประเภทนี้เท่านั้น"
"This is a required field.","นี่คือข้อมูลที่จำเป็น"
"This store cannot be deleted.","ร้านนี้ไม่สามารถลบ"
"This store view cannot be deleted.","มุมมองร้านค้าไม่สามารถลบได้"
"This website cannot be deleted.","เว็บไซต์นี้ไม่สามารถลบได้"
"Timezone","เขตเวลา"
"Transactional Emails","อีเมลล์ธุรกรรม"
"Translations","การย้าย"
"Unsecure","ไม่ปลอดภัย"
"Url Options","ตัวเลือก Url"
"None","ไม่มี"
"Use Secure URLs in Admin","ใช้ URL ที่ปลอดภัยในส่วน Admin"
"Use Secure URLs in Frontend","ใช้ URL ที่ปลอดภัยใน Frontend"
"Use Web Server Rewrites","ใช้การเขียนเว็บเซิร์ฟเวอร์ใหม่"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"Web","เว็บไซต์"
"Website","เว็บไซต์"
"Website Information","ข้อมูลเว็บไซต์"
"Website Name","ชื่อเว็บไซต์"
"Website with the same code","เว็บไซต์ที่มีโค้ดเหมือนกัน"
"Wrong number of arguments for %s","หมายเลข Argumentไม่ถูกต้องสำหรับ %s"
"Yes","ใช่"
"Frontend","ส่วนหน้าเว็บ"
