"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"New Customer","ลูกค้าใหม่"
"New Customer Address","ที่อยู่ใหม่ของลูกค้า"
"New Customer Group","เพิ่มกลุ่มลูกค้า"
"New Customer Groups","เพิ่มกลุ่มลูกค้า"
"New Customers","ลูกค้าใหม่"
"New Group","สร้างกลุ่มใหม่"
"New Password","รหัสผ่านใหม่"
"New account","บัญชีผู้ใช้ใหม่"
"Newsletter","จดหมายข่าว"
"Newsletter Finish","จดหมายข่าวเสร็จสิ้น"
"Newsletter Information","ข้อมูลจดหมายข่าว"
"Newsletter Received","จดหมายข่าวที่ได้รับ"
"Newsletter Start","จดหมายข่าวเริ่ม"
"Newsletter Subscription","การสมัครสมาชิกจดหมายข่าว"
"Newsletters","จดหมายข่าว"
"No Items Found","ไม่พบรายการสินค้า"
"No Newsletter Found","ไม่พบจดหมายข่าว"
"No item specified.","ไม่ได้ระบุรายการ"
"Not Sent","ไม่ส่ง"
"Offline","ออฟไลน์"
"Online","ออนไลน์"
"Online Customers","ลูกค้าที่ออนไลน์"
"Order #","รายการสั่งซื้อ #"
"Order Total","ยอดสั่งซื้อ"
"Orders","รายการสั่งซื้อ"
"Password","รหัสผ่าน"
"Password Management","การจัดการรหัสผ่าน"
"Password Options","ตัวเลือกรหัสผ่าน"
"Password:","รหัสผ่าน:"
"Paused","ถูกหยุดชั่วคราว"
"Pending","รอตรวจสอบ"
"Per Website","ต่อเว็บไซต์"
"Personal Information","ข้อมูลส่วนบุคคล"
"Please enter your email.","กรุณากรอกอีเมลของคุณ"
"Please make sure your passwords match.","กรุณาตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณตรงกัน."
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Price","ราคา"
"Product","สินค้า"
"Product ID","รหัส สินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Purchase On","ซื้อเมื่อ"
"Purchased On","ซื้อเมื่อ"
"Qty","จำนวน"
"Recent Orders","คำสั่งซื้อล่าสุด"
"Refunded","คืนเงินแล้ว"
"Register","ลงทะเบียน"
"Registered Customers","ลูกค้าที่เคยลงทะเบียนแล้ว"
"Remove","ลบ"
"Retrieve your password here","เรียกคืนรหัสผ่านของคุณที่นี่"
"SKU","รหัสสินค้า"
"Sales Statistics","สถิติการขาย"
"Save","บันทึก"
"Save Address","บันทึกที่อยู่"
"Save Customer","บันทึกลูกค้า"
"Save Customer Group","บันทึกกลุ่มลูกค้า"
"Save Password","บันทึกรหัสผ่าน"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Sending","กำลังส่ง..."
"Sent","ส่งแล้ว"
"Session Start Time","เวลาเริ่ม Session "
"Set as Default Billing Address","ตั้งค่าเป็นที่อยู่เริ่มต้นสำหรับออกใบเสร็จ"
"Set as Default Shipping Address","ตั้งค่าเป็นที่อยู่เริ่มต้นสำหรับจัดส่งสินค้า"
"Share Customer Accounts","ใช้บัญชีลูกค้าร่วมกัน"
"Shipped to First Name","ส่งไปยังชื่อ"
"Shipped to Last Name","จัดส่งไปยังนามสกุล"
"Shipped to Name","ชื่อผู้ขนส่ง"
"Shopping Cart","ตะกร้าสินค้า"
"Shopping Cart - %d item(s)","รถเข็น - %d รายการ"
"Sign Up for Newsletter","สมัครรับจดหมายข่าว"
"State/Province","จังหวัด"
"Status","สถานะ"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Street Address","ที่อยู่"
"Subject","หัวข้อ"
"Submit","ส่ง"
"Subscribe to Newsletter","สมัครสมาชิกจดหม่ายข่าว"
"Subscribed to Newsletter?","สมัครสมาชิกจดหมายข่าวแล้ว?"
"Tag Name","ชื่อ Tag"
"Telephone","โทรศัพท์"
"Text","ข้อความ"
"Text One Line","ตัวอักษรบรรทัดเดียว"
"The customer does not have default billing address.","ลูกค้าไม่ได้กำหนดที่อยู่หลักสำหรับออกใบเสร็จ"
"There are no items in customer's wishlist at the moment","ลูกค้าไม่มี รายการ  ในขณะที่ wishlist "
"There are no items in customer's shopping cart at the moment","ลูกค้าไม่มี รายการ  ในขณะที่สั่งสินค้าใส่รถเข็น"
"This customer has no saved addresses.","ลูกค้าท่านนี้ไม่มีที่อยู่ที่บันทึกไว้"
"To Cart","ไปยังรถเข็น"
"Total","รวม"
"Type","ชนิด"
"Unknown","ไม่ทราบ"
"Update","อัพเดท"
"Use as my default billing address","ใช้เป็นที่อยู่หลักสำหรับออกใบเสร็จ"
"Use as my default shipping address","ใช้เป็นที่อยู่หลักสำหรับจัดส่ง"
"VAT Number","เลขประจำตัวผู้เสียภาษี"
"View","มุมมอง"
"View Order","ดู รายการสั่งซื้อ"
"Visitor","ผู้เยี่ยมชม"
"Visitors Only","เฉพาะผู้เยี่ยมชม"
"Website","เว็บไซต์"
"Wishlist","รายการโปรด"
"Wishlist - %d item(s)","Wishlist - %d รายการ"
"Would you like to change the Customer Group for this order?","คุณต้องการเปลี่ยนแปลงกลุ่มลูกค้าสำหรับคำสั่งซื้อนี้หรือไม่"
"Year","ปี"
"You are currently not subscribed to any newsletter.","ขณะนี้คุณไม่ได้สมัครเป็นสมาชิกของจดหมายข่าวใด ๆ"
"You are currently subscribed to 'General Subscription'.","ขณะนี้คุณเป็นสมาชิกทัวไป"
"You are currently subscribed to our newsletter.","ขณะนี้คุณสมัครเป็นสมาชิกของจดหมายข่าวของเราแล้ว"
"You have no additional address entries in your address book.","คุณไม่มีรายการที่อยู่เพิ่มเติมในสมุดที่อยู่ของคุณ"
"You have no additional entries in your address book.","คุณไม่มีรายการเพิ่มเติมในสมุดที่อยู่ของคุณ"
"You have no default billing address in your address book.","คุณไม่มีที่อยู่เริ่มต้นสำหรับออกใบเสร็จในสมุดที่อยู่ของคุณ"
"You have no default shipping address in your address book.","คุณไม่มีที่อยู่เริ่มต้นสำหรับจัดส่งสินค้าในสมุดที่อยู่ของคุณ"
"You have not set a default billing address.","คุณไม่ได้ตั้งค่าเริ่มต้นที่อยู่ในการออกใบเสร็จ"
"You have not set a default shipping address.","คุณไม่ได้ตั้งค่าเริ่มต้นที่อยู่จัดส่ง"
"You have placed no orders yet.","คุณยังไม่ได้สั่งซื้อ"
"You have placed no products yet.","คุณยังไม่ได้สั่งสินค้า"
"Your account balance is: %s","ยอดเงินของบัญชีของคุณคือ: %s"
"ZIP","รหัสไปรษณีย์"
"ZIP/Post Code","รหัสไปรษณีย์"
"Zip/Postal Code","รหัสไปรษณีย์"
"or","หรือ"
