"# of Use","# จำนวนที่ใช้"
"%s Item(s)","%s รายการ(s)"
"(Copy data from: %s)","(คัดลอกข้อมูลจาก: %s)"
"Category Products","ประเภทสินค้า"
"Category move error","เกิดข้อผิดพลาดในการย้ายประเภท"
"Center","กึ่งกลาง"
"Change","เปลี่ยนแปลง"
"Change status","เปลี่ยนแปลงสถานะ"
"Choose an Option...","เลือกตัวเลือก..."
"Clear All","ลบทั้งหมด"
"Click for price","คลิกเพื่อดูราคา"
"Close Window","ปิดหน้าต่าง"
"Comparable","เปรียบเทียบได้"
"Comparable on Front-end","สามารถเปรียบเทียบได้ในด้านหน้า"
"Compare Products","เปรียบเทียบสินค้า"
"Conditions Combination","การรวมเงื่อนไข"
"Configurable Product","สินค้าที่ปรับแต่งได้"
"Configurable Product Settings","ตั้งค่าสินค้าที่ปรับแต่งได้"
"Continue","ดำเนินการต่อ"
"Copy From Configurable","คัดลอกจากสิ่งที่แก้ไขได้"
"Create","สร้าง"
"Create Empty","ไม่มีการสร้าง"
"Create Product Settings","สร้างการตั้งค่าสินค้า"
"Create Simple Associated Product","สร้างตัวอย่างที่เกี่ยวข้องกับสินค้า"
"Cross-sells","Cross-sell"
"Custom Design","แบบกำหนดเอง"
"Customer Group","กลุ่มลูกค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Customers Tagged Product","Tag สินค้า่ลูกค้า"
"Data Type for Saving in Database","ประเภทของข้อมูลที่จะบันทึกลงในฐานข้อมูล"
"Date Subscribed","วันที่สมัครสมาชิก"
"Datetime","วันเวลา"
"Decimal","ทศนิยม"
"Declare attribute value saving scope","แจ้งขอบเขตการบันทึกค่าคุณลักษณะ"
"Default Price","ราคาตั้งต้น"
"Default Qty","จำนวนสินค้าเริ่มต้น"
"Default Values","ค่าพื้นฐาน"
"Delete","ลบ"
"Delete Attribute","ลบแอตทริบิวต์"
"Delete Attribute Set","ลบชุดคุณลักษณะ"
"Delete Category","ลบประเภท"
"Delete Option","ลบตัวเลือก"
"Delete Row","ลบแถว"
"Delete Search","ลบการค้นหา"
"Delete Selected Group","ลบกลุ่มที่เลือก"
"Description","รายละเอียด"
"Design","การออกแบบ"
"Details","รายละเอียด"
"Disabled","ปิดการใช้งาน"
"Display in Suggested Terms","แสดงในคำที่แนะนำ"
"Double click on a group to rename it","ดับเบิ้ลคลิ๊กที่กลุ่มเพื่อทำการแก้ไขชื่อ"
"Duplicate","ทำสำเนา"
"Duplicate website tier price customer group and quantity.","จำลองเว็บไซต์ระดับราคาของกลุ่มลูกค้าและปริมาณ"
"Edit","แก้ไข"
"Edit Attribute Set '%s'","แก้ไขชุดคุณลักษณะ '%s'"
"Edit Product Attribute","แก้ไขคุณลักษณะสินค้า"
"Edit Product Attribute ""%s""","แก้ไขคุณลักษณะสินค้า ""%s"""
"Edit Search","แก้ไขการค้นหา"
"Edit Search '%s'","แก้ไขการค้นหา '%s'"
"Email","อีเมล"
"Email to a Friend","ส่งอีเมล์ถึงเพื่อน"
"Empty","ว่างเปล่า"
"Enabled","เปิดใช้งาน"
"Error during retrieval of option value: %s","พบข้อผิดพลาดขณะดึงค่าตัวเลือก: %s"
"Exclude","ไม่รวม"
"Failed","ล้มเหลว"
"Failed to move file: %s","การย้ายไฟล์ล้มเหลว: %s"
"Feature Products","ลักษณะสินค้า"
"Filterable (no results)","ใช้ตัวกรองได้ (ไม่ใช้ผลลัพธ์)"
"Filterable (with results)","สามารถใช้ตัวกรองได้ (พร้อมผลลัพธ์)"
"First Name","ชื่อ"
"Fixed","คงที่"
"Frontend","ส่วนหน้าเว็บ"
"Frontend Model","แบบส่วนหน้า"
"Frontend Properties","คุณสมบัติ ส่วนหน้า "
"Gallery","แกลเลอรี่"
"General Information","ข้อมูลทั่วไป"
"Global","ตั้งค่าระบบหลัก"
"Globally Editable","สามารถแก้ไขได้โดยทั่วไป"
"Go to Home Page","ไปยังหน้าหลัก"
"Grid","ตาราง"
"Grouped Product","สินค้าที่จัดเป็นกลุ่ม"
"Groups","กลุ่ม"
"Home","หน้าหลัก"
"ID","ไอดี"
"Image","รูปภาพ"
"Image type and information need to be specified for each store view.","ต้องมีการระบุประเภทรูปภาพและข้อมูลสำหรับมุมมองแต่ละร้าน"
"In Stock","มีสินค้า"
"In stock","มีสินค้า"
"Incl. Tax","รวมภาษี"
"Input Type","รูปแบบการรับข้อมูล"
"Integer","จำนวนเต็ม"
"Invalid store specified","กำหนดร้านค้าไม่ถุกต้อง"
"Inventory","สินค้าที่มีอยู่ร้าน"
"Is Default","เป็นค่าเริ่มต้น"
"Is Required","จำเป็นต้องกรอกหรือไม่"
"Items %s to %s of %s total","รายการที่ %s ถึง %s จากทั้งหมด %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."," ในความต้องการของร้านค้า รายการทีคุณไม่ต้องการให้แสดงในรายการสินค้า หรือ จากการค้นหาควรจะให้มีสถานะ'ปิดใช้งาน'"
"Label","ป้าย"
"Last Name","นามสกุล"
"Last Notification","การแจ้งเตือนครั้งสุดท้าย"
"Learn More","ดูรายละเอียดเพิ่มเติม"
"List","รายการ"
"List Mode","โหมดรายการ"
"Maximum Qty Allowed in Shopping Cart","จำนวนมากที่สุดที่อนุมัติในรถเข็น"
"Media Image","ภาพ Media"
"Minimum Qty Allowed in Shopping Cart","จำนวนที่น้อยที่สุดที่อนุมัติในรถเข็น"
"Minimum Qty for Item's Status to be Out of Stock","จำนวนที่น้อยที่สุดสำหรับรายการที่จะออกจากคลังสินค้า"
"More Views","มุมมองเพิ่มเติม"
"My Account","บัญชีของฉัน"
"N/A","ยังไม่มีรายการ"
"Name","ชื่อ"
"New Product","เพิ่มสินค้า"
"New Product Attribute","สร้างแอตทริบิ้วต์สินค้า"
"New Products","เพิ่มสินค้าใหม่"
"New Search","การค้นหาใหม่"
"New Set Name","ชื่อชุดใหม่"
"Next","ถัดไป"
"No","ไม่"
"No image","ไม่มีรูปภาพ"
"No layout updates","ไม่มีการอัพเดท เลย์เอาท์"
"No options of this product are available.","ไม่มีตัวเลือกเพิ่มเติมอื่นๆสำหรับสินค้ารายการนี้"
"None","ไม่มี"
"Notify Low Stock RSS","แจ้งเตือนเมื่อสินค้าในสต๊อกเหลือน้อย RSS"
"Notify for Quantity Below","แจ้งเตือนสำหรับปริมาณที่ลดลง"
"Number of Uses","จำนวนที่่ใช้"
"OR","หรือ"
"Old Price:","ราคาเก่า:"
"Option:","ตัวเลือก:"
"Options","ตัวเลือก"
"Options Control","ควบคุมตัวเลือก"
"Options is required","ต้องการตัวเลือก"
"Out of Stock","สินค้าหมดคลังสินค้า"
"Out of stock","สินค้าหมด"
"Page Title Separator","ตัวแยกหัวข้อหน้าหน้า"
"Parent Category","หมวดหมู่หลัก"
"Pending","รอตรวจสอบ"
"Pending Reviews RSS","บทวิจารณ์ RSS กำลังรอการตรวจสอบ"
"Percentage","เปอร์เซ็นต์"
"Please enter a new group name","กรุณาใส่ชื่อกลุ่มใหม่"
"Please select one or more attributes.","กรุณาเลือกคุณลักษณะหนึ่งอย่างหรือมากกว่า"
"Please select products for attributes update","กรุณาเลือกสินค้าที่จะอัพเดทคุณลักษณะ"
"Please specify the quantity of product(s).","กรุณาระบุจำนวนสินค้า"
"Please wait...","กรุณารอสักครู่..."
"Position","ตำแหน่ง"
"Position of attribute in layered navigation block","ตำแหน่งของคุณลักษณะ layered navigation ถูกบล็อค"
"Prev","ก่อนหน้า"
"Previous","ก่อนหน้านี้"
"Price","ราคา"
"Price Type","ประเภทราคา"
"Price values for options should be specified in system base currency.","ค่าราคาสำหรับข้อกำหนดจะเจาะจงอยู่ในพื้นฐานระบบสกุลเงิน"
"Price:","ราคา:"
"Print This Page","พิมพ์หน้านี้"
"Product","สินค้า"
"Product Alerts","แจ้งเตือนสินค้า"
"Product Attribute","คุณลักษณะสินค้า"
"Product Attributes","แอตทริบิ้วต์สินค้า"
"Product Categories","ประเภทสินค้า"
"Product Description","รายละเอียดสินค้า"
"Product ID","รหัส สินค้า"
"Product Image Placeholders","รูปภาพสินค้า Placeholders"
"Product Image Watermarks","ภาพลายน้ำ้สินค้า"
"Product In Websites","สินค้าในเว็บไซต์"
"Product Information","ข้อมูลสินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Product Type","ประเภทสินค้า"
"Product with this combination of attributes already associated to configurable.","ผลิตภัณฑ์รวมเข้าด้วยกันกับคุณลักษณะเรียบร้อยแล้วที่สัมพันธ์ถึงการแก้ไข"
"Products","สินค้า"
"Products Comparison List","รายการเปรียบเทียบสินค้า"
"Products Information","ข้อมูลสินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Products Sitemap","แผนผังสินค้า"
"Products only","เฉพาะสินค้า"
"Properties","คุณสมบัติ"
"Qty","จำนวน"
"Qty Uses Decimals","จำนวนทศนิยมที่ใช้"
"Qty:","จำนวนสินค้า"
"Quantity","จำนวน"
"Quick Create","สร้างแบบเร็ว"
"Quick Overview","รายละเอียด"
"Quick simple product creation","สร้างตัวอย่างสินค้าแบบเร็ว"
"Redirect","เปลี่ยนการควบคุมใหม่"
"Redirect URL","ส่งต่อ URL"
"Regular Price:","ราคาปกติ:"
"Related Products","สินค้าที่เกี่ยวข้อง"
"Remove","ลบ"
"Remove Product From Websites","ลบสินค้าออกจากเว็บไซต์"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Reset","รีเซ็ต"
"Results","ผลลัพธ์"
"Reviews","รีวิว"
"Roll Over for preview","Roll Over สำหรับการแสดงตัวอย่าง"
"Root","หลัก"
"SKU","รหัสสินค้า"
"Save","บันทึก"
"Save Attribute","บันทึกแอตทริบิวต์"
"Save Attribute Set","บันทึกชุดคุณลักษณะ"
"Save Category","บันทึกประเภทสินค้า"
"Save Search","บันทึกการค้นหา"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Scope","ขอบเขต"
"Search","ค้นหา"
"Search Engine Optimizations","การปรับแต่งเครื่องมือในการค้นหา"
"Search Information","ข้อมูลการค้นหา"
"Search Query","คำค้นหา"
"Searchable","ค้นหาได้"
"See price before order confirmation.","โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ"
"Select Configurable Attributes ","เลือกคุณลักษณะที่ปรับแต่งได้ "
"Selected Product Types","เลือกประเภทสินค้า"
"Send Count","นับการส่ง"
"Set Ascending Direction","เรียงจากน้อยไปหามาก"
"Set Descending Direction","เรียงจากมากไปหาน้อย"
"Set Name","ชื่อชุดสินค้า"
"Set root category for this store in the <a href=""%s"">configuration</a>","ตั้งค้า root category สำหรับร้านค้านี้ใน<a href=""%s"">การตั้งค่า</a>"
"Settings","การตั้งค่า"
"Shop By","เลือกซื้อโดย"
"Shopping Options","ตัวเลือกการช็อปปิ้ง"
"Show","แสดง"
"Simple Product","ตัวอย่างสินค้า"
"Site Map","แผนผังเว็บไซต์"
"Skip import row, is not valid value ""%s"" for field ""%s""","ข้ามการนำเข้าแถว,ค่าไม่ถูกต้อง ""%s"" สำหรับฟิลด์ ""%s"""
"Sort By","เรียงตาม"
"Sort Order","การเรียงลำดับ"
"Source Model","แหล่งข้อมูลโมเดล"
"Special Price:","ราคาพิเศษ:"
"Starting at:","เริ่มต้นที่:"
"Static","สถิติ"
"Static block and products","Static Block และสินค้า"
"Static block only","เฉพาะ Static Block"
"Status","สถานะ"
"Stock Availability","มีสินค้าในคลังสินค้า"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Stretch","ยืดออก"
"Subscribe to RSS Feed","สมัครสมาชิก RSS Feed"
"Super product attributes configuration","การตั้งค่าคุณลักษณะสินค้าขั้นสูง"
"Synonym For","คำเหมือนของ"
"System Properties","คุณสมบัติระบบ"
"Tag Name","ชื่อ Tag"
"Tax","ภาษี"
"Template","เทมเพลต"
"Text","ข้อความ"
"There are no %s available.","ไม่มี %s ที่สามารถซื้อได้"
"There are no customers for this alert","ไม่มีลูกค้าสำหรับการแจ้งเตือนนี้"
"There are no products matching the selection.","ไม่พบสินค้าที่ตรงกับการเลือก"
"This attribute no longer exists","ไม่มีคุณลักษณะนี้อยู่"
"This group contains system attributes. Please move system attributes to another group and try again.","กลุ่มนี้ประกอบด้วยคุณลักษณะของระบบ กรุณาย้ายคุณลักษณะของระบบออกไปยังกลุ่มอื่นแล้วลองใหม่อีกครั้ง"
"Tier Pricing","ราคาแบบลำดับขั้น"
"Top/Left","บนซ้าย"
"Top/Right","บนขวา"
"Type","ชนิด"
"Unassigned Attributes","คุณลักษณะที่ยังไม่ถูกจัดการ"
"Update","อัพเดท"
"Update Attributes","บันทึกแอตทริบิวต์"
"Update attributes","อัพเดทคุณลักษณะ"
"Use Default Value","ใช้ค่าเริ่มต้น"
"Use In Layered Navigation","ใช้ใน Layered Navigation"
"Use To Create Configurable Product","ใช้ในการสร้างสินค้าที่ปรับแต่งได้"
"Use config","ใช้การตั้งค่า"
"Use default","ใช้ค่าเริ่มต้น"
"View Details","ดูรายละเอียด"
"View as","ดูในมุมมอง"
"Visibility","การมองเห็นได้"
"Visible","มองเห็นได้"
"Visible on Catalog Pages on Front-end","สามารถเห็นได้บนหน้ารายการสินค้าในส่วนหน้า"
"Watermark","ลายน้ำ"
"Watermark Default Size","ขนาดค่าเริ่มต้นของลายน้ำ"
"Watermark Position","ตำแหน่งลายน้ำ"
"Website","เว็บไซต์"
"Websites","เว็บไซต์"
"What's this?","นี่คืออะไร?"
"Yes","ใช่"
"You cannot remove system attribute from this set.","คุณไม่สามารถย้ายคุณลักษณะของระบบจากชุดนี้ได้"
"You have no items to compare.","คุณไม่มีรายการสินค้าที่จะเปรียบเทียบ"
"You may also be interested in the following product(s)","คุณอาจจะสนใจในสินค้าดังต่อไปนี้"
"Zoom In","ซูมเข้า"
"Zoom Out","ซูมออก"
"and","และ"
"and above","และสูงกว่า"
"ex. http://domain.com","ตัวอย่าง http://domain.com"
"per page","ต่อหน้า"
"select all","เลือกทั้งหมด"
"unselect all","ไม่เลือกทั้งหมด"
