" [deleted]"," [slettet]"
"Code","Kode"
"Complete","Ferdig"
"Config form fieldset clone model required to be able to clone fields","Konfigurasjonsskjema angitt klone modell kreves for å kunne klone felt"
"Configuration","Innstillinger"
"Confirm New Password","Bekreft nytt passord"
"Confirmed email:","Bekreftet epost:"
"Continue","Fortsett"
"Convert to Plain Text","Konvertere til ren tekst"
"Cookie (unsafe)","Informasjonskapsel (usikker)"
"Country","Land"
"Country:","Land:"
"Create","Opprett"
"Create DB Backup","Opprett sikkerhetskopi av database"
"Create New Attribute","Opprette ny attributt"
"Created At","Opprettet"
"Credit Card Number","Kredittkortnummer"
"Credit Card Type","Kredittkorttype"
"Credit Memos","Kreditnotaer"
"Currency","Valuta"
"Currency Setup Section","Valutainnstillinger"
"Current Configuration Scope:","Nåværende konfigurasjonsområde:"
"Current Month","Gjeldende måned"
"Custom","Egendefinert"
"Custom Variables","Tilpassede variabler"
"Customer","Kunde"
"Customer Group:","Kundegruppe:"
"Customer Groups","Kundegrupper"
"Customer Name","Kundenavn"
"Customer Shopping Carts","Kundens handlekurv"
"Customers","Kunder"
"Customers by Orders Total","Kunder etter ordretotal"
"Dashboard","Kontrollpanel"
"Date","Dato"
"Date & Time","Dato & tid"
"Date Added","Dato lagt til"
"Date selector","Datovelger"
"Day","Dag"
"Default Billing Address","Standard faktureringsadresse"
"Default Config","Standard konfigurasjon"
"Default Values","Standardverdier"
"Default scope","Standard virkeområde"
"Delete","Slett"
"Delete Block","Slett blokk"
"Delete File","Slett fil"
"Delete Image","Slett bilde"
"Delete Role","Slett rolle"
"Delete Store","Slett butikk"
"Delete Store View","Slett butikkvisning"
"Delete Template","Slett malen"
"Delete User","Slett bruker"
"Description","Beskrivelse"
"Design","Utforming"
"Design Section","Design"
"Details","Detaljer"
"Developer Section","Utvikler seksjon"
"Disable","Deaktiver"
"Disabled","Deaktivert"
"Display default currency","Vis standard valuta"
"Download","Last ned"
"Drop-down","Rullegardin"
"Edit","Redigere"
"Edit Block","Redigere blokk"
"Edit Design Change","Redigere designet"
"Edit Role","Endre rolle"
"Edit Store View","Rediger butikkvisning"
"Edit Template","Endre mal"
"Edit URL Rewrite","Rediger URL Omskriving"
"Edit User","Rediger bruker"
"Email","E-post"
"Email Address:","E-postadresse:"
"Email to a Friend","Send e-post til en venn"
"Email:","E-Post:"
"Enable","Aktivere"
"Enabled","Aktivert"
"Entity Type","Enhetstype"
"Entity type:","Enhetstype:"
"Error","Feil"
"Excl. Tax","ex. moms"
"Exclude media folder from backup","Ekskluder media-mappen fra sikkerhetskopiering"
"Expiration Date","Utløpsdato"
"Export","Eksport"
"Export CSV","Eksportere CSV"
"Export to:","Eksporter til:"
"FTP Host","FTP-vert"
"FTP Host[:Port]","FTP-vert [:Port]"
"FTP Login","FTP pålogging"
"FTP Password","FTP passord"
"FTP credentials","FTP påloggingsinformasjon"
"Failed","Mislykket"
"File","Fil"
"File System","Filsystem"
"First Name","Fornavn"
"First Name:","Fornavn:"
"Fixed","Fast"
"Flush Catalog Images Cache","Flush katalogen bilder Cache"
"Flush JavaScript/CSS Cache","Tøm JavaScript/CSS Cache"
"Forgot your password?","Har du glemt passordet?"
"From","Fra"
"General Information","Generell Informasjon"
"General Section","Generelt-delen"
"Global Search","Globalt søk"
"Go Today","I Dag"
"Go to Top","Gå til toppen"
"Grand Total","Totalsum"
"Grid (default) / List","Rutenett (standard) / liste"
"Grid Only","Bare rutenett"
"Guest","Gjest"
"HTTP (unsecure)","HTTP (usikker)"
"Home","Hjem"
"ID","Id"
"IP Address","IP-adresse"
"Images (.gif, .jpg, .png)","Bilder (GIF, jpg, PNG)"
"Images Cache","Bildebuffer"
"Import","Importere"
"Import and Export Tax Rates","Importer og eksporter skattesatser"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. MVA"
"Incoming Message","Innkommende melding"
"Insert Variable...","Sett inn variabel..."
"Invalid Form Key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"Invalid data","Ugyldig data"
"Invalidated","Ugyldiggjort"
"Inventory Stock Status","Lagerstatus"
"Invoices","Fakturaer"
"Is Default","Er standard"
"Items","Produkter"
"JavaScript seems to be disabled in your browser.","JavaScript kan være deaktivert i din nettleseren."
"Last 24 Hours","Siste 24 timer"
"Last 7 Days","Siste 7 dager"
"Last Logged In:","Siste pålogget:"
"Last Name","Etternavn"
"Last Name:","Etternavn:"
"Lifetime Sales","Total salg"
"List (default) / Grid","Liste (standard) / rutenett"
"List Only","Kun liste"
"Load Template","Last mal"
"Loading...","Laster..."
"Local Server","Lokal Server"
"Locale","Lokal"
"Login","Logg inn"
"Magento Admin","Magento admin"
"Magento root directory","Magento root mappe"
"Manage Attribute Sets","Administrer attributtsett"
"Manage Categories","Administrere kategorier"
"Manage Currency Rates","Administrere valutakurser"
"Manage Customers","Administrer kunder"
"Manage Stores","Administrer butikker"
"Manage Tax Rules","Administrer skatteregler"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farge, osv.)"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Maksimal avsenderens lengde er 255. Vennligst korriger innstillingene dine."
"Media (.avi, .flv, .swf)","Media (AVI, FLV, SWF)"
"Messages Inbox","Beskjeder Innboks"
"Month","Måned"
"Most Viewed Products","Produkter som er mest sett"
"Multiple Select","Merk flere"
"My Account","Min konto"
"N/A","I/T"
"Name","Navn"
"Never (production)","Aldri (produksjon)"
"New ","Ny "
"New Accounts","Nye kontoer"
"New Attribute","Nytt attributt"
"New Block","Ny blokk"
"New Category","Ny kategori"
"New Condition","Ny betingelse"
"New Custom Variable","Ny tilpasset variabel"
"New Customer","Ny kunde"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Page","Ny side"
"New Password","Nytt passord"
"New Rating","Ny vurdering"
"New Review","Ny anmeldelse"
"New Role","Ny rolle"
"New Rule","Ny regel"
"New Search","Nytt søk"
"New Set","Nytt sett"
"New Shipment","Ny forsendelse"
"New Sitemap","Nytt sidekart"
"New Store View","Ny lagervisning"
"New System Template","Ny Systemmal"
"New Template","Ny mal"
"New User","Ny bruker"
"Newsletter","Nyhetsbrev"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Templates","Mal for nyhetsbrev"
"No","Nei"
"No Data","Ingen Data"
"No Data Found","Ingen Data funnet"
"No Templates Found","Ingen mal funnet"
"No change","Ingen endringer"
"No records found.","Ingen oppføringer funnet."
"No search modules were registered","Ingen søkemoduler ble registrert"
"None","Ingen"
"Note:","Merk:"
"Notifications","Varslinger"
"Online Customers","Kunder pålogget nå"
"Only Once (version upgrade)","Bare en gang (versjon)"
"Optional","Valgfritt"
"Options","Innstillinger"
"Order","Rekkefølge"
"Order ID","Ordre-ID"
"Order Totals","Ordretotal"
"Orders","Ordrer"
"Out of stock","Ikke på lager"
"Pages","Sider"
"Parent Product Thumbnail","Overordnet produkt miniatyrbilde"
"Password","Passord"
"Password Confirmation","Passordbekreftelse"
"Password:","Passord:"
"Per Item","Per produkt"
"Per Order","Per bestilling"
"Percent","Prosent"
"Period","Periode"
"Permissions","Rettigheter"
"Personal Information","Personopplysninger"
"Please Select","Vennligst velg"
"Please enter a number greater than 0 in this field.","Skriv inn et tall større enn 0 i dette feltet."
"Please enter a valid credit card number.","Angi et gyldig kredittkortnummer."
"Please enter a valid date.","Vennligst angi en gyldig dato."
"Please enter a valid email.","Vennligst skriv inn en gyldig e-post-adresse."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv inn et gyldig telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid zip code.","Vennligst skriv inn en gyldig zip-kode."
"Please make sure that all global admin search modules are installed and activated.","Kontroller at alle globale admin søkemoduler er installert og aktivert."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please select State/Province.","Vennligst angi Stat/Province."
"Please select an option.","Velg et alternativ."
"Please select customer(s).","Velg kunde/kunder."
"Please select one of the options.","Vennligst velg ett av alternativene."
"Please specify the admin custom URL.","Angi den egendefinerte administrative adressen."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9) eller mellomrom i dette feltet."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette formatet for dato: dd/mm/åååå. For eksempel 17/03/2006 for 17. Mars, 2006."
"Please wait...","Vennligst vent..."
"Position","Posisjon"
"Preview","Forhåndsvis"
"Preview Template","Forhåndsvisning av mal"
"Price","Pris"
"Price:","Pris:"
"Processing","Behandler"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product:","Produkt:"
"Products","Produkter"
"Products Bestsellers Report","Produkt-bestselgerrapport"
"Promotions","Kampanjer"
"Quantity","Antall"
"Radio Buttons","Radioknapper"
"Rebuild","Gjenoppbygg"
"Rebuild Catalog Index","Gjenoppbygg katalogindeksen"
"Rebuild Flat Catalog Category","Gjenoppbygg flat katalogkategori"
"Rebuild Flat Catalog Product","Gjenoppbygg flat katalogprodukt"
"Recent Orders","Siste bestillinger"
"Reference ID","Referanse-ID"
"Refresh","Oppdater"
"Region/State","Kommune"
"Reload captcha","Laste inn captcha på nytt"
"Remove","Fjern"
"Reports","Rapporter"
"Request Path","Be om sti"
"Required","Kreves"
"Reset","Nullstill"
"Reset Filter","Tilbakestill filter"
"Reset Password","Tilbakestill passord"
"Reset a Password","Tilbakestille et passord"
"Resource Access","Ressurstilgang"
"Resources","Ressurser"
"Results","Resultater"
"Retrieve Password","Hente passord"
"Revenue","Inntekter"
"Reviews","Produktomtaler"
"Role Info","Rolleinfo"
"Role Information","Rolleinformasjon"
"Role Name","Rollenavn"
"Role Resources","Rolle for ressurser"
"Role Users","Rollebrukere"
"Roles","Roller"
"Roles Resources","Ressurser for Roller"
"Root Category","Rotkategori"
"SKU","Varenummer"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Save","Lagre"
"Save & Generate","Lagre & Generér"
"Save Account","Lagre konto"
"Save Cache Settings","Lagre innstillinger for buffer"
"Save Config","Lagre konfig"
"Save Currency Rates","Lagre valutakurser"
"Save Role","Lagre rolle"
"Save Template","Lagre mal"
"Save User","Lagre bruker"
"Save and Continue Edit","Lagre og fortsett redigering"
"Search","Søk"
"Search Index","Søkeindex"
"Search Term","Søkeord"
"Search Terms","Søkeord"
"Search entire store here...","Søk i hele butikken her..."
"Select","Velg"
"Select All","Velg alle"
"Select Category","Velg en kategori"
"Select Date","Velg dato"
"Sender","Avsender"
"Separate Email","Separat e-post"
"Shipment Comments","Forsendelsekommentarer"
"Shipment History","Forsendelses historikk"
"Shipments","Forsendelser"
"Shipping","Frakt"
"Shipping Address","Leveringsadresse"
"Shipping Address: ","Leveringsadresse:"
"Shipping Price","Fraktpris"
"Shopping Cart","Handlekurv"
"Show By","Vis etter"
"Show Report For:","Vis rapport for:"
"Show Reviews","Vis omtaler"
"Sitemap Information","Sidekartinformasjon"
"Specific Countries","Bestemte land"
"Specified","Spesifisert"
"Start Date","Startdato"
"State/Province:","Stat/provins:"
"Static Blocks","Statiske blokker"
"Store","Butikk"
"Store Email Addresses Section","Butikk E-postadresser"
"Store View","Butikkvisning"
"Store:","Butikk:"
"Stores","Butikker"
"Subject","Emne"
"Submit","Lagre"
"Subtotal","Delsum"
"Synchronize","Synkronisere"
"Synchronizing...","Synkroniserer..."
"System Section","System"
"Tags","Merkelapper"
"Target Path","Målsti"
"Tax","Avgift"
"Template","Mal"
"Template Content","Mal-innholdet"
"Template Information","Malinformasjon"
"Template Name","Malnavn"
"Template Styles","Stil for mal"
"Template Subject","Malemne"
"Template Type","Maltype"
"Temporary (302)","Midlertidig (302)"
"Terms and Conditions","Vilkår og betingelser"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","Hurtigbufferen for JavaScript/CSS har blitt tømt."
"The Magento cache storage has been flushed.","Magento butikkbuffer lagringen er tømt."
"The URL Rewrite has been saved.","URL-omskrivningen har blitt lagret."
"The attribute set has been removed.","Attributtsettet er fjernet."
"The image cache was cleaned.","Hurtigbufferen for bilder ble tømt."
"The order no longer exists.","Ordren finnes ikke lenger."
"The shipment has been created.","Forsendelsen er opprettet."
"This account is","Denne kontoen er"
"This action cannot be undone.","Denne handlingen kan ikke angres."
"This block no longer exists.","Denne blokken finnes ikke lenger."
"This is a required field.","Dette er et obligatorisk felt."
"This user no longer exists.","Denne brukeren finnes ikke lenger."
"Time","Tid"
"To","Til"
"Tools","Verktøy"
"Total","Totalt"
"Track Order","Spor ordre"
"Track this shipment","Spor denne forsendelsen"
"Transaction ID","Transaksjons-ID"
"Transaction Type","Transaksjonstype"
"Transactional Emails","Transaksjonsbaserte E-poster"
"Transactions","Transaksjoner"
"URL Rewrite Information","URL omskrive informasjon"
"URL Rewrite Management","URL omskrive Management"
"Unknown","Ukjent"
"Unlimited","Ubegrenset"
"Update","Oppdater"
"Upload File","Last opp fil"
"Upload Files","Last opp filer"
"Use All Available Attributes","Bruke alle tilgjengelige attributter"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use Default","Bruk standard"
"Use Default Value","Bruk standardverdi"
"Use FTP Connection","Bruk FTP-tilkobling"
"Use Website","Bruk nettsted"
"User Email","Bruker epost"
"User ID","Bruker-ID"
"User Info","Brukerinfo"
"User Information","Brukerinformasjon"
"User Name","Brukernavn"
"User Password","Brukerpassord"
"User Role","Brukerrolle"
"User Roles","Brukerroller"
"User Roles Information","Brukerrolle-informasjon"
"Users","Brukere"
"Value","Verdi"
"Variable","Variabel"
"Variable Code","Variabel kode"
"Variable HTML Value","Variabel HTML Verdi"
"Variable ID","Variabel ID"
"Variable Name","Variabelnavn"
"Variable Plain Value","Variabel Enkel Verdi"
"View Full Size","Se full størrelse"
"View Statistics For:","Vis statistikk for:"
"Warning","Advarsel"
"Web Section","Nettsted"
"Website","Nettsted"
"What is this?","Hva er dette?"
"YTD","Hittil i år"
"Year","År"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 flyttet permanent)"
"Yes (302 Found)","Ja (302 funnet)"
"Yes (only price with tax)","Ja (bare pris uten moms)"
"You cannot delete your own account.","Du kan ikke slette din egen konto."
"You have logged out.","Du har logget ut."
"Your password reset link has expired.","Link for å gjenopprette passord er utgått."
"Zip/Postal Code","Postnummer"
"[ deleted ]","[slettet]"
"[STORE VIEW]","[LAGERVISNING]"
"[WEBSITE]","[NETTSTED]"
"close","lukk"
"critical","kritisk"
"example: sitemap.xml","eksempel: sitemap.xml"
"failed","mislyktes"
"from","fra"
"major","stor"
"minor","mindre"
"notice","varsel"
"successful","vellykket"
"to","til"
