" [deleted]","[заличава]"
"By IP and Email","От IP и имейл"
"CRITICAL","КРИТИЧНО"
"CSV / Tab separated","CSV / с Tab разделител"
"Cache Control","Контрол на кеша"
"Cache Control (beta)","Кеш контрол (бета)"
"Cache Management","Управление на кеширането"
"Cache Type","Тип кеш"
"Cancel","Отказ"
"Cannot add new comment.","Не може да добави нов коментар."
"Cannot add tracking number.","Не може да изтрие номер за проследяване."
"Cannot do shipment for the order separately from invoice.","Не може да направи доставка за поръчката отделно от фактурата."
"Cannot do shipment for the order.","Не може да направи доставка за поръчката."
"Cannot save shipment.","Не може да запише доставка"
"Cannot send shipment information.","Не може да изпрати информация за експедиране."
"Cannot update item quantity.","Не може да актуализира количество на артикула."
"Card Verification Number","Номер за проверка на картата"
"Catalog","Каталог"
"Catalog Price Rules","Правило за цени в каталога"
"Catalog Rewrites","Пренаписвания на каталога"
"Categories","Категории"
"Category","Категория"
"Category:","Категория:"
"Checkbox","Квадратче за отметка"
"Child Transactions","Child Транзакции"
"Choose Store View:","Изберете изглед на магазина:"
"Choose an attribute","Избери атрибут"
"Clear","Изчисти"
"Close","Затвори"
"Code","Код"
"Complete","Завършен"
"Config form fieldset clone model required to be able to clone fields","Конфигурационен модел за клониране на полета е необходим за клониране на полета"
"Configuration","Конфигурация"
"Confirm New Password","Потвърдете новата парола"
"Confirmed email:","Потвърден имейл"
"Continue","Продължи"
"Convert to Plain Text","Конвертиране в обикновен текст"
"Cookie (unsafe)","Бисквитка (опасен)"
"Country","Държава"
"Country:","Държава:"
"Coupons","Купони"
"Create","Създай"
"Create DB Backup","Създаване на резервно копие"
"Create New Attribute","Създай нов атрибут"
"Created At","Създаден на"
"Credit Card Number","Номер на кредитната карта"
"Credit Card Number: xxxx-%s","Номер на кредитна карта: xxxx-%s"""
"Credit Card Type","Тип кредитна карта"
"Credit Card Type: %s","Вид кредитна карта: %s"
"Credit Memo History","Хронология на кредитни известия"
"Credit Memo Totals","Суми по кредитни известия"
"Credit Memos","Кредитни известия"
"Currency","Валута"
"Currency Information","Информация за валута"
"Current Configuration Scope:","Текущата конфигурация на обхват:"
"Current Month","Текущ месец"
"Custom","По избор"
"Custom Variables","Персонализирани променливи"
"Customer","Клиент"
"Customer Group:","Клиентска група:"
"Customer Groups","Клиентски групи"
"Customer Name","Име на клиент"
"Customer Reviews","Клиентски отзиви"
"Customer Shopping Carts","Клиентски колички"
"Customer Since:","Клиент от:"
"Customer Tax Classes","Данъчни категории клиенти"
"Customer with the same email already exists.","Клиент със същия имейл вече съществува."
"Customers","Клиенти"
"Customers by Number of Orders","Клиенти по брой поръчки"
"Customers by Orders Total","Клиенти по обща сума на поръчките"
"DHTML Date/Time Selector","DHTML инструмент за избор на Дата/Време"
"Dashboard","Табло"
"Data Format","Формат на данни"
"Data transfer:","Трансфер на данни:"
"Database","База данни"
"Date","Дата"
"Date & Time","Дата & час"
"Date Added","Дата на добавяне"
"Date Updated","Датата е актуализирана"
"Date selection:","Избор на дата:"
"Date selector","Селектор на дата"
"Day","Ден"
"Debug","Дебъг"
"Decimal separator:","Разделител за деситични дроби:"
"Default (Admin) Values","Стойности по подразбиране (Админ)"
"Default Billing Address","По подразбиране адрес за фактуриране"
"Default Config","Конфигурация по подразбиране"
"Default Template from Locale","Шаблон по подразбиране от Locale"
"Default Values","Стойности по подразбиране"
"Default scope","Обхват по подразбиране"
"Delete","Изтрий"
"Delete %s","Изтрий %s"
"Delete %s '%s'","Изтрий %s '%s'"
"Delete Block","Изтрий блока"
"Delete File","Изтрий файла"
"Delete Image","Изтрий изображението"
"Delete Profile","Изтрий профил"
"Delete Role","Изтрий ролята"
"Delete Store","Изтрий магазин"
"Delete Store View","Изтрий изглед на магазин"
"Delete Template","Изтриване на шаблон"
"Delete User","Изтриване на потребител"
"Delete Website","Изтрий уебсайт"
"Description","Описание"
"Design","Дизайн"
"Details","Детайли"
"Direction:","Посока:"
"Disable","Деактивиране"
"Disabled","Забранен"
"Display %s first","Покажи първо %s"
"Display default currency","Показване на валутата по подразбиране"
"Distributed under GNU LGPL. See %s for details.","Разпространява се под GNU LGPL. Виж %s за повече информация."
"Do you really want to KILL parallel process and start new indexing process?","Искате ли наистина да СПРЕТЕ паралелния процес и да стартирате нов индексиращ процес?"
"Download","Смъкни"
"Downloads","Изтегляния"
"Drag to move","Издърпай за преместване"
"Drop-down","Падащо меню"
"Edit","Редактирай"
"Edit Block","Промени блока"
"Edit Block '%s'","Редакция на блок '%s'"
"Edit Design Change","Редактирай промяната на дизайна"
"Edit Email Template","Редактиране на имейл шаблон"
"Edit Order","Редактиране на поръчка"
"Edit Poll","Редактирай анкета"
"Edit Queue","Редактирай задачи"
"Edit Review","Редактиране на отзив"
"Edit Role","Редактиране на роля"
"Edit Store View","Редактирай изглед на магазин"
"Edit System Template","Редактиране на шаблон за система"
"Edit Template","Редактиране на шаблон"
"Edit URL Rewrite","Редактиране на URL пренаписване"
"Edit User","Редактиране на потребител"
"Edit User '%s'","Редактирай потребител '%s'"
"Edit Variable","Редактиране на променлива"
"Edit Website","Редактирай уебсайт"
"Email","Имейл"
"Email Address:","Имейл адрес:"
"Email to a Friend","Изпрати email на приятел"
"Email:","Имейл:"
"Enable","Разреши"
"Enabled","Активиран"
"Enclose Values In:","Обгради стойностите в:"
"Entity Attributes","Стойностни атрибути"
"Entity Type","Тип стойност"
"Entity type:","Тип стойност:"
"Error","Грешка"
"Excl. Tax","Без вкл. ДДС"
"Excl. Tax:","Без данък:"
"Exclude media folder from backup","Изключете папката за Медия от архива"
"Expiration Date","Срок на валидност"
"Expiration Date: %s/%s","Дата на изтичане: %s/%s"
"Export","Експорт"
"Export CSV","Експорт CVS"
"Export Filters","Експорт филтри"
"Export to:","Експортирай в:"
"Export:","Експорт:"
"FTP Host","FTP Хост"
"FTP Host[:Port]","FTP хост [: порт]"
"FTP Login","FTP Вход"
"FTP Password","FTP Парола"
"FTP credentials","FTP акредитиви"
"Failed","Неуспешно"
"Field","Поле"
"Field Mapping","Свързване на полета"
"File","Файл"
"File Information","Информация за файл"
"File System","Системен файл"
"File name:","Име на файл:"
"File size should be more than 0 bytes","Големината на файла трябва да е повече от 0 байта"
"Finished profile execution.","Изпълнението на профила завършено."
"First Invoice Created Date","Дата на създаване на първата фактура"
"First Name","Име"
"First Name:","Собствено име:"
"Fixed","Фиксиран"
"Flush Catalog Images Cache","Изчисти Кеш на Изображения"
"Flush JavaScript/CSS Cache","Изчисти JavaScript/CSS Кеш"
"For category","За категория"
"For latest version visit: %s","За последна версия посетете: %s"
"For product","За продукт"
"Forgot your password?","Забравили сте паролата си?"
"Forgot your user name or password?","Забравено потребителско име или парола?"
"From","От"
"Gb","Гб"
"General Information","Обща информация"
"Get Image Base64","Вземи Base64 енкодирана картинка"
"Global Attribute","Глобални атрибути"
"Global Record Search","Глобално търсене на записи"
"Global Search","Глобално търсене"
"Go Today","За днес"
"Go to Top","Отиди в най-отгоре"
"Grand Total","Обща сума"
"Grid (default) / List","Мрежа (по подразбиране) / Списък"
"Grid Only","Само мрежа"
"Group:","Група:"
"Guest","Гост"
"HTTP (unsecure)","HTTP (незащитени)"
"HTTPS (SSL)","HTTPS  (SSL)"
"Home","Основна страница"
"ID","ИД"
"ID Path","ID път"
"IP Address","IP адрес"
"Id","ИД"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Ако не е посочена стойност на опцията за конкретен изглед на магазин, тогава ще бъде използвана стойността по подразбиране (Администрация)."
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Images Cache","Кеш на изображенията"
"Import","Импорт"
"Import Service","Импортиране на услуга"
"Import and Export Tax Rates","Импортиране и експортиране данъчни ставки"
"Import/Export","Импорт/Експорт"
"Import/Export Advanced","Разширен Импорт/Експорт"
"Import/Export Profile","Импорт/Експорт профил"
"Important: ","Важно: "
"Imported <strong>%s</strong> records","Импортирани са <strong>%s</strong> записа"
"In","В"
"In Database:","IВ базата данни:"
"In File:","Във файл:"
"Inactive","Неактивен"
"Incl. Tax","Вкл. Ддс"
"Incl. Tax:","С вкл. данък:"
"Incoming Message","Входящо съобщение"
"Insert Variable...","Вмъкване на променлива..."
"Interactive","Интерактивно"
"Interface Locale: %s","Регион на интерфейса: %s"
"Invalid Form Key. Please refresh the page.","Невалиден ключ. Моля обновете страницата."
"Invalid Import Service Specified","Определен е невалидна импорт услуга"
"Invalid Secret Key. Please refresh the page.","Невалиден Таен ключ. Моля, презаредете страницата."
"Invalid data","Невалидни данни"
"Invalid directory: %s","Невалидна директория: %s"
"Invalid file: %s","Невалиден файл: %s"
"Invalid input data for %s => %s rate","Невалидни входящи данни за %s => %s норма"
"Invalid parent block for this block","Невалиден основен блок за този блок"
"Invalid response","Невалиден отговор"
"Invalidated","Недействителни"
"Inventory Stock Status","Статус на наличностите на склад"
"Invoice #%s comment added","Коментар за фактура #%s е добавен"
"Invoice #%s created","Фактура #%s е създадена"
"Invoice History","Фактура History"
"Invoice Totals","Фактура Totals"
"Invoices","Фактури"
"Is Closed","Е Затворен"
"Is Default","Е по подразбиране"
"Issue Number","Номер на издаване"
"Items","Артикули"
"JavaScript seems to be disabled in your browser.","JavaScript изглежда да бъде прекратен във вашия браузър."
"JavaScript/CSS Cache","JavaScript/CSS Кеш"
"Kb","Кб"
"Last 24 Hours","Последни 24 часа"
"Last 5 Orders","Последни 5 поръчки"
"Last 5 Search Terms","Последни 5 критерия за търсене"
"Last 7 Days","Последни 7 дни"
"Last Credit Memo Created Date","Последно кредитно известие, дата на създаване"
"Last Invoice Created Date","Дата на създаване на последната фактура"
"Last Logged In (%s):","Последно влезнал (%s):"
"Last Logged In:","Последно влизане"
"Last Name","Фамилия"
"Last Name:","Фамилия:"
"Latest Message:","Последно съобщение:"
"Layered Navigation Indices","Индекси за Филтър Навигация"
"Leave empty to use tax identifier","Остави празно за използване на данъчен идентификатор"
"Lifetime Sales","Всички продажби"
"Links","Връзки"
"List (default) / Grid","Списък(по подразбиране) / Мрежа"
"List Only","Само списък"
"Load Template","Зареди шаблон"
"Load default template","Зареди шаблон по подразбиране"
"Loading...","Зареждане..."
"Local Server","Локален сървър"
"Local/Remote Server","Локален/Отдалечен Сървър"
"Locale","Локализация"
"Log In","Вход"
"Log Out","Изход"
"Log in to Admin Panel","Вход в Административен панел"
"Logged in as %s","Влезнал като %s"
"Login","Вход"
"Low Stock","Ограничено количество"
"MAJOR","МАЖОРНО"
"MINOR","МИНОРНО"
"MS Excel XML","MS  Excel XML"
"OpenMage Admin","OpenMage администрация"
"Magento Logo","OpenMage Лого"
"Magento root directory","Основна директория на OpenMage"
"Content","Съдържание"
"Currency Rates","Валутни курсове"
"Tax Rules","Данъчни правила"
"Tax Zones and Rates","Данъчни зони и цени"
"Manual","Ръчно"
"Maximum sender name length is 255. Please correct your settings.","Максимална подател име дължина е 255. Коригирайте настройките си."
"Mb","Мб"
"Media (.avi, .flv, .swf)","Медия (.avi, .flv, .swf)"
"Messages Inbox","Входящи съобщения"
"Month","Месец"
"Most Viewed","Най-гледани"
"Most Viewed Products","Най-преглеждани продукти"
"Multiple Select","Многоброен избор"
"My Account","Моят профил"
"N/A","Не е достъпно"
"NOTICE","ЗАБЕЛЕЖКА"
"Name","Име"
"Name on Card","Име на картата"
"Name on the Card: %s","Име на картата: %s"
"Name:","Име:"
"Never (production)","Никога не (производство)"
"New ","Нов "
"New Accounts","Нови потребители"
"New Attribute","Нов атрибут"
"New Block","Нов блок"
"New Category","Нова категория"
"New Class","Нов клас"
"New Condition","Ново условие"
"New Custom Variable","Новa потребителскa променлива"
"New Customer","Нов клиент"
"New Customers","Нови клиенти"
"New Design Change","Нова промяна в дизайна"
"New Email Template","Нов шаблон за имейл"
"New Group","Нова група"
"New Invoice","New Фактура"
"New Item Type","Нов тип на обект"
"New Memo","Ново Известие"
"New Page","Нова страница"
"New Password","Нова парола"
"New Poll","Нова анкета"
"New Profile","Нов профил"
"New Rating","Нов рейтинг"
"New Review","Нов преглед"
"New Role","Нова роля"
"New Rule","Ново правило"
"New Search","Ново търсене"
"New Set","Нова група"
"New Shipment","Нова доставка"
"New Sitemap","Нова карта на сайта"
"New Store View","Нов изглед на магазин"
"New System Template","Нов шаблон за система"
"New Tag","Нова кл. дума"
"New Template","Нов шаблон"
"New User","Нов потребител"
"New Website","Нов уебсайт"
"Newsletter","Бюлетин"
"Newsletter Queue","Бюлетин на изчакване"
"Newsletter Subscribers","Абонати на бюлетина"
"Newsletter Templates","Шаблон бюлетин"
"Next month (hold for menu)","Следващ месец (задръжте за меню)"
"Next year (hold for menu)","Следваща година (задръжте за меню)"
"No","Не"
"No (price without tax)","Няма (цена без данък)"
"No Data","Няма данни"
"No Data Found","Няма намерени данни"
"No Templates Found","Няма намерени шаблони"
"No change","Няма промяна"
"No profile loaded...","Не е зареден профил..."
"No records found for this period.","Не са намерени записи за този период."
"No records found.","Няма намерени записи."
"No search keywords.","Няма ключови думи за търсене."
"No search modules were registered","Няма регистрирани модули за търсене"
"None","Не"
"Note:","Забележка:"
"Notes","Бележки"
"Notifications","Известия"
"Number of Orders","Брой поръчки"
"Number of Uses","Брой употреби"
"Number of Views","Брой преглеждания"
"Number of records:","Брой записи:"
"OK","ОК"
"Old rate:","Стар курс:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced потребителски профил, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link потребителски профил, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Online Customers","Онлайн Клиенти"
"Only Once (version upgrade)","Само веднъж (версия ъпгрейд)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Налични са само атрибути с обхват ""Глобален"", от тип ""Падащо меню"" и стойност за ""Използвай за създаване на конфигуриран продукт"" - ""Да""."
"Only mapped fields","Само присъединени полета"
"Optional","По избор"
"Options","Опции"
"Options is required","Опцията е задължителна"
"Order","Поръчка"
"Order #%s","Поръчйа #%s"
"Order #%s (%s)","Поръчка #%s (%s)"
"Order ID","Номер на поръчката"
"Order Totals","Всичко"
"Orders","Поръчки"
"Original Magento attribute names in first row:","Оригинални имена на OpenMage атрибути в първи ред:"
"Out of stock","Изчерпано количество"
"Pages","Страници"
"Parent Product Thumbnail","Малка снимка на основния продукт"
"Passive mode","Пасивен режим"
"Password","Парола"
"Password Confirmation","Потвърждение на паролата"
"Password:","Парола:"
"Path:","Път:"
"Pending Reviews","Чакащи отзиви"
"Pending Tags","Ключови думи в изчакване"
"Per Item","На артикул"
"Per Order","На поръчка"
"Percent","Процент"
"Performed At","Извършено на"
"Period","Период"
"Permanent (301)","Постоянно (301)"
"Permissions","Разрешения"
"Personal Information","Лична информация"
"Phone:","Телефон:"
"Please Select","Моля изберете"
"Please confirm site switching. All data that hasn't been saved will be lost.","Потвърдете превключване на обхвата. Всички данни, които не са записани ще бъдат загубени."
"Please enter 6 or more characters.","Моля въведете 6 или повече символа."
"Please enter a number greater than 0 in this field.","В това поле въведете число по-голямо от 0."
"Please enter a valid $ amount. For example $100.00.","Моля, въведете валидна $ сума. Например $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля въведете валиден адрес към уебсайт. Например http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Моля въведете валиден адрес към уебсайт. Нужно е да въведете http://"
"Please enter a valid credit card number.","Моля, въведете номер на валидна кредитна карта."
"Please enter a valid date.","Моля, въведете валидна дата."
"Please enter a valid email address. For example johndoe@domain.com.","Моля, въведете валиден e-mail адрес. Например: johndoe@domain.com"
"Please enter a valid email.","Моля, въведете валиден имейл."
"Please enter a valid number in this field.","Моля вкарайте валиден номер в това поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля, въведете валиден телефонен номер. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валиден номер на социална осигуровка. Например 123-45-6789."
"Please enter a valid value from list","Въведете валидна стойност от списък"
"Please enter a valid value, ex: 10,20,30","Моля, въведете валидна стойност, ex: 10,20,30"
"Please enter a valid zip code.","Моля, въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля въведете валиден пощенски код. Например 90602 или 90602-1234."
"Please enter valid password.","Моля въведете валидна парола."
"Please make sure that all global admin search modules are installed and activated.","Мля уверете се, че всички глобални административни търсещи модули са инсталирани и активни."
"Please make sure that your changes were saved before running the profile.","Моля уверете се, че вашите промени са записани преди стартиране на профила."
"Please make sure your passwords match.","Моля уверете се, че паролите съвпадат."
"Please select State/Province.","Моля, изберете щат/провинция."
"Please select an option.","Моля изберете опция."
"Please select customer(s).","Моля изберете клиент(и)."
"Please select one of the above options.","Моля изберете една от опциите по-горе."
"Please select one of the options.","Моля, изберете една от опциите."
"Please select review(s).","Моля, изберете отзив."
"Please specify the admin custom URL.","Моля, посочете администратор потребителски URL."
"Please use in this field only ""a-z,0-9,_"".","Моля използвайте в това поле само ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Моля използвайте само букви (a-z) в това поле."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Моля използвайте замо букви (a-z or A-Z), числа (0-9) или празно в това поле."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Моля използвайте само букви (a-z) или числа (0-9) в това поле. Празни или други символи не са позволени."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Моля използвайте само букви (a-z)"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля, използвайте този формат за дата: дд/мм/гггг. Например 17/03/2006 за 17 март, 2006."
"Please wait, loading...","Моля изчакайте, зареждане..."
"Please wait...","Моля, изчакайте…"
"Poll Manager","Управление на анкети"
"Polls","Анкети"
"Popular","Популярно"
"Position","Позиция"
"Position of Watermark for %s","Позиция на Воден знак за %s"
"Prev. month (hold for menu)","Пред. месец (задръжте за меню)"
"Prev. year (hold for menu)","Пред. година (задръжте за меню)"
"Preview","преглед"
"Preview Template","Предварителен преглед на шаблон"
"Price","Цена"
"Price:","Цена:"
"Processed <strong>%s%% %s/%d</strong> records","Обработени <strong>%s%% %s/%d</strong> записа"
"Processing","Обработва се"
"Product","Продукт"
"Product Name","Име на продукт"
"Product Reviews","Отзиви за продукти"
"Product Tax Classes","Продуктови данъчни класове"
"Product Thumbnail Itself","Продуктова малка снимка"
"Product:","Продукт:"
"Products","Продукти"
"Products Bestsellers Report","Доклад за най-продавани продукти"
"Products Most Viewed Report","Доклад най преглеждани продукти"
"Products Ordered","Поръчани продукти"
"Products in Carts","Продукти в колички"
"Profile Action","Профил действие"
"Profile Actions XML","Профил действиея XML"
"Profile Direction","Профил направление"
"Profile History","Профил хронология"
"Profile Information","Профил информация"
"Profile Name","Профил име"
"Profile Wizard","Профил Помощник"
"Profiles","Профили"
"Promo","Промоция"
"Promotions","Промоции"
"Quantity","Количество: "
"Queue Refresh","Добави задача за актуализиране"
"Queued... Cancel","В Изчакващи... Отказ"
"Radio Buttons","Радио бутони"
"Rates","Ставки"
"Read details","Прочети всичко"
"Rebuild","Реконструирай"
"Rebuild Catalog Index","Реконструирай индекса на каталога"
"Rebuild Flat Catalog Category","Обнови Плоския Каталог на Категориите"
"Rebuild Flat Catalog Product","Обнови Плоския Каталог на Продуктите"
"Recent Orders","Recent Поръчки"
"Recent statistics have been updated.","Последните статистически данни са актуализирани."
"Recursive Dir","Рекурсивни директории"
"Redirect","Пренасочи"
"Reference ID","Референтен номер"
"Refresh","Обновяване"
"Refresh Now*","Обнови сега*"
"Refresh Statistics","Обнови статистика"
"Region/State","Област"
"Regular Price:","Нормална цена:"
"Release","Система"
"Release Stability","Стабилност на системата"
"Release Version","Версия на системата"
"Reload captcha","Презареди изображението"
"Remote FTP","Отдалечен FTP"
"Remove","Премахване"
"Reports","Доклади"
"Request Path","Път на заявката"
"Required","Изискван"
"Reset","Изчисти"
"Reset Filter","Нулирай филтър"
"Reset Password","Нулирай парола"
"Reset a Password","Възстановяване на парола"
"Resize","Преоразмери"
"Resource Access","Достъп до ресурси"
"Resources","Средства"
"Results","Резултати"
"Retrieve Password","Извличане на парола"
"Return Html Version","Върни Html версия"
"Revenue","Приходи"
"Reviews","Прегледи"
"Reviews and Ratings","Мнения и оценки"
"Role ID","Роля ID"
"Role Info","Информация за роля"
"Role Information","Информация за роля"
"Role Name","Име на роля"
"Role Resources","Роля ресурси"
"Role Users","Ролята на потребителите"
"Roles","Роли"
"Roles Resources","Роли ресурси"
"Root Category","Родителска категория"
"Rotate CCW","Завърти обратно на час. стрелка"
"Rotate CW","Завърти по час. стрелка"
"Run","Стартирай"
"Run Profile","Стартирай профил"
"Run Profile Inside This Window","Стартирай профил в този прозорец"
"Running... Kill","Стартирано... Спри"
"SKU","Кат. номер"
"SKU:","Кат. №:"
"SSL Error: Invalid or self-signed certificate","SSL грешка: Невалиден или само-подписан сертификат"
"Sales","Продажби"
"Sales Report","Доклад продажби"
"Samples","Проби"
"Save","Запиши"
"Save & Generate","Запис и генериране"
"Save Account","Запиши"
"Save Block","Запиши блока"
"Save Cache Settings","Запази настройките на кеша"
"Save Config","Запази конфигурацията"
"Save Currency Rates","Запиши валутните курсове"
"Save Profile","Запиши профил"
"Save Role","Запиши роля"
"Save Template","Записване на шаблон"
"Save User","Запази потребителя"
"Save and Continue Edit","Запази и продължи редактиране"
"Search","Търсене"
"Search Index","Индекс на търсене"
"Search Term","Търсена дума"
"Search Terms","Термини за търсене"
"Search entire store here...","Търсене в целия магазин..."
"Select","Избери"
"Select All","Маркиране на всичко"
"Select Category","Изберете категория"
"Select Date","Избор на дата"
"Select Range","Избери диапазаон"
"Select date","Избери дата"
"Sender","Подател"
"Separate Email","Отделно имейл"
