"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s Item(s)","%s Продукт(а)"
"N/A","Не е достъпно"
"Name","Име"
"New Product","Нов продукт"
"New Product Attribute","Нов продуктов атрибут"
"New Products","Нови продукти"
"New Products Grid Template","Нови продукти, шаблон мрежа"
"New Products List Template","Нови продукти, шаблон списък"
"New Search","Ново търсене"
"New Set Name","Име на новия сет"
"New products","Нови продукти"
"Next","Напред"
"No","Не"
"No image","Няма изображение"
"No layout updates","Няма актуализации за оформлението"
"No options of this product are available.","Няма налични опции за този продукт."
"None","Не"
"Not Visible Individually","Не е видим индивидуално"
"Notify Low Stock RSS","Уведoми за малки количества на склад RSS"
"Notify for Quantity Below","Уведоми за ниско количество"
"Number of Products per Page","Брой продукти на страница"
"Number of Products to Display","Брой продукти за показване"
"Number of Uses","Брой употреби"
"Number of results","Брой на резултатите"
"Number of results (For the last time placed)","Брой на резултатите (за последен път поставени)"
"OK","ОК"
"OR","ИЛИ"
"Old Price:","Стара цена:"
"On Gesture","На жест"
"Option:","Опция:"
"Options","Опции"
"Options Control","Управление на опции"
"Options is required","Опцията е задължителна"
"Our customer service is available 24/7. Call us at (555) 555-0123.","- текст за Клиентски услуги - mage catalog l.377"
"Out of Stock","Няма наличност"
"Out of stock","Изчерпано количество"
"PM","Следобяд"
"Page Title Separator","Разделител за заглавието на страницата"
"Parent Category","Главна категория"
"Pending","Чакащ"
"Pending Reviews RSS","Чакащи отзиви RSS"
"Percentage","Процент"
"Please add rows to option.","Моля, добавете редове към опция."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Моля бъдете внимателен - с кликане върху ред ще бъдат заредени данните от пакет от избрания файл и всички незаписани данни от формата ще бъдат загубени."
"Please enter a new group name","Моля, въведете ново име на група"
"Please select one or more attributes.","Моля, изберете един или повече атрибути."
"Please select products for attributes update","Моля, изберете продукти за обновяване на атрибути"
"Please specify date required option(s).","Моля определете задължителните опции за дата."
"Please specify the number of products, that will not be divided into subintervals.","Моля, посочете броя на продукти, които не ще бъдат разделени в подинтервали."
"Please specify the product required option(s)","Моля, определете задължителните за продукта опции"
"Please specify the quantity of product(s).","Моля, посочете количеството на продукта."
"Please specify time required option(s).","Моля определете задължителните опции за време."
"Please wait...","Моля, изчакайте…"
"Position","Позиция"
"Position in Layered Navigation","Позиция в пластова навигация"
"Position of attribute in layered navigation block","Позиция на атрибута в блок на филтър навигация"
"Prev","Предишен"
"Previous","Назад"
"Price","Цена"
"Price Navigation Step Calculation","Навигация за изчисляване на цена"
"Price Type","Тип цена"
"Price values for options should be specified in system base currency.","Стойности на цена за опции трябва да бъдат определени в системна базова валута."
"Price:","Цена:"
"Print This Page","Отпечатай тази страница"
"Product","Продукт"
"Product API","Продукт API"
"Product Alerts","Известия за продукт"
"Product Attribute","Продукт атрибут"
"Product Attributes","Продуктови атрибути"
"Product Categories","Продуктови категории"
"Product Description","Описание на продукта"
"Product Flat Data","Продуктови плоски данни"
"Product ID","ИД на продукта"
"Product Image Placeholders","Изображение, заместващо продуктовите снимки"
"Product Image Watermarks","Водни знаци за продуктови изображения"
"Product Images","Изображения на продукт"
"Product Images API","API за продуктови изображения"
"Product In Websites","Продукт в уебсайтове"
"Product Info Column","Продукт информация колона"
"Product Information","Информация за продукта"
"Product Link Block Template","Шаблон на блокова продуктова връзка"
"Product Link Inline Template","Шаблон на линейна продуктова връзка"
"Product Listing Sort by","Сортиране на продуктовия списък по"
"Product Name","Име на продукт"
"Product Reviews","Отзиви за продукти"
"Product Tags","Ключови думи на продукта"
"Product Tier Price API","API за ценови нива"
"Product Type","Тип на продукта"
"Product URL Suffix","Продукт URL суфикс"
"Product attribute sets API","API на групи атрибути"
"Product attributes API","API на продукт атрибути"
"Product is not loaded","Продуктът не е зареден"
"Product links API (related, cross sells, up sells)","API продуктово свързване (свързани, кръстосани продажби, допълнителни продажби)"
"Product types API","API продуктови типове"
"Product with this combination of attributes already associated to configurable.","Продукт с тази комбинация от атрибути в вече асоцииран към конфигуриран."
"Products","Продукти"
"Products Comparison List","Списък за сравнение на продукти"
"Products Information","Информация за продукт"
"Products Reviews","Продукти отзиви"
"Products Sitemap","Карта на продукти"
"Products only","Само продукти"
"Products per Page on Grid Allowed Values","Продукти на страница, допустими стойности при мрежово показване"
"Products per Page on Grid Default Value","Продукти на страница, стойност по подразбиране при мрежово показване"
"Products per Page on List Allowed Values","Продукти на страница, позволени стойности при списъчно показване"
"Products per Page on List Default Value","Продукти на страница, стойност по подразбиране при списъчно показване"
"Properties","Свойства"
"Qty","Кол-во"
"Qty Increments","Увеличаване на количеството"
"Qty Uses Decimals","Количеството използва десетици"
"Qty:","Кол-во:"
"Quantity","Количество: "
"Quick Create","Бързо създаване"
"Quick Overview","Бърз преглед"
"Quick simple product creation","Бързо създаване на Обикновен продукт"
"Redirect","Пренасочи"
"Redirect URL","URL адрес за пренасочване"
"Regular Price:","Нормална цена:"
"Related Products","Свързани продукти"
"Remove","Премахване"
"Remove Product From Websites","Премахни продукт от уебсайтовете"
"Remove This Item","Премахнете този елемент"
"Remove product assignment","Премахни присъединеност на продукт"
"Remove product image","Премахни изображение"
"Remove product link","Премахни връзка"
"Reorganize EAV category structure to flat structure","Реорганизиране на EAV категория структура към плоска структура"
"Reorganize EAV product structure to flat structure","Реорганизирате EAV продуктовата структура към плоска структура"
"Reset","Изчисти"
"Results","Резултати"
"Retrieve attribute data","Извлечи атрибут данни"
"Retrieve attribute list","Извлечи списък атрибути"
"Retrieve attribute options","Извлечи опции на атрибут"
"Retrieve categories tree","Извлечи дърво на категории"
"Retrieve category attributes","Извлечи атрибути на категория"
"Retrieve category data","Извлечи данни за категория"
"Retrieve hierarchical tree","Извлечи йерархично дърво"
"Retrieve linked products","Извлечи свързани продукти"
"Retrieve list of assigned products","Извлечи присъединени продукти"
"Retrieve one level of categories by website/store view/parent category","Извлечи едно ниво категории по уебсайт/магазин изглед/главна категория"
"Retrieve product","Извлечи продукт"
"Retrieve product attribute sets","Извлечи продуктови атрибут групи"
"Retrieve product image","Извлечи изображение на продукт"
"Retrieve product image list","Извлечи списък изображения за продукт"
"Retrieve product image types","Извлечи типа на изображенията за продукт"
"Retrieve product link type attributes","Извлечи атрибути на тип продуктово свързване"
"Retrieve product link types","Извлечи типовете продуктово свързване"
"Retrieve product tier prices","Извлечи ценови нива"
"Retrieve product types","Извлечи типове продукти"
"Retrieve products data","Извлечи данни на продукти"
"Retrieve products list by filters","Извлечи списък продукти по филтри"
"Reviews","Прегледи"
"Roll Over for preview","Премини с мишката за преглед"
"Root","Корен"
"SKU","Кат. номер"
"Save","Запиши"
"Save Attribute","Запиши атрибут"
"Save Attribute Set","Запиши атрибут група"
"Save Category","Запиши категория"
"Save Search","Запиши търсенето"
"Save and Continue Edit","Запази и продължи редактиране"
"Scope","Обхват"
"Scope must not be changed, because the attribute is used in configurable products.","Обхватът не трябва да се променя, тъй като атрибутът се използва в конфигурирани продукти."
"Search","Търсене"
"Search Engine Optimizations","Оптимизация за търсачки"
"Search Information","Информация за търсене"
"Search Query","Заявка за търсене"
"Search Weight","Търси по тегло"
"Searchable","Може да бъде търсен"
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"Select Category...","Изберете категория..."
"Select Configurable Attributes ","Избери конфигурируеми атрибути"
"Select Product...","Изберете продукт..."
"Select type of option","Избери тип опция"
"Select type options required values rows.","Изберете тип опция, която изисква стойност в колоните."
"Selected Product Types","Избрани типове продукти"
"Send Count","Изпрати брой"
"Set Ascending Direction","Настрой възходяща посока"
"Set Descending Direction","Настрой низходяща посока"
"Set Name","Задай име"
"Set root category for this store in the <a href=""%s"">configuration</a>","Задаване на основна категория (root) за този магазин в <a href=""%s"">конфигурацията</a>"
"Set special price","Задай промоционална цена"
"Set/Get current store view","Задай/Извлечи текущ изглед на магазин"
"Settings","Настройки"
"Shop By","Пазаруване по"
"Shopping Options","Опции за пазаруване"
"Show","Покажи"
"Show Details","Покажи детайли"
"Show Tags","Покажи ключови думи"
"Simple Product","Обикновен продукт"
"Site Map","Карта на сайта"
"Sitemap","Карта на сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропускане на ред за импорт, невалидна стойност ""%s"" за поле ""%s"""
"Some of the selected item options are not currently available.","Някои от избраните опции на изделия не са достъпни в момента."
"Sort By","Сортирай по"
"Sort Order","Ред на сортиране"
"Source Model","Източник модел"
"Special Price:","Промоционална цена:"
"Starting at:","Започва от:"
"Static","Статично"
"Static block and products","Статичен блок и продукти"
"Static block only","Само статичен блок"
"Status","Статус"
"Stock Availability","Складова наличност"
"Store","Магазин"
"Store View","Изглед на магазина"
"Stretch","Разтегнато"
"Subscribe to RSS Feed","Абонирай се за RSS Feed"
"Super product attributes configuration","Конфигурация на атрибути за Супер продукт"
"Synonym For","Синоним за"
"System Properties","Системни настройки"
"Tag Name","Име на ключова дума"
"Tax","Данък"
"Template","Шаблон"
"Text","Текст"
"The base directory to upload file is not specified.","Базовата директория за качване на файл не е указан."
"The review was removed by another user or does not exist.","Отзивът е премахнат от друг потребител или не съществува."
"There are no %s available.","Няма налични %s."
"There are no customers for this alert","Няма клиенти за това предупреждение"
"There are no customers for this alert.","Няма клиенти за този сигнал."
"There are no products matching the selection.","Не са намерени продукти, отговарящи на избора."
"This attribute cannot be edited.","Този атрибут не може да бъде променен."
"This attribute is used in configurable products.","Този атрибут се използва в конфигурируеми продукти."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Този атрибут е използван в конфигурируеми продукти. Не може да го премахнете от спиъка с атрибути."
"This attribute no longer exists","Атрибутът вече не съществува."
"This attribute set no longer exists.","Този атрибут вече не съществува"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Тази група съдържа атрибути, използвани в Конфигурирани продукти. Моля, преместете ги в друга група и опитайте отново."
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа системни атрибути. Моля премахнете системните атрибути и опитайте отново."
"This is a required option","Задължителна опция"
"This search no longer exists.","Това търсене вече не съществува."
"This setting will be applied when all prices in the specific price interval are equal.","Тази настройка ще се прилага, когато всички цени в специфични ценови интервали са равни."
"Tier Pricing","Редовна цена"
"Tile","Разтегли"
"Time Format","Времеви формат"
"Title","Заглавиe"
"To see product price, add this item to your cart. You can always remove it later.","За да видите цена на продукта, добавете този елемент към Вашата количка. Можете винаги да го премахнете по-късно."
"Top/Left","Най-горе/Ляво"
"Top/Right","Най-горе/Дясно"
"Total Qty Base Items","Общо кол. базови артикули"
"Total incl. Tax: %1$s","Общо с данък: %1$s"
"Type","Тип"
"URL Rewrite Management","Управление за презапис на URL"
"Unassigned Attributes","Неопределени атрибути"
"Up-sells","Надграждащи продажби"
"Update","Обновяване"
"Update Attributes","Актуализирай атрибути"
"Update Tier Price","Обнови ценови нива"
"Update assigned product","Обнови присъединени продукти"
"Update attributes","Актуализирай атрибути"
"Update category","Обнови категория"
"Update product","Обнови продукт"
"Update product image","Обнови изображение на продукт"
"Update product link","Обнови свързване на продукт"
"Update product tier prices","Обнови ценови нива"
"Upload new product image ","Качи ново изображение на продукт"
"Use Canonical Link Meta Tag For Categories","Използване на канонични мета тагове за категории"
"Use Canonical Link Meta Tag For Products","Използване на канонични мета тагове за продукти"
"Use Categories Path for Product URLs","Използвайте категории път за продукта URL адреси"
"Use Config Settings","Използвайте Настройки на конфигурацията"
"Use Default Value","Използвай стойността по подразбиране"
"Use Flat Catalog Category","Използвай плоска категоризация на каталога"
"Use Flat Catalog Product","Използвай плосък продуктов каталог"
"Use In Layered Navigation","Използвай във филтър навигация"
"Use In Search Results Layered Navigation","Използвай в резултати от търсене на филтър навигация"
"Use JavaScript Calendar","Използвай JavaScript календар"
"Use To Create Configurable Product","Използвай за създаване на Конфигуриран продукт"
"Use Tree Like Category Sitemap","Използвай дървовиден изглед за карта на категориите"
"Use config","Използвай конфигурация"
"Use default","Размер по подразбиране"
"Use for Promo Rule Conditions","Използвай като правило за създаване на промоции"
"Use in Layered Navigation","Използване в пластова навигация"
"Used for Sorting in Product Listing","Използвай за подреждане в списъка с продукти"
"Used in Product Listing","Използвай в списъка с продукти"
"Varchar","Стринг"
"View Details","Виж детайли"
"View as","Виж като"
"Virtual Product","Виртуален продукт"
"Visibility","Видимост"
"Visible","Видим"
"Visible on Catalog Pages on Front-end","Видимо на страниците от каталаога на публичния сайт"
"Visible on Product View Page on Front-end","Видимо на страницата за преглед на продукт на публичния сайт"
"WYSIWYG Editor","WYSIWYG редактор"
"Watermark","Воден знак"
"Watermark Default Size","Размери на воден знка по подразбиране"
"Watermark Position","Позиция на воден знак"
"We Also Recommend","Препоръчваме още"
"Website","Уебсайт"
"Websites","Уеб сайтове"
"What's this?","Какво е това?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Дали да се показва опция ""Всички"" в падащо меню ""Покажи X на страница""."
"Wrong option type to get group instance.","Грешен тип опция за извличане на групов обект."
"Year Range","Годишен диапазон"
"Yes","Да"
"You cannot remove system attribute from this set.","Невъзможно премахването на системен атрибут от тази група."
"You have no items to compare.","Нямате артикули за сравнение."
"You may also be interested in the following product(s)","Може би ще проявите интерес и към следните продукти"
"You saved the search term.","Записахте дума за търсене."
"Zoom In","Увеличаване"
"Zoom Out","Намаляване"
"and","и"
"and above","и нагоре"
"categories","категории"
"each","всеки"
"ex. http://domain.com","пример: http://domain.com"
"leave blank if its not an image","оставете празно ако не е изображение"
"per page","на страница"
"products","продукти"
"px.","пкс."
"save","запиши"
"select all","избери всички"
"unselect all","премахване на избора от всички"
