"* Required Fields","* Задължителни полета"
"Create customer","Създай клиент"
"Create customer address","Създай клиентски адрес"
"Current Password","Текуща парола"
"Customer","Клиент"
"Customer Addresses","Клиентски адрес"
"Customer Configuration","Конфигурация на клиент"
"Customer Group","Клиентска група"
"Customer Groups","Клиентски групи"
"Customer Information","Информация за клиента"
"Customer Login","Вход клиенти"
"Customer Since","Клиенти от"
"Customer View","Изглед на клиента"
"Customer will stay on the current page if ""No"" is selected.","Клиентът ще остане на текущата страница, ако ""Не"" е избран."
"Customers","Клиенти"
"Customers Only","Само за клиенти"
"DD","ДД"
"Date","Дата"
"Date Added","Дата на добавяне"
"Date of Birth","Дата на раждане"
"Day","Ден"
"Days in Wishlist","Дни в списък с желания"
"Default Addresses","Адреси по подразбиране"
"Default Billing Address","По подразбиране адрес за фактуриране"
"Default Email Domain","Имейл домейн по подразбиране"
"Default Group","Група по подразбиране"
"Default Shipping Address","Адрес за доставка по подразбиране"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Стойността по подразбиране за забранена автоматична промяна на клиентската група на базата на ДДС номер"
"Default Welcome Email","Добре дошли имейл по подразбиране"
"Delete","Изтрий"
"Delete Address","Изтрий адрес"
"Delete Customer","Изтрий клиент"
"Delete Customer Group","Изтрий групата с клиенти"
"Delete customer","Изтрий клиент"
"Delete customer address","Изтрий клиентски адрес"
"Deleted Stores","Изтрити Магазини"
"Details","Детайли"
"Disabled","Забранен"
"Edit","Редактирай"
"Edit Account Info","Редактирай данни на профил"
"Edit Account Information","Редактиране на информация за акаунта"
"Edit Address","Промени адрес"
"Edit Address Entry","Редактирай адрес"
"Edit Customer Group ""%s""","Редакция на клиентска група ""%s"""
"Edit Customer Groups","Промени групите с клиенти"
"Edit Customer's Address","Редактирай клиентски адрес"
"Edit Group","Промени група"
"Edit Newsletters","Редактирай бюлетини"
"Email","Имейл"
"Email Address","Имейл адрес"
"Email Sender","Имейл подател"
"Email:","Имейл:"
"Enable Automatic Assignment to Customer Group","Разреши автоматичното присвояване на група клиенти"
"Failed to confirm customer account.","Неуспешна валидация на потребителски профил."
"Fax","Факс"
"First Name","Име"
"Forgot Email Template","Забрави шаблон на имейл"
"Forgot Password","Забравена парола"
"Forgot Your Password?","Забравили сте паролата си?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","От Профил таблото може да прегледате вашата текуща активност и да редактирате профила си. Изберете някой от линковете, за да прегледате и/или редактирате текущата информация."
"Gender","Пол"
"General Subscription","Основен бюлетин"
"Generate Human-Friendly Customer ID","Генериране на човешки приятелски клиент ID"
"Global","Глобален"
"Group","Група"
"Group Information","Информация за групата"
"Group Name","Име на групата"
"Group for Invalid VAT ID","Група за невалиден ДДС номер"
"Group for Valid VAT ID - Domestic","Група за валиден ДДС номер - в страната"
"Group for Valid VAT ID - Intra-Union","Група за валиден ДДС номер - в Европа"
"Guest","Гост"
"Hello, %s!","Здравейте, %s!"
"ID","ИД"
"IP Address","IP адрес"
"If you have an account with us, please log in.","Ако вече имате създаден профил, моля влезте в системата."
"Invalid current password","Невалидна текуща парола"
"Invalid customer data","Невалидни клиентски данни"
"Invalid login or password.","Невалидно потребителско име или парола."
"Last Activity","Последна активност"
"Last Date Subscribed","Последна дата на записване"
"Last Date Unsubscribed","Последна дата на отписване"
"Last Name","Фамилия"
"Leave empty for default (15 minutes).","Остави празно по подразбиране (15 минути)."
"Leave empty for default (2). Valid range: 1-4","Празно за използване на стойност по подразбиране (2).<br />Валиден обхват: 1-4"
"Lifetime Sales","Всички продажби"
"Log In","Вход"
"Log Out","Изход"
"Login","Вход"
"Login Information","Информация за вход"
"Login Options","Опции за вход"
"Login or Create an Account","Вход или Създаване на нов профил"
"MM","ММ"
"Manage Addresses","Управление на адреси"
"Manage Customers","Управление на Клиенти"
"Month","Месец"
"My Account","Моят профил"
"My Dashboard","Моето табло"
"My Orders","Моите поръчки"
"Name","Име"
"Name and Address Options","Опции Име и адрес"
"Never","Никога"
"New Address","Нов адрес"
"New Address Entry","Нов адрес"
"New Customer","Нов клиент"
"New Customer Address","Нов клиентски адрес"
"New Customer Group","Нова група с клиенти"
"New Customer Groups","Нова група с клиенти"
"New Customers","Нови клиенти"
"New Group","Нова група"
"New Password","Нова парола"
"New account","Нов профил"
"New account confirmation key","Нов ключ за потвърждение на профил"
"New account confirmed","Нов профил – потвърден"
"Newsletter","Бюлетин"
"Newsletter Finish","Край на бюлетин"
"Newsletter Information","Информация от бюлетина"
"Newsletter Received","Бюлетин – получен"
"Newsletter Start","Начало на бюлетин"
"Newsletter Subscription","Абонамент за бюлетин"
"Newsletters","Бюлетини"
"No Items Found","Няма намерени продукти"
"No Newsletter Found","Няма намерен бюлетин"
"No item specified.","Няма зададен елемент."
"Not Sent","Не е изпратен"
"Not confirmed, can login","Непотвърдено, вход позволен"
"Not confirmed, cannot login","Непотвърдено, вход забранен"
"Offline","Офлайн"
"Online","Онлайн"
"Online Customers","Онлайн Клиенти"
"Online Customers Options","Опции за онлайн клиенти"
"Online Minutes Interval","Минути от онлайн интервали"
"Order #","Поръчка #"
"Order Total","Поръчка общо"
"Orders","Поръчки"
"Password","Парола"
"Password Management","Управление пароли"
"Password Options","Настройки за паролата"
"Password forgotten","Забравена парола"
"Password:","Парола:"
"Paused","Паузиран"
"Pending","Чакащ"
"Per Website","На Уебсайт"
"Personal Information","Лична информация"
"Please enter a number 1 or greater in this field.","Моля в това поле впишете число 1 или по-голямо."
"Please enter the city.","Моля въведете град."
"Please enter the country.","Моля въведете държава."
"Please enter the first name.","Моля, въведете първото име."
"Please enter the last name.","Моля въведете фамилното име."
"Please enter the state/province.","Моля въведете щат/провинция."
"Please enter the street.","Моля въведете улица."
"Please enter the zip/postal code.","Моля въведете пощенски код."
"Please enter your email below and we'll send you confirmation link for it.","Моля, въведете вашия имейл и ще ви бъде изпратен линк за потвърждение."
"Please enter your email.","Моля, впишете вашия имейл."
"Please make sure your passwords match.","Моля уверете се, че паролите съвпадат."
"Please select region, state or province","Моля изберете регион, щат или провинция"
"Prefix Dropdown Options","Префикс падащи опции"
"Price","Цена"
"Product","Продукт"
"Product ID","ИД на продукта"
"Product Name","Име на продукт"
"Product Reviews","Отзиви за продукти"
"Product Tags","Ключови думи на продукта"
"Purchase On","Покупка на"
"Purchased On","Закупено на"
"Qty","Кол-во"
"Recent Orders","Recent Поръчки"
"Recovery Link Expiration Period (hours)","Валидност на връзката за възстановяване (часове)"
"Redirect Customer to Account Dashboard after Logging in","Пренасочване на клиента към таблото на профила след влизане в системата"
"Refunded","Възстановен"
"Register","Регистрация"
"Registered Customers","Регистрирани потребители"
"Remind Email Template","Напомни шаблон на имейл"
"Remove","Премахване"
"Require Emails Confirmation","Изисквай потвърждение на адреси на ел. поща"
"Reset a Password","Възстановяване на парола"
"Retrieve address data","Извлечи данни за адрес"
"Retrieve address info","Извлечи информация за адрес"
"Retrieve customer addresses","Извлечи клиентски адрес"
"Retrieve customer data","Извлечи данни за клиент"
"Retrieve customers","Извлечиа клиенти"
"Retrieve your confirmation link here","Получаване на линк за потвърждение тук"
"Retrieve your password here","Получаване на парола тук"
"SKU","Кат. номер"
"Sales Statistics","Статистика за продажбите"
"Save","Запиши"
"Save Address","Запиши адрес"
"Save Customer","Запази клиент"
"Save Customer Group","Запази групата с клиенти"
"Save Password","Запиши парола"
"Save and Continue Edit","Запази и продължи редактиране"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Стойности разделени с точка и запетайка (;).<br/>Сложете точка и запетайка за празна първа стойност.<br/>Оставете празно за отворено текстово поле."
"Send From","Изпращане от"
"Send Welcome Email after Confirmation","Изпращане на имейл Добре дошли след потвърждение"
"Send confirmation link","Изпращане връзка за потвърждение"
"Sending","В процес на изпращане"
"Sent","Изпратен"
"Session Start Time","Начало на сесия"
"Set as Default Billing Address","Задай като адрес за плащане по подразбиране"
"Set as Default Shipping Address","Задай като адрес за доставка по подразбиране"
"Share Customer Accounts","Сподели клиентските профили"
"Shipped to First Name","Доставено до име"
"Shipped to Last Name","Доставено до фамилия"
"Shipped to Name","Доставено до име"
"Shopping Cart","Количка"
"Shopping Cart - %d item(s)","Количка - %d продукт(а)"
"Show Date of Birth","Покажи дата на раждане"
"Show Gender","Покажи Пол"
"Show Middle Name (initial)","Покажи бащино име (първоначалния)"
"Show Prefix","Покажи префикс"
"Show Suffix","Покажи суфикс"
"Show Tax/VAT Number","Покажи стойност/ДДС номер"
"Sign Up for Newsletter","Абонирай ме за е-бюлетин"
"State/Province","Област / Провинция"
"Status","Статус"
"Store","Магазин"
"Store View","Изглед на магазина"
"Street Address","Адрес"
"Subject","Предмет"
"Submit","Изпрати"
"Subscribe to Newsletter","Записан за бюлетин"
"Subscribed to Newsletter?","Абониран за бюлетин?"
"Suffix Dropdown Options","Суфикс меню с падащи опции"
"Tag Name","Име на ключова дума"
"Tax Calculation Based On","Изчисляване на данъци, въз основа на"
"Tax Class","Вид ДДС"
"Tax/VAT number","Булстат/Рег. номер по ДДС"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст на един ред"
"The VAT ID entered (%s) is not a valid VAT ID.","Вписания Булстат (%s) не е валиден."
"The VAT ID is valid. The current Customer Group will be used.","Булстата е валиден. Ще бъде използвана текущата група с клиенти."
"The customer does not have default billing address.","Клиента няма зададен адрес по подразбиране."
"The suffix that goes after name (Jr., Sr., etc.)","Наставка, която отива след името (младши, старши, и др.)"
"The title that goes before name (Mr., Mrs., etc.)","Заглавие, което върви пред името (г-н, г-жа и др.)"
"There are no items in customer's wishlist at the moment","Списъкът с желания на клиента е празен"
"There are no items in customer's shopping cart at the moment","Количката на клиента е празна"
"This account is not confirmed.","Непотвърден профил."
"This customer has no saved addresses.","Клиентът няма съхранени адреси."
"This email does not require confirmation.","Този имейл не изисква потвърждение."
"To Cart","В количката"
"Total","Общо"
"Type","Тип"
"Unknown","Непознат"
"Unsubscribe from Newsletter","Отписване от бюлетина"
"Update","Обновяване"
"Update customer address data","Обнови данните за клентски адрес"
"Update customer data","Обнови клиентски данни"
"Use as my default billing address","Използвай като моя по подразбиране адрес за фактуриране"
"Use as my default shipping address","Използвайте като моя по подразбиране адрес за доставка"
"VAT Number","ДДС Номер"
"Validate VAT Number","Валидирай Булстата"
"Validate on Each Transaction","Валидирай при всяка транзакция"
"Validation Error Group","Грешка във валидацията на групата"
"View","Преглед"
"View Order","Вижте поръчка"
"Visitor","Посетител"
"Visitors Only","Само за посетители"
"Website","Уебсайт"
"Welcome Email","Имейл Добре дошли"
"Wishlist","Списък с желани"
"Wishlist - %d item(s)","Списък с желания - %d продукт(а)"
"Would you like to change the Customer Group for this order?","Искате ли да промените групата с клиенти за тази поръчка?"
"Wrong confirmation key.","Грешен ключ за потвърждение."
"Wrong customer account specified.","Посочен е грешен потребителски акаунт."
"Wrong email.","Грешен имейл."
"YYYY","ГГГГ"
"Year","Година"
"You are currently not subscribed to any newsletter.","Не е направен абонамент за нито един бюлетин."
"You are currently subscribed to 'General Subscription'.","Направен е абонамент за 'Основен абонамент'."
"You are currently subscribed to our newsletter.","Направен е абонамент за нашия бюлетин."
"You have no additional address entries in your address book.","Няма други адреси в адресната книга."
"You have no additional entries in your address book.","Няма други адреси в адресната книга."
"You have no default billing address in your address book.","Нямате адрес за фактуриране по подразбиране във вашата адресна книга."
"You have no default shipping address in your address book.","Нямате адрес за доставка по подразбиране във вашата адресна книга."
"You have not set a default billing address.","Не сте задали основен адрес за плащане."
"You have not set a default shipping address.","Не сте задали адрес за доставка по подразбиране."
"You have placed no orders yet.","Нямате направени поръчки."
"You have placed no products yet.","Нямате избрани продукти."
"You will be charged tax.","Ще ви бъде начислено ДДС."
"You will not be charged tax.","Няма да ви бъдат начислени такси."
"Your Tax ID cannot be validated.","Вашият ДДС номер не може да бъде валидиран."
"Your VAT ID was successfully validated.","Вашият ДДС номер успешно валидиран."
"Your account balance is: %s","Вашият баланс е: %s"
"ZIP","Пощенски код"
"ZIP/Post Code","Пощенски код"
"Zip/Postal Code","Пощенски код"
"n/a","няма"
"or","или"
