"(Excl. Tax)","(Без ДДС)"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Кликнете <a href=""%s"" onclick=""this.target='_blank'"">тук за печат</a> на копие от потвърждение на поръчката."
"Close","Затвори"
"Company","Фирма"
"Condition Name","Име на условието"
"Configurable Product Image","Изображение за конфигурируем продукт"
"Confirm Password","Потвърдете паролата"
"Content","Съдържание"
"Content Height","Съдържание Височина"
"Content Height (css)","Съдържание Височина (css)"
"Continue","Продължи"
"Continue Shopping","Продължи с пазаруването"
"Continue to Billing Information","Продължи към информацията за фактуриране"
"Continue to Review Your Order","Продължи към преглед на поръчката"
"Continue to Shipping Information","Продължи към информация за доставка"
"Country","Държава"
"Coupon code ""%s"" is not valid.","Кодът от ваучър ""%s"" е невалиден."
"Create Billing Address","Създай на адрес за фактуриране"
"Create Shipping Address","Създаване на адрес за доставка"
"Customer Information","Информация за клиента"
"Data saving problem","Проблем със записването на данните"
"Default Billing","Фактуриране по подразбиране"
"Default Shipping","Доставка по подразбиране"
"Delete Condition","Изтрий условие"
"Details","Детайли"
"Disabled","Забранен"
"Discount Codes","Кодове за отстъпки"
"Display Cart Summary","Показване на обобщението на количката"
"Display Shopping Cart Sidebar","Покажи странична лента на количката"
"Display item quantities","Покажи наличности по артикул"
"Display number of items in cart","Покажи броя артикули в количката."
"Easy access to your order history and status","Лесен достъп до хронология и статус на Вашите поръчки"
"Edit","Редактирай"
"Edit Address","Промени адрес"
"Edit Billing Address","Редактиране адрес за фактуриране"
"Edit Condition","Промени условие"
"Edit Items","Редактирайте артикулите"
"Edit Shipping Address","Редактиране на адрес за доставка"
"Edit Terms and Conditions","Промени общите условия"
"Edit Your Cart","Редактиране на Вашата количка"
"Edit item","Редактирайте артикула"
"Edit item parameters","Промени параметрите на артикула"
"Email Address","Имейл адрес"
"Enable Onepage Checkout","Разреши Onepage плащане"
"Enable Terms and Conditions","Разрешаване на общите условия"
"Enabled","Активиран"
"Enter a New Address","Въведете нов адрес"
"Enter your coupon code if you have one.","Въведете ваучър код, ако е наличен."
"Enter your destination to get a shipping estimate.","Въведете крайна точка за изчисляване на доставката."
"Estimate Shipping and Tax","Изчисли доставка и такси"
"Excl. Tax","Без вкл. ДДС"
"Fast and easy check out","Бързо и лесно плащане"
"Fax","Факс"
"Forgot an Item?","Забравихте нещо?"
"Forgot your password?","Забравили сте паролата си?"
"Get a Quote","Вземи оферта"
"Gift Message","Съобщение за подарък"
"Grand Total:","Oбщо"
"Grouped Product Image","Групирани продуктови изображения"
"ID","ИД"
"Incl. Tax","Вкл. Ддс"
"Invalid shipping method.","Невалиден метод за доставка."
"Items","Артикули"
"Load customer quote error","Грешка при зареждане на потребителска квота"
"Loading next step...","Зареждане на следваща стъпка"
"Login","Вход"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимално разрешено количество за доставка на различни адреси е %s"
"Move","Премести"
"Move to Wishlist","Премести към желани"
"My Cart","Моята количка"
"My Cart (%s item)","Моята Количка (%s продукт)"
"My Cart (%s items)","Моята Количка (%s продукта)"
"My Cart Link","Връзка към количката"
"New Address","Нов адрес"
"New Condition","Ново условие"
"New Terms and Conditions","Нови Общи условия"
"No Payment Methods","Няма методи за плащане"
"One Page Checkout","Разплащане на една страница"
"Order #","Поръчка #"
"Order Review","Преглед на поръчката"
"Order Success","Поръчка успеваемост"
"Password","Парола"
"Payment Failed Email Sender","Подател на имейл за неуспешно плащане"
"Payment Failed Emails","Имейли за неуспешно плащане"
"Payment Failed Template","Шаблон на неуспешно плащане"
"Payment Information","Информация за плащане"
"Payment Method","Метод на плащане"
"Payment method is not defined","Не е избран начин на плащане"
"Place Order","Направи поръчка"
"Please agree to all Terms and Conditions before placing the order.","Моля, съгласете се с общите правила и условия преди пускането на поръчката."
"Please agree to all Terms and Conditions before placing the orders.","Трябва да сте съгласни с всички Правила и условия преди да направите поръчка."
"Please agree to all the terms and conditions before placing the order.","Моля, съгласете се с Общите условия преди пускането на поръчката."
"Please choose to register or to checkout as a guest","Моля изберете регистриране или плащане като гост"
"Please log in below:","Моля, влезте в системата:"
"Please select region, state or province","Моля изберете регион, щат или провинция"
"Please select shipping address for applicable items","Моля, изберете адрес за доставка за посочените артикули"
"Please select shipping methods for all addresses","Моля, изберете начин на доставка за всички адреси"
"Please specify payment method.","Моля изберете метод на разплащане."
"Please specify shipping method.","Моля изберете метод на изпращане."
"Price","Цена"
"Proceed to Checkout","Поръчай"
"Product","Продукт"
"Product Name","Име на продукт"
"Products","Продукти"
"Qty","Кол-во"
"Qty:","Кол-во:"
"Quantity","Количество: "
"Quote Lifetime (days)","Срок на офертата (дни)"
"Recently added item(s)","Скоро добавен(и) продукт(и)"
"Register","Регистрация"
"Register and save time!","Направете регистрация и спечелете време!"
"Register to Create an Account","Регистрирайте се за създаване на профил"
"Register with us for future convenience:","Регистрирайте се на сайта за бъдещо удобство:"
"Remove Item","Премахване на продукт"
"Remove This Item","Премахнете този елемент"
"Remove item","Премахни"
"Review Order","Преглед на поръчката"
"Review Order - %s","Преглед на поръчка - %s"
"SKU","Кат. номер"
"Sales","Продажби"
"Save Condition","Запази условие"
"Save in address book","Запиши в адресната книга"
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"Select Address","Изберете Адрес"
"Select Addresses","Адрес"
"Select Shipping Method","Изберете начин на доставка"
"Select State/Province...","Избор на област..."
"Select a billing address from your address book or enter a new address.","Изберете адрес за плащане от книгата за адреси или въведете нов."
"Select a shipping address from your address book or enter a new address.","Изберете адрес за доставка от вашата адресна книга или да въведете нов адрес."
"Send Payment Failed Email Copy Method","Метод за копиране на имейл за неуспешно плащане"
"Send Payment Failed Email Copy To","Изпращане копие на имейл за неуспешно плащане"
"Send To","Изпрати до: "
"Separate by "","".","Раздели от "",""."
"Ship to Multiple Addresses","Доставка до няколко адреса"
"Ship to different address","Доставка на различен адрес"
"Ship to this address","Доставка на този адрес"
"Shipping Address","Адрес за доставка"
"Shipping Information","Информация за доставка"
"Shipping Method","Метод на доставка"
"Shipping Methods","Методи на доставка"
"Shipping To","Доставка до "
"Shipping method has not been selected yet","Не е избран начин на доставка"
"Shopping Cart","Количка"
"Shopping Cart Sidebar","Странична лента на количка"
"Shopping Cart is Empty","Количката е празна"
"Show Content as","Покажи Съдържание като"
"Sorry, no quotes are available for this order at this time.","Съжаляваме, няма налични оферти по тази поръчка в момента."
"State/Province","Област / Провинция"
"Status","Статус"
"Store View","Изглед на магазина"
"Street Address","Адрес"
"Submitting order information...","Подаване информация за поръчката..."
"Subtotal","Сума"
"Telephone","Телефон"
"Terms and Conditions","Общи условия"
"Terms and Conditions Information","Информация за общите условия"
"Terms and conditions","Правила и условия"
"Text","Текст"
"Thank you for your purchase!","Благодарим Ви за вашата покупка!"
"The product does not exist.","Този продукт не съществува."
"There was an error processing your order. Please contact us or try again later.","Възникна грешка при изпълнение на поръчката. Моля, свържете се с нас или опитайте отново по-късно."
"This condition no longer exists.","Това условие вече не съществува."
"Total","Общо"
"Total for this address","Всичко за този адрес"
"Unit Price","Единична цена"
"Update","Обновяване"
"Update Cart","Актуализирай количката"
"Update Qty &amp; Addresses","Актуализирай Кол-во &amp; Адреси"
"Update Shopping Cart","Актуализирай количката"
"Update Total","Актуализране на обща сума"
"Use Billing Address","Използвай адреса за плащане"
"VAT Number","ДДС Номер"
"View Shopping Cart","Покажи количката"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Поръчката се обработва и скоро ще бъде изпратен имейл с пълна информация. Когато поръчката е изпратена, ще бъде изпратен нов имейл, съдържащ линк за проследяване на доставката."
"What's this?","Какво е това?"
"You have no items in your shopping cart.","Нямате продукти в количката."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ще получите имейл за потвърждение на поръчката, съдържащ подробна информация и линк за проследяване на нейния статус."
"Your Checkout Progress","Прогрес на разплащане"
"Your order number is ","Номер на поръчката"
"Zip/Postal Code","Пощенски код"
"or","или"
