"-- Please Select --","-- Моля изберете --"
"The website does not exist.","Уебсайтът не съществува."
"Themes","Теми"
"This category and all its child elements","Тази категория и всички нейни под-елементи"
"This category and its child categories only","Само тази категория и нейните под-категории"
"This category and its products only","Само тази категория и нейните продукти"
"This category only","Само тази категория"
"This is a required field.","Това е задължително поле."
"This store cannot be deleted.","Този магазин не може да бъде изтрит."
"This store view cannot be deleted.","Този изглед на магазина не може да бъде изтрит."
"This website cannot be deleted.","Уебсайтът не може да бъде изтрит."
"This will be included before head closing tag in page HTML.","Това ще бъде включено преди главата за затваряне на маркер в страницата HTML."
"Timezone","Часова зона"
"Title Prefix","Префикс на заглавие"
"Title Suffix","Суфикс на заглавие"
"Transactional Emails","Транзакционни имейли"
"Translate Inline","Превод на място"
"Translations","Преводи"
"Unable to delete store view. Please, try again later.","Невъзможно е изтриването на изглед на магазин. Моля опитайте по късно."
"Unable to delete store. Please, try again later.","Невъзможно е изтриването на магазин. Моля опитайте по късно.."
"Unable to delete website. Please, try again later.","Невъзможно е изтриването на уебсайт. Моля опитайте по късно.."
"Unsecure","Несигурен"
"Url Options","Опции за Url"
"Use Custom Admin Path","Използвайте различен път за админ"
"Use Custom Admin URL","Използване на различен адрес за админ"
"Use HTTP Only","Използвайте HTTP само"
"None","Не"
"Use Secure URLs in Admin","Използвайте защитен URL адреси в администрация"
"Use Secure URLs in Frontend","Използвай сигурни адреси за достъп на публичен сайт"
"Use Web Server Rewrites","Използвай Web сървър Rewrites"
"VAT Number","ДДС Номер"
"Validate HTTP_USER_AGENT","Провери HTTP_USER_AGENT"
"Validate HTTP_VIA","Провери HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Провери HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Провери REMOTE_ADDR"
"Validation has failed.","Неуспешна проверка."
"Variable Code must be unique.","Променливия код трябва да бъде уникален."
"Web","Уеб"
"Website","Уебсайт"
"Website Information","Информация за уебсайт"
"Website Name","Име на уебсайт"
"Website with the same code","Сайт със същия код"
"Weekend Days","Почивни дни"
"Welcome Text","Добре дошли текст"
"Wrong file info format","Грешен формат на файла"
"Wrong number of arguments for %s","Грешен брой аргументи за %s"
"Yes","Да"
"Frontend","Публичен сайт"
