"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s Item(s)","%s produkt(ów)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"Datetime","Data i czas"
"Decimal","Dziesiętne"
"Declare attribute value saving scope","Zadeklaruj zakres zapisywania wartości cechy"
"Default ""What's This"" Text Message","Domyślny tekst wiadomości ""Co to jest?"""
"Default Popup Text Message","Domyślny tekst wiadomości wyskakującego okienka"
"Default Price","Domyślna cena"
"Default Price Navigation Step","Domyślny krok cenowy w nawigacji"
"Default Qty","Domyślna ilość"
"Default Values","Wartości domyślne"
"Delete","Usuń"
"Delete Attribute","Usuń cechę"
"Delete Attribute Set","Usuń zestaw cech"
"Delete Category","Usuń kategorię"
"Delete Option","Usuń opcję"
"Delete Row","Usuń rząd"
"Delete Search","Usuń wyszukiwanie"
"Delete Selected Group","Usuń zaznaczoną grupę"
"Delete Tier","Usuń poziom"
"Delete category","Usuń kategorię"
"Delete product","Usuń produkt"
"Depends on design theme","Zależy od wyglądu motywu"
"Description","Opis"
"Design","Wygląd"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Display Actual Price","Pokaż aktualną cenę"
"Display Page Control","Pokazuj nawigację stron"
"Display Price Interval as One Price","Pokazuj przedział cenowy jako jedną cenę"
"Display Product Count","Pokazuj ilość produktów"
"Display Type","Typ wyświetlania"
"Display in Suggested Terms","Wyświetlaj w sugerowanych frazach"
"Double click on a group to rename it","Kliknij na grupie dwukrotnie aby zmienić jej nazwę"
"Double click on above image to view full picture","Kliknij na obrazek aby obejrzeć pełną wersję"
"Downloadable Information","Informacje o produktach do pobrania"
"Duplicate","Duplikuj"
"Duplicate amount found.","Znaleziono zdubplikowaną wartość."
"Duplicate website tier price customer group and quantity.","Duplikuj ilości i grupy użytkowników poziomów cen w tej witrynie."
"Duplicate website, country and state tax found.","Duplikuj witryne, kraj i znalezione strefy podatkowe."
"Edit","Edytuj"
"Edit Attribute Set '%s'","Edytuj zestaw cech '%s'"
"Edit Product Attribute","Edytuj cechę produktu"
"Edit Product Attribute ""%s""","Edytuj cechę produktu %s"""
"Edit Search","Edycja wyszukiwania"
"Edit Search '%s'","Edycja wyszukiwania '%s'"
"Email","E-mail"
"Email to a Friend","Wyślij znajomemu"
"Empty","Pusty"
"Enable MAP","Włącz MAP"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Enabled","Włączone"
"Error during retrieval of option value: %s","Błąd podczas pobierania wartości opcji: %s"
"Exclude","Wyłącz"
"Expand All","Rozwiń wszystko"
"Failed","Nieudane"
"Failed to move file: %s","Nie udało się przenieść pliku: %s"
"Feature Products","Polecane produkty"
"File upload failed","Niepowodzenie podczas wysyłania pliku"
"Filter","Filtr"
"Filterable (no results)","Filtrowalne (bez wyników)"
"Filterable (with results)","Filtrowalne (z wynikami)"
"First Name","Imię"
"Fixed","Stały"
"For the last time placed.","dla ostaniego złożenia."
"Frontend","Interfejs klienta"
"Frontend Model","Model interfejsu klienta"
"Frontend Properties","Właściwości interfejsu klienta"
"Gallery","Galeria"
"General Information","Ogólne"
"Get special price","Pobierz specjalną cenę"
"Global","Globalny"
"Globally Editable","Edytowalne globalnie"
"Go to Home Page","Przejdź na stronę główną"
"Grid","Siatka"
"Grouped Product","Grupowany produkt"
"Groups","Grupy"
"Home","Strona główna"
"ID","Identyfikator"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla wybranego widoku sklepu to użyta zostanie domyślna wartość (Admin)."
"Image","Obrazek"
"Image content is not valid base64 data.","Zawartość obrazka to nie jest poprawny format base64."
"Image type and information need to be specified for each store view.","Typ i informacja o obrazku muszą być sprecyzowane dla każdego widoku sklepu."
"In Cart","W koszyku"
"In Stock","W magazynie"
"In stock","W magazynie"
"Incl. Tax","Z podatkiem"
"Index product prices","Indeksuj ceny produktów"
"Indexed category/products association","Zaindeksowane powiązania kategorii/produktów"
"Input Type","Typ pola"
"Integer","Liczba całkowita"
"Interval Division Limit","Limit wewnętrznego podziału"
"Invalid Tier Prices","Błędne poziomy cen"
"Invalid attribute %s","Nieprawidłowa cecha %s"
"Invalid image type.","Błędny typ obrazka."
"Invalid store specified","Wybrano nieprawidłowy sklep"
"Inventory","Magazyn"
"Is Default","Jest domyślny"
"Is Required","Jest wymagane"
"Items %s to %s of %s total","Produkty %s do %s z %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Produkty, które mają być niewidoczne w katalogu bądź w wynikach wyszukiwania, muszą być zaznaczone jako 'Wyłączone' dla danego sklepu."
"Keep your eyes open for our special Back to School items and save A LOT!","Rozejrzyj się za promocjami i oszczędź dużo pieniędzy!"
"Label","Etykieta"
"Last Name","Nazwisko"
"Last Notification","Ostatnie powiadomienie"
"Layered Navigation","Nawigacja warstwowa"
"Learn More","Dowiedz się więcej"
"Line %d, Email: %s","Linia %d, E-mail: %s"
"Line %d, SKU: %s","Linia %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Link to a Specified Category","Link do wybranej kategorii"
"Link to a Specified Product","Link do wybranego produktu"
"List","Lista"
"List Mode","Tryb listy"
"List of Products that are set as New","Lista produktów oznaczonych jako Nowe"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Catalog Categories","Zarządzaj kategoriami katalogu"
"Manage Categories","Zarządzanie kategoriami"
"Manage Label / Options","Zarządzaj etykietami/opcjami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cechy)"
"Manage Product Attributes","Zarządzaj cechami produktu"
"Manage Product Sets","Zarządzaj zestawami produktu"
"Manage Products","Zarządzaj produktami"
"Manage Stock","Zarządzaj stanami"
"Manage Titles (Size, Color, etc.)","Zarządzaj etykietami (Rozmiar, Kolor itp.)"
"Max Characters","Maks znaków"
"Maximal Depth","Maksymalna głębokość"
"Maximum Image Size","Maksymalny rozmiar obrazka"
"Maximum Number of Price Intervals","Maksymalna ilość przedziałów cenowych"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Maximum image height","Maksymalna wysokość obrazka"
"Maximum image width","Maksymalna szerokość obrazka"
"Maximum number of characters:","Maksymalna ilość znaków:"
"Maximum number of price intervals is 100","Maksymalna ilość przedziałów cenowych to 100"
"Media Image","Obrazek mediów"
"Minimum Advertised Price","Minimalna reklamowana cena"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"Minimum Qty for Item's Status to be Out of Stock","Minimalna ilość po której produkt otrzyma status Brak w magazynie"
"More Views","Więcej widoków"
"Move","Przenieś"
"Move category in tree","Przenieś produkt w drzewie"
"My Account","Moje konto"
"N/A","N/D"
"Name","Nazwa"
"New Product","Nowy produkt"
"New Product Attribute","Nowa cecha produktu"
"New Products","Nowe produkty"
"New Products Grid Template","Szablon siatki nowych produktów"
"New Products List Template","Szablon listy nowych produktów"
"New Search","Nowe wyszukiwanie"
"New Set Name","Nowa nazwa zestawu"
"New products","Nowe produkty"
"Next","Następne"
"No","Nie"
"No image","Brak obrazka"
"No layout updates","Brak aktualizacji układu"
"No options of this product are available.","Brak opcji dla tego produktu."
"None","Brak"
"Not Visible Individually","Niewidoczne pojedyńczo"
"Notify Low Stock RSS","RSS powiadomień o produktach na wyczerpaniu"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Number of Products per Page","Ilość produktów na stronie"
"Number of Products to Display","Ilość produktów do pokazania"
"Number of Uses","Ilość zastosowań"
"Number of results","Ilość wyników"
"Number of results (For the last time placed)","Ilość wyników (od ostatniego razu)"
"OR","LUB"
"Old Price:","Stara cena:"
"On Gesture","Na życzenie"
"Option:","Opcja:"
"Options","Opcje"
"Options Control","Kontrola opcji"
"Options is required","Opcje są wymagane"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nasz zespół obsługi klienta jest dostępny 24h na dobę. Zadzwoń 801 801 801."
"Out of Stock","Brak w magazynie"
"Out of stock","Brak w magazynie"
"PM","po południu"
"Page Title Separator","Separator tytułu strony"
"Parent Category","Kategoria nadrzędna"
"Pending","Oczekujący"
"Pending Reviews RSS","RSS oczekujących recenzji"
"Percentage","Procent"
"Please add rows to option.","Dodaj rzędy do opcji."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bądź ostrożny - kiedy klikniesz na rząd system załaduje pakiet i wszystkie niezapisane dane zostaną utracone."
"Please enter a new group name","Wpisz nazwę nowej grupy"
"Please select one or more attributes.","Wybierz jedną lub więcej cech"
"Please select products for attributes update","Wybierz produkty do uaktualnienia cech"
"Please specify date required option(s).","Prosimy o określenie wymaganych opcji daty."
"Please specify the number of products, that will not be divided into subintervals.","Prosimy sprecyzowac ilość produktów, które nie będą dzielona na podprzedziały."
"Please specify the product required option(s)","Prosimy sprecyzować obowiązkowe opcje produktu"
"Please specify the quantity of product(s).","Prosimy sprecyzowac ilość produktu."
"Please specify time required option(s).","Prosimy o określenie wymaganych opcji czasu."
"Please wait...","Proszę czekać..."
"Position","Pozycja"
"Position in Layered Navigation","Pozycja w warstwowej nawigacji"
"Position of attribute in layered navigation block","Pozycja cechy w bloku warstwowej nawigacji"
"Prev","Poprzedni"
"Previous","Poprzednie"
"Price","Cena"
"Price Navigation Step Calculation","Oblicznani kroku cenowego nawigacji"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Wartości ceny dla opcji powinny być ustawione w podstawowej walucie systemu."
"Price:","Cena:"
"Print This Page","Drukuj stronę"
"Product","Produkt"
"Product API","API produktu"
"Product Alerts","Alerty produktów"
"Product Attribute","Cecha produktu"
"Product Attributes","Cechy produktu"
"Product Categories","Kategorie produktu"
"Product Description","Opis produktu"
"Product Flat Data","Płaskie dane produktu"
"Product ID","ID produktu"
"Product Image Placeholders","Obrazki zastępcze produktu"
"Product Image Watermarks","Znaki wodne produktu"
"Product Images","Obrazki produktu"
"Product Images API","API obrazków produktu"
"Product In Websites","Dostępność w witrynach"
"Product Info Column","Kolumna informacji o produkcie"
"Product Information","Informacje o produkcie"
"Product Link Block Template","Szablon blokowy linku produktu"
"Product Link Inline Template","Szablon liniowy linku produktu"
"Product Listing Sort by","Wykaz produktów sortowany wg"
"Product Name","Nazwa produktu"
"Product Reviews","Opinie"
"Product Tags","Tagi produktu"
"Product Tier Price API","API poziomów cen produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Sufiks URL produktu"
"Product attribute sets API","API zestawów cech produktu"
"Product attributes API","API cech produktu"
"Product is not loaded","Produkt nie jest załadowany."
"Product links API (related, cross sells, up sells)","API linków produktu (powiązane, sprzedaże dodatkowe i krzyżowe)"
"Product types API","API typów produktu"
"Product with this combination of attributes already associated to configurable.","Produkt z taką kombinacją atrybutów został już przypisany do konfigurowalnego."
"Products","Produkty"
"Products Comparison List","Lista porównania produktów"
"Products Information","Informacje o produktach"
"Products Reviews","Opinie produktów"
"Products Sitemap","Mapa witryny produktów"
"Products only","Tylko produkty"
"Products per Page on Grid Allowed Values","Dozwolona ilość produktów na stronie (widok siatki)"
"Products per Page on Grid Default Value","Domyślna ilość produktów na stronie (widok siatki)"
"Products per Page on List Allowed Values","Dozwolona ilość produktów na stronie (widok listy)"
"Products per Page on List Default Value","Domyślna ilość produktów na stronie (widok listy)"
"Properties","Właściwości"
"Qty","Ilość"
"Qty Increments","Zwiększanie ilości"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Qty:","Ilość:"
"Quantity","Ilość"
"Quick Create","Szybkie tworzenie"
"Quick Overview","Krótki opis"
"Quick simple product creation","Szybkie tworzenie prostych produktów"
"Redirect","Przekierowanie"
"Redirect URL","Przekierowanie URL"
"Regular Price:","Normalna cena:"
"Related Products","Produkty powiązane"
"Remove","Usuń"
"Remove Product From Websites","Usuń produkt z witryn"
"Remove This Item","Usuń ten element"
"Remove product assignment","Usuń powiązania produktu"
"Remove product image","Usuń obrazek produktu"
"Remove product link","Usuń link produktu"
"Reorganize EAV category structure to flat structure","Przeorganizuj strukturę EAV kategorii do płaskiej struktury"
"Reorganize EAV product structure to flat structure","Przeorganizuj strukturę EAV produktów do płaskiej struktury"
"Reset","Resetuj"
"Results","Rezultaty"
"Retrieve attribute data","Pobierz dane cech"
"Retrieve attribute list","Pobierz listę cech"
"Retrieve attribute options","Pobierz opcje cech"
"Retrieve categories tree","Pobierz drzewo kategorii"
"Retrieve category attributes","Pobierz cechy kategorii"
"Retrieve category data","Pobierz dane kategorii"
"Retrieve hierarchical tree","Pobierz drzewo hierarchiczne"
"Retrieve linked products","Pobierz połączone produkty"
"Retrieve list of assigned products","Pobierz listę powiązanych produktów"
"Retrieve one level of categories by website/store view/parent category","Pobierz jeden poziom kategorii wg strony/widoku sklepu/ nadrzędnej kategorii"
"Retrieve product","Pobierz produkt"
"Retrieve product attribute sets","Pobierz zestaw cech produktu"
"Retrieve product image","Pobierz obrazek produktu"
"Retrieve product image list","Pobierz listę obrazków produktu"
"Retrieve product image types","Pobierz typy obrazków produktu"
"Retrieve product link type attributes","Pobierz typ cechy linku dla produktu"
"Retrieve product link types","Pobierz typy linków dla produktu"
"Retrieve product tier prices","Pobierz poziomy cen dla produktu"
"Retrieve product types","Pobierz typy produktu"
"Retrieve products data","Pobierz dane produktów"
"Retrieve products list by filters","Pobierz listę produktów wg filtrów"
"Reviews","Opinie"
"Roll Over for preview","Najedź kursorem aby podejrzeć"
"Root","Baza"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Save","Zapisz"
"Save Attribute","Zapisz cechę"
"Save Attribute Set","Zapisz zestaw cech"
"Save Category","Zapisz kategorię"
"Save Search","Zapisz wyszukiwanie"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Scope","Zakres"
"Scope must not be changed, because the attribute is used in configurable products.","Zasięg nie może być zmieniony ponieważ atrybut użyto w produktach konfigurowalnych."
"Search","Szukaj"
"Search Engine Optimizations","Optymalizacja dla wyszukiwarek"
"Search Information","Informacje o wyszukiwaniu"
"Search Query","Fraza wyszukiwania"
"Search Weight","Waga wyszukiwania"
"Searchable","Widoczny w wynikach wyszukiwania"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select Category...","Wybierz kategorię..."
"Select Configurable Attributes ","Wybierz konfigurowalne cechy "
"Select Product...","Wybierz produkt..."
"Select type of option","Proszę wybrać typ opcji"
"Select type options required values rows.","Proszę wybrać typ opcji z wymaganymi wartościami."
"Selected Product Types","Wybrane typy produktu"
"Send Count","Wyślij licznik"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"Set Name","Nazwa zestawu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Wybierz kategorię bazową dla tego sklepu w <a href=%s"">konfiguracji</a>"""
"Set special price","Ustaw specjalną cenę"
"Set/Get current store view","Ustaw/pobierz widok bieżącego sklepu"
"Settings","Ustawienia"
"Shop By","Kupuj wg"
"Shopping Options","Opcje zakupów"
"Show","Pokaż"
"Show Details","Pokaż szczegóły"
"Show Tags","Pokaż tagi"
"Simple Product","Prosty produkt"
"Site Map","Mapa witryny"
"Sitemap","Mapa witryny"
"Skip import row, is not valid value ""%s"" for field ""%s""","Pominięto wpis, wartość ""%s"" nie jest prawidłowa dla pola ""%s"""
"Some of the selected item options are not currently available.","Niektóre wybrane opcje nie są dostępne."
"Sort By","Sortuj wg"
"Sort Order","Kolejność sortowania"
"Source Model","Model źródłowy"
"Special Price:","Cena promocyjna:"
"Starting at:","Już od:"
"Static","Statyczny"
"Static block and products","Bloki statyczne i produkty"
"Static block only","Tylko blok statyczny"
"Status","Stan"
"Stock Availability","Dostępność towaru"
"Store","Sklep"
"Store View","Widok sklepu"
"Stretch","Rozciągnij"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"Super product attributes configuration","Konfiguracja cech dla super produktu"
"Synonym For","Synonim dla"
"System Properties","Właściwości systemowe"
"Tag Name","Nazwa tagu"
"Tax","Podatek"
"Template","Szablon"
"Text","Tekst"
"The base directory to upload file is not specified.","Bazowy katalog do przesłania pliku nie został podany."
"The review was removed by another user or does not exist.","Opinia została usunięta przez innego użytkownika lub nie istnieje."
"There are no %s available.","Nie ma żadnych %s dostępnych."
"There are no customers for this alert","Nie ma klientów dla tego alertu"
"There are no customers for this alert.","Nie ma klientów dla tego alertu."
"There are no products matching the selection.","Brak produktów odpowiadających zapytaniu."
"This attribute cannot be edited.","Ta cecha nie może być edytowana."
"This attribute is used in configurable products.","Ta cecha jest używana w konfigurowalnych produktach."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Ta cecha jest używana w konfigurowalnych produktach. Nie możesz usunąć jej z zestawu cech."
"This attribute no longer exists","Taka cecha już nie istnieje"
"This attribute set no longer exists.","Ten zestaw cech już nie istnieje."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ta grupa zawiera cechy użyte w produktach konfigurowalnych. Przenieś te cechy do innej grupy i ponów próbę."
"This group contains system attributes. Please move system attributes to another group and try again.","Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"This is a required option","Ta opcja jest wymagana"
"This search no longer exists.","To wyszukiwanie już nie istnieje."
"This setting will be applied when all prices in the specific price interval are equal.","Ustawienie zostanie zastosowane kiedy wszystkie ceny w okreslonym przedziale są równe."
"Tier Pricing","Poziomy cen"
"Tile","Kafelek"
"Time Format","Format czasu"
"Title","Tytuł"
"To see product price, add this item to your cart. You can always remove it later.","Dodaj ten produkt do koszyka, żeby zobaczyć jego cenę. Możesz go zawsze później usunąć."
"Top/Left","Góra/lewo"
"Top/Right","Góra/prawo"
"Total Qty Base Items","Łączna ilość podstawowych produktów"
"Total incl. Tax: %1$s","Łącznie z podatkiem: %1$s"
"Type","Rodzaj"
"URL Rewrite Management","Zarządzanie przekierowaniami URL"
"Unassigned Attributes","Nieprzypisane cechy"
"Up-sells","Produkty alternatywne"
"Update","Aktualizuj"
"Update Attributes","Aktualizuj cechy"
"Update Tier Price","Aktualizuj poziomy cen"
"Update assigned product","Zaktualizuj przypisany produkt"
"Update attributes","Aktualizuj cechy"
"Update category","Aktualizuj kategorię"
"Update product","Aktualizuj produkt"
"Update product image","Aktualizuj obrazek produktu"
"Update product link","Aktualizuj link produktu"
"Update product tier prices","Aktualizuj poziomy cenowe produktu"
"Upload new product image ","Załaduj nowy obrazek produktu "
"Use Canonical Link Meta Tag For Categories","Zastosuj meta tag Canonical dla kategorii"
"Use Canonical Link Meta Tag For Products","Zastosuj meta tag Canonical dla produktów"
"Use Categories Path for Product URLs","Użyj ścieżek kategorii dla adresów produktów"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Use Default Value","Użyj wartości domyślnej"
"Use Flat Catalog Category","Użyj płaskiego katalogu kategorii"
"Use Flat Catalog Product","Użyj płaskiego katalogu produktów"
"Use In Layered Navigation","Używane w warstwowej nawigacji"
"Use In Search Results Layered Navigation","Używane w warstwowej nawigacji wyników wyszukiwania"
"Use JavaScript Calendar","Użyj kalendarza JavaScript"
"Use To Create Configurable Product","Użyj do tworzenia konfigurowalnego produktu"
"Use Tree Like Category Sitemap","Użyj mapy witryny kategorii w formie drzewka"
"Use config","Użyj konfiguracji"
"Use default","Użyj domyślnego"
"Use for Promo Rule Conditions","Dostępny w warunkach reguł promocyjnych"
"Use in Layered Navigation","Zastosuj w warstwowej nawigacji"
"Used for Sorting in Product Listing","Dostępny do sortowania na liście produktów"
"Used in Product Listing","Dostępny na liście produktów"
"Varchar","Tekst"
"View Details","Zobacz szczegóły"
"View as","Zobacz jako"
"Virtual Product","Produkt wirtualny"
"Visibility","Widoczność"
"Visible","Widoczny"
"Visible on Catalog Pages on Front-end","Widoczne w na stronach katalogu"
"Visible on Product View Page on Front-end","Widoczne na karcie produktu"
"WYSIWYG Editor","Edytor"
"Watermark","Znak wodny"
"Watermark Default Size","Domyślna wielkość znaku wodnego"
"Watermark Position","Pozycja znaku wodnego"
"We Also Recommend","Polecamy również"
"Website","Witryna"
"Websites","Witryny"
"What's this?","Co to jest?"
"Wrong option type to get group instance.","Nieprawidłowe wystąpienie typu opcji dla grupy."
"Year Range","Zakres lat"
"Yes","Tak"
"You cannot remove system attribute from this set.","Nie możesz usunąć cechy systemowej z tego zestawu."
"You have no items to compare.","Nie dodałeś żadnych produktów do porównania."
"You may also be interested in the following product(s)","Mogą cię również zainteresować następujące produkty"
"You saved the search term.","Zapisałeś frazę wyszukiwania."
"Zoom In","Powiększ"
"Zoom Out","Zmniejsz"
"and","i"
"and above","i powyżej"
"categories","kategorie"
"each","każdy"
"ex. http://domain.com","np. http://domena.pl"
"leave blank if its not an image","pozostaw puste, jeśli to nie jest obrazek"
