"-- Please Select --","-- Prosimy wybrać --"
"Merge CSS Files","Złącz pliki CSS"
"Merge JavaScript Files","Złącz pliki JavaScript"
"Miscellaneous HTML","Różny HTML"
"Name","Nazwa"
"New Design Change","Nowa zmiana wyglądu"
"New Store","Nowy sklep"
"New Store View","Nowy widok sklepu"
"New Website","Nowa witryna"
"No","Nie"
"Offloader header","Nagłówek offloadera"
"PHP SOAP extension is required.","Rozszerzenie PHP SOAP jest wymagane."
"Package","Paczka"
"Pagination","Stronicowanie"
"Pagination Frame","Ramka stronicowania"
"Pagination Frame Skip","Pomiń ramkę stronicowania"
"Path ""%value%"" is not available and cannot be used.","Ścieżka ""%value%"" jest niedostępna i nie może być użyta."
"Path ""%value%"" is protected and cannot be used.","Ścieżka ""%value%"" jest chroniona i nie może być użyta."
"Please define flag code.","Prosimy o zdefiniowanie kodu flagi."
"Please enter a number 0 or greater in this field.","Prosimy o podanie cyfry 0 lub większej w tym polu."
"Please enter a number 1 or greater in this field.","Prosimy o podanie cyfry 1 lub większej w tym polu."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykład $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid credit card verification number.","Prosimy o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykładu: jankowalski@domena.pl."
"Please enter a valid month (1-12).","Prosimy wpisać poprawny miesiąc (1-12)."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia społecznego. Dla przykładu: 123-45-6789."
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykładu: 90602 lub 90-602."
"Please enter issue number or start date for switch/solo card type.","Prosimy o podanie numeru wydania lub daty rozpoczęcia dla kart typu switch/solo."
"Please make sure your passwords match.","Prosimy upewnić się, że podane hasła są identyczne."
"Please select State/Province.","Prosimy o wybór regionu."
"Please select an option.","Prosimy o wybranie opcji."
"Please select one of the above options.","Prosimy o wybór jednej z powyższych opcji."
"Please select one of the options.","Proszę wybrać jedną z opcji."
"Please set available and/or protected paths list(s) before validation.","Prosimy ustawić listę dostępnych i/lub chronionych ścieżek przed walidacją."
"Please use letters only (a-z or A-Z) in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z) w tym polu."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please wait, loading...","Prosimy czekać, trwa ładowanie..."
"Polls","Ankiety"
"Profiler","Skrypt profilujący"
"Recovery Link Expiration Period (hours)","Okres ważności linka odzyskującego (godziny)"
"Request Path for Specified Store","Wymagaj ścieżki dla określonego sklepu"
"Requested invalid store ""%s""","Wywołano nieprawidłowy sklep %s"""
"Return-Path Email","E-mail dla odpowedzi"
"Root Category","Kategoria bazowa"
"Sales Representative","Przedstawiciel handlowy"
"Save","Zapisz"
"Save Store","Zapisz sklep"
"Save Store View","Zapisz widok sklepu"
"Save Website","Zapisz witrynę"
"Search Engines Optimization","Optymalizacja dla wyszukiwarek"
"Secure","Bezpieczny"
"Security","Bezpieczeństwo"
"Select Date","Wybierz datę"
"Select Media Database","Wybierz bazę danych mediów"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Services","Usługi"
"Session Validation Settings","Ustawienia walidacji sesji"
"Set Return-Path","Ustaw odpowiedź do"
"Set as Default","Ustaw jako domyślne"
"Skin (Images / CSS)","Skórka (Obrazki / CSS)"
"Sort Order","Kolejność sortowania"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Wybrana data/czas %1$s"" nie odpowiada formatowi ""%2$s""."""
"Startup Page","Strona startowa"
"Status","Stan"
"Storage Configuration for Media","Konfiguracja składowania mediów"
"Store","Sklep"
"Store Email Addresses","Adres e-mail sklepu"
"Store Hours of Operation","Godziny pracy sklepu"
"Store Information","Informacje o sklepie"
"Store Name","Nazwa sklepu"
"Store View","Widok sklepu"
"Store View Information","Informacje o widoku sklepu"
"Store View Name","Nazwa widoku sklepu"
"Store view doesn't exist","Widok sklepu nie istnieje"
"Store with the same code","Sklep z takim samym kodem"
"System Log File Name","Nazwa pliku systemowego logu"
"Template Path Hints","Podpowiedzi ścieżek szablonów"
"Template Settings","Szablony"
"Template Variables","Zmienne szablonów"
"Templates","Szablony"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Wprowadzony %s jest niepoprawny. Upewnij się ze pasuje do formatu http://domena.pl/""."""
"The store does not exist","Sklep nie istnieje"
"The value is not within the specified range.","Wartość nie znajduje się w podanym zakresie."
"The website does not exist.","Witryna nie istnieje."
"Themes","Motywy"
"This category and all its child elements","Ta kategoria wraz ze wszystkimi jej podrzędnymi elementami"
"This category and its child categories only","Ta kategoria tylko ze wszystkimi jej podkategoriami"
"This category and its products only","Tylko ta kategoria i jej produkty"
"This category only","Tylko ta kategoria"
"This is a required field.","To jest wymagane pole."
"This store cannot be deleted.","Ten sklep nie może być usunięty."
"This store view cannot be deleted.","Ten widok sklepu nie może być usunięty."
"This website cannot be deleted.","Ta witryna nie może zostać usunięta."
"This will be included before head closing tag in page HTML.","To będzie załączone przed znacznikiem zamykającym sekcję HEAD w HTML."
"Timezone","Strefa czasowa"
"Title Prefix","Przedrostek tytułu"
"Title Suffix","Przyrostek tytułu"
"Transactional Emails","E-maile sprzedażowe"
"Translate Inline","Tłumaczenie liniowe"
"Translations","Tłumaczenia"
"Unable to delete store view. Please, try again later.","Nie można usunąć widoku sklepu. Prosimy spróbować później."
"Unable to delete store. Please, try again later.","Nie można usunąć sklepu. Prosimy spróbować później."
"Unable to delete website. Please, try again later.","Nie można usunąć witryny. Prosimy spróbować później."
"Unable to proceed. Please, try again","Nie można kontynuować. Spróbuj ponownie."
"Unsecure","Niezabezpieczony"
"Url Options","Opcje URL"
"Use Custom Admin Path","Użyj niestandardowej ścieżki dla admina"
"Use Custom Admin URL","Użyj niestandardowego adresu URL dla admina"
"Use HTTP Only","Użyj tylko HTTP"
"None","Brak"
"Use Secure URLs in Admin","Użyj zabezpieczonych URLi dla admina"
"Use Secure URLs in Frontend","Użyj zabezpieczonych URLi w katalogu"
"Use Web Server Rewrites","Używaj przekierowań serwera"
"VAT Number","Numer NIP (VAT UE)"
"Validate HTTP_USER_AGENT","Waliduj HTTP_USER_AGENT"
"Validate HTTP_VIA","Waliduj HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Waliduj HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Waliduj REMOTE_ADDR"
"Validation has failed.","Weryfikacja nie powiodła się."
"Variable Code must be unique.","Kod zmiennej musi być unikalny."
"Web","Sieć"
"Website","Witryna"
"Website Information","Informacje o witrynie"
"Website Name","Nazwa witryny"
"Website with the same code","Witryna z takim samym kodem"
"Weekend Days","Dni weekendu"
"Welcome Text","Tekst powitalny"
"Wrong file info format","Nieprawidłowy format informacji pliku"
"Wrong number of arguments for %s","Zła liczba argumentów dla %s"
"Yes","Tak"
"Frontend","Interfejs klienta"
