"* Required Fields","* pola wymagane"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"State/Province","Województwo"
"Status","Stan"
"Store","Sklep"
"Store View","Widok sklepu"
"Street Address","Ulica i numer"
"Subject","Temat"
"Submit","Wyślij"
"Subscribe to Newsletter","Subskrybuj newsletter"
"Subscribed to Newsletter?","Subskrybujesz newsletter?"
"Suffix Dropdown Options","Rozwijane opcje sufiksu"
"Tag Name","Nazwa tagu"
"Tax Calculation Based On","Obliczanie podatku oparte na"
"Tax Class","Klasa podatku"
"Tax/VAT number","Numer NIP"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst jedna linia"
"The VAT ID entered (%s) is not a valid VAT ID.","Podany numer (%s) nie jest prawidłowym numerem VAT."
"The VAT ID is valid. The current Customer Group will be used.","Numer VAT jest poprawny. Aktualna grupa klientów zostanie użyta."
"The customer does not have default billing address.","Klient nie posiada domyślnego adresu rozliczeniowego."
"The suffix that goes after name (Jr., Sr., etc.)","Sufiks, który pojawia się po imieniu (Jr., Sr., itp.)"
"The title that goes before name (Mr., Mrs., etc.)","Tytuł pojawiający się przed imieniem (Mr., Mrs., itp.)"
"There are no items in customer's wishlist at the moment","Nie ma produktów na liście życzeń klienta"
"There are no items in customer's shopping cart at the moment","W chwili obecnej klient nie posiada żadnych przedmiotów w koszyku"
"This account is not confirmed.","To konto nie zostało potwierdzone."
"This customer has no saved addresses.","Ten klient nie zapisał żadnych adresów."
"This email does not require confirmation.","Ten adres e-mail nie wymaga potwierdzenia."
"To Cart","Do koszyka"
"Total","Łącznie"
"Type","Rodzaj"
"Unknown","Nieznany"
"Unsubscribe from Newsletter","Wypisz z newslettera"
"Update","Aktualizuj"
"Update customer address data","Uaktualnij dane adresowe klienta"
"Update customer data","Aktualizuj dane klienta"
"Use as my default billing address","Użyj jako domyślnego adresu rozliczeniowego"
"Use as my default shipping address","Użyj jako domyślnego adresu dostawy"
"VAT Number","Numer NIP (VAT UE)"
"VAT Request Date","Data zapytania o VAT"
"VAT Request Identifier","Identyfikator zapytania o VAT"
"Validate VAT Number","Sprawdza poprawność numeru VAT"
"Validate on Each Transaction","Sprawdzaj poprawność podczas każdej transakcji"
"Validation Error Group","Grup niepoprawnych numerów"
"View","Zobacz"
"View Order","Zobacz zamówienie"
"Visitor","Odwiedzający"
"Visitors Only","Tylko odwiedzający"
"Website","Witryna"
"Welcome Email","E-mail powitalny"
"Wishlist","Schowek"
"Wishlist - %d item(s)","Lista życzeń - %d produkt(ów)"
"Would you like to change the Customer Group for this order?","Czy chces zmienić grupę klientów dla tego zamówienia?"
"Wrong confirmation key.","Zły klucz potwierdzający"
"Wrong customer account specified.","Wybrano nieprawidłowe konto klienta."
"Wrong email.","Błędny e-mail."
"YYYY","RRRR"
"Year","Rok"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"You are currently subscribed to 'General Subscription'.","Jesteś zapisany na ogólny newsletter w naszym sklepie."
"You are currently subscribed to our newsletter.","Jesteś już zapisany na newsletter w naszym sklepie."
"You have no additional address entries in your address book.","Nie masz innych wpisów w swojej książce adresowej."
"You have no additional entries in your address book.","Nie masz dodatkowych adresów w książce adresowej."
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu płatności."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu wysyłki."
"You have placed no orders yet.","Nie składałeś jeszcze zamówień."
"You have placed no products yet.","Nie składałeś jeszcze zamówień."
"You will be charged tax.","Zostanie doliczony podatek"
"You will not be charged tax.","Nie zostanie doliczony podatek"
"Your Tax ID cannot be validated.","Twój numer VAT nie może zostać zweryfikowany."
"Your VAT ID was successfully validated.","Twój numer VAT został zweryfikowany."
"Your account balance is: %s","Stan konta: <strong>%s</strong>"
"ZIP","Kod pocztowy"
"ZIP/Post Code","Kod pocztowy"
"Zip/Postal Code","Kod pocztowy"
"n/a","n/d"
"or","lub"
