" [deleted]"," [usunięty]"
"Description","Opis"
"Design","Wygląd"
"Design Section","Sekcja wyglądu"
"Details","Szczegóły"
"Developer Section","Sekcja programisty"
"Direction:","Kierunek:"
"Disable","Wyłącz"
"Disabled","Wyłączone"
"Display %s first","Wyświetl %s jako pierwszy"
"Display default currency","Wyświetlaj domyślną walutę"
"Distributed under GNU LGPL. See %s for details.","Rozpowszechniane na warunkach licencji GNU LGPL. Zobacz %s, aby dowiedzieć się więcej."
"Do you really want to KILL parallel process and start new indexing process?","Czy naprawdę chcesz ZATRZYMAĆ równoległy proces i rozpocząć nowy proces indeksowania?"
"Download","Pobierz"
"Downloads","Pobrania"
"Drag to move","Przeciągnij, aby przesunąć"
"Drop-down","Lista rozwijana"
"Edit","Edytuj"
"Edit Block","Edytuj blok"
"Edit Block '%s'","Edycja bloku '%s'"
"Edit Design Change","Edycja zmiany wyglądu"
"Edit Email Template","Edycja szablonu e-mail"
"Edit Order","Edycja zamówienia"
"Edit Poll","Edycja ankiety"
"Edit Queue","Edycja kolejki"
"Edit Review","Edycja recenzji"
"Edit Role","Edytuj rolę"
"Edit Store View","Edycja widoku sklepu"
"Edit System Template","Edycja szablonu systemowego"
"Edit Template","Edycja szablonu"
"Edit URL Rewrite","Edycja przekierowań URL"
"Edit User","Edytuj użytkownika"
"Edit User '%s'","Edytuj użytkownika '%s'"
"Edit Website","Edytuj witrynę"
"Email","E-mail"
"Email Address:","Adres email:"
"Email to a Friend","Wyślij znajomemu"
"Email:","E-mail:"
"Enable","Włącz"
"Enabled","Włączone"
"Enclose Values In:","Zawrzyj wartości w:"
"Entity Attributes","Cechy jednostki"
"Entity Type","Rodzaj obiektu"
"Entity type:","Typ jednostki:"
"Error","Błąd"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku"
"Exclude media folder from backup","Wyłącz katalog mediów z kopii zapasowej"
"Expiration Date","Data ważności"
"Expiration Date: %s/%s","Data ważności: %s/%s"
"Export","Eksportuj"
"Export CSV","Eksport CSV"
"Export Filters","Filtry eksportu"
"Export to:","Eksportuj do:"
"Export:","Eksport:"
"FTP Host","Host FTP"
"FTP Host[:Port]","Host FTP[:Port]"
"FTP Login","Login FTP"
"FTP Password","Hasło FTP"
"FTP credentials","Dane FTP"
"Failed","Nieudane"
"Field","Pole"
"Field Mapping","Mapowanie pól"
"File","Plik"
"File Information","Informacje o pliku"
"File System","System plików"
"File name:","Nazwa pliku:"
"File size should be more than 0 bytes","Plik powinien być większy niż 0 bajtów"
"Finished profile execution.","Zakończono wykonywanie profilu."
"First Invoice Created Date","Data wystawienia pierwszej faktury"
"First Name","Imię"
"First Name:","Imię:"
"Fixed","Stały"
"Flush Catalog Images Cache","Odśwież zdjęcia produktów"
"Flush JavaScript/CSS Cache","Odśwież style CSS i skrypty JS"
"For category","Dla kategorii"
"For latest version visit: %s","Aby uzyskać najnowszą wersję odwiedź: %s"
"For product","Dla produktu"
"Forgot your password?","Nie pamiętasz hasła?"
"Forgot your user name or password?","Nie pamiętasz nazwy użytkownika lub hasła?"
"From","Od"
"General Information","Ogólne"
"General Section","Sekcja ogólna"
"Get Image Base64","Pobierz Base64 obrazka"
"Get help for this page","Uzyskaj pomoc dla tej strony"
"Global Attribute","Cecha globalna"
"Global Record Search","Globalne wyszukiwanie rekordów"
"Global Search","Globalne wyszukiwanie"
"Go Today","Idź do dzisiaj"
"Go to Top","Przejdź do góry"
"Grand Total","Łącznie"
"Grid (default) / List","Siatka (domyślnie) / lista"
"Grid Only","Tylko siatka"
"Group:","Grupa:"
"Guest","Gość"
"HTTP (unsecure)","HTTP (nieszyfrowany)"
"Home","Strona główna"
"ID","Identyfikator"
"ID Path","Ścieżka ID"
"IP Address","Adres IP"
"IPN (Instant Payment Notification) Only","Tylko IPN (Instant Payment Notification) "
"Id","ID"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jeśli nie określisz wartości opcji dla wybranego widoku sklepu to użyta zostanie domyślna wartość (Admin)."
"Images (.gif, .jpg, .png)","Obrazki (.gif, .jpg, .png)"
"Images Cache","Cache obrazków"
"Import","Importuj"
"Import Service","Usługa importu"
"Import and Export Tax Rates","Importuj i eksportuj stawki podatków"
"Import/Export","Import/eksport"
"Import/Export Advanced","Zaawansowany import/eksport"
"Import/Export Profile","Profil importu/eksportu"
"Important: ","Ważne: "
"Imported <strong>%s</strong> records","Zaimportowano <strong>%s</strong> wpisy(ów)"
"In","W"
"In Database:","W bazie danych:"
"In File:","W pliku:"
"Inactive","Nieaktywny"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem"
"Incoming Message","Nowa wiadomość"
"Insert Variable...","Wstaw zmienną..."
"Interactive","Interaktywny"
"Interface Locale: %s","Język interfejsu: %s"
"Invalid Form Key. Please refresh the page.","Nieprawidłowy klucz formularza. Proszę odświeżyć stronę."
"Invalid Import Service Specified","Nieprawidłowa usługa importu"
"Invalid Secret Key. Please refresh the page.","Nieprawidłowy sekretny klucz. Prosimy odświeżyć stronę."
"Invalid data","Nieprawidłowe dane"
"Invalid directory: %s","Nieprawidłowy katalog: %s"
"Invalid file: %s","Nieprawidłowy plik: %s"
"Invalid input data for %s => %s rate","Nieprawidłowy wpis dla stawki %s => %s"
"Invalid parent block for this block","Nieprawidłowy blok nadrzędny dla tego bloku"
"Invalidated","Unieważniony"
"Inventory Stock Status","Status stanu magazynowego"
"Invoice #%s comment added","Komentarz do faktury nr %s został dodany"
"Invoice #%s created","Faktura nr %s została utworzona"
"Invoice History","Historia faktur"
"Invoice Totals","Suma faktur"
"Invoices","Faktury"
"Is Closed","Jest zamknięty"
"Is Default","Jest domyślny"
"Issue Number","Numer wydania"
"Items","Pozycje"
"JavaScript seems to be disabled in your browser.","Wygląda na to, że JavaScript jest wyłączony w twojej przeglądarce."
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","Ostatnie 24 godziny"
"Last 5 Orders","Ostatnie 5 zamówień"
"Last 5 Search Terms","Ostatnie 5 wyszukiwanych fraz"
"Last 7 Days","Ostatnie 7 dni"
"Last Credit Memo Created Date","Data utworzenie ostatniej faktury korygującej"
"Last Invoice Created Date","Data utworzenie ostatniej faktury"
"Last Logged In (%s):","Ostatnio zalogowano (%s):"
"Last Logged In:","Ostatnio zalogowano:"
"Last Name","Nazwisko"
"Last Name:","Nazwisko:"
"Latest Message:","Ostatnia wiadomość:"
"Layered Navigation Indices","Wskaźniki warstwowej nawigacji"
"Leave empty to use tax identifier","Pozostaw puste, aby użyć identyfikator podatku"
"Lifetime Sales","Całkowita wartość sprzedaży"
"Links","Linki"
"List (default) / Grid","Lista (domyślna) / siatka"
"List Only","Tylko lista"
"Load Template","Załaduj szablon"
"Load default template","Załaduj domyślny szablon"
"Loading...","Ładuję..."
"Local Server","Serwer lokalny"
"Local/Remote Server","Lokalny/zdalny serwer"
"Locale","Kod języka"
"Log In","Zaloguj"
"Log Out","Wyloguj"
"Log in to Admin Panel","Zaloguj się do Panelu Administracyjnego"
"Logged in as %s","Zalogowano jako %s"
"Login","Zaloguj się"
"Low Stock","Mało produktów"
"MAJOR","WAŻNE"
"MINOR","DROBNE"
"Magento Logo","Logo Magento"
"Magento root directory","Katalog źródłowy Magento"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Categories","Zarządzanie kategoriami"
"Manage Currency Rates","Zarządzaj kursami walut"
"Manage Customers","Zarządzaj klientami"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cechy)"
"Manage Ratings","Zarządzaj ocenami"
"Manage Stores","Zarządzaj sklepami"
"Manage Tax Rules","Zarządzaj regułami podatków"
"Manage Titles (Size, Color, etc.)","Zarządzaj etykietami (Rozmiar, Kolor itp.)"
"Manual","Ręcznie"
"Maximum sender name length is 255. Please correct your settings.","Maksymalna długość nazwy nadawcy to 255. Prosimy poprawić ustawienia."
"Messages Inbox","Skrzynka odbiorcza"
"Month","Miesiąc"
"Most Viewed","Najczęściej oglądane"
"Most Viewed Products","Najczęściej oglądane"
"Multiple Select","Wielokrotny wybór"
"My Account","Moje konto"
"N/A","N/D"
"NOTICE","INFORMACJA"
"Name","Nazwa"
"Name on Card","Nazwisko na karcie"
"Name on the Card: %s","Nazwisko na karcie: %s"
"Name:","Imię:"
"Never (production)","Nigdy (produkcja)"
"New ","Nowy "
"New Accounts","Nowe konta"
"New Attribute","Nowa cecha"
"New Block","Nowy blok"
"New Category","Nowa kategoria"
"New Class","Nowa klasa"
"New Condition","Nowy warunek"
"New Custom Variable","Nowa własna zmienna"
"New Customer","Nowy klient"
"New Customers","Nowi klienci"
"New Design Change","Nowa zmiana wyglądu"
"New Email Template","Nowy szablon e-mail"
"New Group","Nowa grupa"
"New Invoice","Nowa faktura"
"New Item Type","Nowy typ elementu"
"New Memo","Nowa faktura korygująca"
"New Page","Nowa strona"
"New Password","Nowe hasło"
"New Poll","Nowa ankieta"
"New Profile","Nowy profil"
"New Rating","Nowa ocena"
"New Review","Nowa opinia"
"New Role","Nowa rola"
"New Rule","Nowa reguła"
"New Search","Nowe wyszukiwanie"
"New Set","Nowy zestaw"
"New Shipment","Nowa dostawa"
"New Sitemap","Nowa mapa witryny"
"New Store View","Nowy widok sklepu"
"New System Template","Nowy szablon systemowy"
"New Tag","Nowy tag"
"New Template","Nowy szablon"
"New User","Nowy użytkownik"
"New Website","Nowa witryna"
"Newsletter","Mailing"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Templates","Szablony newslettera"
"Next month (hold for menu)","Następny miesiąc (przytrzymaj dla menu)"
"Next year (hold for menu)","Następny rok (przytrzymaj dla menu)"
"No","Nie"
"No (price without tax)","Nie (cena bez podatku)"
"No Data","Brak danych"
"No Data Found","Nie znaleziono danych"
"No Templates Found","Nie znaleziono szablonów"
"No change","Bez zmian"
"No profile loaded...","Żaden profil nie jest załadowany..."
"No records found for this period.","Nie znaleziono wpisów dla tego okresu."
"No records found.","Nie znaleziono wpisów."
"No search keywords.","Brak słów kluczowych wyszukiwania."
"No search modules were registered","Brak zarejestrowanych modułów wyszukiwania"
"None","Brak"
"Note:","Notatka:"
"Notes","Notatki"
"Notifications","Powiadomienia"
"Number of Orders","Liczba zamówień"
"Number of Uses","Ilość zastosowań"
"Number of Views","Ilość wyświetleń"
"Number of records:","Liczba rekordów:"
"Old rate:","Stara stawka:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Kiedy zalogujesz się do swojego konta Zaawansowanego PayPal, przejdź do zakładki Ustawienia usługi - Hosted Checkout Pages - Menu ustawień i ustaw opcje opisane poniżej"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Kiedy już zalogujesz się do konta PayPal Payflow Link, przejdź do Ustawień usługi - Hosted Checkout Pages - Menu ustawień i ustaw opcje opisane poniżej"
"Online Customers","Klienci online"
"Only Once (version upgrade)","Tylko raz (aktualizacja wersji)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Tylko atrybuty z zasięgiem Globalny"""
"Only mapped fields","Tylko mapowane pola"
"Optional","Opcjonalnie"
"Options","Opcje"
"Options is required","Opcje są wymagane"
"Order","Zamówienie"
"Order #%s","Zamówienie nr %s"
"Order #%s (%s)","Zamówienie nr %s (%s)"
"Order ID","ID zamówienia"
"Order Totals","Sumy zamówienia"
"Orders","Zamówienia"
"Original Magento attribute names in first row:","Oryginalne nazwy atrybutów Magento w pierwszym rzędzie:"
"Out of stock","Brak w magazynie"
"Pages","Strony"
"Parent Product Thumbnail","Miniatura produktu nadrzędnego"
"Parent Transaction ID","ID nadrzędnej transakcji"
"Passive mode","Tryb pasywny"
"Password","Hasło"
"Password Confirmation","Potwierdzenie hasła"
"Password:","Hasło:"
"Path:","Ścieżka:"
"Pending Reviews","Niezatwierdzone opinie"
"Pending Tags","Oczekujące tagi"
"Per Item","Za sztukę"
"Per Order","Na zamówienie"
"Percent","Procent"
"Performed At","Wykonano"
"Period","Okres"
"Permanent (301)","Stałe (301)"
"Permissions","Uprawnienia"
"Personal Information","Dane osobiste"
"Phone:","Telefon:"
"Please Select","Wybierz"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"Please enter 6 or more characters.","Prosimy o wprowadzenie 6 lub więcej znaków."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykład $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid URL. http:// is required","Prosimy o wprowadzenie poprawnego URL. http:// jest wymagane"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
"Please enter a valid email address. For example johndoe@domain.com.","Prosimy o wprowadzenie poprawnego adresu e-mail. Dla przykładu: jankowalski@domena.pl."
"Please enter a valid email.","Prosimy wpisać poprawny adres e-mail."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid social security number. For example 123-45-6789.","Prosimy o wprowadzenie poprawnego numeru ubezpieczenia społecznego. Dla przykładu: 123-45-6789."
"Please enter a valid value from list","Wprowadź prawidłową wartość z listy"
"Please enter a valid value, ex: 10,20,30","Prosimy o wprowadzenie poprawnej wartości np. 10,20,30"
"Please enter a valid zip code.","Prosimy o wprowadzenie poprawnego kodu pocztowego."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Prosimy o wprowadzenie poprawnego kodu pocztowego. Dla przykładu: 90602 lub 90-602."
"Please enter valid password.","Prosimy o wprowadzenie poprawnego hasła."
"Please make sure that all global admin search modules are installed and activated.","Upewnij się, że wszystkie globalne moduły wyszukiwania są zainstalowane i aktywowane."
"Please make sure that your changes were saved before running the profile.","Upewnij się, że zapisano wszystkie zmiany profilu przed jego uruchomieniem."
"Please make sure your passwords match.","Prosimy upewnić się, że podane hasła są identyczne."
"Please select State/Province.","Prosimy o wybór regionu."
"Please select an option.","Prosimy o wybranie opcji."
"Please select customer(s).","Wybierz klientów."
"Please select one of the above options.","Prosimy o wybór jednej z powyższych opcji."
"Please select one of the options.","Proszę wybrać jedną z opcji."
"Please select review(s).","Wybierz opinię."
"Please specify the admin custom URL.","Prosimy podać indywidualny URL admina."
"Please use in this field only ""a-z,0-9,_"".","Użyj tylko następujących znaków a-z"
"Please use letters only (a-z) in this field.","Prosimy o używanie jedynie liter (a-z) w tym polu."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prosimy o używanie jedynie liter (a-z or A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prosimy o używanie jedynie liter (a-z or A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please wait, loading...","Prosimy czekać, trwa ładowanie..."
"Please wait...","Proszę czekać..."
"Poll Manager","Zarządzanie ankietami"
"Polls","Ankiety"
"Popular","Popularne"
"Position","Pozycja"
"Position of Watermark for %s","Pozycja znaku wodnego dla %s"
"Prev. month (hold for menu)","Poprzedni miesiąc (przytrzymaj dla menu)"
"Prev. year (hold for menu)","Poprzedni rok (przytrzymaj dla menu)"
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Price","Cena"
"Price:","Cena:"
"Processed <strong>%s%% %s/%d</strong> records","Przetworzono <strong>%s%% %s/%d</strong> rekordów)"
"Processing","Przetwarzam"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product Reviews","Opinie"
"Product Tax Classes","Klasy podatku produktu"
"Product Thumbnail Itself","Miniatura produktu"
"Product:","Produkt:"
"Products","Produkty"
"Products Bestsellers Report","Raport bestsellerów"
"Products Most Viewed Report","Raport najczęściej oglądanych produktów"
"Products Ordered","Zamówieone produkty"
"Products in Carts","Produkty w koszyku"
"Profile Action","Operacja profilu"
"Profile Actions XML","XML operacji profilu"
"Profile Direction","Kierunek profilu"
"Profile History","Historia profilu"
"Profile Information","Informacje o profilu"
"Profile Name","Nazwa profilu"
"Profile Wizard","Kreator profilu"
"Profiles","Profile"
"Promo","Promocja"
"Promotions","Promocje"
"Quantity","Ilość"
"Queue Refresh","Odśwież kolejkę"
"Queued... Cancel","Ustawiony w kolejce... Anulowanie"
"Radio Buttons","Pola wyboru"
"Rates","Stawki"
"Read details","Przeczytaj szczegóły"
"Rebuild","Przebuduj"
"Rebuild Catalog Index","Przebuduj indeks katalogu"
