"-- Please Select --","-- Prosimy wybrać --"
"Add New Class","Dodaj nową klasę"
"This rule no longer exists","Reguła już nie istnieje"
"This rule no longer exists.","Ta reguła już nie istnieje."
"Total","Łącznie"
"Unit Price","Cena jednostkowa"
"Yes","Tak"
"You cannot delete this tax class as it is used for %d customer groups.","Nie możesz usunąć tej klasy podatku ponieważ jest używana do %s grup klientów."
"You cannot delete this tax class as it is used for %d products.","Nie możesz usunąć tej klasy podatku ponieważ jest używana do %s produktów."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nie możesz usunąć tej klasy podatku ponieważ jest używana w regułach podatków. Musisz najpierw usunąć regułę, w której jest zawarta."
"Zip/Post Code","Kod pocztowy"
"Zip/Post is Range","Kod pocztowy jest zakresem"
