" [deleted]"," [Telah Terhapus]"
"Configuration","Konfigurasi"
"Confirm New Password","Konfirmasi Kata sandi Baru"
"Confirmed email:","Email yang dikonfirmasi:"
"Continue","Selanjutnya"
"Convert to Plain Text","Konversi ke Teks Biasa"
"Country","Negara"
"Coupons","Kupon"
"Create","Membuat"
"Create DB Backup","Buat DB Backup"
"Create New Attribute","Buat Atribut Baru"
"Created At","Dibuat di"
"Credit Card Number","Nomor Kartu Kredit"
"Credit Card Type","Tipe Kartu Kredit"
"Credit Memo History","Riwayat Memo Kredit"
"Credit Memo Totals","Total Memo Kredit"
"Credit Memos","Memo kredit"
"Currency","Mata Uang"
"Currency Setup Section","Bagian Penyiapan Mata Uang"
"Current Configuration Scope:","Lingkup Konfigurasi Saat Ini:"
"Current Month","Sekarang Bulan"
"Custom","Khusus"
"Custom Variables","Variabel Khusus"
"Customer","Pelanggan"
"Customer Group:","Grup Pelanggan:"
"Customer Groups","Grup pelanggan"
"Customer Name","Nama Pelanggan"
"Customer Shopping Carts","Keranjang Belanja Pelanggan"
"Customer Tax Classes","Kelas Pajak Pelanggan"
"Customers","Pelanggan"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Date","Tanggal"
"Date & Time","Tanggal & Waktu"
"Date Added","Tanggal Ditambahkan"
"Date selector","Tanggal pemilih"
"Day","Hari"
"Default Billing Address","Alamat Penagihan Default"
"Default Config","Konfigurasi default"
"Default Values","Nilai Kegagalan"
"Default scope","Ruang lingkup default"
"Delete","Hapus"
"Delete Block","Hapus Blok"
"Delete File","Menghapus File"
"Delete Image","Hapus gambar"
"Delete Role","Hapus Peran"
"Delete Store","Hapus Toko"
"Delete Store View","Hapus Tampilan Toko"
"Delete Template","Hapus Template"
"Delete User","Hapus Pengguna"
"Description","Deskripsi"
"Design","Desain"
"Design Section","Bagian Desain"
"Details","Rincian"
"Developer Section","Sesi pengembang"
"Disable","Dinonaktifkan"
"Disabled","Matikan"
"Display default currency","Tampilkan default mata uang"
"Download","Unduh"
"Downloads","Unduhan"
"Drop-down","Penurunan"
"Edit","Ubah"
"Edit Block","Ubah Blok"
"Edit Design Change","Ubah Desain Perubahan"
"Edit Email Template","Edit Template Email"
"Edit Order","Ubah Pesanan"
"Edit Queue","Edit Antrian"
"Edit Review","Edit Ulasan"
"Edit Store View","Ubah Tampilan Toko"
"Edit System Template","Edit Template Sistem"
"Edit URL Rewrite","Edit Penulisan ulang URL"
"Edit User","Edit Pengguna"
"Email Address:","Alamat surel:"
"Email to a Friend","Email ke teman"
"Email:","E-mail:"
"Enable","Aktifkan"
"Enabled","Diaktifkan"
"Entity Attributes","Atribut Entitas"
"Entity Type","Jenis Entity"
"Error","Kesalahan"
"Excl. Tax","Tidak Termasuk Pajak"
"Exclude media folder from backup","Kecualikan folder media dari cadangan"
"Expiration Date","Tanggal kadaluarsa"
"Export","Expor"
"Export CSV","Ekspor CSV"
"Export to:","Ekspor ke:"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Kata Sandi FTP"
"FTP credentials","Mandat FTP"
"Failed","Gagal"
"File","Berkas"
"File System","Berkas Sistem"
"First Invoice Created Date","Tanggal Pembuatan Faktur Pertama"
"First Name","Nama Depan"
"First Name:","Nama depan:"
"Fixed","Tetap"
"Flush Catalog Images Cache","Bersihkan Cache Gambar Katalog"
"Flush JavaScript/CSS Cache","Bersihkan Cache Javascript/CSS"
"Forgot your password?","Lupa kata sandi anda?"
"From","Dari"
"General Information","Informasi Umum"
"General Section","Bagian Umum"
"Global Search","Pencarian Global"
"Go Today","Pergi hari ini"
"Go to Top","Pergi ke Atas"
"Grand Total","Total keseluruhan"
"Grid (default) / List","Kisi-Kisi (default) / Daftar"
"Grid Only","Hanya Kisi-Kisi"
"Guest","Tamu"
"HTTP (unsecure)","HTTP (tidak aman)"
"Home","Beranda"
"ID","Nomor"
"IP Address","Alamat IP"
"IPN (Instant Payment Notification) Only","IPN (Pemberitahuan Pembayaran Instan) Saja"
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"Images Cache","Cache Gambar"
"Import","Impor"
"Import Service","Layanan impor"
"Import/Export","Impor/Ekspor"
"Important: ","Penting: "
"Inactive","Tidak aktif"
"Incl. Tax","Termasuk Pajak"
"Incoming Message","Pesan Masuk"
"Insert Variable...","Masukkan Variabel..."
"Invalid Form Key. Please refresh the page.","Formulir Kunci tidak benar. Tolong refresh halaman."
"Invalid data","Data tidak valid"
"Invalid parent block for this block","Blok induk tidak valid untuk blok ini"
"Invalidated","Batal"
"Inventory Stock Status","Status persediaan"
"Invoice History","Riwayat faktur"
"Invoice Totals","Total Faktur"
"Invoices","Faktur"
"Is Closed","Ditutup"
"Is Default","Default"
"Issue Number","Nomer isu"
"Items","Barang"
"JavaScript seems to be disabled in your browser.","Javascript tampaknya dinonaktifkan di browser anda."
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","24 jam terakhir"
"Last 7 Days","7 hari terakhir"
"Last Logged In:","Terakhir Masuk:"
"Last Name","Nama Belakang"
"Last Name:","Nama Belakang:"
"Lifetime Sales","Penjualan Seumur Hidup"
"List (default) / Grid","Daftar (default) / Kisi-Kisi"
"List Only","Hanya Daftar"
"Load Template","Memuat Template"
"Loading...","Memuat..."
"Local Server","Server Lokal"
"Locale","Lokal"
"Login","Masuk"
"Low Stock","Persediaan sedikit"
"Magento root directory","Direktori root Magento"
"Manage Attribute Sets","Mengelola Set Atribut"
"Manage Categories","Mengelola Kategori"
"Manage Currency Rates","Kelola Harga Mata Uang"
"Manage Customers","Kelola Pelanggan"
"Manage Ratings","Kelola Peringkat"
"Manage Stores","Kelola toko"
"Manage Tax Rules","Mengelola Aturan Pajak"
"Manage Titles (Size, Color, etc.)","Mengelola Judul (Ukuran, Warna, dll.)"
"Maximum sender name length is 255. Please correct your settings.","Panjang nama pengirim maksimum adalah 255. Harap perbaiki pengaturan Anda."
"Messages Inbox","Kotak Masuk Pesan"
"Month","Bulan"
"Most Viewed","Paling banyak Dilihat"
"Most Viewed Products","Produk Terpopuler"
"Multiple Select","Pilihan Ganda"
"My Account","Akun Saya"
"Name","Nama"
"Never (production)","Tidak pernah (produksi)"
"New ","Baru "
"New Accounts","Akun Baru"
"New Attribute","Atribut Baru"
"New Block","Blok baru"
"New Category","Kategori Baru"
"New Condition","Kondisi baru"
"New Custom Variable","Custom Variabel Baru"
"New Customer","Pelanggan Baru"
"New Customers","Pelanggan baru"
"New Email Template","Template Email Baru"
"New Group","Grup Baru"
"New Invoice","Faktur Baru"
"New Memo","Memo Baru"
"New Page","Baru Halaman"
"New Password","Kata sandi baru"
"New Rating","Peringkat Baru"
"New Review","Ulasan Baru"
"New Role","Peran Baru"
"New Rule","Aturan Baru"
"New Search","Pencarian baru"
"New Set","Set Baru"
"New Shipment","Pengiriman Baru"
"New Sitemap","Situs peta baru"
"New Store View","Tampilan Toko Baru"
"New System Template","Template System Baru"
"New Template","Template Baru"
"New User","Pengguna Baru"
"Newsletter","Surat kabar"
"Newsletter Queue","Antrian Newsletter"
"Newsletter Subscribers","Pelanggan Newsletter"
"Newsletter Templates","Template Newsletter"
"No","Tidak"
"No (price without tax)","Tidak (harga tanpa pajak)"
"No Data","Tidak ada data"
"No Data Found","Data tidak ditemukan"
"No Templates Found","Tidak Ditemukan Template"
"No change","Tidak berubah"
"No records found.","Tidak ada rekaman yang ditemukan."
"No search modules were registered","Tidak ada modul pencarian yang terdaftar"
"None","Kosong"
"Note:","Catatan:"
"Notifications","Pemberitahuan"
"Number of Orders","Jumlah pesanan"
"Number of Uses","Jumlah penggunaan"
"OK","Ok"
"Old rate:","Tingkat lama:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Sekali anda masuk maju ke akun PayPal, arahkan ke menu pengaturan layanan - lihat keluar halaman - mengatur dan mengatur opsi yang diuraikan di bawah ini"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Setelah masuk ke akun Payflow Link PayPal, navigasikan ke menu Setelan Layanan - Halaman Checkout Host - Set Up dan setel opsi yang dijelaskan di bawah ini"
"Online Customers","Pelanggan online"
"Only Once (version upgrade)","Hanya Sekali (versi meningkatkan)"
"Optional","Pilihan"
"Options","Pilihan"
"Order","Pesan"
"Order ID","Memesan ID"
"Order Totals","Jumlah Pesanan"
"Orders","Pesanan"
"Out of stock","Persediaan Habis"
"Pages","Halaman"
"Parent Product Thumbnail","Thumbnail Produk Orang Tua"
"Parent Transaction ID","Nomor transaksi Utama"
"Password","Sandi"
"Password Confirmation","Konfirmasi Kata Sandi"
"Password:","Kata sandi:"
"Pending Reviews","Ulasan Tertunda"
"Per Order","Per Pesanan"
"Percent","Persen"
"Period","Periode"
"Permissions","Izin"
"Personal Information","Informasi perseorangan"
"Please Select","Silahkan pilih"
"Please confirm site switching. All data that hasn't been saved will be lost.","Mohon konfirmasi peralihan situs. Seluruh data yang belum tersimpan akan hilang."
"Please enter a number greater than 0 in this field.","Harap masukkan sebuah angka yang lebih besar dari 0 dalam daerah ini."
"Please enter a valid $ amount. For example $100.00.","Masukkan sejumlah $ berlaku. Misalnya $100,00."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid date.","Silakan masukkan tanggal yang benar."
"Please enter a valid email.","Silahkan masukkan email yang benar."
"Please enter a valid number in this field.","Harap masukkan nomor yang valid dalam daerah ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Masukkan nomor telepon. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid zip code.","Silahkan masukkan kode pos yang valid."
"Please make sure that all global admin search modules are installed and activated.","Pastikan bahwa semua modul pencarian admin global diinstal dan diaktifkan."
"Please make sure your passwords match.","Pastikan kata sandi anda benar."
"Please select State/Province.","Silahkan pilih Negara bagian/Provinsi."
"Please select an option.","Silakan pilih opsi."
"Please select customer(s).","Silahkan pilih pelanggan(s)."
"Please select one of the options.","Mohon pilih satu dari pilihan."
"Please specify the admin custom URL.","Harap tentukan URL khusus admin."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Hanya gunakan huruf (a-z atau A-Z), angka (0-9) atau spasi di field ini."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Harap gunakan format tanggal ini: dd/mm/yyyy. Untuk contoh 17/03/2006 untuk tanggal 17 bulan maret 2006."
"Please wait...","Silakan tunggu..."
"Position","Posisi"
"Preview","Pratinjau"
"Preview Template","Pratinjau Template"
"Price","Harga"
"Processing","Memproses"
"Product","Produk"
"Product Name","Nama Produk"
"Product Reviews","Ulasan Produk"
"Product Thumbnail Itself","Thumbnail Produk Sendiri"
"Product:","Produk:"
"Products","Produk"
"Products Bestsellers Report","Laporan Produk Penjualan terbaik"
"Products Most Viewed Report","Laporan Produk Terbanyak Dilihat"
"Products in Carts","Produk di Keranjang"
"Promotions","Promosi"
"Quantity","Kuantitas"
"Rebuild","Bangun ulang"
"Rebuild Catalog Index","Bangun Ulang Indeks Katalog"
"Rebuild Flat Catalog Category","Membangun kembali Katalog Kategori"
"Rebuild Flat Catalog Product","Membangun kembali Katalog Produk"
"Recent Orders","Pesanan Terakhir"
"Recent statistics have been updated.","Statistik terakhir telah diperbarui."
"Reference ID","Nomor Referensi"
"Refresh","Segarkan"
"Refresh Statistics","Segarkan Statistik"
"Region/State","Wilayah/Negara bagian"
"Reload captcha","Muat Ulang Captcha"
"Remove","Menghapus"
"Reports","Laporan"
"Request Path","Jalur Permintaan"
"Required","Wajib"
"Reset","Atur ulang"
"Reset Filter","Ulangi Penyaringan"
"Reset Password","Atur ulang Sandi"
"Reset a Password","Atur ulang Kata sandi"
"Resource Access","Akses Sumber"
"Resources","Sumber daya"
"Results","Hasil"
"Return Html Version","Kembalikan Versi Html"
"Revenue","Pendapatan"
"Reviews","Ulasan"
"Role Info","Info Peran"
"Role Information","Informasi Peran"
"Role Name","Nama Peran"
"Role Users","Peran Pengguna"
"Roles","Peran"
"Roles Resources","Sumber Peran"
"Root Category","Kategori Root"
"Run","Menjalankan"
"Sales","Penjual"
"Save","Simpan"
"Save & Generate","Simpan & hasilkan"
"Save Account","Simpan Akun"
"Save Cache Settings","Simpan Pengaturan Cache"
"Save Config","Simpan konfigurasi"
"Save Currency Rates","Hemat Harga Mata Uang"
"Save Role","Simpan Peran"
"Save Template","Simpan Template"
"Save User","Simpan Pengguna"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Search","Pencarian"
"Search Index","Pencarian indeks"
"Search Term","Istilah pencarian"
"Search Terms","Istilah Pencarian"
"Search entire store here...","Cari seluruh toko disini..."
"Select","Pilih"
"Select All","Pilih Semua"
"Select Category","Pilih Kategori"
"Select Date","Pilih Tanggal"
"Sender","Pengirim"
"Separate Email","Email terpisah"
"Shipment Comments","Komentar Pengiriman"
"Shipment History","Riwayat Pengiriman"
"Shipments","Pengiriman"
"Shipping","Pengiriman"
"Shipping Address","Alamat Pengiriman"
"Shipping Address: ","Alamat Pengiriman: "
"Shipping Origin","Pengiriman Asal"
"Shipping Price","Harga Pengiriman"
"Shopping Cart","Keranjang Belanja"
"Show By","Tampilkan Dengan"
"Show Report For:","Tampilkan Laporan Untuk:"
"Show Reviews","Tampilkan Ulasan"
"Sitemap Information","Informasi sitemap"
"Skip Category Selection","Lewati Pilihan Kategori"
"Specific Countries","Negara Tertentu"
"Specified","Ditentukan"
"Start Date","Mulai tanggal"
"Static Blocks","Blok statis"
"Status","Keadaan"
"Store","Toko"
"Store Email Addresses Section","Simpan Alamat Email"
"Store View","Tampilan toko"
"Stores","Toko"
"Subject","Subjek"
"Submit","Kirim"
"Subtotal","Total bagian"
"Synchronize","Sinkronisasi"
"Synchronizing...","Menyinkronkan..."
"System","Sistem"
"System Section","Sesi sistem"
"Tags","Tag"
"Target Path","Jalur Target"
"Tax","Pajak"
"Template Content","Konten Template"
"Template Information","Informasi Template"
"Template Name","Nama Template"
"Template Styles","Gaya Template"
"Template Subject","Subjek Template"
"Template Type","Jenis Template"
"Terms and Conditions","Syarat dan ketentuan"
"Text","Teks"
"The JavaScript/CSS cache has been cleaned.","Cache JavaScript/CSS telah dibersihkan."
"The Magento cache storage has been flushed.","Cache penyimpanan Magento telah dibersihkan."
"The URL Rewrite has been saved.","URL Rewrite telah disimpan."
"The attribute set has been removed.","Atribut set telah dihapus."
"The credit memo has been canceled.","Memo kredit telah dibatalkan."
"The image cache was cleaned.","Cache gambar telah dibersihkan."
"The invoice has been captured.","Faktur telah diambil."
"The invoice has been created.","Faktur telah dibuat."
"The invoice has been voided.","Fakur telah dibuat."
"The order no longer exists.","Pemesanannya sudah tidak ada lagi."
"The shipment has been created.","Pengiriman telah dibuat."
"The transaction details have been updated.","Rincian transaksi telah diperbarui."
"There is an error in one of the option rows.","Terjadi kesalahan pada salah satu pilihan baris."
"This account is","Akun ini adalah"
"This action cannot be undone.","Tindakan ini tidak bisa dibatalkan."
"This block no longer exists.","Spanduk ini tidak ada lagi."
"This is a required field.","Ini adalah bidang yang diperlukan."
"This user no longer exists.","Pengguna ini tidak tersedia."
"Time","Waktu"
"To","Ke"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Untuk menggunakan PayPal Payflow Link, Anda harus mengkonfigurasi akun Payflow PayPal di situs PayPal."
"Tools","Alat tukar"
"Total","Jumlah"
"Track Order","Melacak Pesanan"
"Track this shipment","Melacak kiriman ini"
"Transaction Data","Data Transaksi"
"Transaction Details","Rincian Transaksi"
"Transaction ID","ID Transaksi"
"Transaction Type","Tipe Transaksi"
"Transactional Emails","Email Transaksional"
"Transactions","Transaksi"
"Type","Jenis"
"Type:","Jenis:"
"URL Rewrite Information","Informasi Penulisan ulang URL"
"URL Rewrite Management","Pengelolaan Penulisan ulang URL"
"Unknown","Tidak dikenal"
"Unlimited","Tak terbatas"
"Update","Perbarui"
"Updated At","Diperbarui pada"
"Upload File","Unggah berkas"
"Use All Available Attributes","Pakai Semua Atribut yang Tersedia"
"Use Config Settings","Gunakan konfigurasi Pengaturan"
"Use Default","Gunakan Default"
"Use Default Value","Gunakan Nilai Default"
"Use Default Variable Values","Gunakan Nilai Variabel Bawaan"
"Use FTP Connection","Gunakan Koneksi FTP"
"Use Website","Gunakan Website"
"User Email","Email Pengguna"
"User ID","ID Pengguna"
"User Info","Info Pengguna"
"User Information","Informasi Pengguna"
"User Name","Nama Pengguna"
"User Password","Kata sandi pengguna"
"User Role","Peran Pengguna"
"User Roles","Peran Pengguna"
"User Roles Information","Informasi Peran Pengguna"
"Users","Pengguna"
"Validation Results","Hasil Validasi"
"Value","Nilai"
"Variable","Variabel"
"Variable Code","Kode Variabel"
"Variable HTML Value","Nilai HTML Variabel"
"Variable ID","ID variabel"
"Variable Name","Nama Variabel"
"Variable Plain Value","Nilai Rencana Variabel"
"View Full Size","Lihat ukuran penuh"
"View Statistics For:","Lihat Statistik Dari:"
"Warning","Peringatan"
"Web Section","Bagian Web"
"Website","Situs web"
"What is this?","Apakah ini?"
"Year","Tahun"
"Yes","Ya"
"Yes (301 Moved Permanently)","Ya (301 Dipindahkan Secara Permanen)"
"Yes (302 Found)","Ya (302 Ditemukan)"
"Yes (only price with tax)","Iya (hanya harga dengan pajak)"
"You have logged out.","Anda telah keluar."
"Your password reset link has expired.","Tautan aturl ulang sandi anda telah kedaluwarsa."
"Zip/Postal Code","Zip/Kode Pos"
"[ deleted ]","[ telah terhapus ]"
"[STORE VIEW]","[TAMPILAN TOKO]"
"[WEBSITE]","[SITUS WEB]"
"close","keluar"
"critical","kritis"
"example: sitemap.xml","contoh: sitemap.xml"
"failed","gagal paham"
"from","dari"
"major","besar"
"minor","kecil"
"notice","perhatian"
"successful","sukses besar"
