"%s role is protected.","Rolul %s este protejat."
"Customer ID","ID Client"
"Customer Last Name","Nume client"
"Customer Middle Name","Al Doilea Prenume Client"
"Customer Prefix","Prefix Client"
"Customer Suffix","Sufix Client"
"Default Image","Imagine Implicită"
"Delete","șterge"
"Deny","Refuzare"
"Disable automatic group change based on VAT ID","Dezactivare schimbare grup automată bazată pe ID TVA"
"Discount","Reducere"
"Discount Amount","Sumă reducere"
"Discount Description","Descriere Reducere"
"Edit","Editați"
"Edit %s ACL attribute rules","Modificare reguli atribute ACL %s"
"Edit Role","Editare rol"
"Edit attribute rules for %s Role","Modificare reguli atribute pentru Rol %s"
"Email","E-mail"
"Enable Qty Increments","Activați creșteri cantitate"
"Exclude","Excludeți"
"File Content","Conținut Fișier"
"File MIME Type","Tip MIME Fișier"
"File Name","Nume Fișier"
"Final Price With Tax","Preț Final Cu Taxe"
"Final Price Without Tax","PReț Final Fără Taxe"
"First Name","Prenume"
"Gift Message","Mesaj-cadou"
"Grand Total","Total general"
"Grand Total to Be Charged","Total General de Facturat"
"Group","Grup"
"Guest","Vizitator"
"Has Custom Options","Are Opțiuni Personalizate"
"Inventory Data","Date Inventar"
"Invoiced Qty","Cant Facturată"
"Is Confirmed","E Confirmat"
"Is Default Billing Address","E Adresa de Facturare Implicită"
"Is Default Shipping Address","E Adresa de Expediere Implicită"
"Item ID","ID Articol"
"Item Subtotal","Subtotal Articol"
"Item Subtotal Including Tax","Subtotal Articol Cu Taxe"
"Label","Etichetă"
"Last Logged In","Ultima Logare În"
"Last Name","Nume de familie"
"Low Stock Date","Dată Stoc Limitat"
"Manage Stock","Gestionare stoc"
"Maximum Qty Allowed in Shopping Cart","Cantitate maximă admisă în coșul de cumpărături"
"Minimum Qty Allowed in Shopping Cart","Cantitate minimă admisă în coșul de cumpărături"
"New Role","Rol Nou"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Order","Comanda"
"Order Addresses","Adrese Comandă"
"Order Comments","Comentarii comandă"
"Order Currency","Valută Comandă"
"Order Date","Data comenzii"
"Order ID","ID comandă"
"Order ID (internal)","ID Comandă (intern)"
"Order Item ID","ID Articol Comandă"
"Order Items","Articole Comandă"
"Order Status","Status comandă"
"Ordered Qty","Cant Comandată"
"Orders","Comenzile mele"
"Original Price","Preț original"
"Parent Order Item ID","ID Articol Comandă Părinte"
"Payment Method","Metode de plată"
"Phone Number","Număr de telefon"
"Placed from IP","Plasată de la IP-ul"
"Please enter a valid number in ""max_sale_qty"" field","Introduceți un număr valid în câmpul ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Introduceți un număr valid în câmpul ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Introduceți un număr valid în câmpul ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Introduceți un număr valid în câmpul ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Utilizați doar numere în câmpul ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Utilizați doar numere în câmpul ""qty_increments"". Evitați spațiile sau alte caractere cum ar fi punctele sau virgulele."
"Position","Poziție"
"Price","Preț"
"Price Including Tax","Preț Cu Taxe"
"Product","Produs"
"Product Category","Categorie Produs"
"Product ID","ID Produs"
"Product Image","Imagine Produs"
"Product Type","Tip Produs"
"Product URL","URL Produs"
"Product Website","Website Produs"
"Product and Custom Options Name","Produs și Nume Opțiuni Personalizate"
"Qty","Cantitate"
"Qty Increments","Creșteri cantitate"
"Qty Uses Decimals","Cantitatea folosește zecimale"
"Qty for Item's Status to Become Out of Stock","Cant. la care Statusul Articolului Devine Stoc Epuizat"
"REST - Attributes","Atribute REST"
"REST - Roles","Roluri REST"
"REST ACL Attributes","Atribute REST ACL"
"REST Attributes","Atribute REST"
"REST Role","Rol REST"
"REST Roles","Roluri REST"
"REST Roles Information","Informații Roluri REST"
"Read","Citire"
"Refunded Qty","Cant Rambursată"
"Regular Price With Tax","Preț Obișnuit Cu Taxe"
"Regular Price Without Tax","Preț Obișnuit Fără Taxe"
"Rest Roles","Roluri Rest"
"Retrieve","Recuperare"
"Role ""%s"" no longer exists","Rolul ""%s"" nu mai există"
"Role ""%s"" not found.","Rolul ""%s"" nu a fost găsit."
"Role API Resources","Resurse API Rol"
"Role Info","Info Roluri"
"Role Information","Informații rol"
"Role Name","Nume rol"
"Role Users","Utilizatori Rol"
"Role has been deleted.","Rolul a fost șters."
"Roles","Roluri"
"SKU","Cod produs"
"Salability Status","Status Vândabilitate"
"Sales","Vânzări"
"Save","Salvare"
"Shipped Qty","Cant Expediată"
"Shipping Amount","Cantitate livrare"
"Shipping Discount","Reducere Expediere"
"Shipping Including Tax","Expediere Cu Taxe"
"Shipping Method","Modalitate livrare"
"Shipping Tax","Taxe Expediere"
"State","Stat"
"Stock Availability","Disponibilitate stoc"
"Stock ID","ID Stoc"
"Stock Item","Articol Stoc"
"Stock Status","Stare Stoc"
"Store Currency to Order Currency Rate","Raport Valută Magazin la Valută Comandă"
"Store Name","Nume magazin"
"Street","Strada"
"Subtotal Including Tax","Subtotal Cu Taxe"
"System","Sistem"
"Tax Amount","Sumă taxă"
"Tax Name","Nume Taxă"
"Tax Percent","Procentaj taxă"
"Tax Rate","Rată taxă"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Câmpul ""enable_qty_increments"" trebuie să fie setat pe 0 sau 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Câmpul ""is_decimal_divided"" trebuie să fie setat pe 0 sau 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Câmpul ""is_in_stock"" trebuie să fie setat pe 0 sau 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Câmpul ""is_qty_decimal"" trebuie să fie setat pe 0 sau 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Câmpul ""is_qty_decimal"" trebuie să fie setat pe 0, 1 sau 2."
"The ""manage_stock"" field must be set to 0 or 1.","Câmpul ""manage_stock"" trebuie să fie setat pe 0 sau 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Câmpul ""stock_status_changed_auto"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Câmpul ""use_config_backorders"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Câmpul ""use_config_enable_qty_inc"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Câmpul ""use_config_manage_stock"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Câmpul ""use_config_max_sale_qty"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Câmpul ""use_config_min_qty"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Câmpul ""use_config_min_sale_qty"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Câmpul ""use_config_notify_stock_qty"" trebuie să fie setat pe 0 sau 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Câmpul ""use_config_qty_increments"" trebuie să fie setat pe 0 sau 1."
"The attribute rules were saved.","Regulile de atribut au fost salvate."
"The role has been saved.","Rolul a fost salvat."
"The role is a special one and not for assigning it to admin users.","Rolul este unul special și nu este pentru atribuirea la utilizatorii administratori."
"Total Due","Total de plătit"
"Total Paid","Total plătit"
"Total Refunded","Total restituit"
"Total Reviews Count","Total Număr Recenzii"
"Type","Tip"
"Update","Actualizare"
"Use Config Settings for Allow Gift Message","Utilizare Setări Configurare pentru Permitere Mesaje de Cadou"
"Use Config Settings for Allow Gift Wrapping","Utilizare Setări Configurare pentru Permitere Ambalaje de Cadou"
"Use Config Settings for Backorders","Utilizare Setări Configurare pentru Precomenzi"
"Use Config Settings for Enable Qty Increments","Utilizare Setări Configurare pentru Activare Trepte Cant"
"Use Config Settings for Manage Stock","Utilizare Setări Configurare pentru Gestionare Stoc"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Utilizare Setări Configurare pentru Cantitate Maximă Permisă în Coș Cumpărături"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Utilizare Setări Configurare pentru Cantitate Minimă Permisă în Coș Cumpărături"
"Use Config Settings for Notify for Quantity Below","Utilizare Setări Configurare pentru Notificare la Cantități Sub"
"Use Config Settings for Qty Increments","Utilizare Setări Configurare pentru Trepte Cant"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Utilizare Setări Configurare pentru Cant Necesară Pentru ca Statusul Articolului să Devină Stoc Epuizat"
"User Type","Tip Utilizator"
"User type ""%s"" no longer exists","Tipul de utilizator ""%s"" nu mai există"
"User type ""%s"" not found.","Tipul de utilizator ""%s"" nu a fost găsit."
"Web Services","Servicii Web"
"Web services","Servicii web"
"Write","Scriere"
"ZIP/Postal Code","Cod poștal"
