" or ","sau"
"All countries","Toate țările"
"Always optional.","întotdeauna opțional."
"Amount","Sumă"
"An error occurred while deleting the address.","Eroare apărută la ștergerea adresei."
"An error occurred while retrieving the option value: %s.","Eroare apărută la recuperarea valorii opțiunii: %s."
"An error occurred while saving the collection, aborting. Error: %s","Eroare apărută la salvarea colecției, renunțare. Eroare: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID opțiune specificată invalid pentru %s (%s), sărire peste înregistrare."
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Sunteți sigur că vreți să ștergeți acest articol?"
"Are you sure you want to cancel adding of this address?","Sunteți sigur că vreți să anulați adăugarea acestei adrese?"
"Are you sure you want to delete this address?","Sunteți sigur(ă) că vreți să ștergeți această adresă?"
"Are you sure?","Eşti sigur(ă)?"
"Array of Entity collections is expected.","Matrice de colecții Entitate așteptată."
"Assign a Customer Group","Atribuiți un grup de clienți"
"Average Sale","Medie vânzare"
"Back","Inapoi"
"Back - link to the previously viewed page","Înapoi - legătură spre pagina vizualizată anterior"
"Back to Login","Înapoi la Login"
"Bad request.","Solicitare greșită."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Pe baza ID-ului TVA, clientul ar aparține Grupului de Clienți %s."
"Bill to Name","Facturare pe Numele"
"Bought From","Cumpărat De La"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în cadrul magazinului, veți putea parcurge mai rapid procesul de finalizare a comenzilor, veți avea posibilitatea de a stoca mai multe adrese de expediere, de a vedea și urmări comenzile și multe altele."
"Cancel","Anuleaza"
"Cannot save a new password.","Nu se poate salva o parolă nouă."
"Cannot save address.","Nu se poate salva adresa."
"Cannot save the customer.","Nu se poate salva clientul."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Nu se pot partaja conturile clientului global deoarece unele conturi client cu aceleași adrese e-mail există pe site-uri multiple și nu pot fi îmbinate."
"Change Account Password","Schimbare Parolă Cont"
"Change Billing Address","Schimbați adresa principală de factuare"
"Change Password","Schimbați parola"
"Change Shipping Address","Schimbați  adresa de livrare"
"City","Localitate"
"Company","Companie"
"Config","Configurație"
"Configure","Configurează"
"Confirm New Password","Confirmați noua parola"
"Confirm Password","Confirmați parola"
"Confirmation Link Email","Link Email de Confirmare"
"Confirmed","Confirmat"
"Contact Information","Informații de contact."
"Continue Shopping","Continuați cumpărăturile"
"Country","Țara"
"Create","Creare"
"Create New Account Options","Creați opțiuni cont noi"
"Create New Customer Account","Creare Cont Client Nou"
"Create Order","Creare comandă"
"Create an Account","Creare cont"
"Create customer","Creare client"
"Create customer address","Creare adresă client"
"Current Password","Parola curentă"
"Customer","Utilizator"
"Customer API","API Client"
"Customer Account Edit Form","Formular Editare Cont Client"
"Customer Account Login Form","Formular Logare Cont Client"
"Customer Account Logout Success","Succes Delogare Cont Client"
"Customer Account Registration Form","Formular Înregistrare Cont Client"
"Customer Addresses","Adrese Client"
"Customer Configuration","Configurație client"
"Customer Group","Grup Clienți"
"Customer Groups","Grupuri de clienți"
"Customer Information","Informații client"
"Customer Login","Autentificare Client"
"Customer My Account (All Pages)","Client Contul Meu (Toate Paginile)"
"Customer My Account Address Book","Client Contul Meu Agendă"
"Customer My Account Address Edit Form","Client Contul Meu Formular Editare Adresă"
"Customer My Account Dashboard","Client Contul Meu Pagina Principală"
"Customer Since","Client de la"
"Customer View","Vedere client"
"Customer collection expected.","Colecție clienți așteptată."
"Customer email is required","E-mail-ul clientului e necesar"
"Customer website ID must be specified when using the website scope","ID website client trebuie specificat la utilizarea acoperirii website"
"Customer will stay on the current page if ""No"" is selected.","Clientul va rămâne pe pagina curentă dacă ""Nu"" este selectat."
"Customers","Clienți"
"Customers Only","Doar Clienții"
"Date","Data"
"Date Added","Data Adăugării"
"Date of Birth","Data nașterii"
"Day","Zi"
"Days in Wishlist","Zile în Lista de Dorințe"
"Default Addresses","Adresa principală."
"Default Billing Address","Adresa principală de facturare"
"Default Email Domain","Domeniu Email Implicit"
"Default Group","Grup implicit"
"Default Shipping Address","Adresa principală de livrare"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valoare implicită pentru dezactivarea modificărilor automate de grup pe baza ID-ului TVA"
"Default Welcome Email","Email de Bun Venit Implicit"
"Delete","șterge"
"Delete Address","Ștergere Adresă"
"Delete Customer","ștergeți client"
"Delete Customer Group","ștergeți grup de clienți"
"Delete customer","Ștergere client"
"Delete customer address","Ștergere adresă client"
"Deleted Stores","ștergeți magazine"
"Details","Detalii"
"Disabled","Dezactivat"
"Edit","Editați"
"Edit Account Info","Modificare Info Cont"
"Edit Account Information","Editați informațiile de profil"
"Edit Address","Editati adresa"
"Edit Address Entry","Modificare Intrare Adresă"
"Edit Customer Group ""%s""","Modificare Grup Clienți %s"
"Edit Customer Groups","Modificați grupuri de clienți"
"Edit Customer's Address","Modificare Adresă Client"
"Edit Group","Modificați grup"
"Edit Newsletters","Modificare Buletine"
"Email","E-mail"
"Email Address","Adresa Email "
"Email Sender","Expeditor email"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Activați atribuiri automate pentru grup clienți"
"Entity collection is expected.","Colecție entități așteptată."
"Excel XML","XML Excel"
"Failed to confirm customer account.","Eșec confirmare cont client."
"First Name","Prenume"
"Forgot Email Template","șablon Am uitat adresa de email"
"Forgot Password","Parola Uitată"
"Forgot Your Password","Ați uitat parola"
"Forgot Your Password?","Ați uitat parola?"
"Forgot and Remind Email Sender","Expeditor E-mail Uitat și Reamintit"
"Form Fields Before","Câmpuri Formular Înainte"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","De la Panoul de Control al Contului Meu puteți vedea un instantaneu al activității dvs. recente și puteți actualiza informațiile contului. Alegeți o legătură de mai jos pentru a vizualiza sau edita informațiile."
"Gender","Gen"
"Gender is required.","Sexul e câmp obligatoriu."
"General Subscription","Abonare buletin de informații generale"
"Generate Human-Friendly Customer ID","Generați ID client ușor de utilizat"
"Group","Grup"
"Group Information","Informații grup"
"Group Name","Nume grup"
"Group for Invalid VAT ID","Grup pentru ID TVA valid"
"Group for Valid VAT ID - Domestic","Grup pentru ID TVA valid - Intern"
"Group for Valid VAT ID - Intra-Union","Grup pentru ID TVA valid - Intra-Uniune"
"Guest","Vizitator"
"Hello, %s!","Bună, %s!"
"IP Address","Adresă IP"
"If you believe this is an error, please contact us at %s","Dacă sunteți de părere că asta e o eroare, contactați-ne la %s"
"If you have an account with us, please log in.","Dacă sunteți deja înregistrat, vă rugăm să vă autentificați."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opțiune atribut specificată pentru atributul %s (%s) invalidă, sărire peste înregistrare."
"Invalid attribute set specified, skipping the record.","Set atribute specificat invalid, sărire peste înregistrare."
"Invalid billing address for (%s)","Adresă facturare invalidă pentru (%s)"
"Invalid current password","Parolă actuală invalidă"
"Invalid customer data","Date client invalide"
"Invalid email address ""%s"".","Adresă e-mail invalidă ""%s""."
"Invalid email address.","Adresă e-mail invalidă."
"Invalid login or password.","Utilizator sau parolă nevalidă()."
"Invalid password reset token.","Token resetare parolă invalid."
"Invalid shipping address for (%s)","Adresă expediere invalidă pentru (%s)"
"Invalid store specified, skipping the record.","Magazin specificat invalid, sărire peste înregistrare."
"Invalid website, skipping the record, line: %s","Website invalid, sărire peste înregistrare, linia: %s"
"Last Activity","Ultima activitate"
"Last Date Subscribed","Ultima dată a abonării"
"Last Date Unsubscribed","Ultima dată a dezabonării"
"Last Name","Nume de familie"
"Last URL","Ultimul URL"
"Leave empty for default (15 minutes).","Lăsați necompletat pentru valoarea implicită (15 minute)."
"Leave empty for default (2). Valid range: 1-4","Lăsați liber pentru implicit (2). Interval valid: 1-4"
"Lifetime Sales","Vânzări la termen"
"Log In","Logare"
"Log Out","Delogare"
"Login","Conectare"
"Login Information","Informații Logare"
"Login Options","Opțiuni conectare"
"Login and password are required.","Logarea și parola sunt obligatorii."
"Login or Create an Account","Logare sau Creare Cont"
"Maximum length must be less then %s symbols","Lungimea maximă trebuie să fie mai puțin de %s simboluri"
"Missing email, skipping the record, line: %s","E-mail lipsă, sărire peste înregistrare, linia: %s"
"Missing email, skipping the record.","E-mail lipsă, sărire peste înregistrare."
"Missing first name, skipping the record, line: %s","Prenume lipsă, sărire peste înregistrare, linia: %s"
"Missing firstname, skipping the record.","Prenume lipsă, sărire peste înregistrare."
"Missing last name, skipping the record, line: %s","Nume lipsă, sărire peste înregistrare, linia: %s"
"Missing lastname, skipping the record.","Nume lipsă, sărire peste înregistrare."
"Missing website, skipping the record, line: %s","Website lipsă, sărire peste înregistrare, linia: %s"
"Month","Lună"
"My Account","Contul meu"
"My Account Wrapper","Wrapper Contul Meu"
"My Dashboard","Panoul Meu de Control"
"My Orders","Comenzile mele"
"Name","Numeric"
"Name and Address Options","Opțiuni Nume și Adresă"
"Never","Niciodată"
"New Address","Adresă nouă"
"New Address Entry","Intrare Adresă Nouă"
"New Customer","Client nou"
"New Customer Address","Adresă Client Nouă"
"New Customer Group","Grup de clienți nou"
"New Customer Groups","Grupuri clienți noi"
"New Customers","Clienți noi"
"New Group","Grup nou"
"New Password","Parolă nouă"
"New account","Cont nou"
"New account confirmation key","Cheie confirmare cont nouă"
"New account confirmed","Cont nou confirmat"
"New password field cannot be empty.","Câmpul de parolă nou nu poate fi gol."
"Newsletter","Buletin informativ"
"Newsletter Finish","Final Buletin"
"Newsletter Information","Informații buletin informativ"
"Newsletter Received","Buletin Primit"
"Newsletter Start","Început Buletin"
"Newsletter Subscription","Abonare la newsletter"
"Newsletters","Newsletter"
"No Items Found","Niciun Articol Găsit"
"No Newsletter Found","Nici un buletin informativ găsit"
"No customer collections found","Nicio colecție client găsită"
"No item specified.","Nici un articol specificat"
"Not Sent","Netrimis"
"Not confirmed, can login","Neconfirmat, logare permisă"
"Not confirmed, cannot login","Neconfirmat, logare nepermisă"
"Number of Lines in a Street Address ","Număr de Linii într-o Adresă Stradală "
"Offline","Deconectat"
"Online","Conectat"
"Online Customers","Clienți conectați"
"Online Customers Options","Opțiuni clienți online"
"Online Minutes Interval","Interval minute online"
"Order #","Comanda #"
"Order Total","Total comandă"
"Orders","Comenzile mele"
"Password","Parola"
"Password Management","Gestionare Parole"
"Password Options","Opțiuni parolă"
"Password forgotten","Parolă uitată"
"Password:","Parola:"
"Paused","Pauză"
"Pending","în așteptare"
"Per Website","Pe Website"
"Personal Information","Informații personale"
"Please enter a number 1 or greater in this field.","Introduceți un număr egal cu sau mai mare decât 1 în acest câmp."
"Please enter a valid date between %s and %s at %s.","Introduceți o dată validă între %s și %s la %s."
"Please enter a valid date equal to or greater than %s at %s.","Introduceți o dată validă mai mare sau egală cu %s la %s."
"Please enter a valid date less than or equal to %s at %s.","Introduceți o dată validă mai mică sau egală cu %s la %s."
"Please enter the city.","Introduceți orașul"
"Please enter the country.","Introduceți țara."
"Please enter the first name.","Introduceți prenumele."
"Please enter the last name.","Introduceți numele"
"Please enter the state/province.","Introduceți statul / zona."
"Please enter the street.","Introduceți strada."
"Please enter the telephone number.","Introduceți numărul de telefon."
"Please enter the zip/postal code.","Introduceți codul poștal."
"Please enter your email address below. You will receive a link to reset your password.","Introduceți-vă adresa de e-mail mai jos. Veți primi o legătură de resetare a parolei."
"Please enter your email.","Introduceți email-ul dumneavoastră."
"Please make sure your passwords match.","Vă rugăm verificați dacă parolele sunt identice."
"Please select a website which contains store view","Selectați un website care conține vitrină"
"Please select region, state or province","Alegeți județul"
"Please, check your email for confirmation key.","Vă rugăm, verificați-vă e-mail-ul pentru cheie de confirmare."
"Prefix Dropdown Options","Opțiuni dropdown prefix"
"Price","Preț"
"Product","Produs"
"Product ID","ID Produs"
"Product Name","Numele produsului"
"Product Reviews","Recenzii Produs"
"Product Tags","Etichete Produs"
"Purchase On","Achiziție La"
"Purchased On","Achiziționat La"
"Qty","Cantitate"
"Recent Orders","Ultimele comenzi"
"Records for %s store found.","Înregistrări găsite pentru magazinul %s."
"Recovery Link Expiration Period (days)","Perioadă Expirare Legătură Recuperare (zile)"
"Recovery Link Expiration Period (hours)","Perioada de expirare a link-ului de recuperare (ore)"
"Redirect Customer to Account Dashboard after Logging in","Redirecționați clientul către Panoul Contului după conectare"
"Refunded","Restituit"
"Register","Înregistrați-vă"
"Registered Customers","Clienți înregistrați"
"Remind Email Template","șablon reamintire adresă de email"
"Remind Password","Amintire Parolă"
"Remove","Elimină"
"Require Emails Confirmation","Necesită confirmare prin email"
"Reset a Password","Resetați o Parolă"
"Retrieve address data","Recuperare date adresă"
"Retrieve address info","Recuperare info adresă"
"Retrieve customer addresses","Recuperare adrese client"
"Retrieve customer data","Recuperare date client"
"Retrieve customer groups","Recuperare grupuri clienți"
"Retrieve customer info","Recuperare informații client"
"Retrieve customers","Recuperare clienți"
"Retrieve your confirmation link here","Recuperați-vă legătura de confirmare aici"
"Retrieve your password here","Aflați-vă parola aici"
"SKU","Cod produs"
"Sales Statistics","Statistici vânzări"
"Save","Salvare"
"Save Address","Salvare adresă"
"Save Customer","Salvați client"
"Save Customer Group","Salvați grup de clienți"
"Save Password","Salvare Parolă"
"Save and Continue Edit","Salvați și continuați editarea"
"Saved %d record(s)","%d înregistrări salvate."
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valori separate prin punct și virgulă (;).<br/>Puneți punct și virgulă la început pentru o primă opțiune goală.<br/>Lăsați liber pentru câmp de text deschis."
"Send Auto-Generated Password","Trimitere Parolă Generată Automat"
"Send From","Trimitere De La"
"Send Welcome Email","Trimitere E-mail Bun Venit"
"Send Welcome Email after Confirmation","Trimitere E-mail de Bun Venit după Confirmare"
"Send confirmation link","Trimiteți link de confirmare"
"Sending","Se trimite"
"Sent","Trimis"
"Session Start Time","Timp Începere Sesiune"
"Set as Default Billing Address","Setare ca Adresă de Facturare Implicită"
"Set as Default Shipping Address","Setare ca Adresă de Expediere Implicită"
"Share Customer Accounts","Partajare conturi client"
"Shipped to First Name","Expediat la Prenume"
"Shipped to Last Name","Expediat la Nume"
"Shipped to Name","Expediat la Numele"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart - %d item(s)","Coș Cumpărături - %d articol(e)"
"Shopping Cart of %1$s - %2$d item(s)","Coș Cumpărături pentru %1$s - %2$d articol(e)"
"Show Date of Birth","Afișați Data de naștere"
"Show Gender","Afișați genul"
"Show Middle Name (initial)","Afișați al doilea prenume (inițial)"
"Show Prefix","Afișați prefix"
"Show Suffix","Afișați sufix"
"Show Tax/VAT Number","Afișați numărul taxă/TVA"
"Show VAT Number on Frontend","Afișare Număr TVA pe Interfața Utilizator"
"Sign Up for Newsletter","Abonare newsletter"
"Skipping import row, required field ""%s"" is not defined.","Sărire rând importat, câmpul necesar ""%s"" nu e definit."
"State/Province","Stat/zonă"
"Status","Statut"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Street Address","Adresa"
"Street Address %s","Adresa Stradală %s"
"Subject","Subiect"
"Submit","Trimite"
"Subscribe to Newsletter","Abonați-vă la buletinul informativ"
"Subscribed to Newsletter?","Abonat la Buletin?"
"Suffix Dropdown Options","Opțiuni dropdown sufix"
"Tag Name","Nume Etichetă"
"Tax Calculation Based On","Calculare taxă bazată pe"
"Tax Class","Clasa de impozitare"
"Tax/VAT number","Număr Taxă/TVA"
"Telephone","Telefon"
"Text One Line","Text O Linie"
"Thank you for registering with %s.","Vă mulțumim pentru înregistrarea pe %s."
"The Date of Birth is required.","Data Nașterii e obligatorie."
"The TAX/VAT number is required.","Numărul Taxă/TVA e obligatoriu."
"The VAT ID entered (%s) is not a valid VAT ID.","Valoarea TVA introdusă (%s) nu este un ID TVA valid."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","ID-ul TVA introdus (%s) nu e un ID TVA valid. Clientul ar aparține Grupului de Clienți %s."
"The VAT ID is valid. The current Customer Group will be used.","Valoare TVA validă. Se va folosi grupul de clienți curent."
"The account information has been saved.","Informațiile despre cont au fost salvate."
"The address does not belong to this customer.","Adresa nu aparține acestui client."
"The address has been deleted.","Adresa a fost ștearsă."
"The address has been saved.","Adresa a fost salvată."
"The customer ID and email did not match, skipping the record, line: %s","ID-ul client și email-ul nu s-au potrivit, sărire peste înregistrare, linia: %s"
"The customer does not have default billing address.","Clientul nu are o adresă de facturare implicită."
"The customer email (%s) already exists, skipping the record, line: %s","E-mail-ul client (%s) există deja, sărire peste înregistrare, linia: %s"
"The customer group has been deleted.","Grupul de clienți a fost șters."
"The customer group has been saved.","Grupul de clienți a fost salvat."
"The customer is currently assigned to Customer Group %s.","Clientul e momentan atribuit Grupului de Clienți %s."
"The first name cannot be empty.","Prenumele nu poate fi gol."
"The group ""%s"" cannot be deleted","Grupul ""%s"" nu poate fi șters"
"The last name cannot be empty.","Numele nu poate fi gol."
"The minimum password length is %s","Lungimea minimă a parolei este %s"
"The password cannot be empty.","Parola nu poate fi goală."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parola trebuie să aibă minim 6 caractere. Spațiile vor fi ignorate."
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul care urmează numele (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlul dinaintea numelui (Dl., Dna., etc.)"
"There are no items in customer's wishlist at the moment","Lista de dorințe a clientului este goală momentan"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă sunteți sigur că este adresa dvs., <a href=""%s"">click aici</a> pentru a vă primi parola și a vă accesa contul."
"There was an error validating the VAT ID.","A existat o eroare la validarea ID-ului TVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","A existat o eroare la validarea ID-ului TVA. Clientul ar aparține la Grupul de Clienți %s."
"This account is not confirmed.","Acest cont nu este confirmat."
"This customer email already exists","Acest e-mail client există deja"
"This customer has no saved addresses.","Clientul nu are adrese salvate."
"This email does not require confirmation.","Acest email nu necesită confirmare."
"This email will be sent instead of default welcome email, after account confirmation.","Acest e-mail va fi trimis în loc de e-mailul implicit de bun venit, după confirmarea contului."
"This is My Default %s Address","Aceasta este Adresa Mea Implicită %s"
"To Cart","Spre Coș"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Pentru a afișa numărul TVA pe interfața utilizator, setați opțiunea Afișare Număr TVA pe Interfața Utilizator pe Da."
"Type","Tip"
"Unable to save the customer.","Nu se poate salva clientul."
"Unknown","Necunoscut"
"Unsubscribe from Newsletter","Dezabonați-vă de la Buletinul informativ"
"Update","Actualizare"
"Update customer address data","Actualizare date adresă client"
"Update customer data","Actualizare date client"
"Use as My Default %s Address","Utilizare ca Adresa Mea Implicită de %s"
"Use as My Default Billing Address","Utilizare ca Adresa Mea Implicită de Facturare"
"Use as My Default Shipping Address","Utilizare ca Adresa Mea Implicită de Expediere"
"Use as my default billing address","Folosiți ca adresă principală de facturare"
"Use as my default shipping address","Folosiți ca adresă principală de livrare"
"VAT Number","Număr TVA"
"VAT Request Date","Dată solicitare TVA"
"VAT Request Identifier","Identificator solicitare TVA"
"Validate VAT Number","Validare număr TVA"
"Validate on Each Transaction","Validați la fiecare tranzacție"
"Validation Error Group","Eroare validare grup"
"View","Vizualizează"
"View Order","Vizualizare Comandă"
"Visitor","Vizitator"
"Visitors Only","Doar Vizitatori"
"Website","Site"
"Welcome Email","Email de Bun Venit"
"Wishlist","Listă Dorințe"
"Wishlist - %d item(s)","Listă Dorințe - %d articol(e)"
"Would you like to change the Customer Group for this order?","Doriți să schimbați grupul de clienți pentru această comandă?"
"Wrong confirmation key.","Cheie confirmare greșită."
"Wrong customer account specified.","Cont client specificat greșit."
"Wrong email.","Adresă email greșită."
"Wrong transactional account email type","Tip e-mail cont tranzacțional greșit"
"YYYY","AAAA"
"Year","anulat"
"You are currently not subscribed to any newsletter.","Nu sunteți abonat momentan la niciun buletin."
"You are currently not subscribed to our newsletter.","Nu sunteți abonat momentan la buletinul nostru."
"You are currently subscribed to 'General Subscription'.","Sunteți abonat momentan la Buletinul General."
"You are currently subscribed to our newsletter.","Sunteți abonat momentan la buletinul nostru."
"You are now logged out","Acum sunteți delogat"
"You have logged out and will be redirected to our homepage in 5 seconds.","V-ați delogat și veți fi redirecționat către pagina principală în 5 secunde."
"You have no additional address entries in your address book.","Nu aveți alte adrese salvate în agendă."
"You have no additional entries in your address book.","Nu aveți alte înregistrări in agendă."
"You have no default billing address in your address book.","Nu aveți adrese de facturare implicite în agendă."
"You have no default entries in your address book.","Nu aveți nicio înregistrare implicită în agendă."
"You have no default shipping address in your address book.","Nu aveți adrese de livrare implicite în agendă."
"You have not set a default billing address.","Nu ați adăugat o adresă principală de facturare ."
"You have not set a default shipping address.","Nu ați adăugat o adresă  principală de livrare ."
"You have placed no orders yet.","Încă nu ați făcut nicio comandă."
"You have placed no products yet.","Încă nu ați adăugat niciun produs."
"You will be charged tax.","Veți plăti o taxă."
"You will not be charged tax.","Nu veți plăti nici o taxă"
"Your Tax ID cannot be validated.","ID-ul dumneavoastră de taxă nu poate fi validat."
"Your VAT ID was successfully validated.","ID-ul dumneavoastră TVA a fost validat cu succes."
"Your account balance is: %s","Totalul contului dvs. este: %s"
"ZIP","Cod poștal"
"ZIP/Post Code","Cod Poștal"
"Zip/Postal Code","Cod poștal"
"n/a","indisponibil"
"or","sau"
"register","înregistrare"
