"%s already exist.","%s există deja."
"%s already exists.","%s există deja."
"-- Please Select --","-- Selectați --"
"Custom Email 1","Email personalizat 1"
"Custom Email 2","Email personalizat 2"
"Custom Variables","Variabile Personalizate"
"Custom1 Contact Email","E-mail Contact Personalizat1"
"Custom1 Contact Name","Nume Contact Personalizat1"
"Custom2 Contact Email","E-mail Contact Personalizat2"
"Custom2 Contact Name","Nume Contact Personalizat2"
"Customer Support","Relații cu clienții"
"Dashboard","Panou"
"Date From","Din data"
"Date To","Până la data"
"Date/time format ""%s"" is not supported.","Formatul dată/timp ""%s"" nu e suportat."
"Debug","Depanare"
"Default","Implicit"
"Default Country","#ERROR!"
"Default Description","Descriere Implicită"
"Default Keywords","Cuvinte Cheie Implicite"
"Default No-route URL","URL fără rută implicit"
"Default Pages","Pagini implicite"
"Default Robots","Roboți Impliciți"
"Default Store","Magazin implicit"
"Default Store View","Vizualizare magazin implicită"
"Default Title","Titlu implicit"
"Default Web URL","URL web implicit"
"Delete","șterge"
"Delete Store","ștergeți magazin"
"Delete Store View","ștergeți vizualizare magazin"
"Delete Website","Ștergere Site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Ștergând %1$s nu se va șterge informația asociată cu %1$s (ex. categorii, produse, etc.), dar %1$s nu va fi disponibil pentru restabilire. Vă sugerăm să faceți un back-up la baza de date înainte de a șterge %1$s."
"Design","Aspect"
"Design Change","Modificare design"
"Developer","Dezvoltator"
"Developer Client Restrictions","Restricții Dezvoltator Client"
"Disable Email Communications","Dezactivați comunicările prin email"
"Disable Modules Output","Output dezactivare module"
"Display Demo Store Notice","Afișare Notificare Magazin Demo"
"Duplicate Of Template Name","Nume Șablon Duplicat"
"Edit Design Change","Modificați modificare de design"
"Edit Store","Modificați magazin"
"Edit Store View","Modificați vizualizare site"
"Edit Website","Modificare Site"
"Empty identifier field name","Nume câmp identificator gol"
"Empty main table name","Nume tabel principal gol"
"Enable Charts","Activați graficele"
"Enabled","Activat"
"Enabled for Admin","Activat pentru administrator"
"Enabled for Frontend","Activat pentru Frontend"
"Environment Update Time","Timp Actualizare Mediu"
"Error in file: ""%s"" - %s","Eroare în fișierul: ""%s"" - %s"
"European Union Countries","#ERROR!"
"Exceptions Log File Name","Nume Fișier Jurnal Excepții"
"Favicon Icon","Iconiță Favicon"
"File %s does not exist","Fișierul %s nu există"
"File %s is not readable","Fișierul %s nu poate fi citit"
"File not found","Fișierul nu e găsit"
"File system","Sistem Fișiere"
"File with an extension ""%value%"" is protected and cannot be uploaded","Fișierul cu o extensie ""%value%"" e protejat și nu poate fi încărcat"
"First Day of Week","Prima zi din săptămână"
"Flush Cache Storage","Curățare Memorie Cache"
"Flush OpenMage Cache","curățare Cache OpenMage"
"Footer","Subsol"
"Forgot Password Email Sender","Expeditor E-mail Parolă Uitată"
"Forgot Password Email Template","șablon parolă uitată email"
"General Contact","Contact general"
"General Contact Email","E-mail Contact General"
"General Contact Name","Nume Contact General"
"General Settings","Setări generale"
"Get info about current Magento installation","Obținere informații despre instalarea curentă de OpenMage"
"HTML Head","Head HTML"
"HTML tags are not allowed","Etichetele HTML nu sunt permise"
"Helper attributes should not be used in custom layout updates.","Atributele helper nu ar trebui utilizate în actualizări de scheme personalizate."
"Host","Gazdă"
"How many links to display at once.","Câte link-uri de afișat simultan."
"ID Path for Specified Store","Cale ID pentru magazinul specificat"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Dacă poziția actuală a cadrului nu acoperă maximul de pagini, se va randa legătura către poziția curentă plus/minus această valoare."
"Incorrect credit card expiration date.","Dată expirare card credit incorectă."
"Input type ""%value%"" not found in the input types list.","Tip input ""%value%"" nu este găsit în lista de tipuri input."
"Invalid URL '%value%'.","URL '%value%' invalid."
"Invalid base url type","Tip invalid adresă de bază URL"
"Invalid block type: %s","Tip bloc invalid: %s"
"Invalid block: %s","Bloc invalid: %s"
"Invalid connection","Conexiune invalidă"
"Invalid date","Dată nevalidă"
"Invalid layout update handle","Handler actualizare schemă invalid"
"Invalid messages storage ""%s"" for layout messages initialization","Stocare mesaje invalidă ""%s"" pentru inițializarea mesajelor de schemă"
"Invalid query","Interogare invalidă"
"Invalid transactional email code: %s","Cod e-mail tranzacțional invalid: %s"
"JavaScript Settings","Setări JavaScript"
"Layout","Aspect"
"Leave empty for access from any location.","Lăsați liber pentru acces din orice locație."
"List of stores","Lista magazinelor"
"Locale","Locală"
"Locale Options","Opțiuni locală"
"Log Settings","Setări Jurnal"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logare de la Mage::log(). Fișierul e localizat în {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logare de la Mage::logException(). Fișierul e localizat în {{base_dir}}/var/log"
"Login is Case Sensitive","Conectarea este sensibilă la majuscule"
"Logo Image","Imagine Siglă"
"Logo Image Alt","Alt Imagine Siglă"
"Logo Image Src","Sursă Imagine Siglă"
"Magento info","Informații OpenMage"
"Magento info API","API informații OpenMage"
"Mail Sending Settings","Setări trimitere prin poștă"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asigurați-vă că URL-ul de bază se termină cu '/' (bară oblică), e.g. http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","Potrivire expresii în aceeași ordine ca cea afișată în configurație."
"Media Storage","Stocare Media"
"Merge CSS Files","îmbinați fișierele CSS"
"Merge JavaScript Files","îmbinați fișierele JavaScript"
"Miscellaneous HTML","HTML Divers"
"Miscellaneous Scripts","Script-uri Diverse"
"Model collection resource name is not defined.","Nume resursă colecție model nedefinită."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modulul ""%1$s"" nu poate depinde de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modulul ""%1$s"" necesită modulul ""%2$s""."
"Name","Numeric"
"New Design Change","Schimbare de Aspect Nouă"
"New Store","Magazin nou"
"New Store View","Vizualizare site nouă"
"New Website","Site Nou"
"No","Nu"
"Offloader header","Antet Descărcător"
"PHP SOAP extension is required.","Extensia PHP SOAP este necesară."
"Package","Colet"
"Pagination","Paginare"
"Pagination Frame","Cadru paginare"
"Pagination Frame Skip","Omitere Cadru Paginare"
"Parent directory does not exist: %s","Directorul părinte nu există: %s"
"Path ""%value%"" is not available and cannot be used.","Calea ""%value%"" e indisponibilă și nu poate fi utilizată."
"Path ""%value%"" is protected and cannot be used.","Calea ""%value%"" e protejată și nu poate fi utilizată."
"Please define flag code.","Definiți codul fanion-ului."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Introduceți minim 7 caractere. Parola trebuie să conțină atât caractere numerice cât și alfabetice."
"Please enter a number 0 or greater in this field.","Introduceți un număr mai mare sau egal cu 0 în acest câmp."
"Please enter a number 1 or greater in this field.","Introduceți un număr egal cu sau mai mare decât 1 în acest câmp."
"Please enter a number greater than 0 in this field.","Introduceți un număr mai mare de 0 în acest câmp."
"Please enter a number lower than 100.","Introduceți un număr mai mic de 100."
"Please enter a valid $ amount. For example $100.00.","Introduceți o sumă în $ validă. De exemplu $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Introduceți o Cheie URL validă. De exemplu ""pagină-exemplu"", ""pagină-exemplu.html"" sau ""altnivel/pagină-exemplu""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Introduceți un URL corect. De exemplu http://www.example.com sau www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Introduceți un URL valid. Protocolul trebuie specificat (http://, https:// sau ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Introduceți un identificator XML valid. De exemplu ceva_1, bloc5, id-4."
"Please enter a valid credit card number.","Introduceți un număr de card de credit valid."
"Please enter a valid credit card verification number.","Introduceți un număr de verificare card de credit valid."
"Please enter a valid date between %s and %s","Introduceți o dată validă între %s și %s"
"Please enter a valid date equal to or greater than %s","Introduceți o dată validă mai mare sau egală cu %s"
"Please enter a valid date less than or equal to %s","Introduceți o dată validă mai mică sau egală cu %s"
"Please enter a valid date.","Introduceți o dată validă."
"Please enter a valid day (1-%d).","Introduceți o zi validă (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Introduceți o adresă de e-mail corectă. De exemplu johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Introduceți un număr de fax valid. De exemplu (026) 412-3456 sau 026-412-3456."
"Please enter a valid full date","Introduceți o dată completă validă."
"Please enter a valid month (1-12).","Introduceți o lună validă (1-12)."
"Please enter a valid number in this field.","Introduceți un număr valid în acest câmp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduceți un număr de telefon valid. De exemplu (123) 456-7890 sau 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Introduceți un CNP corect. De exemplu, 2750918243564."
"Please enter a valid year (1900-%d).","Introduceți un an valid (1900-%d)."
"Please enter a valid zip code.","Introduceți un cod poștal valid."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduceți un cod poștal corect. De exemplu 400550."
"Please enter issue number or start date for switch/solo card type.","Introduceți numărul de emitere sau data de început a valabilității tipului de card switch/solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Introduceți o lungime CSS validă. De exemplu 100px sau 77pt sau 20em sau .5ex sau 50%."
"Please make sure your passwords match.","Vă rugăm verificați dacă parolele sunt identice."
"Please select State/Province.","Selectați Stat/Zonă"
"Please select a file","Selectați un fișier."
"Please select an option.","Selectați o opțiune."
"Please select one of the above options.","Alegeți una dintre opțiunile de mai sus."
"Please select one of the options.","Alegeți una dintre opțiuni."
"Please set available and/or protected paths list(s) before validation.","Setați lista(ele) protejată(e) și/sau disponibilă(e) de cale înainte de validare."
"Please specify either a category or a product, or both.","Specificați fie o categorie fie un produs, fie ambele."
"Please use letters only (a-z or A-Z) in this field.","Folosiți numai litere (a-z sau A-Z) în acest câmp."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Folosiți doar numere în acest câmp. Evitați spațiile sau alte caractere cum ar fi punctele sau virgulele."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Folosiți numai litere (a-z sau A-Z) sau cifre (0-9) în acest câmp. Spațiile sau alte caractere nu sunt permise."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Folosiți numai litere (a-z sau A-Z) sau cifre (0-9) sau spații și # în acest câmp."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Folosiți numai litere (a-z sau A-Z), cifre (0-9) sau underscore (_) în acest câmp, iar primul caracter trebuie să fie o literă."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Folosiți doar litere (a-z), numere (0-9) sau underscore(_) în acest câmp, iar primul caracter trebuie să fie o literă."
"Please use only visible characters and spaces.","Folosiți numai caractere vizibile și spații."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizați acest format de dată: zz/ll/aaaa. De exemplu 17/03/2006 pentru 7 matie 2006."
"Please wait, loading...","Asteptați, se încarcă..."
"Polls","Sondaje"
"Port (25)","Port(25)"
"Recovery Link Expiration Period (days)","Perioadă Expirare Legătură Recuperare (zile)"
"Recovery Link Expiration Period (hours)","Perioada de expirare a link-ului de recuperare (ore)"
"Request Path for Specified Store","Cale Solicitată pentru Magazinul Specificat"
"Request path length exceeds allowed %s symbols.","Lungime cale solicitare depășește %s simboluri permise."
"Requested invalid store ""%s""","Magazin solicitat invalid ""%s"""
"Resource is not set.","Resursa nu e setată."
"Retrieve info about current Magento installation","Recuperare informații despre instalarea curentă OpenMage."
"Retrieve store data","Recuperare date magazin"
"Retrieve store list","Recuperare listă magazin"
"Return-Path Email","Email Cale-retur"
"Root Category","Categorie de bază"
"Sales Representative","Reprezentant vânzări"
"Sales Representative Contact Email","E-mail Contact Reprezentant Vânzări"
"Sales Representative Contact Name","Nume Contact Reprezentant Vânzări"
"Save","Salvare"
"Save Store","Salvați magazin"
"Save Store View","Salvați vizualizare magazin"
"Save Website","Salvare Site"
"Search Engines Optimization","Optimizare Motoare Căutare"
"Secure","Securizat"
"Security","Securitate"
"Select Date","Selectare dată"
"Select Media Database","Selectare Bază de Date Media"
"Sender Email","Email expeditor"
"Sender Name","Nume expeditor"
"Services","Servicii"
"Session Cookie Management","Administrare Cookie Sesiune"
"Session Lifetime (seconds)","Durată de Viață Sesiune (secunde)"
"Session Validation Settings","Setări validare sesiune"
"Set Return-Path","Setați Cale-retur"
"Set as Default","Setați ca implicit"
"Skin (Images / CSS)","Temă (Imagini / CSS)"
"Sort Order","sortați comanda"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/timp specificate ""%1$s"" nu se potrivesc cu formatul ""%2$s""."
"Start date cannot be greater than end date.","Data de începere trebuie să fie mai mare cu data de oprire."
"Startup Page","Pagină de start"
"Status","Statut"
"Storage Configuration for Media","Configurație Stocare pentru Media"
"Store","Magazin"
"Store API","API Magazin"
"Store Contact Address","Adresă Contact Magazin"
"Store Contact Information","Informații Contact Magazin"
"Store Contact Telephone","Telefon Contact Magazin"
"Store Email Addresses","Stocare adrese email"
"Store Hours of Operation","Program de lucru magazin"
"Store Information","Informații magazin"
"Store Name","Nume magazin"
"Store View","Vizualizare magazin"
"Store View Information","Informații vizualizare magazin"
"Store View Name","Nume Vitrină"
"Store view doesn't exist","Vizualizare magazin inexistentă."
"Store with the same code","Magazin cu același cod"
"System","Sistem"
"System Log File Name","Nume Fișier Jurnal Sistem"
"Template Path Hints","Sugestii Cale Șablon"
"Template Settings","Setări șablon"
"Template Variables","Variabile Șablon"
"Templates","Șabloane"
"Text length does not satisfy specified text range.","Lungimea textului nu satisface intervalul de text specificat."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Legătura %s introdusă de dvs. e invalidă. Asigurați-vă că respectă formatul ""http://domeniu.ro/""."
"The From Date value should be less than or equal to the To Date value.","Valoarea Data De La trebuie să fie mai mică sau egală cu valoarea Data Pînă La"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Codul magazin poate conține numai litere (a-z), cifre (0-9) sau underscore (_), iar primul caracter trebuie să fie literă"
"The store does not exist","Magazin inexistent."
"The store has been deleted.","Magazinul a fost șters."
"The store has been saved.","Magazinul a fost salvat."
"The store view has been deleted.","Vitrina a fost ștearsă."
"The store view has been saved","Vitrina a fost salvată."
"The template Name must not be empty.","Numele șablonului nu poate fi gol."
"The value is not within the specified range.","Valoarea nu se încadrează în intervalul specificat."
"The website does not exist.","Website inexistent."
"The website has been deleted.","Site-ul a fost șters."
"The website has been saved.","Site-ul a fost salvat."
"Themes","Teme"
"This category and all its child elements","Această categorie și toate elementele sale copil"
"This category and its child categories only","Această categorie și categoriile sale copil doar"
"This category and its products only","Această categorie și produsele sale doar"
"This category only","Doar această categorie"
"This date is a required value.","Această dată e o valoare obligatorie."
"This is a required field.","Acesta este un câmp obligatoriu."
"This store cannot be deleted.","Acest magazin nu poate fi șters."
"This store view cannot be deleted.","Acest magazin nu poate fi șters."
"This website cannot be deleted.","Acest website nu poate fi șters."
"This will be displayed just before body closing tag.","Acesta va fi afișat chiar înainte de tag-ul de închidere al body-ului."
"This will be included before head closing tag in page HTML.","Acestea vor fi incluse înaintea tag-ului de închidere a head-ului în pagina HTML."
"Timezone","Fus orar"
"Title Prefix","Prefix Titlu"
"Title Suffix","Sufix Titlu"
"Transactional Emails","Email-uri Tranzacționale"
"Translate Inline","Traducere Inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traducerea, blocurile și alte cache-uri de ieșire ar trebui să fie dezactivate atât din traducerile inline din frontend cât și din cele din administrator."
"Translations","Traduceri"
"Two and more slashes together are not permitted in request path","Două sau mai multe slash-uri împreună nu sunt permise în calea solicitării"
"Two and more slashes together are not permitted in url rewrite suffix","Două sau mai multe slash-uri împreună nu sunt permise în sufixul rescrierii url"
"Unable to create directory: %s","Nu se poate crea directorul: %s"
"Unable to delete store view. Please, try again later.","Imposibil de șters vitrina. Încercați mai târziu."
"Unable to delete store. Please, try again later.","Imposibil de șters magazinul. Încercați mai târziu."
"Unable to delete website. Please, try again later.","Imposibil de șters site-ul. Încercați mai târziu."
"Unable to proceed. Please, try again","Nu se poate continua. Încercați din nou"
"Unable to proceed. Please, try again.","Imposibil de continuat. Vă rugăm încercați din nou."
"Unable to save file ""%s"" at ""%s""","Nu se poate salva fișierul ""%s"" la ""%s"""
"Unable to save file: %s","Nu se poate salva fișierul: %s"
"Unknown old style column type definition: {$definition}.","Definiție tip coloană stil vechi necunoscută: {$definition}."
"Unknown scope ""%s"".","Acoperire necunoscută ""%s""."
"Unsecure","Nesecurizat"
"Url Options","Opțiuni URL"
"Use Custom Admin Path","Folosiți cale administrator personalizată"
"Use Custom Admin URL","Folosiți URL administrator personalizat"
"Use HTTP Only","Utilizați doar HTTP"
"None","Niciunul"
"Use SID on Frontend","Utilizare SID pe Frontend"
"Use Secure URLs in Admin","Folosiți URL-uri sigure în Administrator"
"Use Secure URLs in Frontend","Folosire URL-uri securizate în Frontend"
"Use Web Server Rewrites","URL-uri de bază"
"VAT Number","Număr TVA"
"Validate HTTP_USER_AGENT","Validare HTTP_UTILIZATOR_AGENT"
"Validate HTTP_VIA","Validare HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validare HTTP_X_REDIRECțIONAT_PENTRU"
"Validate REMOTE_ADDR","Validare REMOTE_ADDR"
"Validation has failed.","Validarea a eșuat."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valorile sub 60 sunt ignorate. Rețineți că schimbările vor fi aplicate după delogare."
"Variable Code must be unique.","Codul Variabilă trebuie să fie unic."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Atenție! Activarea acestei trăsături nu e recomandată în medii de producție deoarece reprezintă un potențial risc de securitate."
"Website","Site"
"Website Information","Informații Site"
"Website Name","Nume Site"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Codul site-ului poate conține numai litere (a-z), cifre (0-9) sau underscore (_), iar primul caracter trebuie să fie literă"
"Website with the same code","Website cu același cod"
"Weekend Days","Zilele weekend-ului"
"Welcome Text","Text Bun Venit"
"Wrong file info format","Format fișier info greșit"
"Wrong number of arguments for %s","Număr greșit de argumente pentru %s"
"Wrong old style column type definition: {$definition}.","Definiție tip coloană stil vechi greșită: {$definition}."
"XML data is invalid.","Datele XML sunt invalide."
"XML object is not instance of ""Varien_Simplexml_Element"".","Obiectul XML nu e instanță de ""Varien_Simplexml_Element""."
"Yes","Da"
"You will have to log in after you save your custom admin path.","Veți fi nevoit să vă logați după ce salvați calea administrator personalizată."
"Your design change for the specified store intersects with another one, please specify another date range.","Schimbarea dvs. de aspect pentru magazinul specificat se intersectează cu alta, vă rugăm specificați un alt interval de dată."
"database ""%s""","baza de date ""%s"""
"Frontend","Interfață Utilizator"
