"# of Use","# în Uz"
"%1$s incl tax.","%1$s cu taxe"
"%s Item(s)","%s Articol(e)"
"%s and above","%s și peste"
"Buy %1$s","Cumpărați %1$s"
"Buy %1$s for","Cumpărați %1$s pentru"
"Buy %1$s for %2$s","Cumpărați %1$s pentru %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Cumpărați %1$s pentru %2$s (%3$s cu taxe) fiecare"
"Buy %1$s for %2$s each","Cumpărați %1$s pentru %2$s fiecare"
"Cache Lifetime (Seconds)","Termen Cache (Secunde)"
"Cache refresh needed.","Reîmprospătare cache necesară"
"Can be Divided into Multiple Boxes for Shipping","Poate fi Împărțit în Cutii Multiple pentru Expediere"
"Can be used only with catalog input type Dropdown","Poate fi folosit doar pentru intrare de catalog tip Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit doar pentru intrare de catalog tip Dropdown, Selectare Multiplă și Preț"
"Cancel","Anuleaza"
"Cannot create image.","Nu se poate crea imaginea."
"Cannot create writeable directory '%s'.","Nu se poate crea directorul inscriptibil '%s'."
"Cart Item Attribute","Atribut Articol Coș"
"Catalog Category (Anchor)","Categorie Catalog (Ancoră)"
"Catalog Category (Non-Anchor)","Categorie Catalog (Non-Ancoră)"
"Catalog Category (Without Subcategories)","Categorie Catalog (Fără Subcategorii)"
"Catalog Category Link","Link categorie catalog"
"Catalog New Products List","Listă produse noi catalog"
"Catalog Price Scope","Domeniu Preț Catalog"
"Catalog Product Compare List","Listă Comparație Produs Catalog"
"Catalog Product Email to a Friend","Trimitere E-mail Prieten Produs Catalog"
"Catalog Product Image Gallery Popup","Popup Galerie Imagini Produs Catalog"
"Catalog Product Link","Link Produs Catalog"
"Catalog Product View (Any)","Vizualizare Produs Catalog (Oricare)"
"Catalog Product View (Configurable)","Vizualizare Produs Catalog (Configurabil)"
"Catalog Product View (Grouped)","Vizualizare Produs Catalog (Grupat)"
"Catalog Product View (Simple)","Vizualizare Produs Catalog (Simplu)"
"Catalog Product View (Virtual)","Vizualizare Produs Catalog (Virtual)"
"Catalog Seo Sitemap (Category List)","Hartă Site Seo Catalog (Listă Categorii)"
"Catalog Seo Sitemap (Category Tree)","Hartă Site Seo Catalog (Arbore Categorii)"
"Catalog Seo Sitemap (Common)","Hartă Site Seo Catalog (Comun)"
"Catalog Seo Sitemap (Product List)","Hartă Site Seo Catalog (Listă Produse)"
"Catalog URL Rewrites","Rescrieri URL Catalog"
"Catalog product custom option values API","API valori opțiune personalizată produs catalog"
"Catalog product custom options API","API opțiuni personalizate produs catalog"
"Catalog, Search","Catalog, Căutare"
"Categories","Categorii"
"Categories Sitemap","Hartă Site Categorii"
"Category","Categorie"
"Category API","API Categorie"
"Category Data","Date Categorie"
"Category Flat Data","Plan informații catalog"
"Category Link Block Template","șablon bloc link categorie"
"Category Link Inline Template","șablon inline link categorie"
"Category Products","Categorii de produse"
"Category Top Navigation","Navigare Top Categorie"
"Category URL Suffix","Sufix URL Categorie"
"Category attributes API","API atribute categorie"
"Category move error","Eroare la mutarea categoriei"
"Category move error %s","Eroare mutare categorie %s"
"Category move operation is not possible: parent category is equal to child category.","Operație mutare categorie nu e posibilă: categoria părinte este egală cu categoria copil."
"Category move operation is not possible: the current category was not found.","Operație mutare categorie nu e posibilă: categoria curentă nu a fost găsită."
"Category move operation is not possible: the new parent category was not found.","Operație mutare categorie nu e posibilă: categoria părinte nouă nu a fost găsită."
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria trebuie să fie instanță de Mage_Catalog_Model_Category."
"Center","Centru"
"Change","Schimbați."
"Change or Retrieve attribute store view","Schimbare sau Recuperare atribut vitrină"
"Change status","Modificați status"
"Check items to add to the cart or","Verificare articole pentru a le adăuga la coș sau"
"Choose an Option...","Alegeți o opțiune.."
"Clear All","Anulați toate filtrele"
"Clear Price","ștergere preț"
"Click for price","Faceți click pe preț"
"Close Window","Închide fereastra"
"Collapse All","Restrângeți toate"
"Comma-separated.","Separate prin Virgulă."
"Comparable","Camparabil"
"Comparable on Front-end","Comparabil pe Front-End"
"Comparable on the Frontend","Comparabil pe Interfața Utilizator"
"Compare","Comparați"
"Compare Products","Comparați produse"
"Conditions Combination","Combinație Condiții"
"Configurable Product","Produs Configurabil"
"Configurable Product Settings","Setări Produse Configurabile"
"Configure Product","Configurare produs"
"Continue","Continuați"
"Copy From Configurable","Copiere de la Configurabil"
"Country/State","Țară/Județ"
"Create","Creare"
"Create (Upload)","Creare (Încărcare)"
"Create Empty","Creare Gol"
"Create Permanent Redirect for URLs if URL Key Changed","Creare Redirecționare Permanentă pentru URL-uri dacă Cheia URL s-a Schimbat"
"Create Permanent Redirect for old URL","Creare Redirecționare Permanentă pentru URL vechi"
"Create Product Settings","Setări Creare Produs"
"Create Simple Associated Product","Creare Produs Asociat Simplu"
"Create attribute set based on another set","Creare set atribute pe baza altui set"
"Create new attribute","Creare Atribut Nou"
"Create new category","Creare categorie nouă"
"Create new product","Creare produs nou"
"Cross-sells","Cross-selling"
"Currently Shopping by:","Momentan Cumpărați după:"
"Custom Design","Design personalizat"
"Custom Options","Opțiuni personalizate"
"Custom options","Opțiuni Personalizate"
"Customer Group","Grup Clienți"
"Customers Reviews","Recenzii Clienți"
"Customers Tagged Product","Produs Etichetat de Client"
"Data Type for Saving in Database","Tip informație pentru salvarea în baza de date"
"Date & Time Custom Options","Opțiuni personalizate Dată și Oră"
"Date Fields Order","Ordine câmpuri dată"
"Date Subscribed","Dată Înscriere"
"Datetime","Setează data"
"Decimal","Zecimal"
"Declare attribute value saving scope","Declarare acoperire salvare valoare atribut"
"Default Popup Text Message","Mesaj Text Popup Implicit"
"Default Price","Preț standard"
"Default Price Navigation Step","Treaptă navigare preț implicit"
"Default Qty","Cant. Implicită"
"Default Values","Valori implicite"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definește acoperirea valutei de bază (""Setare Valută"" > ""Opțiuni Valută"" > ""Valuta de Bază"")."
"Delete","șterge"
"Delete Attribute","ștergeți atribut"
"Delete Attribute Set","Ștergere Set Atribute"
"Delete Category","Ștergere Categorie"
"Delete Group Price","Ștergere Preț Grup"
"Delete Option","ștergeți opțiune"
"Delete Row","ștergere rând"
"Delete Search","șterge căutare"
"Delete Selected Group","ștergeți grupul selectat"
"Delete Tier","ștergeți nivel"
"Delete attribute","Ștergere Atribut"
"Delete category","Ștergere Categorie"
"Delete product","Ștergere produs"
"Depends on design theme","Depinde de tema aspectului"
"Description","Descriere"
"Design","Aspect"
"Details","Detalii"
"Disabled","Dezactivat"
"Disallowed file type.","Tip fișier nepermis."
"Display Actual Price","Afișare Preț Real"
"Display Page Control","Control pagină afișare"
"Display Price Interval as One Price","Afișați interval preț ca un singur preț"
"Display Product Count","Afișează sumă produs"
"Display Type","Tip afișare"
"Display in Suggested Terms","Afișează în Termeni Recomandați"
"Double click on a group to rename it","Dublu-click pe un grup pentru a-l redenumi"
"Double click on above image to view full picture","Dublu-click pe imaginea de mai sus pentru a o vizualiza în întregime"
"Downloadable Information","Informație Descărcabilă"
"Duplicate","Duplicat"
"Duplicate amount found.","Sumă duplicat găsită."
"Duplicate website group price customer group.","Grup clienți preț grup site duplicat."
"Duplicate website tier price customer group and quantity.","Duplicat site, nivel preț, grup clienți și cantitate."
"Duplicate website, country and state tax found.","Duplicat site, țară și taxă găsite."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{cale media=""cale/către/imagine.jpg""}} {{cale temă=""cale/către/pictură.gif""}}. Directivele de parcurgere dinamică afectează performanța catalogului."
"Edit","Editați"
"Edit Attribute Set '%s'","Modificare Set Atribute '%s'"
"Edit Product Attribute","Editează atribut produs."
"Edit Product Attribute ""%s""","Modificare Atribut Produs ""%s"""
"Edit Search","Editare căutare"
"Edit Search '%s'","Modificare Căutare '%s'"
"Edit Set Name","Modificare Nume Set"
"Email","E-mail"
"Email to a Friend","Trimiteți e-mail unui Prieten"
"Empty","Gol"
"Enable MAP","Activare PMP"
"Enable Qty Increments","Activați creșteri cantitate"
"Enable WYSIWYG","Activare WYSIWYG"
"Enable for reindexing a big number of SKUs.","Activare pentru reindexarea unui număr mare de coduri produs."
"Enabled","Activat"
"Error during retrieval of option value: %s","Eroare la recuperarea valorii opțiunii: %s"
"Exclude","Excludeți"
"Expand All","Extindeți toate"
"Failed","Eșuat"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Eșec la copierea fișierului %s. Ștergeți media cu imagini non-existente și încercați din nou."
"Failed to move file: %s","Mutare fișier eșuată: %s"
"Feature Products","Recomandare Produse"
"Field is not complete","Câmpul nu e complet"
"File options format is not valid.","Formatul opțiunilor de fișier nu e valid."
"File upload failed","Încărcare fișier eșuată"
"Filter","Filtrare"
"Filter model name must be declared.","Numele modelului de filtru trebuie declarat."
"Filter must be an object. Please set correct filter.","Filtrul trebuie să fie obiect. Setați filtrul corect."
"Filterable (no results)","Filtrabile (fără rezultate)"
"Filterable (with results)","Filtrabile (cu rezultate)"
"First Name","Prenume"
"Fixed","Fix"
"For internal use.","Pentru uz intern."
"For the last time placed.","Pentru ultima dată plasată."
"Frontend","Interfață Utilizator"
"Frontend Model","Model Interfață Utilizator"
"Frontend Properties","Proprietăți Interfață Utilizator"
"Gallery","Galerie"
"General Information","Informații generale"
"Get full information about attribute with list of options","Obținere informații complete despre atribut împreună cu lista de opțiuni"
"Get full information about custom option in product","Obținere informații complete despre opțiunea personalizată în produs"
"Get list of available custom option types","Obținere listă de tipuri disponibile de opțiuni personalizate"
"Get list of non-default attributes by product type and attributes set","Obținere listă de atribute non-implicite după tipul produsului și setul de atribute"
"Get list of possible attribute types","Obținere listă de tipuri posibile de atribut"
"Get special price","Obținere preț special"
"Globally Editable","Editabil la nivel global"
"Go to Home Page","Mergeți la pagina principală"
"Grid","Grilă"
"Group add","Adăugare grup"
"Group remove","Eliminare grup"
"Grouped Product","Produs Grupat"
"Groups","Grupuri"
"Home","Acasă"
"If empty, the Category Name will be used","Dacă e gol, Numele de Categorie va fi utilizat"
"If empty, the Product Name will be used","Dacă e gol, Numele de Produs va fi utilizat"
"Image","Imagine"
"Image content is not valid base64 data.","Conținutul imaginii nu reprezintă date valide baza64."
"Image does not exist.","Imaginea nu există."
"Image file was not found.","Fișierul imagine nu a fost găsit."
"Image type and information need to be specified for each store view.","Tipul imaginii și informațiile trebuie specificate pentru fiecare vitrină în parte."
"In Cart","În Coș"
"In Stock","în stoc"
"In stock","In stoc"
"Incl. Tax","Includere taxe"
"Index product and categories URL rewrites","Indexare rescrieri URL pentru produse și categorii"
"Index product attributes for layered navigation building","Indexare atribute produse pentru construirea navigației stratificate"
"Index product prices","Index prețuri produs"
"Indexed category/products association","Asociere produse/categorie indexate."
"Info","Informații"
"Info Column Options Wrapper","Wrapper Opțiuni Coloană Info"
"Input Type","Tip input"
"Integer","întreg"
"Interval Division Limit","Limită diviziune interval"
"Invalid Tier Prices","Prețuri Nivele Invalide"
"Invalid attribute %s","Atribut invalid %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opțiune atribut specificată pentru atributul %s (%s) invalidă, sărire peste înregistrare."
"Invalid attribute set specified, skipping the record.","Set atribute specificat invalid, sărire peste înregistrare."
"Invalid block: %s.","Bloc invalid: %s."
"Invalid category IDs.","ID-uri categorie invalide."
"Invalid category.","Categorie invalidă."
"Invalid image file type.","Tip fișier imagine invalid."
"Invalid image type.","Tip imagine invalid."
"Invalid option ID specified for %s (%s), skipping the record.","ID opțiune specificat pentru %s (%s) invalid, sărire peste înregistrare."
"Invalid product type specified, skipping the record.","Tip produs specificat invalid, sărire peste înregistrare."
"Invalid store specified","Magazin specificat invalid"
"Invalid store specified, skipping the record.","Magazin specificat invalid, sărire peste înregistrare."
"Invalid tier prices. The product is not associated to the requested website.","Prețuri pe nivele invalide. Produsul nu e asociat cu website-ul solicitat."
"Inventory","Inverntar"
"Is Default","Este implicit"
"Is Required","Este Necesar"
"Items %s to %s of %s total","Articolele de la %s până la %s din %s în total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Articolele care nu vreți să apară în catalog sau în rezultatele căutărilor trebuie sa aibă starea 'Dezactivat' în magazinul dorit."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Articolele care nu vreți să apară în catalog sau în rezultatele căutărilor trebuie sa aibă starea 'Dezactivat' în magazinul dorit."
"Keep your eyes open for our special Back to School items and save A LOT!","Fiți pe fază după articolele speciale Înapoi la Școală și economisiți ENORM!"
"Label","Etichetă"
"Last Name","Nume de familie"
"Last Notification","Ultima Notificare"
"Layered Navigation","Navigație pe niveluri"
"Learn More","Mai multe"
"Line %d, Email: %s","Linie %d, E-mail: %s"
"Line %d, SKU: %s","Linie %d, COD: %s"
"Link (Related, Up sell, Cross sell)","Legătură(Asociat, Vânzare Imbunătățită, Vânzare Încrucișată)"
"Link product does not exist.","Produs legătură inexistent."
"Link to a Specified Category","Link către o categorie specificată"
"Link to a Specified Product","Link către Produsul Specificat"
"List","Listă"
"List Mode","Mod listă"
"List of Products that are set as New","Listă produse setate ca Noi"
"List of types","Listă tipuri"
"Manage Stock","Gestionare stoc"
"Max Characters","Număr maxim de caractere"
"Maximal Depth","Aprofundare maximală"
"Maximum Image Size","Mărime maximă imagine"
"Maximum Number of Price Intervals","Număr maxim de intervale preț"
"Maximum Qty Allowed in Shopping Cart","Cantitate maximă admisă în coșul de cumpărături"
"Maximum allowed image size for '%s' is %sx%s px.","Dimensiunea imagine maximă permisă pentru '%s' este %sx%s px."
"Maximum image height","înălțime maximă imagine"
"Maximum image width","Lățime maximă imagine"
"Maximum number of characters:","Număr maxim de caractere:"
"Maximum number of price intervals is 100","Numărul maxim de intervale preț este de 100"
"Media Image","Imagine media"
"Minimum Advertised Price","Preț Minim Promovat"
"Minimum Lines per Page","Nr. Minim Linii pe Pagină"
"Minimum Qty Allowed in Shopping Cart","Cantitate minimă admisă în coșul de cumpărături"
"Missing SKU, skipping the record.","COD Lipsă, sărire peste înregistrare."
"More Views","Mai Multe Vizualizări"
"Move","Mutare"
"Move category in tree","Mutare categorie în arbore"
"Multi update product","Actualizare multiplă produs"
"Must be in the allowed values list.","Trebuie să fie în lista valorilor permise."
"My Account","Contul meu"
"N/A","Indisponibil"
"Name","Numeric"
"Name in %s","Nume În %s"
"New Product","Produs nou"
"New Product Attribute","Atribut produs nou"
"New Products","Produse noi"
"New Products Grid Template","șablon Grilă Produse Noi"
"New Products List Template","șablon Listă Produse Noi"
"New Root Category","Categorie Rădăcină Nouă"
"New Search","Căutare nouă"
"New Set Name","Nume set nou"
"New Subcategory","Subcategorie Nouă"
"New products","Produse noi"
"Next","Următorul"
"No","Nu"
"No image","Fără imagine"
"No layout updates","Nici o actualizare de aspect"
"No options of this product are available.","Nu sunt disponibile opțiuni pentru acest produs."
"No product collections found.","Nicio colecție de produse găsită."
"None","Niciunul"
"Not Visible Individually","Nu este vizibil individual"
"Notify Low Stock RSS","Notificare nivel stoc scăzut RSS"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Number of Products per Page","Număr de produse pe pagină"
"Number of Products to Display","Număr de produse de afișat"
"Number of Uses","Număr de utilizări"
"Number of results","Număr de rezultate"
"Number of results (For the last time placed)","Număr de rezultate (Pentru ultima dată plasată)"
"OR","sau"
"Old Price:","Preț Vechi:"
"On Gesture","La Gest"
"Option validation failed to add product to cart.","Validare opțiune eșuată pentru adăugarea produsul în coș."
"Option values","Valori Opțiune"
"Option:","Opțiune:"
"Options","Opțiuni"
"Options Control","Control Opțiuni"
"Options is required","Opțiunile sunt obligatorii"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Serviciul clienți este disponibil 24/7. Sunați-ne la (555) 555-0123."
"Out of Stock","Epuizat din stoc"
"Out of stock","Stoc epuizat"
"Page Title Separator","Separator Titlu Pagină"
"Parent Category","Categorie de bază"
"Pending","în așteptare"
"Pending Reviews RSS","RSS Recenzii produs"
"Percentage","Procentaj"
"Please add rows to option.","Adăugați rânduri la opțiune."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Aveți grijă deoarece atunci când faceți click pe rând se vor încărca datele pachetului din fișierul selectat și toate datele nesalvate din formular vor fi pierdute."
"Please click on the Close Window button if it is not closed automatically.","Faceți click pe butonul Închidere Fereastră dacă nu se închide automat."
"Please enter a new group name","Introduceți un nou nume de grup"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Reîmprospătați ""Rescrieri URL Catalog"" și ""Atribute Produs"" în Sistem -&gt; <a href=""%s"">Gestionare Indecși</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Reîmprospătați ""Atribute Produs"" în Sistem -&gt; <a href=""%s"">Gestionare Indecși</a>"
"Please select a static block ...","Selectați un bloc static ..."
"Please select items.","Selectați articole."
"Please select one or more attributes.","Selectați unul sau mai multe atribute."
"Please select product(s).","Selectați produs(e)"
"Please select products for attributes update","Selectați produse pentru actualizare atribute"
"Please set up merge date/time","Setați îmbinarea dată/timp"
"Please set up merge date/time later then present date","Setați îmbinarea dată/timp mai târziu decât data curentă"
"Please specify date required option(s).","Specificați opțiunile de dată specificate."
"Please specify the number of products, that will not be divided into subintervals.","Specificați numărul de produse care nu vor fi divizate în subintervale."
"Please specify the product required option(s)","Specificați opțiunea(ile) necesare pentru produs"
"Please specify the product required option(s).","Specificați opțiunea(ile) necesare pentru produs."
"Please specify the quantity of product(s).","Specificați cantitatea produsului(elor)."
"Please specify time required option(s).","Specificați opțiunile de oră specificate."
"Please wait...","Vă rugăm așteptați..."
"Position","Poziție"
"Position in Layered Navigation","Poziție în navigarea stratificată"
"Position of attribute in layered navigation block","Poziția atributului în blocul de navigație stratificată"
"Prev","Previzualizare"
"Previous","Anterior"
"Price","Preț"
"Price Navigation Step Calculation","Calculare treaptă navigare preț"
"Price Type","Tip preț"
"Price is not available","Preț indisponibil"
"Price values for options should be specified in system base currency.","Valorile prețului trebuie specificate în valuta de bază a sistemului."
"Price:","Preț:"
"Price: %s","Preț: %s"
"Print This Page","Imprimați imaginea"
"Product","Produs"
"Product API","API Produs"
"Product Alerts","Alerte produs"
"Product Attribute","Atribut Produs"
"Product Attributes","Atribute produs"
"Product Categories","Categorii produse"
"Product Description","Informații Produs"
"Product Extra Info","Informații Extra Produs"
"Product Flat Data","Plan informații produs"
"Product ID","ID Produs"
"Product Image","Imagine Produs"
"Product Image Placeholders","înlocuitori Imagine Produs"
"Product Image Watermarks","Suprapuneri imagini produs"
"Product Images","Imagini Produs"
"Product Images API","API Imagini Produs"
"Product In Websites","Produsul în website-uri"
"Product Info Column","Coloană Info Produs"
"Product Information","Informații Produs"
"Product Link Block Template","șablon bloc link produs"
"Product Link Inline Template","șablon inline link produs"
"Product Listing Sort by","Ordonare Produse după"
"Product Name","Numele produsului"
"Product Prices","Prețuri Produse"
"Product Reviews","Recenzii Produs"
"Product Tags","Etichete Produs"
"Product Tier Price API","API Nivel Preț Produs"
"Product Type","Tip Produs"
"Product URL Suffix","Sufix URL Produs"
"Product View Extra Hint","Sugestie Suplimentară Vizualizare Produs"
"Product attribute sets API","API Set Atribute Produs"
"Product attributes API","API atribute produs"
"Product collection expected.","Colecție produs așteptată."
"Product is not loaded","Produsul nu este încărcat"
"Product links API (related, cross sells, up sells)","API legături produs (asociat, vânzări încrucișate, vânzări îmbunătățite)"
"Product types API","API tipuri produs"
"Product with this combination of attributes already associated to configurable.","Un produs cu această combinație de atribute este deja asociat ca și configurabil."
"Products","Produse"
"Products Comparison List","Listă comparare produse"
"Products Information","Informații produse"
"Products Reviews","Recenzii Produse"
"Products Sitemap","Harta site Produse"
"Products only","Doar produse"
"Products per Page on Grid Allowed Values","Produse pe Pagină în Grila de Valori Permise"
"Products per Page on Grid Default Value","Produse pe Pagină în Grila de Valori Implicite"
"Products per Page on List Allowed Values","Produse pe Pagină în Lista de Valori Permise"
"Products per Page on List Default Value","Produse pe Pagină în Lista de Valori Implicite"
"Properties","Proprietăți"
"Qty","Cantitate"
"Qty Increments","Creșteri cantitate"
"Qty Uses Decimals","Cantitatea folosește zecimale"
"Qty for Item's Status to Become Out of Stock","Cant. la care Statusul Articolului Devine Stoc Epuizat"
"Qty:","Cant:"
"Quantity","Cantitate"
"Quick Create","Creare Rapidă"
"Quick Overview","Prezentare Rapidă"
"Quick simple product creation","Creare rapidă produs simplu"
"Records for ""%s"" store found.","""%s"" înregistrări găsite pentru magazin."
"Redirect","Redirecționare"
"Redirect URL","Redirecționează URL"
"Regular Price:","Preț Obișnuit:"
"Related Products","Produse asociate"
"Remove","Elimină"
"Remove Product From Websites","ștergeți produs din website-uri"
"Remove This Item","Eliminați acest articol"
"Remove attribute from attribute set","Eliminare atribut din set atribute"
"Remove attribute set","Eliminare set atribute"
"Remove custom option","Eliminare opțiune personalizată"
"Remove group from attribute set","Eliminare grup de la set atribute"
"Remove option","Eliminare opțiune"
"Remove product assignment","Eliminare atribuire produs"
"Remove product image","Eliminare imagine produs"
"Remove product link","Eliminare legătură produs"
"Remove value from custom option","Eliminare valoare de la opțiune personalizată"
"Rename existing group","Redenumire grup existent"
"Rename group","Redenumire grup"
"Reorganize EAV category structure to flat structure","Reorganizați structura categoriei EAV pentru planul de structură"
