"Abandoned Carts","Coșuri Abandonate"
"Most Viewed","Cele mai Vizualizate"
"Name","Numeric"
"New Accounts","Conturi Noi"
"No","Nu"
"Number Added","Număr Adăugate"
"Number Fulfilled","Număr Îndeplinite"
"Number Of Reviews","Număr de Recenzii"
"Number Purchased","Număr Cumpărate"
"Number Viewed","Număr Vizualizate"
"Number of Items","Număr de Articole"
"Number of New Accounts","Număr Conturi Noi"
"Number of Products to display","Număr de produse pentru afișare"
"Number of Reviews","Număr de Recenzii"
"Number of Times Deleted","Număr de Ștergeri"
"Number of Total Tags","Numărul Total al Etichetelor"
"Number of Unique Tags","Numărul Etichetelor Unice"
"Number of Views","Număr de Vizualizări"
"Number of items bought from a wishlist: %s","Numărul de articole cumpărate dintr-o listă de dorințe: %s"
"Number of times wishlists have been shared (emailed): %s","Numărul partajărilor listelor de dorințe (pe e-mail): %s"
"Number of wishlist conversions: %s","Număr de conversii din lista de dorințe: %s"
"Number of wishlist referrals: %s","Numărul de vizite din lista de dorințe: %s"
"Number of wishlists: %s","Număr de liste de dorințe: %s"
"Order Status","Status comandă"
"Order Taxes Report Grouped by Tax Rate","Raport Taxe Comenzi Grupate după Cota de Taxare"
"Orders","Comenzile mele"
"Out of stock","Stoc epuizat"
"Period","Perioada"
"Poducts Report","Raport Produse"
"Popular Tags","Etichete Populare"
"Popularity","Popularitate"
"Price","Preț"
"Product Name","Numele produsului"
"Product Reviews","Recenzii Produs"
"Product SKU","COD Produs"
"Product Tags","Etichete Produs"
"Products","Produse"
"Products Ordered","Produse Comandate"
"Products Report","Raport Produse"
"Products Reviews","Recenzii Produse"
"Products Tags","Etichete Produse"
"Products in carts","Produse în coșuri"
"Purchases","Achiziții"
"Quantity Ordered","Cantitate Comandată"
"Quantity of Items","Cantitatea Articolelor"
"Recently Compared","Recent comparate"
"Recently Compared Products","Produse comparate recent"
"Recently Viewed","Visto Recentemente"
"Recently Viewed Products","Produse vizualizate recent"
"Recently Viewed/Compared Products","Produse recent vizualizate/comparate"
"Refresh Lifetime Statistics","Reîmprospătare Statistici Globale"
"Refresh Statistics","Reîmprospătare Statistici"
"Refresh Statistics for the Last Day","Reîmprospătare Statistici pentru Ultima Zi"
"Refunds","Restituiri"
"Report","Raport"
"Reports","Rapoarte"
"Results","Rezultate"
"Revenue","Venituri"
"Review","Recenzie"
"Reviews","Comentarii"
"Reviews for %s","Recenzii pentru %s"
"Sales","Vânzări"
"Sales Report","Raport Vânzări"
"Search Query","Interogare de căutare"
"Search Terms","Termeni de căutare"
"Select day of the month.","Selectare zi din lună."
"Shipping","Livrare"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart Price Rule","Regulă Preț Coș Cumpărături"
"Show Actual Values","Afișare valori actuale"
"Show Report","Afișare Raport"
"Show for Current","Afișare pentru Curentul"
"Specified","Specificat"
"Statistics","Statistici"
"Stock Qty","Cantitate în Stoc"
"Submitted In","Trimis în"
"Submitted On","Trimis la"
"Tag","Etichetă"
"Tag ""%s"" details","Detalii Etichetă ""%s"""
"Tag Detail","Detalii Etichetă"
"Tag Name","Nume Etichetă"
"Tag Use","Utilizare Etichetă"
"Tags Submitted by %s","Etichete Trimise de %s"
"Tags submitted to %s","Etichetă pusă la %s"
"Tax","Taxe"
"Title","Titlu"
"To","Către"
"Total Invoiced vs. Paid Report","Raport Total Facturat vs. Plătit"
"Total Ordered Report","Raport Total Comandat"
"Total Refunded Report","Raport Total Rambursat"
"Total Shipped Report","Raport Total Expediat"
"Total Tags","Total Etichete"
"Total invoiced","Total Facturat"
"Total refunded","Total Rambursat"
"Updated At","Actualizat la"
"Viewed Products Grid Template","șablon grilă produse vizualizate"
"Viewed Products List Template","șablon listă produse vizualizate"
"Visible In","Vizibil În"
"Wishlist Report","Raport Listă de Dorințe"
"Wishlist vs. Regular Order","Lista de Dorințe vs. Comenzi Normale"
"Wishlists","Lista de Dorințe"
"Year","anulat"
"Year-To-Date Starts","An-La-Dată Începere"
"Yes","Da"
"Your Recently Compared","Comparate Recent de Dvs."
"Your Recently Viewed","Vizualizate Recent de Dvs."
"undefined","nedefinit"
