" Copy"," Copie"
"Newsletter subscription confirmation","Confirmarea abonării la buletin"
"Newsletter subscription success","Abonare buletin reușită"
"Newsletter unsubscription success","Dezabonare buletin reușită"
"No Templates Found","Nici un șablon găsit"
"No problems found.","Nicio problemă găsită."
"No subscribers selected.","Niciun abonat selectat."
"Not Activated","Neactivat"
"Not Sent","Netrimis"
"Pause","Pauză"
"Paused","Pauză"
"Please enter a valid email address.","Introduceți o adresă de email validă."
"Please enter new template name","Introduceți numele noului șablon"
"Please refer to exeption.log","Consultați exeption.log"
"Please select subscriber(s)","Alegeți abonatul(ții)"
"Preview","Previzualizare"
"Preview Template","Previzualizare șablon"
"Processed","Procesat"
"Queue Date Start","Dată de început șir"
"Queue Finish","Final Coadă"
"Queue Information","Informații șir"
"Queue Newsletter...","Coadă Buletin..."
"Queue Start","început șir"
"Queue Subject","Subiect șir"
"Recipients","Destinatari"
"Reset","Resetați"
"Resume","Continuă"
"Return HTML Version","Inapoi la versiunea HTML"
"Save As","Salvare ca"
"Save Newsletter","Salvare buletin informativ"
"Save Template","Salvare șablon"
"Save and Resume","Salvează și continuă"
"Security","Securitate"
"Selected problem subscribers have been unsubscribed.","Abonații cu probleme selectați au fost dezabonați."
"Selected problems have been deleted.","Problemele selectate au fost șterse."
"Sender","Expeditor"
"Sender Email","Email expeditor"
"Sender Name","Nume expeditor"
"Sending","Se trimite"
"Sent","Trimis"
"Sign Up for Our Newsletter:","Inscrieți-vă la Buletinele noastre informative"
"Sign up for our newsletter","Abonați-vă la buletinul nostru"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Ne pare rău, însă administratorul a blocat abonarea pentru vizitatori. Vă rugăm <a href=""%s"">să vă înregistrați</a>."
"Start","începeți"
"Status","Statut"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Subject","Subiect"
"Submit","Trimite"
"Subscribe","Abonare"
"Subscribed","Abonat"
"Subscriber","abonat"
"Subscribers","Abonați"
"Subscribers From","Abonați de la"
"Subscription Options","Opțiuni abonare"
"Success Email Sender","Email de succes expeditor"
"Success Email Template","Email de succes șablon"
"Template Content","Conținut șablon"
"Template Information","Informații șablon"
"Template Name","Nume șablon"
"Template Styles","Stiluri șablon"
"Template Subject","Subiect șablon"
"Template Type","Tip șablon"
"Thank you for your subscription.","V-ați abonat cu succes! Vă mulțumim."
"The subscription has been removed.","Abonarea a fost eliminată."
"The subscription has been saved.","Abonarea a fost salvată."
"There was a problem with the subscription.","A existat o problemă cu abonarea."
"There was a problem with the subscription: %s","Există o problemă cu abonarea: %s"
"There was a problem with the un-subscription.","Există o problemă cu dezabonarea."
"This email address is already assigned to another user.","Această adresă de e-mail aparține unui alt utilizator."
"Type","Tip"
"Unconfirmed","Neconfirmat"
"Unsubscribe","Dezabonare"
"Unsubscribe Selected","Dezabonare selectate"
"Unsubscribed","Dezabonat"
"Unsubscription Email Sender","Email dezabonare expeditor"
"Unsubscription Email Template","șablon Email de dezabonare"
"View Newsletter","Vizualizare Buletin informativ"
"Website","Site"
"You have been unsubscribed.","Ați fost dezabonat."
"Your subscription has been confirmed.","Abonarea dumneavoastră a fost confirmată."
