"(Excl. Tax)","(Exkl. Moms)"
"Shipping Methods","Fraktsätt"
"Shopping Cart","Kundvagn"
"Show Content as","Visa innehåll som"
"State/Province","Län"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Subtotal","Delsumma"
"Terms and Conditions","Regler och Villkor"
"Terms and Conditions Information","Information om Allmänna Villkor"
"Thank you for your purchase!","Tack för ditt köp!"
"The product does not exist.","Produkten finns inte."
"This condition no longer exists.","Detta villkor existerar inte längre."
"Total","Summa"
"Total for this address","Totalt för denna adress"
"Unit Price","Styckpris"
"Update","Uppdatera"
"Update Cart","Uppdatera Kundvagn"
"Update Shopping Cart","Uppdatera Kundvagn"
"VAT Number","VAT-nummer"
"View Shopping Cart","Visa kundvagn"
"What's this?","Vad är detta?"
"You have no items in your shopping cart.","Du har inga artiklar i din kundvagn."
"Zip/Postal Code","Postnummer"
"or","eller"
