" [deleted]"," [Borttagen]"
"Category:","Kategori:"
"Checkbox","Kryssruta"
"Clear","Rensa"
"Close","Stäng"
"Code","Kod"
"Complete","Slutförd"
"Configuration","Konfiguration"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Confirmed email:","Bekräftad e-post:"
"Continue","Fortsätt"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Cookie (unsafe)","Cookie (osäkra)"
"Country","Land"
"Country:","Land:"
"Coupons","Kuponger"
"Create","Skapa"
"Create DB Backup","Skapa DB Backup"
"Create New Attribute","Skapa nytt attribut"
"Created At","Skapades"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Kreditkortstyp"
"Credit Memo History","Historik kreditnotor"
"Credit Memo Totals","Kreditnotesumma"
"Credit Memos","Kreditnotor"
"Currency","Valuta"
"Current Month","Aktuell månad"
"Custom","Anpassad"
"Custom Variables","Anpassade variabler"
"Customer","Kund"
"Customer Group:","Kundgrupp:"
"Customer Groups","Kundgrupper"
"Customer Name","Kundnamn"
"Customer Reviews","Kundrecensioner"
"Customers","Kunder"
"Customers by Orders Total","Kunder efter ordersumma"
"Dashboard","Översikt"
"Database","Databas"
"Date","Datum"
"Date & Time","Datum & tid"
"Date Added","Tillagd datum"
"Date selector","Datumväljaren"
"Day","Dag"
"Debug","Felsök"
"Default Billing Address","Förvald faktureringsadress"
"Default Config","Standardinställningar"
"Default Values","Standardvärden"
"Delete","Ta bort"
"Delete Block","Ta bort block"
"Delete File","Radera fil"
"Delete Image","Radera bild"
"Delete Role","Ta bort Roll"
"Delete Store","Ta bort butik"
"Delete Store View","Tag bort butiksvy"
"Delete Template","Ta bort mallen"
"Description","Beskrivning"
"Details","Detaljer"
"Disable","Inaktivera"
"Disabled","Inaktiverad"
"Download","Ladda ner"
"Downloads","Nerladdningar"
"Drop-down","Rullgardin"
"Edit","Redigera"
"Edit Block","Redigera block"
"Edit Design Change","Redigera designändring"
"Edit Email Template","Redigera e-postmall"
"Edit Order","Redigera beställning"
"Edit Role","Redigera roll"
"Edit Store View","Redigera butiksvy"
"Edit System Template","Redigera systemmall"
"Edit Template","Redigera mall"
"Edit URL Rewrite","Redigera URL omskrivning"
"Edit User","Redigera användare"
"Email","E-post"
"Email Address:","E-postadress:"
"Email to a Friend","E-posta till en vän"
"Email:","Epost:"
"Enable","Aktivera"
"Enabled","Aktiverad"
"Entity Type","Typ av enhet"
"Error","Fel"
"Excl. Tax","-Exkl. Moms"
"Exclude media folder from backup","Utesluta media-mapp från säkerhetskopia"
"Expiration Date","Utgångsdatum"
"Export CSV","Exportera till CSV"
"Export to:","Exportera till:"
"FTP Host","FTP-värd"
"FTP Host[:Port]","FTP-värd [: Port]"
"FTP Login","FTP-inloggning"
"FTP Password","FTP-lösenord"
"FTP credentials","FTP-uppgifter"
"Failed","Misslyckad"
"File","Fil"
"File System","Filsystem"
"First Name","Förnamn"
"First Name:","Förnamn:"
"Fixed","Fast"
"Flush Catalog Images Cache","Töm katalogsbilder cachen"
"Flush JavaScript/CSS Cache","Töm javascript/css cachen"
"Forgot your password?","Glömt ditt lösenord?"
"From","Från"
"General Information","Allmän Information"
"Global Search","Global sökning"
"Go Today","Gå till Idag"
"Go to Top","Gå till topp"
"Grand Total","Totalsumma"
"Grid (default) / List","Rutnät (standard) / Lista"
"Grid Only","Endast Rutnät"
"Guest","Gäst"
"Home","Hem"
"IP Address","IP-adress"
"Images (.gif, .jpg, .png)","Bilder (.gif, .jpg, .png)"
"Images Cache","Bild cache"
"Import","Importera"
"Import and Export Tax Rates","Import och Export skattesatser"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Moms"
"Incoming Message","Inkommande meddelande"
"Insert Variable...","Infoga variabel..."
"Invalid Form Key. Please refresh the page.","Ogiltig Form nyckel. Vänligen uppdatera sidan."
"Invalid data","Ogiltiga data"
"Invalid parent block for this block","Ogiltig överordnat block för detta block"
"Invalidated","Ogiltig"
"Inventory Stock Status","Lagerstatus"
"Invoice History","Faktureringshistorik"
"Invoice Totals","Fakturasummor"
"Invoices","Fakturor"
"Is Closed","Är stängd"
"Is Default","Standard"
"Items","Artiklar"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"Last 24 Hours","Senaste 24 timmarna"
"Last 7 Days","Senaste 7 dagarna"
"Last Logged In:","Senast inloggad:"
"Last Name","Efternamn"
"Last Name:","Efternamn:"
"Lifetime Sales","Livstids försäljning"
"Links","Länkar"
"List (default) / Grid","Lista (standard) / Rutnät"
"List Only","Endast lista"
"Load Template","Hämta mall"
"Loading...","Laddar..."
"Login","Logga in"
"Magento root directory","OpenMage rotkatalog"
"Content","Innehåll"
"Currency Rates","Valutakurser"
"Tax Rules","Momsregler"
"Tax Zones and Rates","Skatt zoner och priser"
"Manual","Manuellt"
"Messages Inbox","Inkorgen"
"Month","Månad"
"Most Viewed","Mest visade"
"Most Viewed Products","Mest visade produkter"
"Multiple Select","Flerval"
"My Account","Mitt konto"
"N/A","Ej tillgängligt"
"Name","Namn"
"New ","Ny "
"New Accounts","Nya konton"
"New Attribute","Nytt attribut"
"New Block","Nytt block"
"New Category","Ny kategori"
"New Condition","Nytt villkor"
"New Custom Variable","Nya Anpassade variabler"
"New Customer","Ny kund"
"New Customers","Nya kunder"
"New Email Template","Ny e-postmall"
"New Group","Ny grupp"
"New Invoice","Ny faktura"
"New Memo","Nytt memo"
"New Page","Ny Sida"
"New Password","Nytt lösenord"
"New Rating","Nytt betyg"
"New Review","Ny Recension"
"New Rule","Ny regel"
"New Search","Ny sökning"
"New Set","Ny grupp"
"New Shipment","Ny sändelse"
"New Sitemap","Ny Sitemap"
"New Store View","Ny butiksvy"
"New System Template","Ny system mall"
"New Template","Ny mall"
"Newsletter","Nyhetsbrev"
"Newsletter Templates","Nyhetsbrev mallar"
"No","Nej"
"No Data","Inga data"
"No Data Found","Inga Data hittades"
"No Templates Found","Inga mallar hittade"
"No change","Ingen förändring"
"No records found.","Inga poster funna."
"No search modules were registered","Ingen Sök-moduler registrerades"
"None","Inga"
"Note:","Anteckning:"
"Notifications","Aviseringar"
"Number of Uses","Antal användningar"
"OK","Ok"
"Old rate:","Gammalt pris:"
"Online Customers","Kunder online"
"Options","Alternativ"
"Order","Beställning"
"Order ID","Order-ID"
"Order Totals","Ordersumma"
"Orders","Beställningar"
"Out of stock","Ej i lager"
"Pages","Sidor"
"Parent Product Thumbnail","Föräldrar produktens thumbnail"
"Parent Transaction ID","Överordnat transaktions-ID"
"Password","Lösenord"
"Password Confirmation","Lösenords bekräftelse"
"Password:","Lösenord:"
"Per Item","Frakt per vara"
"Per Order","Per beställning"
"Percent","Procent"
"Personal Information","Personlig information"
"Please Select","Vänligen välj"
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid email.","Vänligen ange en giltig e-post."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel +46 23 456 78 90 eller +46 (0)23-456 78 90."
"Please make sure that all global admin search modules are installed and activated.","Kontrollera att alla globala admin Sök moduler är installerat och aktiverat."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select an option.","Välj ett alternativ."
"Please select customer(s).","Välj kund(er)."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller blanksteg i fältet."
"Please wait...","Var god vänta..."
"Position","Plats"
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Price","Pris"
"Price:","Pris:"
"Processing","Bearbetar"
"Product","Produkt"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Thumbnail Itself","Produktens egen Thumbnail"
"Product:","Produkt:"
"Products","Produkter"
"Products Bestsellers Report","Bästsäljande produkter"
"Products Ordered","Beställda produkter"
"Promotions","Kampanjer"
"Quantity","Antal"
"Radio Buttons","Radioknappar"
"Rebuild","Återskapa"
"Rebuild Catalog Index","Återskapa indexet Katalogfält"
"Rebuild Flat Catalog Category","Återskapa Flat katalog katagorin"
"Rebuild Flat Catalog Product","Återskapa Flat katalog produkterna"
"Recent Orders","Senaste beställningar"
"Reference ID","Referens ID"
"Refresh","Ladda om"
"Refresh Statistics","Uppdatera statistik"
"Region/State","Region/delstat"
"Reload captcha","Uppdatera captcha"
"Remove","Ta bort"
"Reports","Rapporter"
"Required","Obligatorisk"
"Reset","Återställ"
"Reset Filter","Återställ Filter"
"Reset Password","Återställ lösenord"
"Reset a Password","Återställ ett Lösenord"
"Resource Access","Resursåtkomst"
"Results","Resultat"
"Return Html Version","Återställ Html-version"
"Revenue","Intäkter"
"Reviews","Recensioner"
"Role Info","Roll Info"
"Role Information","Rollinformation"
"Role Name","Rollnamn"
"Role Resources","Roll resurser"
"Role Users","Roll-användare"
"Roles","Roller"
"Root Category","Rotkategori"
"Run","Kör"
"SKU","Art.nr"
"Sales","Försäljning"
"Save","Spara"
"Save & Generate","Spara & generera"
"Save Account","Spara konto"
"Save Cache Settings","Spara Cache-inställningar"
"Save Config","Spara Config"
"Save Currency Rates","Spara valutakurser"
"Save Role","Spara roll"
"Save Template","Spara mall"
"Save User","Spara användare"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Search","Sök"
"Search Index","Söknindex"
"Search Term","Sökord"
"Search Terms","Söktermer"
"Search entire store here...","Sök i hela butiken här..."
"Select","Välj"
"Select All","Markera alla"
"Select Category","Välj kategori"
"Sender","Avsändare"
"Shipment Comments","Fraktkommentarer"
"Shipment History","Frakthistorik"
"Shipments","Sändelser"
"Shipping","Frakt"
"Shipping Address","Leveransadress"
"Shipping Address: ","Leveransadress: "
"Shipping Price","Fraktavgift"
"Shopping Cart","Kundvagn"
"Show Reviews","Visa recensioner"
"Sitemap Information","Sitemap information"
"Skip Category Selection","Hoppa över Kategorival"
"Specific Countries","Specifika länder"
"Specified","Angivna"
"Start Date","Startdatum"
"State/Province:","Län/provins:"
"Static Blocks","Statiska block"
"Store","Butik"
"Store View","Butiksvy"
"Stores","Butiker"
"Subject","Ämne"
"Submit","Skicka"
"Subtotal","Delsumma"
"Synchronize","Synkronisera"
"Synchronizing...","Synkroniserar..."
"Tags","Taggar"
"Tax","Skatt"
"Template","Mall"
"Template Content","Mallinnehåll"
"Template Information","Information om mallar"
"Template Name","Mallens namn"
"Template Styles","Mallstilar"
"Template Subject","Mall ämne"
"Template Type","Malltyp"
"Terms and Conditions","Regler och Villkor"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cachen har rensats."
"The attribute set has been removed.","Attributgruppen har blivit raderad."
"The credit memo has been canceled.","Kreditnotan har avbrutits."
"The image cache was cleaned.","Bild cachen har rensats bort."
"The invoice has been captured.","Fakturan har fångats."
"The invoice has been created.","Fakturan har skapats."
"The invoice has been voided.","Fakturan har makulerats."
"The order no longer exists.","Ordern finns inte längre."
"The shipment has been created.","Försändelsen har skapats."
"The transaction details have been updated.","Information om transaktionen har uppdaterats."
"There is an error in one of the option rows.","Det finns ett fel i en av raderna."
"This action cannot be undone.","Denna åtgärd kan inte ångras."
"This block no longer exists.","Det här blocket finns inte längre."
"This is a required field.","Detta är ett obligatoriskt fält."
"Time","Tid"
"To","Till"
"Tools","Verktyg"
"Total","Summa"
"Total Refunded","Totalt återbetalt"
"Track Order","Spåra beställning"
"Track this shipment","Spåra denna försändelse"
"Transaction Data","Transaktionsdata"
"Transaction Details","Transaktionsdetaljer"
"Transaction ID","Transaktions-ID"
"Transaction Type","Transaktionstyp"
"Transactional Emails","Transaktionella mail"
"Transactions","Transaktioner"
"Type","Typ"
"Unknown","Okänd"
"Unlimited","Obegränsat"
"Update","Uppdatera"
"Upload File","Ladda upp fil"
"Upload Files","Ladda upp Filer"
"Use All Available Attributes","Använd alla tillgängliga attribut"
"Use Config Settings","Använd konfigurationsinställningarna"
"Use Default","Använd standard"
"Use Default Value","Använd standardvärde"
"Use Default Variable Values","Använd förvalda variabelvärden"
"Use FTP Connection","Använd FTP-anslutning"
"Use Website","Använd webbplats"
"User Email","Användar E-post"
"User ID","Användar-ID"
"User Name","Användarnamn"
"User Password","Användarlösenord"
"Users","Användare"
"Value","Värde"
"Variable","Variabel"
"Variable Code","Variabel kod"
"Variable HTML Value","Variabelt HTML Värde"
"Variable ID","Variabel ID"
"Variable Name","Variabelns namn"
"Variable Plain Value","Variabelt oformaterat värde"
"View Full Size","Visa full storlek"
"View Statistics For:","Visa statistik för:"
"Warning","Varning"
"Website","Webbplats"
"What is this?","Vad är det här?"
"Year","År"
"Yes","Ja"
"You have logged out.","Du har loggat ut."
"Your password reset link has expired.","Din länk för återställning av lösenord har gått ut."
"Zip/Postal Code","Postnummer"
"[ deleted ]","Borttagen"
"[GLOBAL]","[GLOBALT]"
"[STORE VIEW]","[BUTIKSVY]"
"close","stäng"
"critical","kritiska"
"example: sitemap.xml","exempel: sitemap.xml"
"failed","misslyckades"
"from","från"
"major","stora"
"minor","mindre"
"notice","avisering"
"successful","lyckades"
"to","till"
