"* Required Fields","* Obligatoriska fält"
"Edit Address","Redigera adress"
"Edit Customer Groups","Redigera kundgrupper"
"Edit Group","Redigera grupp"
"Email","E-post"
"Email Address","E-postadress"
"Email Sender","E-postavsändare"
"Email:","Epost:"
"First Name","Förnamn"
"Forgot Password","Glömt lösenord"
"Forgot Your Password?","Glömt ditt lösenord?"
"Gender","Kön"
"General Subscription","Allmänt abonnemang"
"Group","Grupp"
"Group Information","Gruppinformation"
"Group Name","Gruppnamn"
"Guest","Gäst"
"IP Address","IP-adress"
"Invalid login or password.","Felaktigt användarnamn eller lösenord."
"Last Activity","Senaste aktivitet"
"Last Date Subscribed","Datum för senaste prenumerationen"
"Last Date Unsubscribed","Datum för senaste avprenumerationen"
"Last Name","Efternamn"
"Lifetime Sales","Livstids försäljning"
"Login","Logga in"
"Login Options","Inloggningsalternativ"
"Month","Månad"
"My Account","Mitt konto"
"My Orders","Mina beställningar"
"Name","Namn"
"Name and Address Options","Namn och adressalternativ"
"Never","Aldrig"
"New Address","Ny adress"
"New Customer","Ny kund"
"New Customer Group","Ny kundgrupp"
"New Customer Groups","Nya kundgrupper"
"New Customers","Nya kunder"
"New Group","Ny grupp"
"New Password","Nytt lösenord"
"Newsletter","Nyhetsbrev"
"Newsletter Information","Nyhetsbrevsinformation"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Newsletters","Nyhetsbrev"
"No Newsletter Found","Inget nyhetsbrev hittades"
"No item specified.","Inga artiklar anges."
"Not Sent","Inte skickat"
"Online Customers","Kunder online"
"Order #","Beställning #"
"Order Total","Ordersumma"
"Orders","Beställningar"
"Password","Lösenord"
"Password forgotten","Glömt lösenord"
"Password:","Lösenord:"
"Paused","Pausad"
"Pending","Väntar"
"Per Website","Per webbplats"
"Personal Information","Personlig information"
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Please enter the city.","Ange postort."
"Please enter the country.","Ange land."
"Please enter the first name.","Ange förnamn."
"Please enter the last name.","Ange efternamn."
"Please enter the state/province.","Ange region."
"Please enter the street.","Ange gatuadress."
"Please enter the zip/postal code.","Ange postnumret."
"Please enter your email.","Ange din e-post."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select region, state or province","Ange region eller område"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt-id"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Qty","Antal"
"Recent Orders","Senaste beställningar"
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Redirect Customer to Account Dashboard after Logging in","Dirigera kunden till kontoöversikten efter inloggning"
"Refunded","Återbetald"
"Registered Customers","Registrerade kunder"
"Remove","Ta bort"
"Reset a Password","Återställ ett Lösenord"
"SKU","Art.nr"
"Sales Statistics","Försäljningsstatistik"
"Save","Spara"
"Save Address","Spara Adress"
"Save Customer","Spara kund"
"Save Customer Group","Spara kundgrupp"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Send From","Skicka från"
"Send confirmation link","Skicka bekräftelselänk"
"Sending","Skickar"
"Sent","Skickat"
"Shopping Cart","Kundvagn"
"Show Date of Birth","Visa födelsedag"
"Show Gender","Visa kön"
"Show Prefix","Visa prefix"
"Show Suffix","Visa suffix"
"Show Tax/VAT Number","Visa momsregistreringsnummer"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"State/Province","Län"
"Store","Butik"
"Store View","Butiksvy"
"Street Address","Gatuadress"
"Subject","Ämne"
"Submit","Skicka"
"Subscribe to Newsletter","Prenumerera på Nyhetsbrev"
"Tax Class","Momsklass"
"The VAT ID entered (%s) is not a valid VAT ID.","Det Momsregistreringsnummer som angavs (%s) är inte ett giltigt Momsregistreringsnummer."
"The VAT ID is valid. The current Customer Group will be used.","Momsregistreringsnummer är giltigt. Befintlig kundgrupp kommer att användas."
"The customer does not have default billing address.","Kunden har ingen förvald faktureringsadress."
"This email does not require confirmation.","Detta mail kräver inte bekräftelse."
"Total","Summa"
"Type","Typ"
"Unknown","Okänd"
"Unsubscribe from Newsletter","Avregistrera från Nyhetsbrev"
"Update","Uppdatera"
"VAT Number","VAT-nummer"
"VAT Request Date","MOMS begäran datum"
"VAT Request Identifier","MOMS begärande-ID"
"Validate VAT Number","Validera momsregistreringsnummer"
"View","Visa"
"View Order","Visa beställning"
"Visitor","Besökare"
"Website","Webbplats"
"Wishlist","Önskelistan"
"Would you like to change the Customer Group for this order?","Vill du ändra kundgruppen för ordern?"
"Wrong email.","Fel e-post."
"Year","År"
"You have no default billing address in your address book.","Du har ingen förvald faktureringsadress i din adressbok."
"You have no default shipping address in your address book.","Du har ingen förvald leveranssadress i din adressbok."
"You have not set a default billing address.","Du måste fylla i en fakturaadress."
"You have not set a default shipping address.","Du måste fylla i en leveransadress."
"ZIP","Postnummer"
"ZIP/Post Code","Postnummer"
"Zip/Postal Code","Postnummer"
"or","eller"
