"(Excl. Tax)","(බදු හැර)"
"Please agree to all Terms and Conditions before placing the order.","කරුණාකර ඇණවුම ලබා දීමට පෙර සියලුම නියමයන් සහ කොන්දේසි වලට එකඟ වන්න."
"Please agree to all the terms and conditions before placing the order.","කරුණාකර ඇණවුම ලබා දීමට පෙර සියලුම නියමයන් සහ කොන්දේසි වලට එකඟ වන්න."
"Please select region, state or province","කරුණාකර කලාපය, ප්‍රාන්තය හෝ පළාත තෝරන්න"
"Price","මිල"
"Proceed to Checkout","පරීක්ෂා කිරීම වෙත යන්න"
"Product","නිෂ්පාදන"
"Product Name","නිෂ්පාදන නාමය"
"Products","නිෂ්පාදන"
"Qty","ප්‍රමාණය"
"Qty:","ප්‍රමාණය:"
"Quantity","ප්රමාණය"
"Quote Lifetime (days)","ආයු කාලය (දින) උපුටා දක්වන්න"
"Recently added item(s)","මෑතකදී එකතු කළ අයිතම(ය)"
"Remove Item","අයිතමය ඉවත් කරන්න"
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"Review Order","සමාලෝචන නියෝගය"
"SKU","කේතය"
"Sales","විකුණුම්"
"Save Condition","තත්වය සුරකින්න"
"Save in address book","ලිපින පොතේ සුරකින්න"
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"Select Address","ලිපිනය තෝරන්න"
"Select Addresses","ලිපිනයන් තෝරන්න"
"Select Shipping Method","නැව්ගත කිරීමේ ක්‍රමය තෝරන්න"
"Select a shipping address from your address book or enter a new address.","ඔබගේ ලිපින පොතෙන් නැව්ගත කිරීමේ ලිපිනයක් තෝරන්න හෝ නව ලිපිනයක් ඇතුළත් කරන්න."
"Send Payment Failed Email Copy Method","ගෙවීම් අසාර්ථක වූ විද්‍යුත් තැපෑල පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Send Payment Failed Email Copy To","ගෙවීම අසාර්ථක වූ විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Send To","වෙත යවන්න"
"Separate by "","".",""","" මගින් වෙන් කරන්න."
"Ship to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීම"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Shipping Methods","නැව්ගත කිරීමේ ක්රම"
"Shipping To","වෙත නැව්ගත කිරීම"
"Shopping Cart","සාප්පු ට්රොලිය"
"Show Content as","ලෙස අන්තර්ගතය පෙන්වන්න"
"State/Province","ප්රාන්තය/පළාත"
"Status","තත්ත්වය"
"Store View","ගබඩා දර්ශනය"
"Street Address","වීථි ලිපිනය"
"Submitting order information...","ඇණවුම් තොරතුරු ඉදිරිපත් කරමින්..."
"Subtotal","උප එකතුව"
"Terms and Conditions","නියම සහ කොන්දේසි"
"Terms and Conditions Information","නියම සහ කොන්දේසි තොරතුරු"
"Text","පෙළ"
"Thank you for your purchase!","ඔබගේ මිලදී ගැනීම සඳහා ස්තූතියි!"
"The product does not exist.","නිෂ්පාදනය නොපවතී."
"This condition no longer exists.","මෙම තත්ත්වය තවදුරටත් නොපවතී."
"Total","සමස්ත"
"Total for this address","මෙම ලිපිනය සඳහා එකතුව"
"Unit Price","ඒකක මිල"
"Update","යාවත්කාලීන කරන්න"
"Update Cart","කරත්තය යාවත්කාලීන කරන්න"
"Update Qty &amp; Addresses","Qty &amp; ලිපින යාවත්කාලීන කරන්න"
"Update Shopping Cart","සාප්පු කරත්තය යාවත්කාලීන කරන්න"
"VAT Number","වැට් අංකය"
"View Shopping Cart","සාප්පු කරත්තය බලන්න"
"What's this?","මෙය කුමක් ද?"
"You have no items in your shopping cart.","ඔබේ සාප්පු කරත්තයේ ඔබට අයිතම නොමැත."
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"or","හෝ"
