"2nd Day Air","2 වන දින වාතය"
"Priority Mail Regional Rate Box C","ප්‍රමුඛ තැපැල් කලාපීය අනුපාත පෙට්ටිය C"
"Priority Mail Regional Rate Box C Hold For Pickup","ප්‍රමුඛතා තැපැල් ප්‍රාදේශීය ගාස්තු පෙට්ටිය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Small Flat Rate Box","ප්‍රමුඛ තැපැල් කුඩා පැතලි අනුපාත පෙට්ටිය"
"Priority Mail Small Flat Rate Box Hold For Pickup","ප්‍රමුඛතා තැපෑල කුඩා පැතලි ගාස්තු පෙට්ටිය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Small Flat Rate Envelope","ප්‍රමුඛ තැපැල් කුඩා පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපෑල කුඩා පැතලි ගාස්තු ලියුම් කවරය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Window Flat Rate Envelope","ප්‍රමුඛතා තැපැල් කවුළුව පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් කවුළුව පැතලි අනුපාත ලියුම් කවරය පිකප් සඳහා රඳවා තබා ගන්න"
"Rectangular","සෘජුකෝණාස්රාකාර"
"Regular","නිතිපතා"
"Required","අවශ්යයි"
"Residential","නේවාසික"
"Retail Ground","සිල්ලර පිටිය"
"Return","ආපසු"
"Sample","නියැදිය"
"Sandbox Mode","සෑන්ඩ්බොක්ස් මාදිලිය"
"Secure Gateway URL","ආරක්ෂිත ද්වාර URL"
"Sender","යවන්නා"
"Service type does not match","සේවා වර්ගය නොගැලපේ"
"Ship to Applicable Countries","අදාළ රටවලට නැව්ගත කරන්න"
"Ship to Specific Countries","විශේෂිත රටවලට නැව්ගත කරන්න"
"Shipper Number","නැව්ගත කරන්නා අංකය"
"Show Method if Not Applicable","අදාළ නොවේ නම් ක්‍රමය පෙන්වන්න"
"Signature Required","අත්සන අවශ්යයි"
"Size","ප්රමාණය"
"Small Express Box","කුඩා අධිවේගී පෙට්ටිය"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Subtotal","උප එකතුව"
"Title","ශීර්ෂය"
"Tracking XML URL","XML URL ලුහුබැඳීම"
"UPS Expedited","UPS ඉක්මන් කර ඇත"
"UPS Express Box","UPS එක්ස්ප්‍රස් පෙට්ටිය"
"UPS Express Early A.M.","UPS Express උදේ පාන්දර"
"UPS Ground","UPS පිටිය"
"UPS Letter Envelope","UPS ලිපි ලියුම් කවරය"
"UPS Next Day Air","UPS ඊළඟ දවසේ වාතය"
"UPS Next Day Air Early A.M.","UPS පසුදින ගුවන් ‍පෙ.ව"
"UPS Next Day Air Saver","UPS පසුදින වායු සුරැකුම"
"UPS Saver","UPS සේවර්"
"UPS Second Day Air","UPS දෙවන දින වාතය"
"UPS Second Day Air A.M.","UPS දෙවන දින ගුවන් AM"
"UPS Standard","UPS සම්මතය"
"UPS Three-Day Select","UPS තුන්දින තේරීම"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courier"
"UPS Tube","UPS ටියුබ්"
"UPS Type","UPS වර්ගය"
"UPS Worldwide 10 kilo","UPS ලොව පුරා කිලෝ 10 කි"
"UPS Worldwide 25 kilo","UPS ලොව පුරා කිලෝ 25 කි"
"UPS Worldwide Expedited","UPS ලොව පුරා කඩිනම්"
"USPS GXG Envelopes","USPS GXG ලියුම් කවර"
"United Parcel Service","එක්සත් පාර්සල් සේවාව"
"United Parcel Service XML","එක්සත් පාර්සල් සේවා XML"
"User ID","පරිශීලක ID"
"Variable","විචල්ය"
"Weight Unit","බර ඒකකය"
"Width","පළල"
"Worldwide Expedited","ලොව පුරා කඩිනම්"
"Worldwide Express Letter","Worldwide Express ලිපිය"
"Worldwide Express Plus Letter","Worldwide Express Plus ලිපිය"
"Yes","ඔව්"
"cm","සෙමී"
