"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Manage Product Sets","නිෂ්පාදන කට්ටල කළමනාකරණය කරන්න"
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Manage Titles (Size, Color, etc.)","මාතෘකා කළමනාකරණය කරන්න (ප්‍රමාණය, වර්ණය, ආදිය)"
"Max Characters","උපරිම චරිත"
"Maximal Depth","උපරිම ගැඹුර"
"Maximum Image Size","උපරිම රූප ප්‍රමාණය"
"Maximum Number of Price Intervals","උපරිම මිල කාල පරතරයන් ගණන"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Maximum image height","උපරිම රූපය උස"
"Maximum image width","රූපයේ උපරිම පළල"
"Maximum number of characters:","උපරිම අක්ෂර ගණන:"
"Maximum number of price intervals is 100","උපරිම මිල පරතරයන් 100 කි"
"Media Image","මාධ්ය රූපය"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"Move","චලනය කරන්න"
"Must be in the allowed values list.","අවසර ලත් අගයන් ලැයිස්තුවේ තිබිය යුතුය."
"My Account","මගේ ගිණුම"
"Name","නම"
"New Product","නව නිෂ්පාදනය"
"New Product Attribute","නව නිෂ්පාදන ගුණාංගය"
"New Products","නව නිෂ්පාදන"
"New Products Grid Template","නව නිෂ්පාදන ජාල සැකිල්ල"
"New Products List Template","නව නිෂ්පාදන ලැයිස්තු සැකිල්ල"
"New Search","නව සෙවීම"
"New Set Name","නව කට්ටල නම"
"New products","නව නිෂ්පාදන"
"Next","ඊළඟ"
"No","නැත"
"No image","රූපයක් නැත"
"No layout updates","පිරිසැලසුම් යාවත්කාලීන නැත"
"No options of this product are available.","මෙම නිෂ්පාදනය සඳහා විකල්ප නොමැත."
"None","කිසිවක් නැත"
"Not Visible Individually","තනි තනිව නොපෙනේ"
"Notify Low Stock RSS","අඩු කොටස් RSS වෙත දැනුම් දෙන්න"
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Number of Products per Page","පිටුවකට නිෂ්පාදන ගණන"
"Number of Products to Display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
"Number of Uses","භාවිත ගණන"
"Number of results","ප්රතිඵල සංඛ්යාව"
"Number of results (For the last time placed)","ප්‍රතිඵල ගණන (අවසන් වරට තැබූ)"
"OK","හරි"
"Options","විකල්ප"
"Out of Stock","තොග අවසන්"
"Out of stock","තොග අවසන්"
"Page Title Separator","පිටු මාතෘකා බෙදුම්කරු"
"Parent Category","මාපිය කාණ්ඩය"
"Pending","පොරොත්තුවෙන්"
"Pending Reviews RSS","පොරොත්තු සමාලෝචන RSS"
"Please add rows to option.","කරුණාකර විකල්පයට පේළි එක් කරන්න."
"Please specify date required option(s).","කරුණාකර දිනය අවශ්‍ය විකල්ප(ය) සඳහන් කරන්න."
"Please specify the number of products, that will not be divided into subintervals.","කරුණාකර නිෂ්පාදන සංඛ්‍යාව සඳහන් කරන්න, ඒවා අතුරු කාලවලට බෙදෙන්නේ නැත."
"Please specify the quantity of product(s).","නිෂ්පාදන ප්‍රමාණය සඳහන් කරන්න."
"Please specify time required option(s).","කරුණාකර කාලය අවශ්‍ය විකල්ප(ය) සඳහන් කරන්න."
"Please wait...","කරුණාකර රැඳෙන්න..."
"Position","තනතුර"
"Position in Layered Navigation","Layered Navigation හි පිහිටීම"
"Prev","පෙර"
"Previous","කලින්"
"Price","මිල"
"Price Navigation Step Calculation","මිල සංචාලන පියවර ගණනය කිරීම"
"Price Type","මිල වර්ගය"
"Print This Page","මෙම පිටුව මුද්‍රණය කරන්න"
"Product","නිෂ්පාදන"
"Product Alerts","නිෂ්පාදන ඇඟවීම්"
"Product Attribute","නිෂ්පාදන ගුණාංගය"
"Product Attributes","නිෂ්පාදන ගුණාංග"
"Product Categories","නිෂ්පාදන කාණ්ඩ"
"Product Flat Data","නිෂ්පාදන පැතලි දත්ත"
"Product ID","නිෂ්පාදන හැඳුනුම්පත"
"Product Image Placeholders","නිෂ්පාදන රූප ස්ථාන දරන්නන්"
"Product Image Watermarks","නිෂ්පාදන රූප ජල සලකුණු"
"Product In Websites","වෙබ් අඩවි වල නිෂ්පාදන"
"Product Info Column","නිෂ්පාදන තොරතුරු තීරුව"
"Product Link Block Template","නිෂ්පාදන සබැඳි බ්ලොක් අච්චුව"
"Product Link Inline Template","නිෂ්පාදන සබැඳි පේළි සැකිල්ල"
"Product Listing Sort by","නිෂ්පාදන ලැයිස්තුගත කිරීම අනුව වර්ග කරන්න"
"Product Name","නිෂ්පාදන නාමය"
"Product Reviews","නිෂ්පාදන සමාලෝචන"
"Product URL Suffix","නිෂ්පාදන URL උපසර්ගය"
"Product is not loaded","නිෂ්පාදනය පටවා නැත"
"Products","නිෂ්පාදන"
"Products Comparison List","නිෂ්පාදන සංසන්දන ලැයිස්තුව"
"Products Information","නිෂ්පාදන තොරතුරු"
"Products Reviews","නිෂ්පාදන සමාලෝචන"
"Products only","නිෂ්පාදන පමණි"
"Products per Page on Grid Allowed Values","ජාල අවසර ලත් අගයන් මත පිටුවකට නිෂ්පාදන"
"Products per Page on Grid Default Value","ජාල පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Products per Page on List Allowed Values","අවසර ලත් අගයන් ලැයිස්තුවේ පිටුවකට නිෂ්පාදන"
"Products per Page on List Default Value","ලැයිස්තුවේ පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Properties","දේපළ"
"Qty","ප්‍රමාණය"
"Qty Increments","Qty වර්ධක"
"Qty Uses Decimals","Qty දශම භාවිතා කරයි"
"Qty:","ප්‍රමාණය:"
"Quantity","ප්රමාණය"
"Redirect URL","හරවා යවන්න URL"
"Related Products","ආශ්රිත නිෂ්පාදන"
"Remove","ඉවත් කරන්න"
"Remove Product From Websites","වෙබ් අඩවි වලින් නිෂ්පාදන ඉවත් කරන්න"
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Reorganize EAV category structure to flat structure","EAV කාණ්ඩයේ ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
"Reorganize EAV product structure to flat structure","EAV නිෂ්පාදන ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
"Reset","යළි පිහිටුවන්න"
"Results","ප්රතිපල"
"Reviews","සමාලෝචන"
"Root","මූල"
"SKU","කේතය"
"Save","සුරකින්න"
"Save Attribute","ගුණාංගය සුරකින්න"
"Save Search","සෙවුම සුරකින්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Scope","විෂය පථය"
"Search","සොයන්න"
"Search Information","තොරතුරු සොයන්න"
"Search Query","සෙවුම් විමසුම"
"Search Weight","සෙවුම් බර"
"Searchable","සෙවිය හැකි"
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"Select Category...","වර්ගය තෝරන්න..."
"Select Product...","නිෂ්පාදනය තෝරන්න..."
"Select type options required values rows.","වර්ග විකල්ප අවශ්ය අගයන් පේළි තෝරන්න."
"Send Count","යවන්න ගණන්"
"Set Ascending Direction","ආරෝහණ දිශාව සකසන්න"
"Set Descending Direction","බැසීමේ දිශාව සකසන්න"
"Settings","සැකසුම්"
"Shop By","සාප්පු සවාරි යන්න"
"Shopping Options","සාප්පු සවාරි විකල්ප"
"Show","පෙන්වන්න"
"Show Details","විස්තර පෙන්වන්න"
"Site Map","අඩවි සිතියම"
"Sitemap","අඩවි සිතියම"
"Some of the selected item options are not currently available.","තෝරාගත් සමහර අයිතම විකල්ප දැනට නොමැත."
"Sort By","අනුව තෝරන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Source Model","මූලාශ්ර ආකෘතිය"
"Static","ස්ථිතික"
"Static block and products","ස්ථිතික බ්ලොක් සහ නිෂ්පාදන"
"Static block only","ස්ථිතික බ්ලොක් පමණි"
"Status","තත්ත්වය"
"Stock Availability","කොටස් ලබා ගැනීමේ හැකියාව"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Stretch","දිගු කරන්න"
"Subscribe to RSS Feed","RSS සංග්‍රහයට දායක වන්න"
"System Properties","පද්ධති ගුණාංග"
"Tax","බද්ද"
"Template","සැකිල්ල"
"Text","පෙළ"
"The base directory to upload file is not specified.","ගොනුව උඩුගත කිරීමට මූලික නාමාවලිය සඳහන් කර නොමැත."
"The review was removed by another user or does not exist.","සමාලෝචනය වෙනත් පරිශීලකයෙකු විසින් ඉවත් කරන ලදී හෝ නොපවතියි."
"There are no customers for this alert.","මෙම ඇඟවීම සඳහා පාරිභෝගිකයන් නොමැත."
"This attribute cannot be edited.","මෙම ගුණාංගය සංස්කරණය කළ නොහැක."
"This attribute is used in configurable products.","මෙම ගුණාංගය වින්‍යාසගත කළ හැකි නිෂ්පාදනවල භාවිතා වේ."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","මෙම ගුණාංගය වින්‍යාසගත කළ හැකි නිෂ්පාදනවල භාවිතා වේ. ඔබට එය ගුණාංග කට්ටලයෙන් ඉවත් කළ නොහැක."
"This attribute set no longer exists.","මෙම ගුණාංග කට්ටලය තවදුරටත් නොපවතී."
"This group contains system attributes. Please move system attributes to another group and try again.","මෙම සමූහයේ පද්ධති ගුණාංග අඩංගු වේ. කරුණාකර පද්ධති උපලක්ෂණ වෙනත් කණ්ඩායමකට ගෙන ගොස් නැවත උත්සාහ කරන්න."
"This search no longer exists.","මෙම සෙවුම තවදුරටත් නොපවතී."
"This setting will be applied when all prices in the specific price interval are equal.","නිශ්චිත මිල පරතරයේ සියලුම මිල සමාන වන විට මෙම සැකසුම යෙදේ."
"Tier Pricing","ස්ථර මිලකරණය"
"Tile","ටයිල්"
"Time Format","කාල ආකෘතිය"
"Title","ශීර්ෂය"
"Top/Left","ඉහළ/වම"
"Top/Right","ඉහළ/දකුණ"
"Type","ටයිප් කරන්න"
"URL Rewrite Management","URL නැවත ලිවීමේ කළමනාකරණය"
"Unassigned Attributes","පවරා නොදුන් ගුණාංග"
"Up-sells","ඉහළ-විකුණයි"
"Update","යාවත්කාලීන කරන්න"
"Update Attributes","ගුණාංග යාවත්කාලීන කරන්න"
"Update attributes","ගුණාංග යාවත්කාලීන කරන්න"
"Use Canonical Link Meta Tag For Categories","ප්‍රවර්ග සඳහා කැනොනිකල් ලින්ක් මෙටා ටැගය භාවිතා කරන්න"
"Use Canonical Link Meta Tag For Products","නිෂ්පාදන සඳහා Canonical Link Meta Tag භාවිතා කරන්න"
"Use Categories Path for Product URLs","නිෂ්පාදන URL සඳහා Categories Path භාවිත කරන්න"
"Use Config Settings","වින්‍යාස සැකසුම් භාවිතා කරන්න"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"Use Flat Catalog Category","පැතලි නාමාවලි කාණ්ඩය භාවිතා කරන්න"
"Use Flat Catalog Product","පැතලි නාමාවලිය නිෂ්පාදනය භාවිතා කරන්න"
"Use JavaScript Calendar","JavaScript දින දර්ශනය භාවිතා කරන්න"
"Use config","config භාවිතා කරන්න"
"Use default","පෙරනිමි භාවිතාකරන්න"
"Use for Promo Rule Conditions","ප්‍රවර්ධන රීති කොන්දේසි සඳහා භාවිතා කරන්න"
"Use in Layered Navigation","Layered Navigation හි භාවිතා කරන්න"
"Used for Sorting in Product Listing","නිෂ්පාදන ලැයිස්තුවේ වර්ග කිරීම සඳහා භාවිතා වේ"
"Used in Product Listing","නිෂ්පාදන ලැයිස්තුගත කිරීමේදී භාවිතා වේ"
"Varchar","වර්චාර්"
"View Details","තොරතුරු පෙන්වන්න"
"View as","වශයෙන් දක්වන්න"
"Visibility","දෘශ්‍යතාව"
"Visible","දෘශ්‍යමානයි"
"WYSIWYG Editor","WYSIWYG සංස්කාරකය"
"Website","වෙබ් අඩවිය"
"Websites","වෙබ් අඩවි"
"What's this?","මෙය කුමක් ද?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","""Show X Per Page"" පතන තුළ ""සියල්ල"" විකල්පය පෙන්විය යුතුද යන්න."
"Year Range","වසර පරාසය"
"Yes","ඔව්"
"You have no items to compare.","ඔබට සංසන්දනය කිරීමට අයිතම නොමැත."
"You saved the search term.","ඔබ සෙවුම් පදය සුරකින ලදී."
"and above","සහ ඉහත"
"ex. http://domain.com","උදා. http://domain.com"
"per page","පිටුවකට"
"products","නිෂ්පාදන"
"save","සුරකින්න"
"select all","සියල්ල තෝරන්න"
"unselect all","සියල්ල තෝරා නොගන්න"
