"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Cannot add new comment.","නව අදහස් එක් කළ නොහැක."
"Cannot add tracking number.","ලුහුබැඳීමේ අංකය එක් කළ නොහැක."
"Cannot do shipment for the order separately from invoice.","ඉන්වොයිසියෙන් වෙන වෙනම ඇණවුම සඳහා නැව්ගත කිරීම කළ නොහැක."
"Cannot do shipment for the order.","ඇණවුම සඳහා නැව්ගත කිරීම කළ නොහැක."
"Cannot save shipment.","නැව්ගත කිරීම සුරැකිය නොහැක."
"Cannot send shipment information.","නැව්ගත කිරීමේ තොරතුරු යැවිය නොහැක."
"Cannot update item quantity.","අයිතම ප්‍රමාණය යාවත්කාලීන කළ නොහැක."
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Catalog","නාමාවලිය"
"Catalog Price Rules","නාමාවලි මිල රීති"
"Catalog Rewrites","නාමාවලිය නැවත ලියන්න"
"Categories","වර්ග"
"Category","වර්ගය"
"Category:","වර්ගය:"
"Checkbox","පිරික්සුම් කොටුව"
"Child Transactions","ළමා ගනුදෙනු"
"Choose Store View:","ගබඩා දර්ශනය තෝරන්න:"
"Clear","පැහැදිලිව"
"Close","වසන්න"
"Code","කේතය"
"Complete","සම්පූර්ණයි"
"Config form fieldset clone model required to be able to clone fields","ක්ෂේත්‍ර ක්ලෝන කිරීමට හැකි වීමට අවශ්‍ය වින්‍යාස පෝරමය ක්ෂේත්‍ර කට්ටල ක්ලෝන ආකෘතිය"
"Configuration","මානකරනය"
"Confirm New Password","නව මුරපදය තහවුරු කරන්න"
"Confirmed email:","තහවුරු කළ විද්‍යුත් තැපෑල:"
"Continue","දිගටම කරගෙන යන්න"
"Convert to Plain Text","සරල පෙළ බවට පරිවර්තනය කරන්න"
"Country","රට"
"Country:","රට:"
"Coupons","කූපන් පත්"
"Create","නිර්මාණය කරන්න"
"Create DB Backup","DB Backup සාදන්න"
"Create New Attribute","නව ගුණාංගයක් සාදන්න"
"Created At","දී නිර්මාණය කරන ලදී"
"Credit Card Number","ණය පත් අංකය"
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Credit Memo History","ණය මතක සටහන් ඉතිහාසය"
"Credit Memo Totals","ණය සටහන් එකතුව"
"Credit Memos","ණය මතක සටහන්"
"Currency","මුදල්"
"Current Configuration Scope:","වත්මන් වින්යාස විෂය පථය:"
"Current Month","මේ මාසය"
"Custom","අභිරුචි"
"Custom Variables","අභිරුචි විචල්යයන්"
"Customer","පාරිභෝගික"
"Customer Group:","පාරිභෝගික කණ්ඩායම:"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Customer Name","පාරිභෝගිකයාගේ නම"
"Customer Reviews","පාරිභෝගික සමාලෝචන"
"Customer Shopping Carts","පාරිභෝගික සාප්පු කරත්ත"
"Customer Tax Classes","පාරිභෝගික බදු පන්ති"
"Customers","පාරිභෝගිකයන්"
"Customers by Number of Orders","ඇණවුම් ගණන අනුව පාරිභෝගිකයින්"
"Customers by Orders Total","මුළු ඇණවුම් අනුව ගනුදෙනුකරුවන්"
"Dashboard","උපකරණ පුවරුව"
"Database","දත්ත සමුදාය"
"Date","දිනය"
"Date & Time","දිනය වෙලාව"
"Date Added","එකතු කළ දිනය"
"Date selector","දින තේරීම"
"Day","දින"
"Debug","දෝෂහරණය කරන්න"
"Default Billing Address","පෙරනිමි බිල්පත් ලිපිනය"
"Default Config","පෙරනිමි වින්‍යාසය"
"Default Values","පෙරනිමි අගයන්"
"Default scope","පෙරනිමි විෂය පථය"
"Delete","මකන්න"
"Delete Block","අවහිර කිරීම මකන්න"
"Delete File","ගොනුව මකා"
"Delete Image","රූපය මකන්න"
"Delete Role","භූමිකාව මකන්න"
"Delete Store","ගබඩාව මකන්න"
"Delete Store View","ගබඩා දර්ශනය මකන්න"
"Delete Template","අච්චුව මකන්න"
"Delete User","පරිශීලක මකන්න"
"Description","විස්තර"
"Design","නිර්මාණ"
"Details","විස්තර"
"Disable","අක්රිය කරන්න"
"Disabled","ආබාධිතයි"
"Display default currency","පෙරනිමි මුදල් ප්‍රදර්ශනය කරන්න"
"Download","බාගත"
"Downloads","භාගත කිරීම"
"Drop-down","පතන"
"Edit","සංස්කරණය කරන්න"
"Edit Block","බ්ලොක් සංස්කරණය කරන්න"
"Edit Design Change","නිර්මාණ වෙනස් කිරීම සංස්කරණය කරන්න"
"Edit Email Template","ඊමේල් අච්චුව සංස්කරණය කරන්න"
"Edit Order","ඇණවුම සංස්කරණය කරන්න"
"Edit Queue","පෝලිම සංස්කරණය කරන්න"
"Edit Review","සමාලෝචනය සංස්කරණය කරන්න"
"Edit Role","භූමිකාව සංස්කරණය කරන්න"
"Edit Store View","ගබඩා දර්ශනය සංස්කරණය කරන්න"
"Edit System Template","පද්ධති සැකිල්ල සංස්කරණය කරන්න"
"Edit Template","සැකිල්ල සංස්කරණය කරන්න"
"Edit URL Rewrite","URL නැවත ලියන්න සංස්කරණය කරන්න"
"Edit User","පරිශීලක සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Email Address:","විද්යුත් තැපැල් ලිපිනය:"
"Email to a Friend","මිතුරෙකුට ඊමේල් කරන්න"
"Email:","විද්යුත් තැපෑල:"
"Enable","සබල කරන්න"
"Enabled","සබල කර ඇත"
"Entity Attributes","ආයතන ගුණාංග"
"Entity Type","ආයතන වර්ගය"
"Entity type:","ආයතන වර්ගය:"
"Error","දෝෂයකි"
"Excel XML","එක්සෙල් XML"
"Excl. Tax","හැර. බද්ද"
"Exclude media folder from backup","උපස්ථයෙන් මාධ්‍ය ෆෝල්ඩරය බැහැර කරන්න"
"Expiration Date","කල්පිරෙන දිනය"
"Export","අපනයන"
"Export CSV","CSV අපනයනය කරන්න"
"Export to:","අපනයනය කරන්න:"
"FTP Host","FTP සත්කාරක"
"FTP Host[:Port]","FTP සත්කාරක[:Port]"
"FTP Login","FTP පිවිසුම"
"FTP Password","FTP මුරපදය"
"FTP credentials","FTP අක්තපත්‍ර"
"Failed","අසාර්ථකයි"
"File","ගොනුව"
"First Invoice Created Date","පළමු ඉන්වොයිසිය සෑදූ දිනය"
"First Name","මුල් නම"
"First Name:","මුල් නම:"
"Fixed","ස්ථාවර"
"Flush Catalog Images Cache","ෆ්ලෂ් නාමාවලි රූප හැඹිලිය"
"Flush JavaScript/CSS Cache","ජාවාස්ක්‍රිප්ට්/සීඑස්එස් හැඹිලිය ෆ්ලෂ් කරන්න"
"Forgot your password?","මුරපදය අමතක වුනාද?"
"From","සිට"
"General Information","සාමාන්ය තොරතුරු"
"Global Search","ගෝලීය සෙවීම"
"Go Today","අදම යන්න"
"Go to Top","ඉහළට යන්න"
"Grand Total","මුලු එකතුව"
"Grid (default) / List","ජාලකය (පෙරනිමි) / ලැයිස්තුව"
"Grid Only","ජාලකය පමණි"
"Guest","අමුත්තන්ගේ"
"HTTP (unsecure)","HTTP (අනාරක්ෂිත)"
"Home","නිවස"
"ID","හැඳුනුම්පත"
"IP Address","IP ලිපිනය"
"IPN (Instant Payment Notification) Only","IPN (ක්ෂණික ගෙවීම් දැනුම්දීම) පමණි"
"Id","හැඳුනුම්පත"
"Images (.gif, .jpg, .png)","පින්තූර (.gif, .jpg, .png)"
"Images Cache","පින්තූර හැඹිලිය"
"Import","ආනයන"
"Import/Export","ආනයන අපනයන"
"Important: ","වැදගත්: "
"Inactive","අක්රියයි"
"Incl. Tax","ඇතුළු. බද්ද"
"Incoming Message","එන පණිවිඩය"
"Insert Variable...","විචල්‍යය ඇතුළු කරන්න..."
"Invalid Form Key. Please refresh the page.","වලංගු නොවන පෝරම යතුර. කරුණාකර පිටුව නැවුම් කරන්න."
"Invalid data","වලංගු නොවන දත්ත"
"Invalid parent block for this block","මෙම වාරණ සඳහා වලංගු නොවන මාපිය වාරණය"
"Invalid response","වලංගු නොවන ප්‍රතිචාරයක්"
"Invalidated","අවලංගුයි"
"Inventory Stock Status","ඉන්වෙන්ටරි කොටස් තත්ත්වය"
"Invoice History","ඉන්වොයිස් ඉතිහාසය"
"Invoice Totals","ඉන්වොයිස් එකතුව"
"Invoices","ඉන්වොයිසි"
"Is Closed","වසා ඇත"
"Is Default","පෙරනිමි වේ"
"Items","අයිතම"
"JavaScript seems to be disabled in your browser.","ඔබගේ බ්‍රවුසරයේ JavaScript අක්‍රිය කර ඇති බව පෙනේ."
"JavaScript/CSS Cache","JavaScript/CSS හැඹිලිය"
"Last 24 Hours","පසුගිය පැය 24"
"Last 7 Days","පසුගිය දින 7"
"Last Credit Memo Created Date","අවසන් ණය සටහන නිර්මාණය කළ දිනය"
"Last Invoice Created Date","අවසන් ඉන්වොයිසිය නිර්මාණය කළ දිනය"
"Last Logged In:","අවසන් වරට පුරනය වූයේ:"
"Last Name","අවසන් නම"
"Last Name:","අවසන් නම:"
"Lifetime Sales","ජීවිත කාලය විකුණුම්"
"Links","සබැඳි"
"List (default) / Grid","ලැයිස්තුව (පෙරනිමිය) / ජාලකය"
"List Only","ලැයිස්තුව පමණි"
"Load Template","අච්චුව පැටවීම"
"Loading...","පූරණය වෙමින්..."
"Local Server","දේශීය සේවාදායකය"
"Locale","දේශීය"
"Login","ඇතුල් වන්න"
"Low Stock","අඩු තොග"
"OpenMage Admin","OpenMage පරිපාලක"
"Magento root directory","OpenMage මූල නාමාවලිය"
"Content","අන්තර්ගතය"
"Tax Rules","බදු නීති"
"Tax Zones and Rates","බදු කලාප සහ අනුපාත"
"Manual","අත්පොත"
"Maximum sender name length is 255. Please correct your settings.","උපරිම යවන්නාගේ නම දිග 255. කරුණාකර ඔබගේ සැකසීම් නිවැරදි කරන්න."
"Media (.avi, .flv, .swf)","මාධ්‍ය (.avi, .flv, .swf)"
"Messages Inbox","පණිවිඩ එන ලිපි"
"Month","මාසික"
"Most Viewed","වැඩිපුරම නැරඹූ"
"Most Viewed Products","වැඩිපුරම නැරඹූ නිෂ්පාදන"
"Multiple Select","බහු තේරීම"
"My Account","මගේ ගිණුම"
"Name","නම"
"Never (production)","කවදාවත් (නිෂ්පාදනය)"
"New ","අලුත් "
"New Accounts","නව ගිණුම්"
"New Attribute","නව ගුණාංගය"
"New Block","නව බ්ලොක්"
"New Category","නව කාණ්ඩය"
"New Condition","නව කොන්දේසිය"
"New Customer","නව පාරිභෝගිකයා"
"New Customers","නව පාරිභෝගිකයින්"
"New Email Template","නව විද්‍යුත් තැපැල් අච්චුව"
"New Group","නව සමූහය"
"New Invoice","නව ඉන්වොයිසිය"
"New Memo","අලුත් Memo"
"New Page","නව පිටුව"
"New Password","නව මුරපදය"
"New Rating","නව ශ්රේණිගත කිරීම"
"New Review","නව සමාලෝචනය"
"New Role","නව භූමිකාව"
"New Rule","නව රීතිය"
"New Search","නව සෙවීම"
"New Set","නව කට්ටලය"
"New Shipment","නව නැව්ගත කිරීම"
"New Sitemap","නව අඩවි සිතියම"
"New Store View","නව ගබඩා දසුන"
"New System Template","නව පද්ධති සැකිල්ල"
"New Template","නව සැකිල්ල"
"New User","නව පරිශීලක"
"Newsletter","පුවත් පත්‍රිකාව"
"Newsletter Queue","ප්‍රවෘත්ති පත්‍ර පෝලිම"
"Newsletter Subscribers","පුවත් පත්‍රිකා ග්‍රාහකයින්"
"Newsletter Templates","පුවත් පත්ර ආකෘති"
"No","නැත"
"No (price without tax)","නැත (බදු රහිත මිල)"
"No Data","දත්ත නැත"
"No Data Found","දත්ත නොමැත"
"No Templates Found","සැකිලි හමු නොවිණි"
"No change","වෙනසක් නැහැ"
"No records found.","වාර්තා හමුවී නැත."
"No search modules were registered","සෙවුම් මොඩියුල ලියාපදිංචි කර නොමැත"
"None","කිසිවක් නැත"
"Note:","සටහන:"
"Notifications","දැනුම්දීම්"
"Number of Uses","භාවිත ගණන"
"OK","හරි"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","ඔබ ඔබේ PayPal උසස් ගිණුමට ලොග් වූ පසු, සේවා සැකසීම් වෙත සංචාලනය කරන්න - සත්කාරක පිරික්සුම් පිටු - මෙනුව සකසන්න සහ පහත විස්තර කර ඇති විකල්ප සකසන්න."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","ඔබ ඔබේ PayPal Payflow Link ගිණුමට ලොග් වූ පසු, සේවා සැකසීම් වෙත සංචාලනය කරන්න - සත්කාරක පිරික්සුම් පිටු - මෙනුව සකසන්න සහ පහත විස්තර කර ඇති විකල්ප සකසන්න."
"Online Customers","මාර්ගගත පාරිභෝගිකයින්"
"Only Once (version upgrade)","එක් වරක් පමණි (අනුවාදය උත්ශ්‍රේණි කිරීම)"
"Optional","විකල්ප"
"Options","විකල්ප"
"Order","නියෝග"
"Order ID","ඕඩර අංකය"
"Order Totals","ඇණවුම් එකතුව"
"Orders","නියෝග"
"Out of stock","තොග අවසන්"
"Pages","පිටු"
"Parent Product Thumbnail","මාපිය නිෂ්පාදන සිඟිති රුව"
"Parent Transaction ID","මාපිය ගනුදෙනු හැඳුනුම්පත"
"Password","මුරපදය"
"Password Confirmation","මුරපදය තහවුරු කිරීම"
"Password:","මුරපදය:"
"Pending Reviews","පොරොත්තු සමාලෝචන"
"Per Item","අයිතමයකට"
"Per Order","ඇණවුම අනුව"
"Percent","සියයට"
"Period","කාලය"
"Permanent (301)","ස්ථිර (301)"
"Permissions","අවසර"
"Personal Information","පුද්ගලික තොරතුරු"
"Please Select","කරුණාකර තෝරන්න"
"Please confirm site switching. All data that hasn't been saved will be lost.","කරුණාකර අඩවි මාරු කිරීම තහවුරු කරන්න. සුරැකී නැති සියලුම දත්ත නැති වී යයි."
"Please enter a number greater than 0 in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 ට වඩා වැඩි අංකයක් ඇතුළු කරන්න."
"Please enter a valid $ amount. For example $100.00.","කරුණාකර වලංගු $ මුදලක් ඇතුළු කරන්න. උදාහරණයක් ලෙස $100.00."
"Please enter a valid credit card number.","කරුණාකර වලංගු ණයපත් අංකයක් ඇතුළත් කරන්න."
"Please enter a valid date.","කරුණාකර වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid email.","කරුණාකර වලංගු විද්‍යුත් තැපෑලක් ඇතුළු කරන්න."
"Please enter a valid number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ වලංගු අංකයක් ඇතුළත් කරන්න."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","කරුණාකර වලංගු දුරකථන අංකයක් ඇතුළු කරන්න. උදාහරණයක් ලෙස (123) 456-7890 හෝ 123-456-7890."
"Please enter a valid value from list","ලේඛනයෙන් වලංගු අගයක් යොදන්න"
"Please enter a valid value, ex: 10,20,30","කරුණාකර වලංගු අගයක් ඇතුළු කරන්න, උදා: 10,20,30"
"Please enter a valid zip code.","වලංගු තැපැල් කේතයක් ඇතුල් කරන්න."
"Please make sure that all global admin search modules are installed and activated.","කරුණාකර සියලුම ගෝලීය පරිපාලක සෙවුම් මොඩියුල ස්ථාපනය කර සක්‍රිය කර ඇති බවට වග බලා ගන්න."
"Please make sure your passwords match.","කරුණාකර ඔබගේ මුරපද ගැලපෙන බවට වග බලා ගන්න."
"Please select State/Province.","කරුණාකර ප්‍රාන්තය/පළාත තෝරන්න."
"Please select an option.","කරුණාකර විකල්පයක් තෝරන්න."
"Please select customer(s).","කරුණාකර පාරිභෝගිකයන් තෝරන්න."
"Please select one of the options.","විකල්ප වලින් එකක් තෝරන්න."
"Please select review(s).","කරුණාකර සමාලෝචන(ය) තෝරන්න."
"Please specify the admin custom URL.","කරුණාකර පරිපාලක අභිරුචි URL එක සඳහන් කරන්න."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9) හෝ හිස්තැන් පමණක් භාවිතා කරන්න."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","කරුණාකර මෙම දින ආකෘතිය භාවිතා කරන්න: dd/mm/yyyy. උදාහරණයක් ලෙස 17/03/2006 2006 මාර්තු 17 සඳහා."
"Please wait...","කරුණාකර රැඳෙන්න..."
"Position","තනතුර"
"Preview","පෙරදසුන"
"Preview Template","පෙරදසුන් අච්චුව"
"Price","මිල"
"Processing","සැකසීම"
"Product","නිෂ්පාදන"
"Product Name","නිෂ්පාදන නාමය"
"Product Reviews","නිෂ්පාදන සමාලෝචන"
"Product Thumbnail Itself","නිෂ්පාදන සිඟිති රුව එයම"
"Product:","නිෂ්පාදන:"
"Products","නිෂ්පාදන"
"Products Bestsellers Report","නිෂ්පාදන වැඩියෙන්ම අලෙවි වන වාර්තාව"
"Products Most Viewed Report","නිෂ්පාදන වැඩිපුරම නැරඹූ වාර්තාව"
"Products Ordered","නිෂ්පාදන ඇණවුම් කර ඇත"
"Products in Carts","කරත්තවල නිෂ්පාදන"
"Promo","ප්‍රවර්ධන"
"Promotions","උසස්වීම්"
"Quantity","ප්රමාණය"
"Radio Buttons","ගුවන්විදුලි බොත්තම්"
"Rebuild","නැවත ගොඩනඟන්න"
"Rebuild Catalog Index","නාමාවලි දර්ශකය නැවත ගොඩනඟන්න"
"Rebuild Flat Catalog Category","පැතලි නාමාවලිය ප්‍රවර්ගය නැවත ගොඩනඟන්න"
"Rebuild Flat Catalog Product","පැතලි නාමාවලිය නිෂ්පාදනය නැවත ගොඩනඟන්න"
"Recent Orders","මෑත ඇණවුම්"
"Recent statistics have been updated.","මෑත සංඛ්යා ලේඛන යාවත්කාලීන කර ඇත."
"Reference ID","යොමු හැඳුනුම්පත"
"Refresh","නැවුම් කරන්න"
"Refresh Statistics","සංඛ්‍යාලේඛන නැවුම් කරන්න"
"Region/State","කලාපය/ප්රාන්තය"
"Reload captcha","කැප්චා නැවත පූරණය කරන්න"
"Remote FTP","දුරස්ථ FTP"
"Remove","ඉවත් කරන්න"
"Reports","වාර්තා"
"Request Path","ඉල්ලීම් මාර්ගය"
"Required","අවශ්යයි"
"Reset","යළි පිහිටුවන්න"
"Reset Filter","පෙරහන යළි පිහිටුවන්න"
"Reset Password","මුරපදය නැවත සකසන්න"
"Reset a Password","මුරපදයක් නැවත සකසන්න"
"Resource Access","සම්පත් ප්රවේශය"
"Resources","සම්පත්"
"Results","ප්රතිපල"
"Retrieve Password","මුරපදය ලබා ගන්න"
"Return Html Version","Html අනුවාදය ආපසු දෙන්න"
"Revenue","ආදායම"
"Reviews","සමාලෝචන"
"Role Info","භූමිකාව පිළිබඳ තොරතුරු"
"Role Information","භූමිකාව පිළිබඳ තොරතුරු"
"Role Name","භූමිකාවේ නම"
"Role Resources","භූමිකාව සම්පත්"
"Role Users","භූමිකාව භාවිතා කරන්නන්"
"Roles","භූමිකාවන්"
"Roles Resources","භූමිකාවන් සම්පත්"
"Root Category","මූල කාණ්ඩය"
"Run","දුවන්න"
"SKU","කේතය"
"Sales","විකුණුම්"
"Sales Report","විකුණුම් වාර්තාව"
"Samples","සාම්පල"
"Save","සුරකින්න"
"Save & Generate","සුරකින්න සහ උත්පාදනය කරන්න"
"Save Account","ගිණුම සුරකින්න"
"Save Cache Settings","හැඹිලි සැකසුම් සුරකින්න"
"Save Config","වින්‍යාසය සුරකින්න"
"Save Role","භූමිකාව සුරකින්න"
"Save Template","සැකිල්ල සුරකින්න"
"Save User","පරිශීලක සුරකින්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Search","සොයන්න"
"Search Index","සෙවුම් දර්ශකය"
"Search Term","සොයන්න කාලීන"
"Search Terms","සෙවුම් නියමයන්"
"Search entire store here...","සම්පූර්ණ ගබඩාව මෙතනින් සොයන්න..."
"Select","තෝරන්න"
"Select All","සියල්ල තෝරන්න"
"Select Category","වර්ගය තෝරන්න"
"Select Date","දිනය තෝරන්න"
"Sender","යවන්නා"
"Separate Email","වෙනම ඊමේල්"
"Shipment Comments","නැව්ගත කිරීම් අදහස්"
"Shipment History","නැව්ගත කිරීමේ ඉතිහාසය"
"Shipments","නැව්ගත කිරීම්"
"Shipping","නාවික"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Shipping Address: ","බෙදාහැරීමේ ලිපිනය: "
"Shipping Origin","නැව්ගත කිරීමේ සම්භවය"
"Shipping Price","නැව්ගත කිරීමේ මිල"
"Shopping Cart","සාප්පු ට්රොලිය"
"Show By","විසින් පෙන්වන්න"
"Show Report For:","වාර්තාව පෙන්වන්න:"
"Show Reviews","සමාලෝචන පෙන්වන්න"
"Sitemap Information","අඩවි සිතියම් තොරතුරු"
"Skip Category Selection","ප්‍රවර්ග තේරීම මඟ හරින්න"
"Specific Countries","විශේෂිත රටවල්"
"Specified","නිශ්චිතව දක්වා ඇත"
"Start Date","ආරම්භක දිනය"
"State/Province:","ප්රාන්තය/පළාත්:"
"Static Blocks","ස්ථිතික බ්ලොක්"
"Status","තත්ත්වය"
"Status:","තත්ත්වය:"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Store:","ගබඩා:"
"Stores","ගබඩා"
"Subject","විෂය"
"Submit","ඉදිරිපත් කරන්න"
"Subtotal","උප එකතුව"
"System","පද්ධතිය"
"Tags","ටැග්"
"Target Path","ඉලක්ක මාර්ගය"
"Tax","බද්ද"
"Template","සැකිල්ල"
"Template Content","සැකිලි අන්තර්ගතය"
"Template Information","සැකිලි තොරතුරු"
"Template Name","සැකිල්ල නම"
"Template Styles","සැකිලි මෝස්තර"
"Template Subject","සැකිලි විෂය"
"Template Type","සැකිලි වර්ගය"
"Temporary (302)","තාවකාලික (302)"
"Terms and Conditions","නියම සහ කොන්දේසි"
"Text","පෙළ"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS හැඹිලිය පිරිසිදු කර ඇත."
"The OpenMage cache storage has been flushed.","OpenMage හැඹිලි ගබඩාව සෝදා ඇත."
"The URL Rewrite has been saved.","නැවත ලිවීමේ URL එක සුරැකී ඇත."
"The attribute set has been removed.","උපලක්ෂණ කට්ටලය ඉවත් කර ඇත."
"The credit memo has been canceled.","ණය සංදේශය අවලංගු කර ඇත."
"The image cache was cleaned.","රූප හැඹිලිය පිරිසිදු කරන ලදී."
"The invoice has been captured.","ඉන්වොයිසිය අල්ලාගෙන ඇත."
"The invoice has been created.","ඉන්වොයිසිය නිර්මාණය කර ඇත."
"The invoice has been voided.","ඉන්වොයිසිය අවලංගු කර ඇත."
"The order no longer exists.","ඇණවුම තවදුරටත් නොපවතී."
"The shipment has been created.","නැව්ගත කිරීම නිර්මාණය කර ඇත."
"The transaction details have been updated.","ගනුදෙනු විස්තර යාවත්කාලීන කර ඇත."
"There is an error in one of the option rows.","විකල්ප පේළි වලින් එකක දෝෂයක් ඇත."
"This account is","මෙම ගිණුම වේ"
"This action cannot be undone.","මෙම ක්‍රියාව පසුගමනය කළ නොහැක."
"This block no longer exists.","මෙම අවහිරය තවදුරටත් නොපවතී."
"This is a required field.","මෙය අවශ්ය ක්ෂේත්රයකි."
"This user no longer exists.","මෙම පරිශීලකයා තවදුරටත් නොපවතියි."
