"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Delete","මකන්න"
"Delete Customer","පාරිභෝගිකයා මකන්න"
"Delete Customer Group","පාරිභෝගික කණ්ඩායම මකන්න"
"Deleted Stores","මකා දැමූ වෙළඳසැල්"
"Details","විස්තර"
"Disabled","ආබාධිතයි"
"Edit","සංස්කරණය කරන්න"
"Edit Account Information","ගිණුම් තොරතුරු සංස්කරණය කරන්න"
"Edit Address","ලිපිනය සංස්කරණය කරන්න"
"Edit Customer Groups","පාරිභෝගික කණ්ඩායම් සංස්කරණය කරන්න"
"Edit Group","කණ්ඩායම සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Email Sender","ඊමේල් යවන්නා"
"Email:","විද්යුත් තැපෑල:"
"Enable Automatic Assignment to Customer Group","පාරිභෝගික කණ්ඩායමට ස්වයංක්‍රීය පැවරීම සබල කරන්න"
"Excel XML","එක්සෙල් XML"
"Fax","ෆැක්ස්"
"First Name","මුල් නම"
"Forgot Email Template","ඊමේල් අච්චුව අමතකයි"
"Forgot Password","මුරපදය අමතක වුණා ද"
"Forgot Your Password?","මුරපදය අමතක වුනාද?"
"Gender","ස්ත්රී පුරුෂ භාවය"
"General Subscription","සාමාන්ය දායකත්වය"
"Generate Human-Friendly Customer ID","මානව හිතකාමී පාරිභෝගික හැඳුනුම්පතක් ජනනය කරන්න"
"Global","ගෝලීය"
"Group","සමූහය"
"Group Information","කණ්ඩායම් තොරතුරු"
"Group Name","කණ්ඩායම් නම"
"Group for Invalid VAT ID","වලංගු නොවන VAT ID සඳහා කණ්ඩායම"
"Group for Valid VAT ID - Domestic","වලංගු VAT ID සඳහා කණ්ඩායම - ගෘහස්ථ"
"Group for Valid VAT ID - Intra-Union","වලංගු වැට් බදු හැඳුනුම්පත සඳහා කණ්ඩායම - අන්තර්-යුනියන්"
"Guest","අමුත්තන්ගේ"
"ID","හැඳුනුම්පත"
"IP Address","IP ලිපිනය"
"Invalid login or password.","වලංගු නොවන පිවිසුම් හෝ මුරපදය."
"Last Activity","අවසාන ක්‍රියාකාරකම"
"Last Date Subscribed","දායක වූ අවසන් දිනය"
"Last Date Unsubscribed","අවසන් දිනය දායකත්වයෙන් ඉවත් විය"
"Last Name","අවසන් නම"
"Leave empty for default (15 minutes).","පෙරනිමිය සඳහා හිස්ව තබන්න (විනාඩි 15)."
"Lifetime Sales","ජීවිත කාලය විකුණුම්"
"Login","ඇතුල් වන්න"
"Login Options","පිවිසුම් විකල්ප"
"MM","එම්.එම්"
"Manage Addresses","ලිපින කළමනාකරණය කරන්න"
"Manage Customers","ගනුදෙනුකරුවන් කළමනාකරණය කරන්න"
"Month","මාසික"
"My Account","මගේ ගිණුම"
"My Orders","මගේ නියෝග"
"Name","නම"
"Name and Address Options","නම සහ ලිපින විකල්ප"
"Never","කවදාවත් නැහැ"
"New Address","නව ලිපිනය"
"New Customer","නව පාරිභෝගිකයා"
"New Customer Group","නව පාරිභෝගික කණ්ඩායම"
"New Customer Groups","නව පාරිභෝගික කණ්ඩායම්"
"New Customers","නව පාරිභෝගිකයින්"
"New Group","නව සමූහය"
"New Password","නව මුරපදය"
"Newsletter","පුවත් පත්‍රිකාව"
"Newsletter Information","පුවත් පත්‍රිකා තොරතුරු"
"Newsletter Subscription","පුවත් පත්‍රිකා දායකත්වය"
"Newsletters","පුවත් පත්‍රිකා"
"No Items Found","අයිතම කිසිවක් හමු නොවීය"
"No Newsletter Found","පුවත් පත්‍රිකාවක් හමු නොවිණි"
"No item specified.","අයිතමයක් සඳහන් කර නැත."
"Not Sent","යවා නැත"
"Offline","නොබැඳි"
"Online","ඔන්ලයින්"
"Online Customers","මාර්ගගත පාරිභෝගිකයින්"
"Online Customers Options","මාර්ගගත පාරිභෝගික විකල්ප"
"Online Minutes Interval","මාර්ගගත මිනිත්තු පරතරය"
"Order #","නියෝග #"
"Order Total","මුළු ඇණවුම"
"Orders","නියෝග"
"Password","මුරපදය"
"Password Options","මුරපද විකල්ප"
"Password forgotten","මුරපදය අමතක වී ඇත"
"Password:","මුරපදය:"
"Paused","විරාම කළා"
"Pending","පොරොත්තුවෙන්"
"Per Website","වෙබ් අඩවියකට"
"Personal Information","පුද්ගලික තොරතුරු"
"Please enter a number 1 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අංක 1 හෝ ඊට වැඩි ගණනක් ඇතුළත් කරන්න."
"Please enter the city.","කරුණාකර නගරයට ඇතුළු වන්න."
"Please enter the country.","කරුණාකර රට ඇතුළු කරන්න."
"Please enter the first name.","කරුණාකර මුල් නම ඇතුලත් කරන්න."
"Please enter the last name.","කරුණාකර අවසන් නම ඇතුලත් කරන්න."
"Please enter the state/province.","කරුණාකර ප්‍රාන්තය/පළාත ඇතුළු කරන්න."
"Please enter the street.","කරුණාකර වීදියට ඇතුළු වන්න."
"Please enter the zip/postal code.","කරුණාකර zip/තැපැල් කේතය ඇතුළු කරන්න."
"Please enter your email.","කරුණාකර ඔබගේ විද්‍යුත් තැපෑල ඇතුලත් කරන්න."
"Please make sure your passwords match.","කරුණාකර ඔබගේ මුරපද ගැලපෙන බවට වග බලා ගන්න."
"Please select region, state or province","කරුණාකර කලාපය, ප්‍රාන්තය හෝ පළාත තෝරන්න"
"Prefix Dropdown Options","උපසර්ග පතන විකල්ප"
"Price","මිල"
"Product","නිෂ්පාදන"
"Product ID","නිෂ්පාදන හැඳුනුම්පත"
"Product Name","නිෂ්පාදන නාමය"
"Product Reviews","නිෂ්පාදන සමාලෝචන"
"Qty","ප්‍රමාණය"
"Recent Orders","මෑත ඇණවුම්"
"Recovery Link Expiration Period (hours)","ප්‍රතිසාධන සබැඳිය කල් ඉකුත් වීමේ කාලය (පැය)"
"Redirect Customer to Account Dashboard after Logging in","ප්‍රවිෂ්ට වීමෙන් පසු පාරිභෝගිකයා ගිණුම් උපකරණ පුවරුව වෙත හරවා යවන්න"
"Refunded","ආපසු ගෙවන ලදී"
"Registered Customers","ලියාපදිංචි පාරිභෝගිකයින්"
"Remind Email Template","ඊමේල් අච්චුව මතක් කරන්න"
"Remove","ඉවත් කරන්න"
"Require Emails Confirmation","ඊමේල් තහවුරු කිරීම අවශ්‍ය වේ"
"Reset a Password","මුරපදයක් නැවත සකසන්න"
"SKU","කේතය"
"Sales Statistics","විකුණුම් සංඛ්යාලේඛන"
"Save","සුරකින්න"
"Save Address","ලිපිනය සුරකින්න"
"Save Customer","පාරිභෝගිකයා සුරකින්න"
"Save Customer Group","පාරිභෝගික කණ්ඩායම සුරකින්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Send From","වෙතින් යවන්න"
"Send confirmation link","තහවුරු කිරීමේ සබැඳිය යවන්න"
"Sending","යවනවා"
"Sent","යවා ඇත"
"Share Customer Accounts","පාරිභෝගික ගිණුම් බෙදා ගන්න"
"Shopping Cart","සාප්පු ට්රොලිය"
"Show Date of Birth","උපන් දිනය පෙන්වන්න"
"Show Gender","ලිංගභේදය පෙන්වන්න"
"Show Middle Name (initial)","මැද නම පෙන්වන්න (මුල්)"
"Show Prefix","උපසර්ගය පෙන්වන්න"
"Show Suffix","උපසර්ගය පෙන්වන්න"
"Show Tax/VAT Number","බදු/වැට් අංකය පෙන්වන්න"
"Sign Up for Newsletter","පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න"
"State/Province","ප්රාන්තය/පළාත"
"Status","තත්ත්වය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Street Address","වීථි ලිපිනය"
"Subject","විෂය"
"Submit","ඉදිරිපත් කරන්න"
"Subscribe to Newsletter","පුවත් පත්‍රිකාවට දායක වන්න"
"Suffix Dropdown Options","උපසර්ග පතන විකල්ප"
"Tax Calculation Based On","මත පදනම්ව බදු ගණනය කිරීම"
"Tax Class","බදු පන්තිය"
"Text","පෙළ"
"Text One Line","එක් පේළියකට පෙළ යවන්න"
"The VAT ID entered (%s) is not a valid VAT ID.","ඇතුළත් කළ VAT ID (%s) වලංගු VAT ID එකක් නොවේ."
"The VAT ID is valid. The current Customer Group will be used.","VAT ID වලංගු වේ. වත්මන් පාරිභෝගික කණ්ඩායම භාවිතා කරනු ඇත."
"The customer does not have default billing address.","පාරිභෝගිකයාට පෙරනිමි බිල්පත් ලිපිනයක් නොමැත."
"The suffix that goes after name (Jr., Sr., etc.)","නමට පසුව යන උපසර්ගය (කනිෂ්ඨ, ජ්‍යෙෂ්ඨ, ආදිය)"
"The title that goes before name (Mr., Mrs., etc.)","නමට පෙර යන මාතෘකාව (Mr., Mrs, etc.)"
"This email does not require confirmation.","මෙම විද්‍යුත් තැපෑලට තහවුරු කිරීමක් අවශ්‍ය නොවේ."
"Total","සමස්ත"
"Type","ටයිප් කරන්න"
"Unknown","නොදන්නා"
"Unsubscribe from Newsletter","පුවත් පත්‍රිකාවෙන් දායක නොවන්න"
"Update","යාවත්කාලීන කරන්න"
"Use as my default billing address","මගේ පෙරනිමි බිල්පත් ලිපිනය ලෙස භාවිතා කරන්න"
"Use as my default shipping address","මගේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනය ලෙස භාවිතා කරන්න"
"VAT Number","වැට් අංකය"
"VAT Request Date","වැට් බදු ඉල්ලීමේ දිනය"
"VAT Request Identifier","වැට් ඉල්ලීම් හැඳුනුම්කාරකය"
"Validate VAT Number","VAT අංකය වලංගු කරන්න"
"Validate on Each Transaction","එක් එක් ගනුදෙනුව මත වලංගු කරන්න"
"Validation Error Group","වලංගු කිරීමේ දෝෂ සමූහය"
"View","දැක්ම"
"View Order","ඇණවුම බලන්න"
"Visitor","ආගන්තුකයා"
"Website","වෙබ් අඩවිය"
"Welcome Email","සාදරයෙන් පිළිගනිමු ඊමේල්"
"Wishlist","පැතුම් ලැයිස්තුව"
"Would you like to change the Customer Group for this order?","ඔබ මෙම ඇණවුම සඳහා පාරිභෝගික කණ්ඩායම වෙනස් කිරීමට කැමතිද?"
"Wrong email.","වැරදි ඊමේල්."
"Year","අවුරුදු"
"You have no default billing address in your address book.","ඔබගේ ලිපින පොතේ පෙරනිමි බිල්පත් ලිපිනයක් නොමැත."
"You have no default shipping address in your address book.","ඔබගේ ලිපින පොතේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් නොමැත."
"You have not set a default billing address.","ඔබ පෙරනිමි බිල්පත් ලිපිනයක් සකසා නැත."
"You have not set a default shipping address.","ඔබ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් සකසා නැත."
"You will be charged tax.","ඔබෙන් බදු අය කෙරේ."
"You will not be charged tax.","ඔබෙන් බදු අය නොකෙරේ."
"Your Tax ID cannot be validated.","ඔබේ බදු හැඳුනුම්පත වලංගු කළ නොහැක."
"Your VAT ID was successfully validated.","ඔබේ වැට් බදු හැඳුනුම්පත සාර්ථකව වලංගු විය."
"ZIP/Post Code","ZIP/තැපැල් කේතය"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"or","හෝ"
