"* Required Fields","* Camps obligatoris"
"Group for Valid VAT ID - Intra-Union","Grup per identificació vàlida d'IVA - Intra-Unió"
"Guest","Convidat"
"Invalid login or password.","Inici de sessió o contrasenya no vàlids."
"Last Activity","Darrera activitat"
"Last Date Subscribed","Última data de subscripció"
"Last Date Unsubscribed","Última data no subscrit"
"Last Name","Cognoms"
"Leave empty for default (15 minutes).","Deixeu-lo buit per defecte (15 minuts)."
"Lifetime Sales","Ventes acumulades"
"Login","Iniciar Sessió"
"Login Options","Opcions d’inici de sessió"
"Manage Addresses","Gestionar adreces"
"Manage Customers","Gestionar Clients"
"Month","Mes"
"My Account","El meu compte"
"Name","Nom"
"Name and Address Options","Opcions de nom i adreça"
"Never","Mai"
"New Address","Nova adreça"
"New Customer","Nou Client"
"New Customer Group","Nou grup de clients"
"New Customer Groups","Nou grup de clients"
"New Customers","Nous clients"
"New Group","Nou grup"
"New Password","Nova Contrasenya"
"Newsletter","Butlletí"
"Newsletter Information","Informació del butlletí"
"Newsletters","Butlletí"
"No Newsletter Found","No s’ha trobat cap butlletí"
"No item specified.","Article no especificat."
"Not Sent","No enviat"
"Offline","Desconectat"
"Online","Connectat"
"Online Customers","Clients connectats"
"Online Customers Options","Opcions de clients connectats"
"Online Minutes Interval","Interval de minuts connectat"
"Order #","Comanda #"
"Order Total","Total de la comanda"
"Orders","Comandes"
"Password","Contrasenya"
"Password Options","Opcions de contrasenya"
"Password forgotten","Contrasenya oblidada"
"Password:","Contrasenya:"
"Paused","En pausa"
"Per Website","Per lloc web"
"Personal Information","Informació personal"
"Please enter a number 1 or greater in this field.","Si us plau, introduïu un número igual o més gran que 1 en aquest camp."
"Please enter the state/province.","Si us plau, introduïu Estat/Província."
"Please enter your email.","Si us plau, introduïu el vostre correu electrònic."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"Prefix Dropdown Options","Opcions del desplegable de prefixos"
"Price","Preu"
"Product","Producte"
"Product Name","Nom del producte"
"Product Reviews","Ressenyes de producte"
"Qty","Quantitat"
"Recovery Link Expiration Period (hours)","Període de caducitat de l'enllaç de recuperació (hores)"
"Redirect Customer to Account Dashboard after Logging in","Redirigiu el client al tauler de comptes després d'iniciar la sessió"
"Registered Customers","Clients registrats"
"Remind Email Template","Plantilla de Recorda correu electrònic"
"Remove","Elimina"
"Require Emails Confirmation","Requerir confirmació de correus electrònics"
"Sales Statistics","Estadístiques de vendes"
"Save","Desar"
"Save Address","Desar adreça"
"Save Customer","Desar Client"
"Save Customer Group","Desar grup de clients"
"Save and Continue Edit","Desa i continua editant"
"Send confirmation link","Envia un enllaç de confirmació"
"Sending","Enviant"
"Sent","Enviat"
"Share Customer Accounts","Comaprtir comptes de client"
"Shopping Cart","Cistella"
"Show Date of Birth","Mostra la data de naixement"
"Show Gender","Mostra el gènere"
"Show Middle Name (initial)","Mostra el nom intermedi (inicial)"
"Show Prefix","Mostra el prefix"
"Show Suffix","Mostra el sufix"
"Show Tax/VAT Number","Mostra número d'impostos/IVA"
"Sign Up for Newsletter","Inscriure's al butlletí"
"State/Province","Província"
"Status","Estat"
"Store","Botiga"
"Store View","Vista de Botiga"
"Street Address","Carrer de l'adreça"
"Subject","Assumpte"
"Submit","Enviar"
"Subscribe to Newsletter","Subscrit al butlletí"
"Suffix Dropdown Options","Opcions del desplegable de sufixos"
"Tax Calculation Based On","Càlcul tributari basat en"
"Tax Class","Classe impositiva"
"The VAT ID entered (%s) is not a valid VAT ID.","L’identificador d’IVA introduït (%s) no és un identificador d’IVA vàlid."
"The VAT ID is valid. The current Customer Group will be used.","L’ID d’IVA és vàlid. S'utilitzarà el Grup de Clients actual."
"The customer does not have default billing address.","El client no té una adreça de facturació predeterminada."
"The suffix that goes after name (Jr., Sr., etc.)","Sufix després del nom (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Títol abans del nom (Sr., Sra., etc.)"
"This email does not require confirmation.","Aquest correu electrònic no requereix confirmació."
"Type","Tipus"
"Unknown","Desconegut"
"Unsubscribe from Newsletter","Donar-se de baixa del butlletí"
"Update","Actualitzar"
"Use as my default billing address","Feu-la servir com a adreça de facturació predeterminada"
"Use as my default shipping address","Utilitzeu-la com a adreça d’enviament predeterminada"
"VAT Number","Número d'IVA"
"Validate VAT Number","Validar el número d’IVA"
"Validate on Each Transaction","Validar a cada transacció"
"Validation Error Group","Grup d’errors de validació"
"View","Vista"
"Visitor","Visitant"
"Website","Lloc web"
"Welcome Email","Email de benviguda"
"Would you like to change the Customer Group for this order?","Voleu canviar el grup de clients per aquesta comanda?"
"Wrong email.","Correu electrònic incorrecte."
"Year","Any"
"You have no default billing address in your address book.","No teniu cap adreça de facturació predeterminada a la vostra llibreta d’adreces."
"You have no default shipping address in your address book.","No teniu cap adreça d'enviament predeterminada a la vostra llibreta d’adreces."
"You have not set a default billing address.","No heu definit una adreça de facturació predeterminada."
"You have not set a default shipping address.","No heu definit una adreça d’enviament predeterminada."
"You will be charged tax.","Se us cobrarà impost."
"You will not be charged tax.","No se us cobrarà impost."
"Your Tax ID cannot be validated.","No es pot validar el vostre identificador fiscal."
"Your VAT ID was successfully validated.","La vostra identificació d’IVA s’ha validat correctament."
"Zip/Postal Code","Codi Postal"
"or","o"
