"-- Please Select --","-- Si us plau, seleccioneu --"
"Please use letters only (a-z or A-Z) in this field.","Si us plau, utilitzeu només lletres (a-z o A-Z) en aquest camp."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Si us plau, utilitzeu aquest format de data: dd/mm/aaaa. Per exemple, 17/03/2006 pel 17 de març de 2006."
"Recovery Link Expiration Period (hours)","Període de caducitat de l'enllaç de recuperació (hores)"
"Return-Path Email","Correu electrònico de camí de retorn"
"Root Category","Categoria Arrel"
"Sales Representative","Representant de vendes"
"Save","Desar"
"Save Store","Desar Botiga"
"Save Store View","Desar Vista de Botiga"
"Security","Seguretat"
"Sender Email","Correu electrònic del remitent"
"Sender Name","Nom del remitent"
"Services","Serveis"
"Set Return-Path","Establir el camí de retorn"
"Set as Default","Estableix per Defecte"
"Sort Order","Criteri d'Ordenació"
"Startup Page","Pàgina d'inici"
"Status","Estat"
"Store","Botiga"
"Store Email Addresses","Adreces de correu electrònic de la botiga"
"Store Hours of Operation","Horari de la botiga"
"Store Information","Informació de Botiga"
"Store Name","Nom de la botiga"
"Store View","Vista de Botiga"
"Store View Information","Informació de Vista de Botiga"
"Store view doesn't exist","La vista de botiga no existeix"
"System","Sistema"
"Template Settings","Configuració de la plantilla"
"The store does not exist","La botiga no existeix"
"The value is not within the specified range.","El valor no està dins del rang especificat."
"The website does not exist.","El lloc web no existeix."
"This is a required field.","Aquest és un camp obligatori."
"This store cannot be deleted.","Aquesta botiga no es pot eliminar."
"This store view cannot be deleted.","Aquesta vista de botiga no es pot eliminar."
"This website cannot be deleted.","Aquest lloc web no es pot eliminar."
"Timezone","Fus horari"
"Translate Inline","Tradueix en línia"
"Use Custom Admin Path","Utilizar ruta d'administració personalitzada"
"Use Custom Admin URL","Utilizar URL d'administració personalitzada"
"Use HTTP Only","Utilitzar només HTTP"
"None","Cap"
"VAT Number","Número d'IVA"
"Website","Lloc web"
"Weekend Days","Dies del cap de setmana"
"Yes","Si"
