" [deleted]"," [eliminat]"
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"Please select State/Province.","Si us plau, seleccioneu Estat/Província."
"Please select an option.","Seleccioneu una opció si us plau."
"Please select customer(s).","Si us plau, seleccioneu client(s)."
"Please select one of the options.","Si us plau, seleccioneu una de les opcions."
"Please select review(s).","Si us plau, seleccioneu ressenyes."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Si us plau, utilitzeu aquest format de data: dd/mm/aaaa. Per exemple, 17/03/2006 pel 17 de març de 2006."
"Please wait...","Espera, si us plau..."
"Position","Posició"
"Preview","Vista prèvia"
"Preview Template","Plantilla de previsualització"
"Price","Preu"
"Product","Producte"
"Product Name","Nom del producte"
"Product Reviews","Ressenyes de producte"
"Products","Productes"
"Quantity","Quantitat"
"Rebuild","Reconstruïr"
"Rebuild Catalog Index","Reconstruir Índex de Catàleg"
"Rebuild Flat Catalog Category","Reconstruir Categoria de Catàleg Pla"
"Rebuild Flat Catalog Product","Reconstruir Producte de Catàleg Pla"
"Refresh","Refrescar"
"Region/State","Regió/Estat"
"Reload captcha","Recarregar captcha"
"Remove","Elimina"
"Reports","Informes"
"Reset","Restablir"
"Reset Filter","Restablir Filtre"
"Reset Password","Restablir la contrasenya"
"Results","Resultats"
"Revenue","Ingressos"
"Reviews","Ressenyes"
"Root Category","Categoria Arrel"
"Sales","Vendes"
"Save","Desar"
"Save Account","Desa el Compte"
"Save Cache Settings","Desar la configuració de la caché"
"Save Currency Rates","Guardar els tipus de canvi"
"Save and Continue Edit","Desa i continua editant"
"Search","Cerca"
"Search Index","Índex de Cerca"
"Search Term","Terme de cerca"
"Search Terms","Termes de cerca"
"Search entire store here...","Cerqueu tota la botiga aquí..."
"Select All","Selecciona Tot"
"Shipping","Enviament"
"Shipping Address","Adreça d'enviament"
"Shopping Cart","Cistella"
"Show Reviews","Mostrar ressenyes"
"Specific Countries","Països especificats"
"Start Date","Data d'inici"
"Status","Estat"
"Store","Botiga"
"Store View","Vista de Botiga"
"Stores","Botigues"
"Subject","Assumpte"
"Submit","Enviar"
"System","Sistema"
"Tax","Impostos"
"Template","Plantilla"
"Terms and Conditions","Condicions d'ús"
"The JavaScript/CSS cache has been cleaned.","S'ha netejat la memòria cau JavaScript/CSS."
"The OpenMage cache storage has been flushed.","La memòria cau OpenMage s’ha netejat."
"The image cache was cleaned.","La memòria cau d'imatges es va netejar."
"This is a required field.","Aquest és un camp obligatori."
"Time","Temps"
"To","Fins"
"Tools","Eines"
"Type","Tipus"
"Unknown","Desconegut"
"Update","Actualitzar"
"Upload File","Pujar arxiu"
"Use All Available Attributes","Utilitzar tots els atributs disponibles"
"Use Default","Usa el predeterminat"
"User Email","Correu electrònic de l'usuari"
"User Name","Nom d'usuari"
"View Full Size","Veure a mida completa"
"View Statistics For:","Veure les estadístiques per:"
"Warning","Atenció"
"Website","Lloc web"
"What is this?","Què és això?"
"YTD","Any fins a la data"
"Year","Any"
"Yes","Si"
"Yes (301 Moved Permanently)","Sí (301 Mogut Permanentment)"
"Yes (302 Found)","Sí (302 Trobat)"
"You have logged out.","Heu tancat la sessió."
"Your password reset link has expired.","L’enllaç de restabliment de contrasenya ha caducat."
"Zip/Postal Code","Codi Postal"
"[ deleted ]","[ eliminat ]"
"[WEBSITE]","[PÀGINA WEB]"
"close","tanca"
"critical","crítiques"
"failed","ha fallat"
"major","importants"
"minor","a revisar"
"notice","avís"
"successful","correcte"
