"-- Please Select --","-- Selecteer --"
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"Unsecure","Onveilig"
"Url Options","URL-opties"
"Use Custom Admin Path","Gebruik aangepast admin-pad (URI)"
"Use Custom Admin URL","Gebruik aangepaste admin-URL"
"Use HTTP Only","Alleen HTTP gebruiken"
"None","Geen"
"Use Secure URLs in Admin","Gebruik veilige URL’s in admin"
"Use Secure URLs in Frontend","Gebruik veilige URL’s in front-end"
"Use Web Server Rewrites","Gebruik webserver-rewrites"
"VAT Number","BTW nummer"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Validate REMOTE_ADDR","REMOTE_ADDR valideren"
"Validation has failed.","Validatie is mislukt."
"Variable Code must be unique.","Variabele code moet uniek zijn"
"Website Information","Website-gegevens"
"Website Name","Website-naam"
"Website with the same code","Website met dezelfde code"
"Weekend Days","Weekenddagen"
"Welcome Text","Welkomsttekst"
"Wrong file info format","Verkeerd bestand-informatie formaat"
"Wrong number of arguments for %s","Fout aantal argumenten voor %s"
"Yes","Ja"
