"* Required Fields","* Verplichte velden"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - EU"
"Guest","Bezoeker"
"Hello, %s!","Hallo, %s!"
"IP Address","IP Adres"
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Invalid current password","Huidig wachtwoord ongeldig"
"Invalid customer data","Ongeldige klantgegevens"
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"Last Activity","Laatste activiteit"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"Last Name","Achternaam"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Log In","Inloggen"
"Log Out","Log uit"
"Login","Log in"
"Login Information","Login-gegevens"
"Login Options","Aanmeldopties"
"Login or Create an Account","Inloggen of een account aanmaken"
"MM","mm"
"Manage Addresses","Beheer adressen"
"Manage Customers","Klanten beheren"
"Month","Maand"
"My Account","Account"
"My Dashboard","Mijn dashboard"
"My Orders","Mijn bestellingen"
"Name","Naam"
"Name and Address Options","Naam- en adresopties"
"Never","Nooit"
"New Address","Nieuw Adres"
"New Address Entry","Nieuw adres toevoegen"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuw klantadres"
"New Customer Group","Nieuwe klantgroep"
"New Customer Groups","Nieuwe klantgroepen"
"New Customers","Nieuwe klanten"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"New account","Nieuw account"
"New account confirmation key","Bevestigingscode nieuw account"
"New account confirmed","Nieuw account bevestigd"
"Newsletter","Nieuwsbrief"
"Newsletter Finish","Nieuwsbrief afsluiten"
"Newsletter Information","Nieuwsbriefgegevens"
"Newsletter Received","Nieuwsbrief ontvangen"
"Newsletter Start","Nieuwsbrief starten"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletters","Nieuwsbrieven"
"No Items Found","Geen artikelen gevonden"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"No item specified.","Geen artikel gespecificeerd."
"Not Sent","Niet verstuurd"
"Not confirmed, can login","Niet bevestigd, kan inloggen"
"Not confirmed, cannot login","Niet bevestigd, kan niet inloggen"
"Online Customers","Online klanten"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"Order #","Ordernr."
"Order Total","Totaal"
"Orders","Bestellingen"
"Password","Wachtwoord"
"Password Management","Beheer wachtwoorden"
"Password Options","Wachtwoordopties"
"Password forgotten","Wachtwoord vergeten"
"Password:","Wachtwoord:"
"Paused","Gepauzeerd"
"Pending","In afwachting"
"Per Website","Per website"
"Personal Information","Persoonlijke informatie"
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Please enter the city.","Voer de plaats in."
"Please enter the country.","Voer het land in."
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter the state/province.","Vul de provincie in."
"Please enter the street.","Vul de straatnaam in."
"Please enter the zip/postal code.","Vul de postcode in."
"Please enter your email below and we'll send you confirmation link for it.","Vul alstublieft hieronder uw email adres in en we sturen u een bevestiging-link."
"Please enter your email.","Voer uw e-mailadres in."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Price","Prijs"
"Product ID","Product-ID"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Product Tags","Eigen tags"
"Purchase On","Aankoop op"
"Purchased On","Gekocht op"
"Qty","Aantal"
"Recent Orders","Recente orders"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Redirect Customer to Account Dashboard after Logging in","Redirect klant naar Accountpagina na inloggen"
"Refunded","Teruggestort"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Registered Customers","Geregistreerde klanten"
"Remind Email Template","Email Template herinnering-e-mail"
"Remove","Verwijder"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Reset a Password","Wachtwoord opnieuw instellen"
"Retrieve address data","Adresgegevens ophalen"
"Retrieve address info","Adresgegevens ophalen"
"Retrieve customer addresses","Klantadressen ophalen"
"Retrieve customer data","Klantgegevens ophalen"
"Retrieve customers","Klanten ophalen"
"Retrieve your confirmation link here","Haal hier uw bevestigingslink op"
"Retrieve your password here","Vraag uw wachtwoord hier op"
"SKU","Art.nr."
"Sales Statistics","Verkoopstatistiek"
"Save","Opslaan"
"Save Address","Adres opslaan"
"Save Customer","Klant opslaan"
"Save Customer Group","Klantgroep opslaan"
"Save Password","Wachtwoord opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Waarden scheiden met puntkomma (;) <br/>Zet een puntkomma aan het begin voor een lege eerste optie.<br/> Niets invullen voor een leeg tekstveld."
"Send From","Verzenden van"
"Send Welcome Email after Confirmation","Welkomstbericht mailen na bevestiging"
"Send confirmation link","stuur bevestigingslink"
"Sending","Bezig met verzenden"
"Sent","Verstuurd"
"Session Start Time","Aanvangstijd sessie"
"Set as Default Billing Address","Als standaard-factuuradres instellen"
"Set as Default Shipping Address","Als standaard-afleveradres instellen"
"Share Customer Accounts","Klantaccounts delen"
"Shipped to First Name","Verzonden aan voornaam"
"Shipped to Last Name","Verzonden aan achternaam"
"Shipped to Name","Verzonden aan naam"
"Shopping Cart","Winkelwagen"
"Shopping Cart - %d item(s)","Winkelwagen - %d artikel(en)"
"Show Date of Birth","Geboortedatum tonen"
"Show Gender","Geslacht tonen"
"Show Middle Name (initial)","Midden-initiaal tonen"
"Show Prefix","Voorvoegsel tonen"
"Show Suffix","Achtervoegsel tonen"
"Show Tax/VAT Number","BTW-nummer tonen"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"State/Province","Staat/Provincie"
"Status","status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Street Address","Adres"
"Subject","Onderwerp"
"Submit","Verstuur"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Subscribed to Newsletter?","Geabonneerd op nieuwsbrief?"
"Suffix Dropdown Options","Dropdown-opties achtervoegsel"
"Tag Name","Tag-naam"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Class","BTW-tariefgroep"
"Tax/VAT number","BTW-nummer"
"Telephone","Telefoon"
"Text","Tekst"
"Text One Line","Tekst één regel"
"The VAT ID entered (%s) is not a valid VAT ID.","Het ingevulde BTW-nummer (%s) is geen geldig BTW-nummer."
"The VAT ID is valid. The current Customer Group will be used.","BTW-nummer is geldig, de huidige klantgroep zal worden gebruikt."
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"There are no items in customer's wishlist at the moment","Er staan momenteel geen artikelen op de verlanglijst van de klant"
"There are no items in customer's shopping cart at the moment","Op dit moment zitten er geen artikelen in de winkelwagen van de klant"
"This account is not confirmed.","Dit account is niet bevestigd."
"This customer has no saved addresses.","Deze klant heeft geen opgeslagen adressen."
"This email does not require confirmation.","Deze e-mail hoeft niet bevestigt te worden"
"To Cart","Naar Winkelwagen"
"Total","Totaal"
"Type","Soort"
"Unknown","Onbekend"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"Update","Bijwerken"
"Update customer address data","Adresgegevens van klant updaten"
"Update customer data","Klantgegevens updaten"
"Use as my default billing address","Gebruik als standaard factuuradres"
"Use as my default shipping address","Gebruik als standaard verzendadres"
"VAT Number","BTW nummer"
"VAT Request Date","BTW-nummer validatie aanvraag-datum"
"VAT Request Identifier","BTW-nummer identifier"
"Validate VAT Number","Valideer BTW-nummer"
"Validate on Each Transaction","Valideer bij elke transactie"
"Validation Error Group","Valideer fout-groep"
"View","Bekijk"
"View Order","Bestelling bekijken"
"Visitor","Bezoeker"
"Visitors Only","Alleen bezoekers"
"Welcome Email","Welkomstmail"
"Wishlist","Verlanglijst"
"Wishlist - %d item(s)","Verlanglijst - %d artikel(en)"
"Would you like to change the Customer Group for this order?","Wilt u de klantgroep veranderen voor deze bestelling?"
"Wrong confirmation key.","Onjuiste bevestigingscode"
"Wrong customer account specified.","Onjuist klant-account gespecificeerd."
"Wrong email.","Onjuist e-mailadres."
"YYYY","JJJJ"
"Year","Jaar"
"You are currently not subscribed to any newsletter.","Momenteel bent u niet op een nieuwsbrief geabonneerd."
"You are currently subscribed to 'General Subscription'.","Momenteel bent u geabonneerd op het Algemene Abonnement."
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief."
"You have no additional address entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no additional entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no default billing address in your address book.","U heeft geen standaard factuuradres in uw adresboek."
"You have no default shipping address in your address book.","U heeft geen standaard verzendadres in uw adresboek"
"You have not set a default billing address.","U heeft geen standaard factuuradres ingevoerd."
"You have not set a default shipping address.","Je hebt geen standaard afleveradres ingevoerd."
"You have placed no orders yet.","U hebt nog geen bestellingen geplaatst."
"You have placed no products yet.","U hebt nog geen producten toegevoegd."
"You will be charged tax.","Er zal BTW gerekend worden."
"You will not be charged tax.","Er zal geen BTW gerekend worden."
"Your Tax ID cannot be validated.","Uw BTW-nummer kan niet gevalideerd worden."
"Your VAT ID was successfully validated.","Uw BTW-nummer is met succes gevalideerd."
"Your account balance is: %s","De balans van uw account is: %s"
"ZIP","Postcode"
"ZIP/Post Code","Postcode"
"Zip/Postal Code","Postcode"
"n/a","n.v.t."
"or","of"
