"(Excl. Tax)","(Excl. BTW)"
"Clear Shopping Cart","Leeg winkelwagen"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" target=""_blank"">hier</a> om een kopie van uw orderbevestiging af te drukken."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Configurable Product Image","Afbeelding configureerbaar product"
"Confirm Password","Bevestig wachtwoord"
"Content","inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Doorgaan"
"Continue Shopping","Ga verder met winkelen"
"Continue to Billing Information","Ga verder naar factuurinformatie"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kortingscode “%s” is niet geldig."
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Customer Information","Klantgegevens"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard Factuuradres"
"Default Shipping","Standaard verzendadres"
"Delete Condition","Voorwaarde verwijderen"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Winkelwagen-samenvatting weergave"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Display item quantities","Artikel aantallen tonen"
"Display number of items in cart","Aantal producten in winkelwagen tonen"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst (bookmarks), meerdere afleveradressen, tags, reviews, etc."
"Edit","Bewerken"
"Edit Address","Bewerk adres"
"Edit Billing Address","Factuuradres bewerken"
"Edit Condition","Wijzig conditie"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Edit item","Artikel bewerken"
"Edit item parameters","Wijzig product-parameters"
"Email Address","E-mail adres"
"Enable Onepage Checkout","OnePageCheckout (standaard Checkout) activeren"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er een heeft."
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten"
"Estimate Shipping and Tax","Bekijk verzendkosten en BTW"
"Excl. Tax","Excl. BTW"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Wachtwoord vergeten?"
"Get a Quote","Kostenopgave tonen"
"Gift Message","Cadeau-bericht"
"Grand Total:","Eindtotaal:"
"Grouped Product Image","Afbeelding gegroepeerd product"
"Incl. Tax","Incl. BTW"
"Invalid email address ""%s""","Ongeldig e-mailadres ""%s"""
"Invalid shipping method.","Ongeldige verzendwijze"
"Items","Producten"
"Load customer quote error","Fout bij laden van klant-quote"
"Loading next step...","Bezig met laden van de volgende stap..."
"Login","Log in"
"Terms and Conditions","Algemene Voorwaarden"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"Move","Verplaats"
"Move to Wishlist","Verplaats naar verlanglijst"
"My Cart","Winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"My Cart Link","Winkelwagenlink"
"New Address","Nieuw Adres"
"New Condition","Nieuwe Algemene Voorwaarden"
"New Terms and Conditions","Nieuwe voorwaarden"
"No Payment Methods","Geen betaalmethodes"
"One Page Checkout","Afrekenen op 1 pagina"
"Order #","Ordernr."
"Order Review","Controleer uw bestelling"
"Order Success","Bestelling succes"
"Password","Wachtwoord"
"Payment Failed Email Reciever","Ontvanger E-mail over mislukte betaling"
"Payment Failed Email Sender","Afzender Betaling Mislukt E-mail"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Sjabloon Betaling Mislukt"
"Payment Information","Betaalgegevens"
"Payment Method","Betaalmethode"
"Payment method is not defined","Betaalwijze is niet gedefinieerd"
"Place Order","Plaats bestelling"
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Please choose to register or to checkout as a guest","Kies of u zich registeert of als gast betaalt a.u.b."
"Please log in below:","U kunt hieronder inloggen met uw e-mail adres en wachtwoord."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendwijzen voor alle adressen a.u.b."
"Please specify payment method.","Specificeer de betaalwijze a.u.b."
"Please specify shipping method.","Specificeer de verzendwijze a.u.b."
"Price","Prijs"
"Proceed to Checkout","Ga door naar afrekenen"
"Product Name","Product Naam"
"Products","Producten"
"Qty","Aantal"
"Qty:","Aantal:"
"Quantity","Aantal"
"Quote Lifetime (days)","Geldigheid winkelwagen (dagen)"
"Recently added item(s)","Recent toegevoegd(e) producten"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Remove Item","Product verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove item","Verwijder dit artikel"
"Review Order","Controleer bestelling"
"Review Order - %s","Bestelling  %s bekijken"
"SKU","Art.nr."
"Sales","Verkopen"
"Save Condition","Algemene Voorwaarden opslaan"
"Save in address book","Opslaan in adresboek"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Select Address","Kies een adres"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Kies een verzendmethode"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit uw adresboek of geef een nieuw e-mailadres in"
"Send Payment Failed Email Copy Method","Verzendmethode voor kopie Betaling Mislukt e-mail"
"Send Payment Failed Email Copy To","Stuur kopie Betaling Mislukt e-mail aan"
"Send To","Verzenden naar"
"Separate by "","".","Gescheiden door "",""."
"Ship to Multiple Addresses","Verzenden naar meerdere adressen"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shipping Address","Bezorgadres"
"Shipping Information","Bezorg Informatie"
"Shipping Method","Bezorgmethode"
"Shipping Methods","Verzendmethoden"
"Shipping To","Verzenden naar"
"Shipping method has not been selected yet","Verzendwijze is nog niet geselecteerd"
"Shopping Cart","Winkelwagen"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Show Content as","Inhoud tonen als"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"State/Province","Staat/Provincie"
"Status","status"
"Store View","Winkelaanzicht"
"Street Address","Adres"
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
"Subtotal","Subtotaal"
"Telephone","Telefoon"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"The product does not exist.","Het artikel bestaat niet"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unit Price","Stukprijs"
"Update","Bijwerken"
"Update Cart","Bijwerken"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Update Winkelwagen"
"Update Total","Totaal bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"VAT Number","BTW nummer"
"View Shopping Cart","Bekijk winkelwagen"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"What's this?","Wat is dit?"
"You have no items in your shopping cart.","U heeft geen product(en) in uw winkelwagen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Your Checkout Progress","Voortgang  bestelling"
"Zip/Postal Code","Postcode"
"or","of"
