" [deleted]"," [verwijderd]"
"Child Transactions","Bijbehorende transacties"
"Choose Store View:","Selecteer Winkelaanzicht:"
"Choose an attribute","Attribuut kiezen"
"Clear","Legen"
"Close","Sluiten"
"Code","Interne naam/code"
"Complete","Voltooid"
"Config form fieldset clone model required to be able to clone fields","Configuratie form fieldset clone model verplicht om velden te kunnen kopieren."
"Configuration","Configuratie"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirmed email:","Bevestigde email:"
"Continue","Doorgaan"
"Convert to Plain Text","Omzetten naar platte tekst"
"Cookie (unsafe)","Cookie (Onveilig)"
"Country","Land"
"Country:","Land:"
"Coupons","Kortingsbonnen"
"Create","Creëren"
"Create DB Backup","Database backup aanmaken"
"Create New Attribute","Nieuw attribuut aanmaken"
"Created At","Aangemaakt Op"
"Credit Card Number","Kredietkaartnummer"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Kredietkaart type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Memo History","Creditfactuur-geschiedenis"
"Credit Memo Totals","Creditfactuur-totalen"
"Credit Memos","Creditfacturen"
"Currency","Valuta"
"Currency Information","Valuta-gegevens"
"Current Configuration Scope:","Scope huidige configuratie"
"Current Month","Huidige maand"
"Custom","Aangepast"
"Custom Variables","Custom Variabelen"
"Customer","Klant"
"Customer Group:","Klantgroep:"
"Customer Groups","Klantengroepen"
"Customer Name","Naam klant"
"Customer Reviews","Klantenreviews"
"Customer Shopping Carts","Winkelwagens van klant"
"Customer Since:","Klant sinds:"
"Customer Tax Classes","Klant BTW-tariefgroepen"
"Customer with the same email already exists.","Er is al een klant met hetzelfde e-mail adres."
"Customers","Klanten"
"Customers by Number of Orders","Klanten o.b.v. bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
"Data Format","Gegevensformaat"
"Data transfer:","Gegevensoverdracht:"
"Date","Datum"
"Date & Time","Datum & Tijd"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Date selection:","Datumkeuze:"
"Date selector","Datumkiezer"
"Day","Dag"
"Debug","Fouten opsporen"
"Decimal separator:","Decimaal scheidingsteken:"
"Default (Admin) Values","Standaard (Admin) waarden"
"Default Billing Address","Standaard factuuradres"
"Default Config","Standaard configuratie"
"Default Template from Locale","Standaard-template a.d.v. Lokalisatie"
"Default Values","standaardwaarden"
"Default scope","Standaard-scope"
"Delete","Verwijder"
"Delete %s","%s verwijderen"
"Delete %s '%s'","%s, %s verwijderen"
"Delete Block","Blok verwijderen"
"Delete File","Bestand verwijderen"
"Delete Image","Verwijder afbeelding"
"Delete Profile","Profiel verwijderen"
"Delete Role","Rol verwijderen"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelaanzicht verwijderen"
"Delete Template","Sjabloon verwijderen"
"Delete User","Gebruiker verwijderen"
"Delete Website","Website verwijderen"
"Description","Omschrijving"
"Design","Ontwerp"
"Details","Gegevens"
"Direction:","Richting:"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Display %s first","%s eerst weergeven"
"Display default currency","Standaardvaluta weergeven"
"Distributed under GNU LGPL. See %s for details.","Uitgebracht onder GNU LGP licentie. Voor details zie %s."
"Do you really want to KILL parallel process and start new indexing process?","Wilt u een parallel proces echt stopzetten en opnieuw gaan indexeren?"
"Download","Downloads"
"Drag to move","Slepen om te verplaatsen"
"Edit","Bewerken"
"Edit Block","Blok bewerken"
"Edit Block '%s'","Blok '%s' bewerken"
"Edit Design Change","Design wijziging bewerken"
"Edit Email Template","E-mail-sjabloon bewerken"
"Edit Order","Bestelling bewerken"
"Edit Poll","Poll bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Review","Bewerk review"
"Edit Role","Wijzig rol"
"Edit Store View","Winkelaanzicht bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"Edit Template","Template bewerken"
"Edit URL Rewrite","Bewerk URL Rewrite"
"Edit User","Gebruiker bewerken"
"Edit User '%s'","Gebruiker '%s'"
"Edit Website","Website wijzigen"
"Email","E-mail"
"Email Address:","Emailadres:"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"Enclose Values In:","Voeg waarden bij in:"
"Entity Attributes","Eenheidattributen"
"Entity Type","Eenheid Type"
"Entity type:","Entiteittype:"
"Error","Foutmelding"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Exclude media folder from backup","Sla media-map over bij maken backup"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Export","Exporteer"
"Export CSV","CSV exporteren"
"Export Filters","Filters exporteren"
"Export to:","Exporteer naar:"
"Export:","Exporteren:"
"FTP Host","FTP-host"
"FTP Host[:Port]","FTP Host[:Poort]"
"FTP Login","FTP-login"
"FTP Password","FTP Wachtwoord"
"FTP credentials","FTP gegevens"
"Failed","Mislukt"
"Field","Veld"
"Field Mapping","Veldindeling"
"File","Bestand"
"File Information","Bestandsgegevens"
"File System","Bestandsysteem"
"File name:","Bestandsnaam:"
"File size should be more than 0 bytes","Bestandsgrootte zou meer dan 0 bytes moeten zijn"
"Finished profile execution.","Klaar met uitvoeren van profiel."
"First Invoice Created Date","Eerste factuur aangemaakt op"
"First Name","Voornaam"
"First Name:","Voornaam:"
"Fixed","Vast"
"Flush Catalog Images Cache","Leeg Catalogus Afbeeldingen Cache"
"Flush JavaScript/CSS Cache","Leeg JavaScript/CSS Cache"
"For category","Voor categorie"
"For latest version visit: %s","Bezoek %s voor de laatste versie"
"For product","Voor product"
"Forgot your password?","Wachtwoord vergeten?"
"Forgot your user name or password?","Wachtwoord of gebruikersnaam vergeten?"
"From","Van"
"Gb","Gigabyte"
"General Information","Algemene informatie"
"Get Image Base64","Base64-afbeelding ophalen"
"Get help for this page","Hulp voor deze pagina"
"Global Attribute","Globaal attribuut"
"Global Record Search","Doorzoek de hele site"
"Global Search","Globale zoektocht"
"Go Today","Naar vandaag"
"Go to Top","Ga naar het begin"
"Grand Total","Eindtotaal"
"Grid (default) / List","Tabel (standaard) / lijst"
"Grid Only","Alleen tabel"
"Group:","Groep:"
"Guest","Bezoeker"
"HTTP (unsecure)","HTTP (onveilig)"
"ID Path","ID pad"
"IP Address","IP Adres"
"IPN (Instant Payment Notification) Only","Alleen IPN (Instant Payment Notification)"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Images Cache","Afbeeldingen-cache"
"Import","Importeer"
"Import Service","Service importeren"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"Import/Export","Importeren/Exporteren"
"Import/Export Advanced","Importeren/Exporteren geavanceerd"
"Import/Export Profile","Import/Export-profiel"
"Important: ","Belangrijk: "
"Imported <strong>%s</strong> records","<strong>%s</strong> records ge&iuml;mporteerd"
"In Database:","In database:"
"In File:","In bestand:"
"Inactive","Niet actief"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Incoming Message","Inkomend bericht"
"Insert Variable...","Variabele waarde invoegen..."
"Interactive","Interactief"
"Interface Locale: %s","Interface-lokalisatie: %s"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid data","Ongeldige data"
"Invalid directory: %s","Ongeldige map: %s"
"Invalid file: %s","Ongeldig bestand: %s"
"Invalid input data for %s => %s rate","Ongeldige invoergegevens voor %s => %s koers"
"Invalid parent block for this block","Ongeldig 'moederblok' voor dit 'blok'"
"Invalidated","Ongeldig"
"Inventory Stock Status","Voorraad-status"
"Invoice #%s comment added","Notitie toegevoegd aan factuur #%s"
"Invoice #%s created","Factuur #%s gemaakt"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Invoices","Facturen"
"Is Closed","Afgerond"
"Is Default","Is standaard"
"Issue Number","Uitgiftenummer"
"Items","Producten"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"Last 24 Hours","Laatste 24 uur"
"Last 5 Orders","Laatste 5 bestellingen"
"Last 5 Search Terms","Laatste 5 zoektermen"
"Last 7 Days","Laatste 7 dagen"
"Last Credit Memo Created Date","Laatste creditfactuur aangemaakt op"
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Logged In (%s):","Laatst ingelogd (%s):"
"Last Logged In:","Laatst ingelogd"
"Last Name","Achternaam"
"Last Name:","Achternaam:"
"Latest Message:","Laatste bericht:"
"Layered Navigation Indices","Indexen van gelaagde navigatie"
"Leave empty to use tax identifier","Leeg laten om BTW-identifier te gebruiken"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"List (default) / Grid","Lijst (standaard) / tabel"
"List Only","Alleen lijst"
"Load Template","Sjabloon Laden"
"Load default template","Standaard-template laden"
"Loading...","Bezig met laden..."
"Local Server","Lokale Server"
"Local/Remote Server","Lokale/externe server"
"Locale","Taal"
"Log In","Inloggen"
"Log Out","Log uit"
"Log in to Admin Panel","Log in op het Admin Panel"
"Logged in as %s","Ingelogd als %s"
"Login","Log in"
"Low Stock","Lage voorraad"
"MAJOR","BELANGRIJK"
"MINOR","NOTIFICATIE"
"OpenMage Admin","OpenMage Site-beheer"
"Magento root directory","OpenMage root folder"
"Content","inhoud"
"Currency Rates","Wisselkoersen"
"Tax Rules","Fiscale regels"
"Tax Zones and Rates","BTW-zones en -tarieven"
"Manual","Handmatig"
"Maximum sender name length is 255. Please correct your settings.","Maximale afzender naam lengte is 255. Corrigeer uw instellingen."
"Messages Inbox","Berichteninbox"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Most Viewed Products","Meest bekeken producten"
"Multiple Select","Multi-select"
"My Account","Account"
"N/A","n.v.t."
"NOTICE","BERICHTGEVING"
"Name","Naam"
"Name on Card","Naam op kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"Name:","Naam:"
"Never (production)","Nooit (productie)"
"New ","Nieuw "
"New Accounts","Nieuwe accounts:"
"New Attribute","Nieuw attribuut"
"New Block","Nieuw blok"
"New Category","Nieuwe Categorie"
"New Class","Nieuwe BTW-groep"
"New Condition","Nieuwe Algemene Voorwaarden"
"New Custom Variable","Nieuwe aangepaste variabele"
"New Customer","Nieuwe klant"
"New Customers","Nieuwe klanten"
"New Design Change","Nieuw ontwerpverandering"
"New Email Template","Nieuwe e-mail-sjabloon"
"New Group","Nieuwe groep"
"New Invoice","Nieuwe factuur"
"New Item Type","Nieuw artikeltype"
"New Memo","Nieuwe creditfactuur"
"New Page","Nieuwe pagina"
"New Password","Nieuw wachtwoord"
"New Poll","Nieuwe poll"
"New Profile","Nieuw profiel"
"New Rating","Nieuwe waardering"
"New Review","Nieuwe review"
"New Role","Nieuwe rol"
"New Rule","Nieuwe regel"
"New Search","Nieuwe zoekactie"
"New Set","Nieuwe set"
"New Shipment","Nieuwe verzending"
"New Sitemap","Nieuwe sitemap"
"New Store View","Nieuw winkelaanzicht"
"New System Template","Nieuw systeem-sjabloon"
"New Tag","Nieuwe tag"
"New Template","Nieuw sjabloon"
"New User","Nieuwe gebruiker"
"New Website","Nieuwe website"
"Newsletter","Nieuwsbrief"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Subscribers","Nieuwsbriefabonnees"
"Newsletter Templates","Nieuwsbrief Sjablonen"
"Next month (hold for menu)","Volgende maand (vasthouden voor menu0"
"Next year (hold for menu)","Volgende jaar (vasthouden voor menu)"
"No","Nee"
"No (price without tax)","Nee (prijs excl. BTW)"
"No Data","Geen Data"
"No Data Found","Geen gegevens gevonden"
"No Templates Found","Geen sjablonen gevonden"
"No change","Geen wijziging"
"No profile loaded...","Geen profiel geladen..."
"No records found for this period.","Geen records gevonden voor deze periode."
"No records found.","Geen records gevonden."
"No search keywords.","Geen zoektermen."
"No search modules were registered","Er zijn geen zoekmodules geregistreerd."
"None","Geen"
"Note:","Notitie:"
"Notes","Notities"
"Notifications","Meldingen"
"Number of Orders","Aantal Bestellingen"
"Number of Uses","Aantal keer gebruikt"
"Number of Views","Aantal keren bekeken"
"Number of records:","Aantal records:"
"OK","Oké"
"Old rate:","Oude koers:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Advanced account, navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Payflow Link account, navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"Online Customers","Online klanten"
"Only Once (version upgrade)","Eenmalig (versie upgrade)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Alleen attributen met het bereik ""Globaal"", invoertype ""Dropdown"" en Gebruik om configureerbaar product te maken ""JA"" zijn beschikbaar."
"Only mapped fields","Alleen aangegeven velden"
"Optional","Optioneel"
"Options","Opties"
"Options is required","Opties is verplicht"
"Order","Bestelling"
"Order #%s","Bestelling #%s"
"Order #%s (%s)","Bestelling #%s (%s)"
"Order ID","Bestelling ID"
"Order Totals","Bestelling-totalen"
"Orders","Bestellingen"
"Original Magento attribute names in first row:","Originele OpenMage attribuut-namen in eerste rij:"
"Out of stock","Niet op voorraad"
"Pages","Pagina's"
"Parent Product Thumbnail","Miniatuur van het hoofdproduct"
"Parent Transaction ID","Bovenliggende transactie-ID"
"Passive mode","Passieve mode"
"Password","Wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Password:","Wachtwoord:"
"Path:","Pad:"
"Pending Reviews","Te beoordelen reviews"
"Pending Tags","Hangende tags"
"Per Item","Per artikel"
"Per Order","Per bestelling"
"Percent","Percentage"
"Performed At","Uitgevoerd op"
"Period","Periode"
"Permissions","Bevoegdheden"
"Personal Information","Persoonlijke informatie"
"Phone:","Telefoon:"
"Please Select","Selecteer"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bevestig sitewissel. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig € bedrag op. Bijvoorbeeld: €100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter a valid credit card number.","Geef a. u. b. een geldig creditcard-nummer op."
"Please enter a valid date.","Geef a.u.b. een geldige datum op."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid email.","Vul een geldig e-mailadres in"
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid value from list","Voer een geldige waarde in van de lijst"
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter valid password.","Voer een geldig wachtwoord in a.u.b."
"Please make sure that all global admin search modules are installed and activated.","Zorg er voor dat alle globale admin zoekmodules zijn geïnstalleerd en geactiveerd."
"Please make sure that your changes were saved before running the profile.","Zorg er voor dat alle wijzigingen zijn opgeslagen voordat u het profiel uitvoert"
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer een staat/provincie."
"Please select an option.","Selecteer a. u. b. een optie."
"Please select customer(s).","Selecteer klant(en)."
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please select review(s).","Selecteer review(en)."
"Please specify the admin custom URL.","Geef de custom Admin-URL op."
"Please use in this field only ""a-z,0-9,_"".","Gebruik in dit veld uitsluitend  ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of spaties in dit veld."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Please wait...","Even geduld..."
"Poll Manager","Beheer poll"
"Popular","Populair"
"Position","Positie"
"Position of Watermark for %s","Positie van watermerk voor %s"
"Prev. month (hold for menu)","Maand terug (vasthouden=menu)"
"Prev. year (hold for menu)","Jaar terug (vasthouden=menu)"
"Preview","Voorbeeld"
"Preview Template","Voorbeeld Sjabloon"
"Price","Prijs"
"Price:","Prijs:"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> records verwerkt."
"Processing","Bezig met verwerken"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Product Tax Classes","BTW-groepen product"
"Product Thumbnail Itself","Miniatuur van het product zelf"
"Product:","Product"
"Products","Producten"
"Products Bestsellers Report","Rapportage Bestsellers"
"Products Most Viewed Report","Rapportage meest bekeken producten"
"Products Ordered","Bestelde producten"
"Products in Carts","Producten in winkelwagen"
"Profile Action","Profiel actie"
"Profile Actions XML","Profiel acties XML"
"Profile Direction","Profiel richting"
"Profile History","Profiel geschiedenis"
"Profile Information","Profiel informatie"
"Profile Name","Profiel naam"
"Profile Wizard","Profiel wizard"
"Profiles","Profielen"
"Promo","Promotie"
"Promotions","Promoties"
"Quantity","Aantal"
"Queue Refresh","Wachtrij vernieuwen"
"Queued... Cancel","In de wachtrij... Annuleren"
"Radio Buttons","Radio buttons"
"Rates","Waardering"
"Read details","Lees details"
"Rebuild","Herindexeren"
"Rebuild Catalog Index","Catalogus index opnieuw opbouwen"
"Rebuild Flat Catalog Category","Platte categorie catalogus opnieuw opbouwen"
"Rebuild Flat Catalog Product","Platte product catalogus opnieuw opbouwen"
"Recent Orders","Recente orders"
"Recent statistics have been updated.","Recente statistieken zijn vernieuwd"
"Recursive Dir","Recursieve dir"
"Redirect","Doorsturen"
"Reference ID","Referentie-ID"
"Refresh","Vernieuwen"
"Refresh Now*","Nu her-indexeren*"
"Refresh Statistics","Vernieuw Statistieken"
"Region/State","Provincie"
"Regular Price:","Normale prijs:"
"Reject","Weigeren"
"Release","Publiceren"
"Release Stability","Publicatie stabiliteit"
"Release Version","Publicatie versie"
"Reload captcha","CAPTCHA herladen"
"Remote FTP","Afgelegen FTP"
"Remove","Verwijder"
"Reports","Rapportages"
"Request Path","Gevraagd Pad"
"Required","Vereist"
"Reset","Resetten"
"Reset Filter","Herstel filter"
"Reset Password","Wachtwoord herstellen"
"Reset a Password","Wachtwoord opnieuw instellen"
"Resize","Grootte aanpassen"
"Resource Access","Toegang tot bron"
"Resources","Bronnen"
"Results","Resultaten"
"Retrieve Password","Wachtwoord opvragen"
"Return Html Version","Geef HTML-versie terug"
"Revenue","Omzet"
"Reviews and Ratings","Reviews en ratings"
"Role ID","Rol ID"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role Name","Rolnaam"
"Role Resources","Rol bronnen"
"Role Users","Rol gebruikers"
"Roles","Rollen"
"Roles Resources","Rollen bronnen"
"Root Category","Hoofd categorie/root"
"Rotate CCW","CCW draaien"
"Rotate CW","CW draaien"
"Run","Uitvoeren"
"Run Profile","Profiel uitvoeren"
"Run Profile Inside This Window","Profiel uitvoeren in dit venster"
"Running... Kill","Running... Stop"
"SKU","Art.nr."
"SKU:","Artikelnummer:"
"SSL Error: Invalid or self-signed certificate","SSL fout: Ongeldige of self-signed certificaat"
"Sales","Verkopen"
