"* Required Fields","* Campos Obrigatórios"
"FTP credentials","Credenciais FTP"
"Failed","Falhou"
"File","Ficheiro"
"File System","Sistema de Ficheiros"
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"First Name","Nome"
"First Name:","Nome (primeiro):"
"Fixed","Fixo"
"Flush Catalog Images Cache","Limpar Cache de Catálogo de Imagens"
"Flush JavaScript/CSS Cache","Limpar Cache JavaScript/CSS"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"From","De"
"General Information","Informação Geral"
"Global Search","Pesquisa Global"
"Go Today","Hoje"
"Go to Top","Ir para o topo"
"Grand Total","Preço Final"
"Grid (default) / List","Grid (padrão) / Lista"
"Grid Only","Apenas a Grelha"
"Guest","Convidado"
"HTTP (unsecure)","HTTP (não seguro)"
"Home","Início"
"ID","Id."
"IP Address","Endereço de IP"
"IPN (Instant Payment Notification) Only","Apenas IPN (Notificação de Pagamento Instantânea)"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Images Cache","Cache de Imagens"
"Import","Importar"
"Import Service","Serviço de Importação"
"Import and Export Tax Rates","Importar e Exportar Taxas de Imposto"
"Import/Export","Importar/Exportar"
"Important: ","Importante: "
"Inactive","Inativo"
"Incl. Tax","Imposto incl."
"Incoming Message","Nova mensagem"
"Insert Variable...","Inserir Variável..."
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Invalid data","Dados inválidos"
"Invalidated","Invalidado"
"Inventory Stock Status","Estado do Stock em Inventário"
"Invoice History","Histórico de faturação"
"Invoice Totals","Total da fatura"
"Invoices","Facturas"
"Is Closed","Está fechado"
"Is Default","Utilizar por pré-definição"
"Issue Number","Número de Emissão"
"Items","Itens"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desativado no seu browser."
"JavaScript/CSS","JavaScript"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 dias"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Logged In:","Último Login:"
"Last Name","Sobrenome"
"Last Name:","Sobrenome"
"Lifetime Sales","Vendas desde sempre"
"List (default) / Grid","Lista (padrão) / Grelha"
"List Only","Apenas a Lista"
"Load Template","Carregar Template"
"Loading...","Carregando..."
"Locale","Região"
"Login","Iniciar Sessão"
"OpenMage Admin","Administração do OpenMage"
"Magento root directory","Diretório raiz do OpenMage"
"Content","Conteúdo"
"Currency Rates","Taxas de Câmbio"
"Tax Rules","Regras de Impostos"
"Maximum sender name length is 255. Please correct your settings.","O comprimento máximo do nome do remetente é de 255 caracteres. Por favor corrija este campo."
"Media (.avi, .flv, .swf)","Media (. avi,. flv,. swf)"
"Messages Inbox","Caixa de entrada de mensagens"
"Month","Mês "
"Most Viewed Products","Produtos mais vistos"
"Multiple Select","Seleção Múltipla"
"My Account","A Minha conta"
"N/A","N/D"
"Name","Nome"
"Never (production)","Nunca (produção)"
"New ","Novo "
"New Accounts","Novas contas"
"New Attribute","Novo Atributo"
"New Block","Novo Bloco"
"New Category","Nova Categoria"
"New Condition","Nova Condição"
"New Custom Variable","Nova variável personalizada"
"New Customer","Novo cliente"
"New Customers","Novos clientes"
"New Email Template","Novo Template de Email"
"New Group","Novo Grupo"
"New Page","Nova Página"
"New Password","Nova Password"
"New Rating","Nova classificação"
"New Review","Nova análise"
"New Role","Nova Função"
"New Rule","Nova Regra"
"New Search","Nova Pesquisa"
"New Set","Novo Conjunto"
"New Shipment","Nova Expedição"
"New Sitemap","Novo mapa do site"
"New Store View","Nova Vista de Loja"
"New System Template","Novo Template de Sistema"
"New Template","Novo Template"
"New User","Novo Utilizador"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter Templates","Template de Newsletter"
"No","Não"
"No Data","Não há dados disponíveis"
"No Data Found","Nenhuns Dados Encontrados"
"No Templates Found","Nenhum Template Encontrado"
"No change","Sem alterações"
"No records found.","Não foram encontrados registos."
"No search modules were registered","Não foram registados módulos de pesquisa"
"None","Nenhum"
"Note:","Anotação:"
"Notifications","Notificações"
"Number of Orders","Número de Encomendas"
"Number of Uses","Número de Utilizações"
"OK","CONFIRMAR"
"Old rate:","Taxa antiga:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta PayPal Advanced, navegue até ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta PayPal Payflow Link, navegue até ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"Online Customers","Clientes Online"
"Only Once (version upgrade)","Apenas Uma Vez (atualização de versão)"
"Optional","Opcional"
"Options","Opções"
"Order","Encomenda"
"Order ID","ID da Encomenda"
"Order Totals","Total da encomenda"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Pages","Páginas"
"Parent Product Thumbnail","Imagem miniatura do produto pai"
"Parent Transaction ID","ID da Última Transação"
"Password","Palavra-passe"
"Password Confirmation","Confirmação da palavra-passe"
"Password:","Palavra-passe:"
"Pending Reviews","Avaliações pendentes"
"Per Item","Por Artigo"
"Per Order","Por encomenda"
"Percent","Por cento"
"Permissions","Permissões"
"Personal Information","Informação Pessoal"
"Please Select","Por favor selecione"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram gravados serão perdidos."
"Please enter a number greater than 0 in this field.","Por favor insira um número superior a 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de € válido. Por exemplo, 100,00€."
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido."
"Please enter a valid date.","Por favor introduza uma data válida."
"Please enter a valid email.","Por favor introduza um email válido."
"Please enter a valid number in this field.","Por favor introduza um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+351) 210 123 123 ou 910 123 123."
"Please enter a valid value from list","Por favor, insira um valor válido de lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor insira um código de postal válido."
"Please make sure that all global admin search modules are installed and activated.","Por favor certifique-se de que todos os módulos de pesquisa de administração globais estão instalados e ativados."
"Please make sure your passwords match.","Por favor certifique-se que ambas as palavras-passe coincidem."
"Please select State/Province.","Por favor selecione a Região/Distrito."
"Please select an option.","Por favor selecione uma opção."
"Please select customer(s).","Seleccionar cliente(s)."
"Please select one of the options.","Selecione uma das opções."
"Please select review(s).","Selecione uma avaliação, por favor."
"Please specify the admin custom URL.","Por favor especifique o URL de admin personalizado."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou espaços neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Please wait...","Por favor aguarde..."
"Position","Posição"
"Preview","Pré-Visualizar"
"Preview Template","Pré-Visualizar Template"
"Price","Preço"
"Price:","Preço:"
"Processing","Em processamento"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Product Thumbnail Itself","Imagem miniatura do produto em si"
"Product:","Produto:"
"Products","Produtos"
"Products in Carts","Produtos em carrinhos"
"Promo","Promoção"
"Promotions","Promoções"
"Quantity","Quantidade"
"Radio Buttons","Botões de radio"
"Rebuild","Reconstruir"
"Rebuild Catalog Index","Reconstruir o Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Categoria do Catálogo Flat"
"Rebuild Flat Catalog Product","Reconstruir Produto do Catálogo Flat"
"Recent Orders","Encomendas recentes"
"Reference ID","ID da Referência"
"Refresh","Atualizar"
"Region/State","Região/Concelho"
"Reload captcha","Recarregar Captcha"
"Remove","Eliminar"
"Reports","Relatórios"
"Required","Obrigatório"
"Reset","Repor"
"Reset Filter","Limpar Filtro"
"Reset Password","Repor a Palavra-passe"
"Reset a Password","Redefinir a Palavra-passe"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar Palavra-passe"
"Return Html Version","Retornar a Versão Html"
"Revenue","Receitas"
"Reviews","Avaliações"
"Role Info","Informação da Função"
"Role Information","Informação da Função"
"Role Name","Nome da Função"
"Role Resources","Recursos da Função"
"Role Users","Utilizadores com a Função"
"Roles","Funções"
"Roles Resources","Recursos de Funções"
"Root Category","Categoria raiz"
"Run","Executar"
"SKU","REF"
"Sales","Vendas"
"Samples","Amostras"
"Save","Gravar"
"Save & Generate","Gravar e Gerar"
"Save Account","Salvar a conta"
"Save Cache Settings","Gravar as Definições de Cache"
"Save Config","Gravar Configuração"
"Save Currency Rates","Gravar Taxas de Câmbio"
"Save Role","Gravar Função"
"Save Template","Gravar Template"
"Save User","Gravar Utilizador"
"Save and Continue Edit","Gravar e Continuar Edição"
"Search","Pesquisa"
"Search Index","Índice de Pesquisa"
"Search Term","Termo de pesquisa"
"Search Terms","Termos de Pesquisa"
"Search entire store here...","Pesquise toda a loja aqui..."
"Select","Selecione"
"Select All","Selecionar tudo"
"Select Category","Selecionar Categoria"
"Sender","Remetente"
"Separate Email","Email Separado"
"Shipment Comments","Comentários expedição"
"Shipment History","Histórico de expedição"
"Shipments","Expedições"
"Shipping","Envio"
"Shipping Address","Morada de Envio"
"Shipping Address: ","Morada de expedição: "
"Shipping Origin","Origem da Expedição"
"Shipping Price","Preço do Envio"
"Shopping Cart","Carrinho de compras"
"Sitemap Information","Informações do mapa do site"
"Specific Countries","Países Específicos"
"Specified","Especificado"
"Start Date","Data de Início"
"State/Province:","Concelho/Distrito:"
"Static Blocks","Blocos Estáticos"
"Status","Estado"
"Status:","Estado:"
"Store","Loja"
"Store View","Vista da Loja"
"Stores","Lojas"
"Subject","Assunto"
"Submit","Submeter"
"Subtotal","Sub-total"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Synchronize","Sincronizar"
"Synchronizing...","Sincronizando..."
"System","Sistema"
"Tags","Etiquetas"
"Tax","Taxa"
"Template","Modelo"
"Template Content","Conteúdo do Template"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos do Template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de Template"
"Temporary (302)","Temporário (302)"
"Terms and Conditions","Termos e Condições"
"Text","Texto"
"The JavaScript/CSS cache has been cleaned.","A cache de JavaScript/CSS foi limpa."
"The attribute set has been removed.","O conjunto de atributos foi removido."
"The image cache was cleaned.","A cache de imagens foi limpa."
"The order no longer exists.","A encomenda já não existe."
"The shipment has been created.","A expedição foi criada."
"This account is","Esta conta está"
"This action cannot be undone.","Esta ação não pode ser anulada."
"This block no longer exists.","Este bloco já não existe."
"This is a required field.","Este é um campo obrigatório."
"This user no longer exists.","Este utilizador já não existe."
"Time","Hora"
"To","Para"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para usar o PayPal Payflow Link, deve configurar sua conta de pagamentos PayPal Payflow Link no site do PayPal."
"Tools","Ferramentas"
"Total Refunded","Total Reembolsado"
"Track Order","Seguir encomenda"
"Track this shipment","Seguir este envio"
"Transaction Data","Data da transação"
"Transaction ID","ID da Transação"
"Transaction Type","Tipo de Transação"
"Transactional Emails","Emails Transacionais"
"Transactions","Transações"
"Type","Tipo"
"Type:","Tipo:"
"Unknown","Desconhecido"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Updated At","Atualizado Em"
"Upload File","Carregar ficheiro"
"Upload Files","Carregar Ficheiros"
"Use All Available Attributes","Usar Todos os Atributos Disponíveis"
"Use Config Settings","Usar Definições de Configuração"
"Use Default","Utilizar Predefinição"
"Use Default Value","Usar o Valor Pré-definido"
"Use Default Variable Values","Usar valores de variável padrão"
"Use FTP Connection","Usar Ligação FTP"
"Use Website","Usar Site"
"User Email","E-mail de usuário"
"User ID","ID de Utilizador"
"User Info","Informação do Utilizador"
"User Information","Informação do Utilizador"
"User Name","Nome de utilizador"
"User Password","Palavra-passe do Utilizador"
"User Role","Função do Utilizador"
"User Roles","Funções dos Utilizadores"
"User Roles Information","Informação das Funções do Utilizador"
"Users","Utilizadores"
"Validation Results","Resultados de Validação"
"Value","Valor"
"Variable","Variável"
"Variable Code","Código da Variável"
"Variable HTML Value","Valor da variável HTML"
"Variable ID","Id da Variável"
"Variable Name","Nome da Variável"
"Variable Plain Value","Valor de variável simples"
"View Full Size","Ver Tamanho Completo"
"View Statistics For:","Ver Estatísticas Para:"
"Warning","Aviso"
"Website","Site"
"What is this?","O que é isto?"
"YTD","Desde o início do ano"
"Year","Ano"
"Yes","Sim"
"Yes (301 Moved Permanently)","Sim (301 Moved Permanently)"
"Yes (302 Found)","Sim (302 Found)"
"You cannot delete your own account.","Não pode remover a sua própria conta."
"You have logged out.","Saiu da sua conta."
"Your password reset link has expired.","O seu link para repor a palavra-passe expirou."
"Zip/Postal Code","Código Postal"
"[ deleted ]","[ apagado ]"
"[STORE VIEW]","[VISTA DE LOJA]"
"close","fechar"
"critical","crítico"
"example: sitemap.xml","exemplo: sitemap.xml"
"failed","falhou"
"from","de"
"major","alto"
"minor","baixo"
"notice","aviso"
"successful","bem sucedido"
"to","para"
