"* Required Fields","* Campos Obrigatórios"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinação de Condições"
"Configure Product","Configurar Produto"
"Continue","Continuar"
"Country/State","País/Região"
"Create","Criar"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente para URLs se a chave de URL for Alterada"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para o URL antigo"
"Cross-sells","Vendas-Cruzadas"
"Custom Design","Design personalizado"
"Custom Options","Opções Personalizadas"
"Customer Group","Grupos de Clientes"
"Data Type for Saving in Database","Tipo de dados para gravar na base de dados"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Date Fields Order","Ordem dos Campos de Data"
"Datetime","DateTime"
"Default ""What's This"" Text Message","Mensagem de Texto Pré-definida ""O que é isto"""
"Default Popup Text Message","Mensagem de Texto Popup Pré-definida"
"Default Price","Preço Normal"
"Default Price Navigation Step","Intervalo de Preço Pré-definido"
"Default Qty","Qtd Pré-definida"
"Default Values","Valores por omissão"
"Delete","Eliminar"
"Delete Attribute","Remover Atributo"
"Delete Option","Apagar Opção"
"Delete Row","Eliminar Linha"
"Delete Search","Apagar Pesquisa"
"Delete Selected Group","Apagar Grupo Selecionado"
"Delete Tier","Excluir Nível"
"Description","Descrição"
"Design","Desenho"
"Details","Detalhes"
"Disabled","Inativo"
"Disallowed file type.","Tipo de ficheiro não permitido."
"Display Actual Price","Mostrar Preço Atual"
"Display Page Control","Mostrar Controlo da Página"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Um Preço"
"Display Product Count","Mostrar Número de Produtos"
"Display Type","Tipo de Visualização"
"Display in Suggested Terms","Mostrar nos Termos Sugeridos"
"Downloadable Information","Download de Informação"
"Duplicate amount found.","Quantidade em duplicado encontrada."
"Edit","Editar"
"Edit Product Attribute","Editar Atributo de Produto"
"Edit Search","Editar Pesquisa"
"Email","Correio electrónico"
"Email to a Friend","Enviar por Email a um Amigo"
"Empty","Vazio"
"Enable MAP","Ativar PMP"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Enabled","Ativo"
"Exclude","Excluir"
"Expand All","Expandir Todos"
"Failed","Falhou"
"Filter","Filtro"
"Filterable (no results)","Filtrável (nenhum resultado)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Nome"
"Fixed","Fixo"
"For the last time placed.","Colocados pela última vez."
"Gallery","Galeria"
"General Information","Informação Geral"
"Globally Editable","Globalmente Modificável"
"Go to Home Page","Ir para Página Inicial"
"Grid","Grelha"
"Groups","Grupos"
"Home","Início"
"ID","Id."
"Image","Imagem"
"In Cart","No Carrinho"
"In Stock","Em Stock"
"In stock","Em stock"
"Incl. Tax","Imposto incl."
"Index product prices","Indexar os preços de produtos"
"Indexed category/products association","Associação categoria/produtos indexados"
"Input Type","Tipo de input"
"Integer","Inteiro"
"Interval Division Limit","Limite de Divisão de Interalo"
"Inventory","Inventário"
"Is Default","Utilizar por pré-definição"
"Is Required","É Necessário"
"Label","Etiqueta"
"Last Name","Sobrenome"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saiba Mais"
"Link to a Specified Category","Link para uma Categoria Especificada"
"Link to a Specified Product","Link para um Produto Especifico"
"List","Lista"
"List Mode","Modo de Lista"
"List of Products that are set as New","Lista de Produtos marcados como Novos"
"Catalog Categories","Categorias do Catálogo"
"Manage Stock","Gerir Stock"
"Max Characters","Max Caracteres"
"Maximal Depth","Profundidade Máxima"
"Maximum Image Size","Tamanho máximo da imagem"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Comprimento máximo da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","O Número Máximo de Intervalos de Preço é 100"
"Media Image","Imagem Media"
"Minimum Advertised Price","Preço Mínimo Publicitado"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Move","Mover"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
"My Account","A Minha conta"
"N/A","N/D"
"Name","Nome"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Novo Template de Grelha de Produtos"
"New Products List Template","Novo Template de Lista de Produtos"
"New Search","Nova Pesquisa"
"New Set Name","Novo Nome do Conjunto"
"New products","Produtos novos"
"Next","Seguinte"
"No","Não"
"No image","Sem imagem"
"No layout updates","Não há atualizações de layout"
"No options of this product are available.","Nenhuma das opções deste produto está disponível."
"None","Nenhum"
"Not Visible Individually","Não Visível Individualmente"
"Notify Low Stock RSS","RSS de Notificação de Baixo Stock"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos a Exibir"
"Number of Uses","Número de Utilizações"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"OK","CONFIRMAR"
"On Gesture","Ao Gesto"
"Options","Opções"
"Out of Stock","Sem Stock"
"Out of stock","Esgotado"
"Page Title Separator","Separador do Título da Página"
"Parent Category","Categoria Pai"
"Pending","Pendente"
"Pending Reviews RSS","RSS de Avaliações Pedentes"
"Please add rows to option.","Por favor adicione linhas à opção."
"Please specify date required option(s).","Por favor especifique as opções de data necessárias."
"Please specify the number of products, that will not be divided into subintervals.","Por favor especifique o número de produtos, que não serão divididos em sub-intervalos."
"Please specify the quantity of product(s).","Por favor, especifique a quantidade de produto(s)."
"Please specify time required option(s).","Por favor especifique as opções de tempo necessárias."
"Please wait...","Por favor aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Navegação em Camadas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Preço"
"Price Navigation Step Calculation","Cálculo do Intervalo de Preço na Navegação por Preços"
"Price Type","Tipo de Preço"
"Price:","Preço:"
"Print This Page","Imprimir Esta Página"
"Product","Produto"
"Product Alerts","Alertas de Produto"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos de Produto"
"Product Categories","Categorias de Produto"
"Product Flat Data","Dados Flat do Produto"
"Product ID","ID de produto"
"Product Image Placeholders","Placeholders da Imagem do Produto"
"Product Image Watermarks","Marcas D'água da Imagem de Produto"
"Product In Websites","Produto Nos Sites"
"Product Info Column","Coluna de informações do produto"
"Product Link Block Template","Template de Bloco para o Link do Produto"
"Product Link Inline Template","Template Inline para o Link do Produto"
"Product Listing Sort by","Ordenar Listagem de Produtos por"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Product URL Suffix","Sufixo URL do produto"
"Product is not loaded","O produto não está carregado"
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informação de Produtos"
"Products only","Apenas produtos"
"Products per Page on Grid Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Grelha"
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página quando visto em Grelha"
"Products per Page on List Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Lista"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Properties","Propriedades"
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd É Décimal"
"Quantity","Quantidade"
"Redirect URL","URL de Redirecionamento"
"Related Products","Produtos Relacionados"
"Remove","Eliminar"
"Remove Product From Websites","Remover Produto dos Websites"
"Remove This Item","Remover Este Item"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura EAV da categoria para estrutura flat"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura flat"
"Reset","Repor"
"Results","Resultados"
"Reviews","Avaliações"
"Root","Raiz"
"SKU","REF"
"Save","Gravar"
"Save Attribute","Gravar Atributo"
"Save Search","Gravar Pesquisa"
"Save and Continue Edit","Gravar e Continuar Edição"
"Scope","Escopo"
"Search","Pesquisa"
"Search Information","Informação da Pesquisa"
"Search Query","Pesquisa"
"Search Weight","Peso da Pesquisa"
"Searchable","Pesquisável"
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"Select Category...","Selecione a Categoria..."
"Select Product...","Selecione o Produto..."
"Select type options required values rows.","As linha de valores são obrigatórias para este tipo de opção."
"Send Count","Número de Envios"
"Set Ascending Direction","Definir Ordenação Crescente"
"Set Descending Direction","Definir Ordenação Decrescente"
"Settings","Definições"
"Shop By","Filtrar Por"
"Shopping Options","Opções de Compra"
"Show","Mostrar"
"Site Map","Mapa do site"
"Sitemap","Mapa do site"
"Some of the selected item options are not currently available.","Algumas das opções do item selecionado não estão disponíveis de momento."
"Sort By","Ordenar por"
"Sort Order","Ordenação"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Somente bloco estático"
"Status","Estado"
"Stock Availability","Disponibilidade de Stock"
"Store","Loja"
"Store View","Vista da Loja"
"Stretch","Esticar"
"Subscribe to RSS Feed","Subscrever o Feed RSS"
"System Properties","Propriedades do Sistema"
"Tax","Taxa"
"Template","Modelo"
"Text","Texto"
"The base directory to upload file is not specified.","A pasta base para carregar o ficheiro não está especificada."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro utilizador ou não existe."
"There are no customers for this alert.","Não existem clientes para este alerta."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis. Não pode removê-lo do conjunto de atributos."
"This attribute set no longer exists.","Este conjunto de atributos já não existe."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos de sistema. Por favor mova os atributos de sistema para outro grupo e tente novamente."
"This search no longer exists.","Esta pesquisa já não existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta definição será aplicada quando todos os preços no intervalo de preço especifico forem iguais."
"Tier Pricing","Tabela de Preços"
"Tile","Azulejo"
"Time Format","Formato de hora"
"Title","Título"
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, adicione este item ao seu carrinho. Você pode sempre removê-lo mais tarde."
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Type","Tipo"
"Unassigned Attributes","Atributos não atribuídos"
"Up-sells","Ofertas promocionais"
"Update","Actualizar"
"Update Attributes","Atualizar Atributos"
"Update attributes","Atualizar atributos"
"Use Canonical Link Meta Tag For Categories","Usar Meta-Tag com um Link Canónico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar Meta-Tag com um Link Canónico para Produtos"
"Use Categories Path for Product URLs","Usar o Caminho da Categoria para os URLs dos Produtos"
"Use Config Settings","Usar Definições de Configuração"
"Use Default Value","Usar o Valor Pré-definido"
"Use Flat Catalog Category","Usar Categoria do Catálogo Flat"
"Use Flat Catalog Product","Usar Produto do Catálogo Flat"
"Use JavaScript Calendar","Usar Calendário JavaScript"
"Use config","Usar configuração"
"Use for Promo Rule Conditions","Usar como Condição para Regra de Promoção"
"Use in Layered Navigation","Utilizar em Navegação por Camadas"
"Used for Sorting in Product Listing","Usado para Ordenação na Listagem de Produtos"
"Used in Product Listing","Usado na Listagem de Produtos"
"View Details","Ver Detalhes"
"View as","Ver como"
"Visibility","Visibilidade"
"Visible","Visível"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Site"
"Websites","Sites"
"What's this?","O que é isto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Mostrar a opção ""Todos"" no menu suspenso ""Mostrar X por Página""."
"Year Range","Intervalo de Ano"
"Yes","Sim"
"You have no items to compare.","Não tem items para comparar."
"You saved the search term.","Gravou o termo de pesquisa."
"and above","e acima"
"ex. http://domain.com","ex. http://dominio.com"
"per page","por página"
"select all","selecionar tudo"
"unselect all","desmarcar tudo"
