"-- Please Select --","-- Por favor, selecione --"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Validação falhou."
"Variable Code must be unique.","Código da Variável deve ser único."
"Website","Site"
"Website with the same code","Sítio com o mesmo código"
"Weekend Days","Dias do Fim de Semana"
"Welcome Text","Texto de Boas-vindas"
"Wrong file info format","Formato de informação de ficheiro errado"
"Yes","Sim"
